City/Municipality, Number of Households* , Electricity , Kerosene (Gaas) , Liquified Petroleum Gas (LPG) , Oil (vegetable animal and others) , Solar panel , Solar lamp , Others , None , Not Reported 
,,,,,,,,,,
NATIONAL CAPITAL REGION,  3.095.484 ,  3.047.198 ,  18.906 ,  10.213 ,  234 ,  2.086 ,  2.674 ,  7.764 ,  3.244 ,  3.165 
 METROPOLITAN MANILA,  3.095.484 ,  3.047.198 ,  18.906 ,  10.213 ,  234 ,  2.086 ,  2.674 ,  7.764 ,  3.244 ,  3.165 
 CITY OF MANILA ,  435.154 ,  428.934 ,  2.365 ,  1.369 ,  34 ,  66 ,  98 ,  1.018 ,  1.012 ,  258 
 CITY OF MANDALUYONG ,  100.356 ,  99.089 ,  217 ,  161 ,  6 ,  112 ,  491 ,  101 ,  166 ,  13 
 CITY OF MARIKINA ,  98.238 ,  96.774 ,  488 ,  592 ,  7 ,  24 ,  35 ,  264 ,  44 ,  10 
 CITY OF PASIG ,  180.612 ,  178.773 ,  605 ,  586 ,  9 ,  64 ,  111 ,  258 ,  163 ,  43 
 QUEZON CITY ,  683.044 ,  671.386 ,  3.265 ,  3.687 ,  99 ,  249 ,  247 ,  1.605 ,  604 ,  1.902 
 CITY OF SAN JUAN ,  28.623 ,  27.651 ,  80 ,  6 ,  -   ,  109 ,  574 ,  -   ,  22 ,  181 
 CALOOCAN CITY ,  367.878 ,  359.640 ,  4.856 ,  17 ,  3 ,  898 ,  611 ,  1.767 ,  83 ,  3 
 CITY OF MALABON ,  86.191 ,  85.004 ,  784 ,  1 ,  3 ,  15 ,  40 ,  286 ,  58 ,  -   
 CITY OF NAVOTAS ,  60.904 ,  59.566 ,  553 ,  540 ,  3 ,  2 ,  13 ,  157 ,  70 ,  -   
 CITY OF VALENZUELA ,  153.041 ,  151.738 ,  1.079 ,  -   ,  -   ,  22 ,  48 ,  154 ,  -   ,  -   
 CITY OF LAS PIÑAS ,  141.925 ,  140.025 ,  789 ,  460 ,  17 ,  28 ,  24 ,  387 ,  170 ,  25 
 CITY OF MAKATI ,  154.095 ,  151.308 ,  304 ,  1.341 ,  17 ,  55 ,  46 ,  670 ,  289 ,  65 
 CITY OF MUNTINLUPA ,  122.286 ,  119.897 ,  1.025 ,  854 ,  10 ,  35 ,  67 ,  163 ,  186 ,  49 
 CITY OF PARAÑAQUE ,  163.074 ,  161.556 ,  530 ,  263 ,  11 ,  170 ,  19 ,  361 ,  105 ,  59 
 PASAY CITY ,  107.619 ,  107.240 ,  210 ,  32 ,  -   ,  4 ,  3 ,  41 ,  71 ,  18 
 PATEROS ,  14.188 ,  14.043 ,  66 ,  4 ,  -   ,  5 ,  5 ,  14 ,  51 ,  -   
 TAGUIG CITY ,  198.256 ,  194.574 ,  1.690 ,  300 ,  15 ,  228 ,  242 ,  518 ,  150 ,  539 
,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION,  395.748 ,  360.533 ,  19.865 ,  453 ,  219 ,  5.643 ,  3.031 ,  5.911 ,  93 ,  -   
 ABRA ,  52.929 ,  46.491 ,  4.009 ,  22 ,  7 ,  612 ,  444 ,  1.339 ,  5 ,  -   
 BANGUED (Capital) ,  11.024 ,  10.491 ,  466 ,  -   ,  1 ,  2 ,  31 ,  33 ,  -   ,  -   
 BOLINEY ,  760 ,  714 ,  29 ,  -   ,  -   ,  -   ,  7 ,  10 ,  -   ,  -   
 BUCAY ,  3.863 ,  3.542 ,  281 ,  1 ,  1 ,  4 ,  7 ,  27 ,  -   ,  -   
 BUCLOC ,  442 ,  426 ,  15 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
 DAGUIOMAN ,  375 ,  371 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DANGLAS ,  910 ,  792 ,  106 ,  1 ,  -   ,  -   ,  9 ,  2 ,  -   ,  -   
 DOLORES ,  2.548 ,  2.337 ,  167 ,  -   ,  -   ,  3 ,  22 ,  17 ,  2 ,  -   
 LA PAZ ,  3.442 ,  3.056 ,  362 ,  -   ,  -   ,  1 ,  9 ,  11 ,  3 ,  -   
 LACUB ,  647 ,  274 ,  45 ,  14 ,  -   ,  79 ,  61 ,  174 ,  -   ,  -   
 LAGANGILANG ,  3.147 ,  2.779 ,  332 ,  -   ,  -   ,  7 ,  10 ,  19 ,  -   ,  -   
 LAGAYAN ,  932 ,  837 ,  90 ,  -   ,  -   ,  1 ,  2 ,  2 ,  -   ,  -   
 LANGIDEN ,  705 ,  634 ,  67 ,  -   ,  1 ,  -   ,  1 ,  2 ,  -   ,  -   
 LICUAN-BAAY (LICUAN) ,  968 ,  677 ,  219 ,  1 ,  -   ,  32 ,  4 ,  35 ,  -   ,  -   
 LUBA ,  1.370 ,  1.284 ,  66 ,  -   ,  -   ,  4 ,  10 ,  6 ,  -   ,  -   
 MALIBCONG ,  746 ,  219 ,  41 ,  -   ,  -   ,  3 ,  -   ,  483 ,  -   ,  -   
 MANABO ,  2.475 ,  2.248 ,  178 ,  -   ,  -   ,  11 ,  26 ,  12 ,  -   ,  -   
 PEÑARRUBIA ,  1.478 ,  1.280 ,  188 ,  -   ,  -   ,  -   ,  10 ,  -   ,  -   ,  -   
 PIDIGAN ,  2.728 ,  2.527 ,  168 ,  2 ,  4 ,  2 ,  23 ,  2 ,  -   ,  -   
 PILAR ,  2.289 ,  2.044 ,  234 ,  -   ,  -   ,  1 ,  10 ,  -   ,  -   ,  -   
 SALLAPADAN ,  1.341 ,  1.115 ,  98 ,  -   ,  -   ,  -   ,  26 ,  102 ,  -   ,  -   
 SAN ISIDRO ,  1.082 ,  956 ,  112 ,  -   ,  -   ,  1 ,  13 ,  -   ,  -   ,  -   
