City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,Lake river rain and others,Peddler,Bottled water,Others,Not Reported
,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION,  3.095.484 ,  2.469.267 ,  440.905 ,  21.969 ,  34.255 ,  1.704 ,  2.157 ,  1.337 ,  27 ,  35 ,  40.197 ,  80.566 ,  3.065 ,  -   
METROPOLITAN MANILA,  3.095.484 ,  2.469.267 ,  440.905 ,  21.969 ,  34.255 ,  1.704 ,  2.157 ,  1.337 ,  27 ,  35 ,  40.197 ,  80.566 ,  3.065 ,  -   
CITY OF MANILA,  435.154 ,  347.935 ,  69.597 ,  1.181 ,  1.488 ,  100 ,  48 ,  233 ,  9 ,  13 ,  9.313 ,  5.068 ,  169 ,  -   
CITY OF MANDALUYONG,  100.356 ,  89.749 ,  7.551 ,  107 ,  254 ,  55 ,  1 ,  36 ,  2 ,  -   ,  875 ,  1.637 ,  89 ,  -   
CITY OF MARIKINA,  98.238 ,  89.537 ,  6.991 ,  290 ,  389 ,  14 ,  16 ,  91 ,  -   ,  -   ,  224 ,  657 ,  29 ,  -   
CITY OF PASIG,  180.612 ,  162.226 ,  13.063 ,  197 ,  435 ,  94 ,  34 ,  43 ,  -   ,  -   ,  1.321 ,  2.954 ,  245 ,  -   
QUEZON CITY,  683.044 ,  561.729 ,  102.919 ,  2.375 ,  3.006 ,  334 ,  343 ,  293 ,  4 ,  17 ,  4.548 ,  6.572 ,  904 ,  -   
CITY OF SAN JUAN,  28.623 ,  24.496 ,  3.008 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  783 ,  336 ,  -   ,  -   
CALOOCAN CITY,  367.878 ,  283.142 ,  66.524 ,  5.172 ,  5.595 ,  191 ,  290 ,  15 ,  -   ,  -   ,  2.740 ,  3.974 ,  235 ,  -   
CITY OF MALABON,  86.191 ,  62.428 ,  19.561 ,  412 ,  416 ,  18 ,  11 ,  -   ,  -   ,  -   ,  1.728 ,  1.575 ,  42 ,  -   
CITY OF NAVOTAS,  60.904 ,  42.529 ,  13.190 ,  73 ,  367 ,  28 ,  3 ,  60 ,  -   ,  1 ,  3.864 ,  785 ,  4 ,  -   
CITY OF VALENZUELA,  153.041 ,  111.294 ,  31.136 ,  2.056 ,  3.234 ,  33 ,  309 ,  -   ,  -   ,  -   ,  2.352 ,  2.582 ,  45 ,  -   
CITY OF LAS PIÑAS,  141.925 ,  111.950 ,  11.997 ,  617 ,  1.869 ,  52 ,  181 ,  137 ,  1 ,  1 ,  2.016 ,  12.977 ,  127 ,  -   
CITY OF MAKATI,  154.095 ,  132.241 ,  13.107 ,  258 ,  473 ,  37 ,  11 ,  35 ,  2 ,  1 ,  327 ,  6.926 ,  677 ,  -   
CITY OF MUNTINLUPA,  122.286 ,  70.351 ,  6.366 ,  7.553 ,  13.422 ,  495 ,  564 ,  211 ,  4 ,  1 ,  1.232 ,  21.912 ,  175 ,  -   
CITY OF PARAÑAQUE,  163.074 ,  126.870 ,  24.213 ,  397 ,  1.510 ,  103 ,  47 ,  79 ,  2 ,  1 ,  1.665 ,  8.028 ,  159 ,  -   
PASAY CITY,  107.619 ,  87.737 ,  19.367 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  513 ,  1 ,  -   
PATEROS,  14.188 ,  12.740 ,  1.062 ,  33 ,  70 ,  3 ,  2 ,  5 ,  -   ,  -   ,  16 ,  256 ,  1 ,  -   
TAGUIG CITY,  198.256 ,  152.313 ,  31.253 ,  1.247 ,  1.727 ,  147 ,  297 ,  99 ,  3 ,  -   ,  7.193 ,  3.814 ,  163 ,  -   
,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION,  395.748 ,  117.742 ,  36.291 ,  22.351 ,  36.233 ,  8.754 ,  11.312 ,  92.307 ,  44.275 ,  2.408 ,  13.424 ,  10.436 ,  215 ,  -   
ABRA,  52.929 ,  11.966 ,  4.495 ,  4.160 ,  10.011 ,  2.510 ,  1.478 ,  15.320 ,  2.408 ,  386 ,  16 ,  172 ,  7 ,  -   
BANGUED (Capital),  11.024 ,  5.950 ,  1.311 ,  1.102 ,  1.597 ,  390 ,  190 ,  136 ,  298 ,  1 ,  1 ,  42 ,  6 ,  -   
BOLINEY,  760 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  759 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
BUCAY,  3.863 ,  944 ,  766 ,  442 ,  503 ,  32 ,  71 ,  1.045 ,  18 ,  10 ,  -   ,  32 ,  -   ,  -   
BUCLOC,  442 ,  23 ,  14 ,  1 ,  1 ,  -   ,  -   ,  403 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
DAGUIOMAN,  375 ,  -   ,  -   ,  3 ,  -   ,  -   ,  -   ,  372 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
DANGLAS,  910 ,  29 ,  395 ,  90 ,  288 ,  4 ,  38 ,  50 ,  -   ,  14 ,  -   ,  2 ,  -   ,  -   
DOLORES,  2.548 ,  613 ,  119 ,  461 ,  1.063 ,  71 ,  54 ,  64 ,  65 ,  20 ,  -   ,  18 ,  -   ,  -   
LA PAZ,  3.442 ,  321 ,  238 ,  464 ,  968 ,  108 ,  699 ,  301 ,  101 ,  230 ,  -   ,  11 ,  1 ,  -   
LACUB,  647 ,  6 ,  -   ,  3 ,  2 ,  -   ,  -   ,  592 ,  44 ,  -   ,  -   ,  -   ,  -   ,  -   
LAGANGILANG,  3.147 ,  783 ,  264 ,  396 ,  799 ,  134 ,  91 ,  484 ,  155 ,  4 ,  -   ,  37 ,  -   ,  -   
LAGAYAN,  932 ,  3 ,  55 ,  48 ,  117 ,  139 ,  5 ,  211 ,  349 ,  5 ,  -   ,  -   ,  -   ,  -   
LANGIDEN,  705 ,  12 ,  173 ,  16 ,  234 ,  -   ,  -   ,  114 ,  153 ,  3 ,  -   ,  -   ,  -   ,  -   
LICUAN-BAAY (LICUAN),  968 ,  -   ,  -   ,  6 ,  2 ,  1 ,  -   ,  909 ,  49 ,  1 ,  -   ,  -   ,  -   ,  -   
LUBA,  1.370 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.364 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
MALIBCONG,  746 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  712 ,  32 ,  -   ,  -   ,  -   ,  -   ,  -   
MANABO,  2.475 ,  3 ,  10 ,  140 ,  65 ,  940 ,  1 ,  1.246 ,  56 ,  3 ,  -   ,  11 ,  -   ,  -   
PEÑARRUBIA,  1.478 ,  586 ,  116 ,  21 ,  85 ,  -   ,  8 ,  652 ,  8 ,  -   ,  -   ,  2 ,  -   ,  -   
PIDIGAN,  2.728 ,  921 ,  251 ,  225 ,  925 ,  5 ,  126 ,  227 ,  26 ,  5 ,  15 ,  2 ,  -   ,  -   
PILAR,  2.289 ,  22 ,  3 ,  232 ,  1.392 ,  22 ,  37 ,  471 ,  106 ,  1 ,  -   ,  3 ,  -   ,  -   
