,city,region_name,province,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,Lake river rain and others_count,Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
0,CITY OF MANILA,NCR - National Capital Region,METROPOLITAN MANILA,347935.0,69597.0,1181.0,1488.0,100.0,48.0,233.0,9.0,13.0,9313.0,5068.0,169.0,,2015
13,CITY OF MANDALUYONG,NCR - National Capital Region,METROPOLITAN MANILA,89749.0,7551.0,107.0,254.0,55.0,1.0,36.0,2.0,,875.0,1637.0,89.0,,2015
26,CITY OF MARIKINA,NCR - National Capital Region,METROPOLITAN MANILA,89537.0,6991.0,290.0,389.0,14.0,16.0,91.0,,,224.0,657.0,29.0,,2015
39,CITY OF PASIG,NCR - National Capital Region,METROPOLITAN MANILA,162226.0,13063.0,197.0,435.0,94.0,34.0,43.0,,,1321.0,2954.0,245.0,,2015
52,QUEZON CITY,NCR - National Capital Region,METROPOLITAN MANILA,561729.0,102919.0,2375.0,3006.0,334.0,343.0,293.0,4.0,17.0,4548.0,6572.0,904.0,,2015
65,CITY OF SAN JUAN,NCR - National Capital Region,METROPOLITAN MANILA,24496.0,3008.0,,,,,,,,783.0,336.0,,,2015
78,CALOOCAN CITY,NCR - National Capital Region,METROPOLITAN MANILA,283142.0,66524.0,5172.0,5595.0,191.0,290.0,15.0,,,2740.0,3974.0,235.0,,2015
91,CITY OF MALABON,NCR - National Capital Region,METROPOLITAN MANILA,62428.0,19561.0,412.0,416.0,18.0,11.0,,,,1728.0,1575.0,42.0,,2015
104,CITY OF NAVOTAS,NCR - National Capital Region,METROPOLITAN MANILA,42529.0,13190.0,73.0,367.0,28.0,3.0,60.0,,1.0,3864.0,785.0,4.0,,2015
117,CITY OF VALENZUELA,NCR - National Capital Region,METROPOLITAN MANILA,111294.0,31136.0,2056.0,3234.0,33.0,309.0,,,,2352.0,2582.0,45.0,,2015
130,CITY OF LAS PIÑAS,NCR - National Capital Region,METROPOLITAN MANILA,111950.0,11997.0,617.0,1869.0,52.0,181.0,137.0,1.0,1.0,2016.0,12977.0,127.0,,2015
143,CITY OF MAKATI,NCR - National Capital Region,METROPOLITAN MANILA,132241.0,13107.0,258.0,473.0,37.0,11.0,35.0,2.0,1.0,327.0,6926.0,677.0,,2015
156,CITY OF MUNTINLUPA,NCR - National Capital Region,METROPOLITAN MANILA,70351.0,6366.0,7553.0,13422.0,495.0,564.0,211.0,4.0,1.0,1232.0,21912.0,175.0,,2015
169,CITY OF PARAÑAQUE,NCR - National Capital Region,METROPOLITAN MANILA,126870.0,24213.0,397.0,1510.0,103.0,47.0,79.0,2.0,1.0,1665.0,8028.0,159.0,,2015
182,PASAY CITY,NCR - National Capital Region,METROPOLITAN MANILA,87737.0,19367.0,1.0,,,,,,,,513.0,1.0,,2015
195,PATEROS,NCR - National Capital Region,METROPOLITAN MANILA,12740.0,1062.0,33.0,70.0,3.0,2.0,5.0,,,16.0,256.0,1.0,,2015
208,TAGUIG CITY,NCR - National Capital Region,METROPOLITAN MANILA,152313.0,31253.0,1247.0,1727.0,147.0,297.0,99.0,3.0,,7193.0,3814.0,163.0,,2015
221,BANGUED (Capital),CAR - Cordillera Administrative Region,ABRA,5950.0,1311.0,1102.0,1597.0,390.0,190.0,136.0,298.0,1.0,1.0,42.0,6.0,,2015
234,BOLINEY,CAR - Cordillera Administrative Region,ABRA,,,,,,,759.0,1.0,,,,,,2015
247,BUCAY,CAR - Cordillera Administrative Region,ABRA,944.0,766.0,442.0,503.0,32.0,71.0,1045.0,18.0,10.0,,32.0,,,2015
260,BUCLOC,CAR - Cordillera Administrative Region,ABRA,23.0,14.0,1.0,1.0,,,403.0,,,,,,,2015
273,DAGUIOMAN,CAR - Cordillera Administrative Region,ABRA,,,3.0,,,,372.0,,,,,,,2015
286,DANGLAS,CAR - Cordillera Administrative Region,ABRA,29.0,395.0,90.0,288.0,4.0,38.0,50.0,,14.0,,2.0,,,2015
299,DOLORES,CAR - Cordillera Administrative Region,ABRA,613.0,119.0,461.0,1063.0,71.0,54.0,64.0,65.0,20.0,,18.0,,,2015
312,LA PAZ,CAR - Cordillera Administrative Region,ABRA,321.0,238.0,464.0,968.0,108.0,699.0,301.0,101.0,230.0,,11.0,1.0,,2015
325,LACUB,CAR - Cordillera Administrative Region,ABRA,6.0,,3.0,2.0,,,592.0,44.0,,,,,,2015
338,LAGANGILANG,CAR - Cordillera Administrative Region,ABRA,783.0,264.0,396.0,799.0,134.0,91.0,484.0,155.0,4.0,,37.0,,,2015
351,LAGAYAN,CAR - Cordillera Administrative Region,ABRA,3.0,55.0,48.0,117.0,139.0,5.0,211.0,349.0,5.0,,,,,2015
