,city,region_name,province,Electricity_count,Kerosene (Gaas)_count,Liquified Petroleum Gas (LPG)_count,Oil (vegetable animal and others)_count,Solar panel_count,Solar lamp_count,Others_count,None_count,Not Reported_count,year
0,CITY OF MANILA,NCR - National Capital Region,METROPOLITAN MANILA,428934.0,2365.0,1369.0,34.0,66.0,98.0,1018.0,1012.0,258.0,2015
9,CITY OF MANDALUYONG,NCR - National Capital Region,METROPOLITAN MANILA,99089.0,217.0,161.0,6.0,112.0,491.0,101.0,166.0,13.0,2015
18,CITY OF MARIKINA,NCR - National Capital Region,METROPOLITAN MANILA,96774.0,488.0,592.0,7.0,24.0,35.0,264.0,44.0,10.0,2015
27,CITY OF PASIG,NCR - National Capital Region,METROPOLITAN MANILA,178773.0,605.0,586.0,9.0,64.0,111.0,258.0,163.0,43.0,2015
36,QUEZON CITY,NCR - National Capital Region,METROPOLITAN MANILA,671386.0,3265.0,3687.0,99.0,249.0,247.0,1605.0,604.0,1902.0,2015
45,CITY OF SAN JUAN,NCR - National Capital Region,METROPOLITAN MANILA,27651.0,80.0,6.0,,109.0,574.0,,22.0,181.0,2015
54,CALOOCAN CITY,NCR - National Capital Region,METROPOLITAN MANILA,359640.0,4856.0,17.0,3.0,898.0,611.0,1767.0,83.0,3.0,2015
63,CITY OF MALABON,NCR - National Capital Region,METROPOLITAN MANILA,85004.0,784.0,1.0,3.0,15.0,40.0,286.0,58.0,,2015
72,CITY OF NAVOTAS,NCR - National Capital Region,METROPOLITAN MANILA,59566.0,553.0,540.0,3.0,2.0,13.0,157.0,70.0,,2015
81,CITY OF VALENZUELA,NCR - National Capital Region,METROPOLITAN MANILA,151738.0,1079.0,,,22.0,48.0,154.0,,,2015
90,CITY OF LAS PIÑAS,NCR - National Capital Region,METROPOLITAN MANILA,140025.0,789.0,460.0,17.0,28.0,24.0,387.0,170.0,25.0,2015
99,CITY OF MAKATI,NCR - National Capital Region,METROPOLITAN MANILA,151308.0,304.0,1341.0,17.0,55.0,46.0,670.0,289.0,65.0,2015
108,CITY OF MUNTINLUPA,NCR - National Capital Region,METROPOLITAN MANILA,119897.0,1025.0,854.0,10.0,35.0,67.0,163.0,186.0,49.0,2015
117,CITY OF PARAÑAQUE,NCR - National Capital Region,METROPOLITAN MANILA,161556.0,530.0,263.0,11.0,170.0,19.0,361.0,105.0,59.0,2015
126,PASAY CITY,NCR - National Capital Region,METROPOLITAN MANILA,107240.0,210.0,32.0,,4.0,3.0,41.0,71.0,18.0,2015
135,PATEROS,NCR - National Capital Region,METROPOLITAN MANILA,14043.0,66.0,4.0,,5.0,5.0,14.0,51.0,,2015
144,TAGUIG CITY,NCR - National Capital Region,METROPOLITAN MANILA,194574.0,1690.0,300.0,15.0,228.0,242.0,518.0,150.0,539.0,2015
153,BANGUED (Capital),CAR - Cordillera Administrative Region,ABRA,10491.0,466.0,,1.0,2.0,31.0,33.0,,,2015
162,BOLINEY,CAR - Cordillera Administrative Region,ABRA,714.0,29.0,,,,7.0,10.0,,,2015
171,BUCAY,CAR - Cordillera Administrative Region,ABRA,3542.0,281.0,1.0,1.0,4.0,7.0,27.0,,,2015
180,BUCLOC,CAR - Cordillera Administrative Region,ABRA,426.0,15.0,,,1.0,,,,,2015
189,DAGUIOMAN,CAR - Cordillera Administrative Region,ABRA,371.0,4.0,,,,,,,,2015
198,DANGLAS,CAR - Cordillera Administrative Region,ABRA,792.0,106.0,1.0,,,9.0,2.0,,,2015
207,DOLORES,CAR - Cordillera Administrative Region,ABRA,2337.0,167.0,,,3.0,22.0,17.0,2.0,,2015
216,LA PAZ,CAR - Cordillera Administrative Region,ABRA,3056.0,362.0,,,1.0,9.0,11.0,3.0,,2015
225,LACUB,CAR - Cordillera Administrative Region,ABRA,274.0,45.0,14.0,,79.0,61.0,174.0,,,2015
234,LAGANGILANG,CAR - Cordillera Administrative Region,ABRA,2779.0,332.0,,,7.0,10.0,19.0,,,2015
243,LAGAYAN,CAR - Cordillera Administrative Region,ABRA,837.0,90.0,,,1.0,2.0,2.0,,,2015
252,LANGIDEN,CAR - Cordillera Administrative Region,ABRA,634.0,67.0,,1.0,,1.0,2.0,,,2015
