Tenure Status of the Housing Unit and Lot and City/Municipality, Number of Households* , Single house , Duplex , Multi-unit residential , Commercial/ industrial/ agricultural , Institutional living quarter , Others , Not Reported 
,,,,,,,,
NATIONAL CAPITAL REGION,,,,,,,,
Total,  3.095.484 ,  1.396.332 ,  427.606 ,  1.252.815 ,  11.388 ,  483 ,  2.646 ,  4.214 
Own or owner like possession of house and lot,  1.382.724 ,  784.385 ,  197.353 ,  397.363 ,  2.043 ,  103 ,  268 ,  1.209 
Rent house/room including lot,  1.156.484 ,  333.491 ,  144.578 ,  672.561 ,  4.735 ,  145 ,  87 ,  887 
Own house rent lot,  56.152 ,  33.155 ,  8.587 ,  14.226 ,  130 ,  3 ,  6 ,  45 
Own house rent-free lot with consent of owner,  196.709 ,  101.266 ,  30.444 ,  63.685 ,  567 ,  24 ,  137 ,  586 
Own house rent-free lot without consent of owner,  105.081 ,  60.744 ,  17.120 ,  26.305 ,  95 ,  9 ,  310 ,  498 
Rent-free house and lot with consent of owner,  176.145 ,  73.702 ,  26.555 ,  71.208 ,  3.717 ,  189 ,  211 ,  563 
Rent-free house and lot without consent of owner,  18.801 ,  8.743 ,  2.759 ,  6.011 ,  98 ,  10 ,  755 ,  425 
Not Applicable,  866 ,  -   ,  -   ,  -   ,  -   ,  -   ,  866 ,  -   
Not Reported,  2.522 ,  846 ,  210 ,  1.456 ,  3 ,  -   ,  6 ,  1 
 METROPOLITAN MANILA,,,,,,,,
Total,  3.095.484 ,  1.396.332 ,  427.606 ,  1.252.815 ,  11.388 ,  483 ,  2.646 ,  4.214 
Own or owner like possession of house and lot,  1.382.724 ,  784.385 ,  197.353 ,  397.363 ,  2.043 ,  103 ,  268 ,  1.209 
Rent house/room including lot,  1.156.484 ,  333.491 ,  144.578 ,  672.561 ,  4.735 ,  145 ,  87 ,  887 
Own house rent lot,  56.152 ,  33.155 ,  8.587 ,  14.226 ,  130 ,  3 ,  6 ,  45 
Own house rent-free lot with consent of owner,  196.709 ,  101.266 ,  30.444 ,  63.685 ,  567 ,  24 ,  137 ,  586 
Own house rent-free lot without consent of owner,  105.081 ,  60.744 ,  17.120 ,  26.305 ,  95 ,  9 ,  310 ,  498 
