,city,region_name,bldg_type,province,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
0,CITY OF MANILA,NCR - National Capital Region,Single house, METROPOLITAN MANILA,108277.0,118203.0,538084.0,4.55,1.09,4.97,2015
1,CITY OF MANILA,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,57101.0,60966.0,248820.0,4.08,1.07,4.36,2015
2,CITY OF MANILA,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,238997.0,250012.0,953978.0,3.82,1.05,3.99,2015
3,CITY OF MANILA,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,2427.0,2668.0,9526.0,3.57,1.1,3.93,2015
4,CITY OF MANILA,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,95.0,104.0,367.0,3.53,1.09,3.86,2015
5,CITY OF MANILA,NCR - National Capital Region,Others, METROPOLITAN MANILA,1632.0,1651.0,6200.0,3.76,1.01,3.8,2015
6,CITY OF MANILA,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,1458.0,1550.0,6034.0,3.89,1.06,4.14,2015
7,CITY OF MANDALUYONG,NCR - National Capital Region,Single house, METROPOLITAN MANILA,34162.0,35511.0,167356.0,4.71,1.04,4.9,2015
8,CITY OF MANDALUYONG,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,11510.0,11994.0,45885.0,3.83,1.04,3.99,2015
9,CITY OF MANDALUYONG,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,47259.0,52422.0,162970.0,3.11,1.11,3.45,2015
10,CITY OF MANDALUYONG,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,259.0,291.0,1091.0,3.75,1.12,4.21,2015
11,CITY OF MANDALUYONG,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,27.0,32.0,88.0,2.75,1.19,3.26,2015
12,CITY OF MANDALUYONG,NCR - National Capital Region,Others, METROPOLITAN MANILA,35.0,36.0,203.0,5.64,1.03,5.8,2015
13,CITY OF MANDALUYONG,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,67.0,70.0,257.0,3.67,1.04,3.84,2015
14,CITY OF MARIKINA,NCR - National Capital Region,Single house, METROPOLITAN MANILA,53339.0,55478.0,265359.0,4.78,1.04,4.97,2015
15,CITY OF MARIKINA,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,14635.0,14970.0,66486.0,4.44,1.02,4.54,2015
16,CITY OF MARIKINA,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,27025.0,27385.0,115843.0,4.23,1.01,4.29,2015
17,CITY OF MARIKINA,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,212.0,311.0,816.0,2.62,1.47,3.85,2015
18,CITY OF MARIKINA,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,24.0,24.0,87.0,3.63,1.0,3.63,2015
19,CITY OF MARIKINA,NCR - National Capital Region,Others, METROPOLITAN MANILA,2.0,2.0,4.0,2.0,1.0,2.0,2015
20,CITY OF MARIKINA,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,68.0,68.0,298.0,4.38,1.0,4.38,2015
21,CITY OF PASIG,NCR - National Capital Region,Single house, METROPOLITAN MANILA,78377.0,81417.0,379350.0,4.66,1.04,4.84,2015
22,CITY OF PASIG,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,25280.0,26026.0,106243.0,4.08,1.03,4.2,2015
