Type of Building and City/Municipality, Occupied Housing Units , Number of Households* , Household Population* , Average Household Size , Ratio of Households to Occupied Housing Units , Ratio of Household Population to Occupied Housing Units ,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION,,,,,,,,,,,,,,,,,,
Total,  2.968.651 ,  3.095.484 ,  12.786.611 ,"  4,13 ","  1,04 ","  4,31 ",,,,,,,,,,,,
Single house,  1.333.067 ,  1.396.332 ,  6.378.542 ,"  4,57 ","  1,05 ","  4,78 ",,,,,,,,,,,,
Duplex,  410.775 ,  427.606 ,  1.733.813 ,"  4,05 ","  1,04 ","  4,22 ",,,,,,,,,,,,
Multi-unit residential,  1.207.374 ,  1.252.815 ,  4.608.041 ,"  3,68 ","  1,04 ","  3,82 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  10.369 ,  11.388 ,  37.889 ,"  3,33 ","  1,10 ","  3,65 ",,,,,,,,,,,,
Institutional living quarter,  458 ,  483 ,  1.794 ,"  3,71 ","  1,05 ","  3,92 ",,,,,,,,,,,,
Others,  2.606 ,  2.646 ,  9.960 ,"  3,76 ","  1,02 ","  3,82 ",,,,,,,,,,,,
Not Reported,  4.002 ,  4.214 ,  16.572 ,"  3,93 ","  1,05 ","  4,14 ",,,,,,,,,,,,
 CITY OF MANILA,,,,,,,,,,,,,,,,,,
Total,  409.987 ,  435.154 ,  1.763.009 ,"  4,05 ","  1,06 ","  4,30 ",,,,,,,,,,,,
Single house,  108.277 ,  118.203 ,  538.084 ,"  4,55 ","  1,09 ","  4,97 ",,,,,,,,,,,,
Duplex,  57.101 ,  60.966 ,  248.820 ,"  4,08 ","  1,07 ","  4,36 ",,,,,,,,,,,,
Multi-unit residential,  238.997 ,  250.012 ,  953.978 ,"  3,82 ","  1,05 ","  3,99 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2.427 ,  2.668 ,  9.526 ,"  3,57 ","  1,10 ","  3,93 ",,,,,,,,,,,,
Institutional living quarter,  95 ,  104 ,  367 ,"  3,53 ","  1,09 ","  3,86 ",,,,,,,,,,,,
Others,  1.632 ,  1.651 ,  6.200 ,"  3,76 ","  1,01 ","  3,80 ",,,,,,,,,,,,
Not Reported,  1.458 ,  1.550 ,  6.034 ,"  3,89 ","  1,06 ","  4,14 ",,,,,,,,,,,,
 CITY OF MANDALUYONG,,,,,,,,,,,,,,,,,,
Total,  93.319 ,  100.356 ,  377.850 ,"  3,77 ","  1,08 ","  4,05 ",,,,,,,,,,,,
Single house,  34.162 ,  35.511 ,  167.356 ,"  4,71 ","  1,04 ","  4,90 ",,,,,,,,,,,,
Duplex,  11.510 ,  11.994 ,  45.885 ,"  3,83 ","  1,04 ","  3,99 ",,,,,,,,,,,,
Multi-unit residential,  47.259 ,  52.422 ,  162.970 ,"  3,11 ","  1,11 ","  3,45 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  259 ,  291 ,  1.091 ,"  3,75 ","  1,12 ","  4,21 ",,,,,,,,,,,,
Institutional living quarter,  27 ,  32 ,  88 ,"  2,75 ","  1,19 ","  3,26 ",,,,,,,,,,,,
