City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,"Lake, river, rain and others",Peddler,Bottled water,Others,Not Reported,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,  22.969.666 ,  6.023.891 ,  2.988.858 ,  1.370.172 ,  2.784.478 ,  432.498 ,  1.010.631 ,  1.001.955 ,  335.642 ,  184.439 ,  539.106 ,  6.255.234 ,  42.762 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION,  3.095.484 ,  1.448.079 ,  339.318 ,  11.577 ,  17.820 ,  1.259 ,  1.510 ,  7.769 ,  56 ,  118 ,  63.062 ,  1.191.664 ,  13.252 ,  -   ,,,,,,,,,,,,,,
METROPOLITAN MANILA,  3.095.484 ,  1.448.079 ,  339.318 ,  11.577 ,  17.820 ,  1.259 ,  1.510 ,  7.769 ,  56 ,  118 ,  63.062 ,  1.191.664 ,  13.252 ,  -   ,,,,,,,,,,,,,,
CITY OF MANILA,  435.154 ,  188.513 ,  52.760 ,  883 ,  834 ,  91 ,  50 ,  622 ,  6 ,  29 ,  11.449 ,  179.153 ,  764 ,  -   ,,,,,,,,,,,,,,
CITY OF MANDALUYONG,  100.356 ,  56.381 ,  6.412 ,  48 ,  216 ,  48 ,  2 ,  233 ,  1 ,  4 ,  2.720 ,  33.300 ,  991 ,  -   ,,,,,,,,,,,,,,
CITY OF MARIKINA,  98.238 ,  68.434 ,  6.373 ,  229 ,  397 ,  24 ,  15 ,  318 ,  -   ,  2 ,  1.380 ,  20.907 ,  159 ,  -   ,,,,,,,,,,,,,,
CITY OF PASIG,  180.612 ,  99.263 ,  11.296 ,  234 ,  435 ,  55 ,  31 ,  846 ,  5 ,  10 ,  2.403 ,  64.530 ,  1.504 ,  -   ,,,,,,,,,,,,,,
QUEZON CITY,  683.044 ,  401.143 ,  90.313 ,  1.591 ,  2.165 ,  325 ,  337 ,  1.576 ,  23 ,  42 ,  9.656 ,  170.761 ,  5.112 ,  -   ,,,,,,,,,,,,,,
CITY OF SAN JUAN,  28.623 ,  15.950 ,  2.444 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  773 ,  9.456 ,  -   ,  -   ,,,,,,,,,,,,,,
CALOOCAN CITY,  367.878 ,  212.602 ,  57.637 ,  3.628 ,  4.241 ,  247 ,  483 ,  14 ,  -   ,  -   ,  3.794 ,  84.570 ,  662 ,  -   ,,,,,,,,,,,,,,
CITY OF MALABON,  86.191 ,  30.322 ,  11.656 ,  363 ,  276 ,  9 ,  21 ,  1 ,  -   ,  -   ,  3.377 ,  40.000 ,  166 ,  -   ,,,,,,,,,,,,,,
CITY OF NAVOTAS,  60.904 ,  19.461 ,  7.915 ,  50 ,  321 ,  18 ,  4 ,  268 ,  -   ,  2 ,  2.788 ,  29.983 ,  94 ,  -   ,,,,,,,,,,,,,,
CITY OF VALENZUELA,  153.041 ,  72.828 ,  24.330 ,  868 ,  2.173 ,  36 ,  40 ,  -   ,  -   ,  -   ,  3.305 ,  49.366 ,  95 ,  -   ,,,,,,,,,,,,,,
CITY OF LAS PIÑAS,  141.925 ,  31.603 ,  6.259 ,  314 ,  595 ,  41 ,  61 ,  807 ,  6 ,  11 ,  4.868 ,  97.136 ,  224 ,  -   ,,,,,,,,,,,,,,
CITY OF MAKATI,  154.095 ,  66.212 ,  9.879 ,  121 ,  355 ,  17 ,  18 ,  227 ,  6 ,  1 ,  1.332 ,  74.204 ,  1.723 ,  -   ,,,,,,,,,,,,,,
CITY OF MUNTINLUPA,  122.286 ,  12.134 ,  1.874 ,  2.270 ,  3.947 ,  43 ,  203 ,  402 ,  2 ,  8 ,  1.847 ,  99.315 ,  241 ,  -   ,,,,,,,,,,,,,,
CITY OF PARAÑAQUE,  163.074 ,  45.352 ,  13.613 ,  208 ,  583 ,  107 ,  50 ,  816 ,  1 ,  6 ,  4.065 ,  97.861 ,  412 ,  -   ,,,,,,,,,,,,,,
PASAY CITY,  107.619 ,  42.903 ,  13.983 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  50.698 ,  35 ,  -   ,,,,,,,,,,,,,,
PATEROS,  14.188 ,  7.076 ,  854 ,  21 ,  57 ,  8 ,  -   ,  59 ,  -   ,  -   ,  464 ,  5.649 ,  -   ,  -   ,,,,,,,,,,,,,,
TAGUIG CITY,  198.256 ,  77.902 ,  21.720 ,  749 ,  1.225 ,  190 ,  195 ,  1.580 ,  6 ,  3 ,  8.841 ,  84.775 ,  1.070 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION,  395.748 ,  43.133 ,  21.313 ,  16.030 ,  32.052 ,  7.879 ,  9.710 ,  85.346 ,  41.003 ,  1.528 ,  3.187 ,  134.470 ,  97 ,  -   ,,,,,,,,,,,,,,
ABRA,  52.929 ,  9.229 ,  4.111 ,  3.553 ,  9.706 ,  2.105 ,  1.384 ,  14.970 ,  2.489 ,  383 ,  24 ,  4.950 ,  25 ,  -   ,,,,,,,,,,,,,,
BANGUED (Capital),  11.024 ,  4.862 ,  1.247 ,  916 ,  1.419 ,  272 ,  171 ,  135 ,  295 ,  2 ,  2 ,  1.686 ,  17 ,  -   ,,,,,,,,,,,,,,
BOLINEY,  760 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  760 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
BUCAY,  3.863 ,  772 ,  509 ,  374 ,  502 ,  31 ,  57 ,  1.284 ,  21 ,  12 ,  -   ,  301 ,  -   ,  -   ,,,,,,,,,,,,,,
BUCLOC,  442 ,  4 ,  -   ,  -   ,  1 ,  -   ,  -   ,  436 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
DAGUIOMAN,  375 ,  -   ,  -   ,  1 ,  1 ,  -   ,  -   ,  373 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
DANGLAS,  910 ,  20 ,  357 ,  76 ,  281 ,  3 ,  37 ,  46 ,  -   ,  17 ,  -   ,  73 ,  -   ,  -   ,,,,,,,,,,,,,,
DOLORES,  2.548 ,  466 ,  120 ,  374 ,  975 ,  59 ,  46 ,  64 ,  66 ,  24 ,  3 ,  350 ,  1 ,  -   ,,,,,,,,,,,,,,
LA PAZ,  3.442 ,  141 ,  208 ,  421 ,  968 ,  104 ,  659 ,  326 ,  114 ,  221 ,  1 ,  279 ,  -   ,  -   ,,,,,,,,,,,,,,
LACUB,  647 ,  6 ,  -   ,  1 ,  2 ,  -   ,  -   ,  587 ,  49 ,  -   ,  -   ,  2 ,  -   ,  -   ,,,,,,,,,,,,,,
LAGANGILANG,  3.147 ,  358 ,  254 ,  346 ,  750 ,  127 ,  79 ,  484 ,  158 ,  5 ,  -   ,  583 ,  3 ,  -   ,,,,,,,,,,,,,,
LAGAYAN,  932 ,  3 ,  55 ,  42 ,  78 ,  107 ,  2 ,  211 ,  401 ,  30 ,  -   ,  2 ,  1 ,  -   ,,,,,,,,,,,,,,
LANGIDEN,  705 ,  2 ,  202 ,  10 ,  239 ,  -   ,  -   ,  65 ,  178 ,  4 ,  -   ,  5 ,  -   ,  -   ,,,,,,,,,,,,,,
LICUAN-BAAY (LICUAN),  968 ,  -   ,  -   ,  7 ,  1 ,  -   ,  1 ,  908 ,  50 ,  1 ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
LUBA,  1.370 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.361 ,  5 ,  1 ,  1 ,  2 ,  -   ,  -   ,,,,,,,,,,,,,,
MALIBCONG,  746 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  714 ,  32 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
MANABO,  2.475 ,  5 ,  4 ,  84 ,  59 ,  718 ,  1 ,  1.064 ,  53 ,  4 ,  -   ,  483 ,  -   ,  -   ,,,,,,,,,,,,,,
PEÑARRUBIA,  1.478 ,  527 ,  114 ,  13 ,  73 ,  -   ,  8 ,  589 ,  8 ,  -   ,  1 ,  145 ,  -   ,  -   ,,,,,,,,,,,,,,
PIDIGAN,  2.728 ,  723 ,  262 ,  200 ,  870 ,  5 ,  125 ,  237 ,  23 ,  5 ,  14 ,  264 ,  -   ,  -   ,,,,,,,,,,,,,,
PILAR,  2.289 ,  16 ,  2 ,  216 ,  1.371 ,  21 ,  28 ,  442 ,  98 ,  1 ,  -   ,  94 ,  -   ,  -   ,,,,,,,,,,,,,,
SALLAPADAN,  1.341 ,  6 ,  5 ,  1 ,  -   ,  -   ,  -   ,  1.329 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ISIDRO,  1.082 ,  -   ,  1 ,  4 ,  81 ,  290 ,  14 ,  199 ,  388 ,  -   ,  -   ,  105 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN JUAN,  2.217 ,  91 ,  115 ,  272 ,  965 ,  -   ,  31 ,  303 ,  234 ,  33 ,  -   ,  173 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN QUINTIN,  1.249 ,  370 ,  204 ,  56 ,  167 ,  154 ,  44 ,  97 ,  4 ,  17 ,  -   ,  136 ,  -   ,  -   ,,,,,,,,,,,,,,
TAYUM,  3.140 ,  827 ,  450 ,  123 ,  805 ,  172 ,  79 ,  480 ,  2 ,  5 ,  1 ,  193 ,  3 ,  -   ,,,,,,,,,,,,,,
TINEG,  980 ,  -   ,  2 ,  -   ,  1 ,  -   ,  1 ,  792 ,  184 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
TUBO,  984 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  984 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
VILLAVICIOSA,  1.087 ,  30 ,  -   ,  16 ,  97 ,  42 ,  1 ,  700 ,  126 ,  1 ,  -   ,  74 ,  -   ,  -   ,,,,,,,,,,,,,,
APAYAO,  25.560 ,  347 ,  430 ,  3.209 ,  3.993 ,  1.010 ,  6.870 ,  5.048 ,  1.437 ,  329 ,  415 ,  2.472 ,  -   ,  -   ,,,,,,,,,,,,,,
CALANASAN (BAYAG),  2.384 ,  76 ,  157 ,  59 ,  13 ,  71 ,  132 ,  1.753 ,  98 ,  21 ,  -   ,  4 ,  -   ,  -   ,,,,,,,,,,,,,,
CONNER,  5.469 ,  35 ,  26 ,  628 ,  621 ,  299 ,  2.257 ,  1.126 ,  457 ,  -   ,  1 ,  19 ,  -   ,  -   ,,,,,,,,,,,,,,
FLORA,  4.056 ,  139 ,  36 ,  521 ,  693 ,  290 ,  1.896 ,  52 ,  36 ,  13 ,  299 ,  81 ,  -   ,  -   ,,,,,,,,,,,,,,
KABUGAO (Capital),  3.142 ,  47 ,  69 ,  70 ,  7 ,  46 ,  465 ,  1.749 ,  558 ,  128 ,  -   ,  3 ,  -   ,  -   ,,,,,,,,,,,,,,
LUNA,  4.174 ,  35 ,  67 ,  650 ,  976 ,  219 ,  441 ,  87 ,  46 ,  160 ,  3 ,  1.490 ,  -   ,  -   ,,,,,,,,,,,,,,
PUDTOL,  3.207 ,  12 ,  8 ,  1.084 ,  971 ,  43 ,  336 ,  279 ,  242 ,  7 ,  7 ,  218 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA MARCELA,  3.128 ,  3 ,  67 ,  197 ,  712 ,  42 ,  1.343 ,  2 ,  -   ,  -   ,  105 ,  657 ,  -   ,  -   ,,,,,,,,,,,,,,
BENGUET (excluding Baguio City),  106.838 ,  15.343 ,  5.894 ,  886 ,  1.050 ,  108 ,  431 ,  19.433 ,  21.038 ,  591 ,  1.049 ,  41.009 ,  6 ,  -   ,,,,,,,,,,,,,,
ATOK,  4.378 ,  30 ,  109 ,  8 ,  24 ,  -   ,  6 ,  943 ,  2.661 ,  156 ,  12 ,  429 ,  -   ,  -   ,,,,,,,,,,,,,,
BAKUN,  3.350 ,  1.301 ,  678 ,  13 ,  5 ,  -   ,  -   ,  385 ,  920 ,  25 ,  5 ,  18 ,  -   ,  -   ,,,,,,,,,,,,,,
BOKOD,  2.877 ,  1.849 ,  490 ,  2 ,  -   ,  -   ,  -   ,  283 ,  249 ,  1 ,  -   ,  3 ,  -   ,  -   ,,,,,,,,,,,,,,
BUGUIAS,  10.874 ,  1.165 ,  642 ,  74 ,  82 ,  7 ,  147 ,  2.913 ,  4.780 ,  4 ,  36 ,  1.024 ,  -   ,  -   ,,,,,,,,,,,,,,
ITOGON,  14.226 ,  609 ,  2.150 ,  174 ,  346 ,  4 ,  6 ,  4.214 ,  1.081 ,  3 ,  501 ,  5.138 ,  -   ,  -   ,,,,,,,,,,,,,,
KABAYAN,  3.489 ,  11 ,  5 ,  1 ,  3 ,  -   ,  -   ,  1.948 ,  1.516 ,  1 ,  -   ,  4 ,  -   ,  -   ,,,,,,,,,,,,,,
KAPANGAN,  4.198 ,  1.372 ,  157 ,  95 ,  119 ,  -   ,  183 ,  431 ,  1.187 ,  27 ,  26 ,  601 ,  -   ,  -   ,,,,,,,,,,,,,,
KIBUNGAN,  3.587 ,  596 ,  148 ,  49 ,  4 ,  3 ,  2 ,  1.593 ,  1.077 ,  107 ,  -   ,  8 ,  -   ,  -   ,,,,,,,,,,,,,,
LA TRINIDAD (Capital),  34.157 ,  2.679 ,  442 ,  231 ,  194 ,  3 ,  41 ,  1.724 ,  990 ,  31 ,  131 ,  27.691 ,  -   ,  -   ,,,,,,,,,,,,,,
MANKAYAN,  8.088 ,  417 ,  184 ,  4 ,  9 ,  43 ,  20 ,  1.419 ,  4.482 ,  -   ,  18 ,  1.492 ,  -   ,  -   ,,,,,,,,,,,,,,
SABLAN,  2.603 ,  974 ,  34 ,  6 ,  6 ,  2 ,  1 ,  672 ,  247 ,  11 ,  1 ,  649 ,  -   ,  -   ,,,,,,,,,,,,,,
TUBA,  11.152 ,  3.612 ,  680 ,  151 ,  14 ,  1 ,  1 ,  2.175 ,  1.210 ,  7 ,  290 ,  3.011 ,  -   ,  -   ,,,,,,,,,,,,,,
TUBLAY,  3.859 ,  728 ,  175 ,  78 ,  244 ,  45 ,  24 ,  733 ,  638 ,  218 ,  29 ,  941 ,  6 ,  -   ,,,,,,,,,,,,,,
BAGUIO CITY,  89.987 ,  5.758 ,  901 ,  305 ,  537 ,  86 ,  89 ,  3.649 ,  265 ,  9 ,  1.368 ,  76.969 ,  51 ,  -   ,,,,,,,,,,,,,,
IFUGAO,  43.281 ,  6.698 ,  6.262 ,  3.381 ,  6.507 ,  151 ,  237 ,  14.340 ,  1.697 ,  21 ,  117 ,  3.860 ,  10 ,  -   ,,,,,,,,,,,,,,
BANAUE,  3.929 ,  74 ,  89 ,  32 ,  12 ,  1 ,  -   ,  3.034 ,  683 ,  1 ,  2 ,  1 ,  -   ,  -   ,,,,,,,,,,,,,,
HUNGDUAN,  1.941 ,  17 ,  13 ,  1 ,  -   ,  1 ,  -   ,  1.818 ,  90 ,  1 ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
KIANGAN,  3.485 ,  537 ,  758 ,  35 ,  22 ,  13 ,  -   ,  1.190 ,  314 ,  -   ,  102 ,  510 ,  4 ,  -   ,,,,,,,,,,,,,,
LAGAWE (Capital),  3.952 ,  1.109 ,  718 ,  71 ,  41 ,  7 ,  23 ,  425 ,  159 ,  5 ,  7 ,  1.384 ,  3 ,  -   ,,,,,,,,,,,,,,
LAMUT,  5.600 ,  318 ,  277 ,  1.364 ,  1.361 ,  20 ,  94 ,  737 ,  100 ,  -   ,  5 ,  1.324 ,  -   ,  -   ,,,,,,,,,,,,,,
MAYOYAO,  4.079 ,  525 ,  72 ,  3 ,  3 ,  21 ,  2 ,  3.435 ,  14 ,  -   ,  1 ,  3 ,  -   ,  -   ,,,,,,,,,,,,,,
ALFONSO LISTA (POTIA),  7.149 ,  216 ,  189 ,  1.287 ,  4.489 ,  18 ,  95 ,  197 ,  38 ,  1 ,  -   ,  619 ,  -   ,  -   ,,,,,,,,,,,,,,
AGUINALDO,  4.661 ,  2.189 ,  1.854 ,  124 ,  300 ,  54 ,  21 ,  103 ,  5 ,  6 ,  -   ,  2 ,  3 ,  -   ,,,,,,,,,,,,,,
HINGYON,  2.045 ,  535 ,  1.024 ,  6 ,  4 ,  -   ,  1 ,  365 ,  104 ,  1 ,  -   ,  5 ,  -   ,  -   ,,,,,,,,,,,,,,
TINOC,  3.607 ,  270 ,  267 ,  25 ,  16 ,  10 ,  1 ,  2.837 ,  176 ,  4 ,  -   ,  1 ,  -   ,  -   ,,,,,,,,,,,,,,
ASIPULO,  2.833 ,  908 ,  1.001 ,  433 ,  259 ,  6 ,  -   ,  199 ,  14 ,  2 ,  -   ,  11 ,  -   ,  -   ,,,,,,,,,,,,,,
KALINGA,  42.115 ,  5.253 ,  3.479 ,  4.009 ,  8.654 ,  2.374 ,  319 ,  13.016 ,  1.338 ,  195 ,  163 ,  3.310 ,  5 ,  -   ,,,,,,,,,,,,,,
BALBALAN,  2.302 ,  15 ,  14 ,  2 ,  1 ,  -   ,  -   ,  2.078 ,  191 ,  -   ,  -   ,  1 ,  -   ,  -   ,,,,,,,,,,,,,,
LUBUAGAN,  1.731 ,  21 ,  136 ,  -   ,  2 ,  8 ,  4 ,  1.308 ,  250 ,  -   ,  -   ,  2 ,  -   ,  -   ,,,,,,,,,,,,,,
PASIL,  1.800 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.785 ,  8 ,  -   ,  -   ,  1 ,  -   ,  -   ,,,,,,,,,,,,,,
PINUKPUK,  6.279 ,  426 ,  1.058 ,  661 ,  811 ,  527 ,  227 ,  2.024 ,  496 ,  20 ,  -   ,  29 ,  -   ,  -   ,,,,,,,,,,,,,,
RIZAL (LIWAN),  3.723 ,  967 ,  199 ,  158 ,  506 ,  1.769 ,  6 ,  40 ,  -   ,  1 ,  -   ,  77 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF TABUK (Capital),  22.439 ,  3.751 ,  2.027 ,  3.180 ,  7.324 ,  70 ,  75 ,  2.193 ,  345 ,  109 ,  163 ,  3.197 ,  5 ,  -   ,,,,,,,,,,,,,,
