,city,region_name,province,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,"Lake, river, rain and others_count",Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
0,CITY OF MANILA,NCR - National Capital Region,METROPOLITAN MANILA,188513.0,52760.0,883.0,834.0,91.0,50.0,622.0,6.0,29.0,11449.0,179153.0,764.0,,2015
13,CITY OF MANDALUYONG,NCR - National Capital Region,METROPOLITAN MANILA,56381.0,6412.0,48.0,216.0,48.0,2.0,233.0,1.0,4.0,2720.0,33300.0,991.0,,2015
26,CITY OF MARIKINA,NCR - National Capital Region,METROPOLITAN MANILA,68434.0,6373.0,229.0,397.0,24.0,15.0,318.0,,2.0,1380.0,20907.0,159.0,,2015
39,CITY OF PASIG,NCR - National Capital Region,METROPOLITAN MANILA,99263.0,11296.0,234.0,435.0,55.0,31.0,846.0,5.0,10.0,2403.0,64530.0,1504.0,,2015
52,QUEZON CITY,NCR - National Capital Region,METROPOLITAN MANILA,401143.0,90313.0,1591.0,2165.0,325.0,337.0,1576.0,23.0,42.0,9656.0,170761.0,5112.0,,2015
65,CITY OF SAN JUAN,NCR - National Capital Region,METROPOLITAN MANILA,15950.0,2444.0,,,,,,,,773.0,9456.0,,,2015
78,CALOOCAN CITY,NCR - National Capital Region,METROPOLITAN MANILA,212602.0,57637.0,3628.0,4241.0,247.0,483.0,14.0,,,3794.0,84570.0,662.0,,2015
91,CITY OF MALABON,NCR - National Capital Region,METROPOLITAN MANILA,30322.0,11656.0,363.0,276.0,9.0,21.0,1.0,,,3377.0,40000.0,166.0,,2015
104,CITY OF NAVOTAS,NCR - National Capital Region,METROPOLITAN MANILA,19461.0,7915.0,50.0,321.0,18.0,4.0,268.0,,2.0,2788.0,29983.0,94.0,,2015
117,CITY OF VALENZUELA,NCR - National Capital Region,METROPOLITAN MANILA,72828.0,24330.0,868.0,2173.0,36.0,40.0,,,,3305.0,49366.0,95.0,,2015
130,CITY OF LAS PIÑAS,NCR - National Capital Region,METROPOLITAN MANILA,31603.0,6259.0,314.0,595.0,41.0,61.0,807.0,6.0,11.0,4868.0,97136.0,224.0,,2015
143,CITY OF MAKATI,NCR - National Capital Region,METROPOLITAN MANILA,66212.0,9879.0,121.0,355.0,17.0,18.0,227.0,6.0,1.0,1332.0,74204.0,1723.0,,2015
156,CITY OF MUNTINLUPA,NCR - National Capital Region,METROPOLITAN MANILA,12134.0,1874.0,2270.0,3947.0,43.0,203.0,402.0,2.0,8.0,1847.0,99315.0,241.0,,2015
169,CITY OF PARAÑAQUE,NCR - National Capital Region,METROPOLITAN MANILA,45352.0,13613.0,208.0,583.0,107.0,50.0,816.0,1.0,6.0,4065.0,97861.0,412.0,,2015
182,PASAY CITY,NCR - National Capital Region,METROPOLITAN MANILA,42903.0,13983.0,,,,,,,,,50698.0,35.0,,2015
195,PATEROS,NCR - National Capital Region,METROPOLITAN MANILA,7076.0,854.0,21.0,57.0,8.0,,59.0,,,464.0,5649.0,,,2015
208,TAGUIG CITY,NCR - National Capital Region,METROPOLITAN MANILA,77902.0,21720.0,749.0,1225.0,190.0,195.0,1580.0,6.0,3.0,8841.0,84775.0,1070.0,,2015
221,BANGUED (Capital),CAR - Cordillera Administrative Region,ABRA,4862.0,1247.0,916.0,1419.0,272.0,171.0,135.0,295.0,2.0,2.0,1686.0,17.0,,2015
234,BOLINEY,CAR - Cordillera Administrative Region,ABRA,,,,,,,760.0,,,,,,,2015
247,BUCAY,CAR - Cordillera Administrative Region,ABRA,772.0,509.0,374.0,502.0,31.0,57.0,1284.0,21.0,12.0,,301.0,,,2015
260,BUCLOC,CAR - Cordillera Administrative Region,ABRA,4.0,,,1.0,,,436.0,,,1.0,,,,2015
273,DAGUIOMAN,CAR - Cordillera Administrative Region,ABRA,,,1.0,1.0,,,373.0,,,,,,,2015
286,DANGLAS,CAR - Cordillera Administrative Region,ABRA,20.0,357.0,76.0,281.0,3.0,37.0,46.0,,17.0,,73.0,,,2015
299,DOLORES,CAR - Cordillera Administrative Region,ABRA,466.0,120.0,374.0,975.0,59.0,46.0,64.0,66.0,24.0,3.0,350.0,1.0,,2015
312,LA PAZ,CAR - Cordillera Administrative Region,ABRA,141.0,208.0,421.0,968.0,104.0,659.0,326.0,114.0,221.0,1.0,279.0,,,2015
325,LACUB,CAR - Cordillera Administrative Region,ABRA,6.0,,1.0,2.0,,,587.0,49.0,,,2.0,,,2015
338,LAGANGILANG,CAR - Cordillera Administrative Region,ABRA,358.0,254.0,346.0,750.0,127.0,79.0,484.0,158.0,5.0,,583.0,3.0,,2015
351,LAGAYAN,CAR - Cordillera Administrative Region,ABRA,3.0,55.0,42.0,78.0,107.0,2.0,211.0,401.0,30.0,,2.0,1.0,,2015
364,LANGIDEN,CAR - Cordillera Administrative Region,ABRA,2.0,202.0,10.0,239.0,,,65.0,178.0,4.0,,5.0,,,2015
377,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,ABRA,,,7.0,1.0,,1.0,908.0,50.0,1.0,,,,,2015
390,LUBA,CAR - Cordillera Administrative Region,ABRA,,,,,,,1361.0,5.0,1.0,1.0,2.0,,,2015
403,MALIBCONG,CAR - Cordillera Administrative Region,ABRA,,,,,,,714.0,32.0,,,,,,2015
416,MANABO,CAR - Cordillera Administrative Region,ABRA,5.0,4.0,84.0,59.0,718.0,1.0,1064.0,53.0,4.0,,483.0,,,2015
429,PEÑARRUBIA,CAR - Cordillera Administrative Region,ABRA,527.0,114.0,13.0,73.0,,8.0,589.0,8.0,,1.0,145.0,,,2015
442,PIDIGAN,CAR - Cordillera Administrative Region,ABRA,723.0,262.0,200.0,870.0,5.0,125.0,237.0,23.0,5.0,14.0,264.0,,,2015
455,PILAR,CAR - Cordillera Administrative Region,ABRA,16.0,2.0,216.0,1371.0,21.0,28.0,442.0,98.0,1.0,,94.0,,,2015
468,SALLAPADAN,CAR - Cordillera Administrative Region,ABRA,6.0,5.0,1.0,,,,1329.0,,,,,,,2015
481,SAN ISIDRO,CAR - Cordillera Administrative Region,ABRA,,1.0,4.0,81.0,290.0,14.0,199.0,388.0,,,105.0,,,2015
494,SAN JUAN,CAR - Cordillera Administrative Region,ABRA,91.0,115.0,272.0,965.0,,31.0,303.0,234.0,33.0,,173.0,,,2015
507,SAN QUINTIN,CAR - Cordillera Administrative Region,ABRA,370.0,204.0,56.0,167.0,154.0,44.0,97.0,4.0,17.0,,136.0,,,2015
520,TAYUM,CAR - Cordillera Administrative Region,ABRA,827.0,450.0,123.0,805.0,172.0,79.0,480.0,2.0,5.0,1.0,193.0,3.0,,2015
533,TINEG,CAR - Cordillera Administrative Region,ABRA,,2.0,,1.0,,1.0,792.0,184.0,,,,,,2015
546,TUBO,CAR - Cordillera Administrative Region,ABRA,,,,,,,984.0,,,,,,,2015
559,VILLAVICIOSA,CAR - Cordillera Administrative Region,ABRA,30.0,,16.0,97.0,42.0,1.0,700.0,126.0,1.0,,74.0,,,2015
572,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,APAYAO,76.0,157.0,59.0,13.0,71.0,132.0,1753.0,98.0,21.0,,4.0,,,2015
585,CONNER,CAR - Cordillera Administrative Region,APAYAO,35.0,26.0,628.0,621.0,299.0,2257.0,1126.0,457.0,,1.0,19.0,,,2015
598,FLORA,CAR - Cordillera Administrative Region,APAYAO,139.0,36.0,521.0,693.0,290.0,1896.0,52.0,36.0,13.0,299.0,81.0,,,2015
611,KABUGAO (Capital),CAR - Cordillera Administrative Region,APAYAO,47.0,69.0,70.0,7.0,46.0,465.0,1749.0,558.0,128.0,,3.0,,,2015
624,LUNA,CAR - Cordillera Administrative Region,APAYAO,35.0,67.0,650.0,976.0,219.0,441.0,87.0,46.0,160.0,3.0,1490.0,,,2015
637,PUDTOL,CAR - Cordillera Administrative Region,APAYAO,12.0,8.0,1084.0,971.0,43.0,336.0,279.0,242.0,7.0,7.0,218.0,,,2015
650,SANTA MARCELA,CAR - Cordillera Administrative Region,APAYAO,3.0,67.0,197.0,712.0,42.0,1343.0,2.0,,,105.0,657.0,,,2015
663,ATOK,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),30.0,109.0,8.0,24.0,,6.0,943.0,2661.0,156.0,12.0,429.0,,,2015
676,BAKUN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1301.0,678.0,13.0,5.0,,,385.0,920.0,25.0,5.0,18.0,,,2015
689,BOKOD,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1849.0,490.0,2.0,,,,283.0,249.0,1.0,,3.0,,,2015
702,BUGUIAS,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1165.0,642.0,74.0,82.0,7.0,147.0,2913.0,4780.0,4.0,36.0,1024.0,,,2015
715,ITOGON,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),609.0,2150.0,174.0,346.0,4.0,6.0,4214.0,1081.0,3.0,501.0,5138.0,,,2015
728,KABAYAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),11.0,5.0,1.0,3.0,,,1948.0,1516.0,1.0,,4.0,,,2015
741,KAPANGAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1372.0,157.0,95.0,119.0,,183.0,431.0,1187.0,27.0,26.0,601.0,,,2015
754,KIBUNGAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),596.0,148.0,49.0,4.0,3.0,2.0,1593.0,1077.0,107.0,,8.0,,,2015
767,LA TRINIDAD (Capital),CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),2679.0,442.0,231.0,194.0,3.0,41.0,1724.0,990.0,31.0,131.0,27691.0,,,2015
780,MANKAYAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),417.0,184.0,4.0,9.0,43.0,20.0,1419.0,4482.0,,18.0,1492.0,,,2015
793,SABLAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),974.0,34.0,6.0,6.0,2.0,1.0,672.0,247.0,11.0,1.0,649.0,,,2015
806,TUBA,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),3612.0,680.0,151.0,14.0,1.0,1.0,2175.0,1210.0,7.0,290.0,3011.0,,,2015
819,TUBLAY,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),728.0,175.0,78.0,244.0,45.0,24.0,733.0,638.0,218.0,29.0,941.0,6.0,,2015
832,BAGUIO CITY,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),5758.0,901.0,305.0,537.0,86.0,89.0,3649.0,265.0,9.0,1368.0,76969.0,51.0,,2015
845,BANAUE,CAR - Cordillera Administrative Region,IFUGAO,74.0,89.0,32.0,12.0,1.0,,3034.0,683.0,1.0,2.0,1.0,,,2015
858,HUNGDUAN,CAR - Cordillera Administrative Region,IFUGAO,17.0,13.0,1.0,,1.0,,1818.0,90.0,1.0,,,,,2015
871,KIANGAN,CAR - Cordillera Administrative Region,IFUGAO,537.0,758.0,35.0,22.0,13.0,,1190.0,314.0,,102.0,510.0,4.0,,2015
884,LAGAWE (Capital),CAR - Cordillera Administrative Region,IFUGAO,1109.0,718.0,71.0,41.0,7.0,23.0,425.0,159.0,5.0,7.0,1384.0,3.0,,2015
897,LAMUT,CAR - Cordillera Administrative Region,IFUGAO,318.0,277.0,1364.0,1361.0,20.0,94.0,737.0,100.0,,5.0,1324.0,,,2015
