,From .shp,,from poverty index,,,,
0,Aborlan,,Aborlan,13.33,,,
1,Abra De Ilog,,Abra de Ilog,20.46,,,
2,Abucay,,Abucay,5.3,,,
3,Abulug,,Abulug,14.79,,,
4,Abuyog,,Abuyog,28.17,,,
5,Adams,,Adams,5.62,,,
6,Agdangan,,Agdangan,14,,,
7,Aglipay,,Aglipay,11.6,,,
8,Agno,,Agno,11.68,,,
9,Agoncillo,,Agoncillo,12.5,,,
10,Agoo,,Agoo,3.26,,,
11,Aguilar,,Aguilar,16.22,,,
12,Aguinaldo,,Aguinaldo,24.68,,,
13,Agutaya,,Agutaya,15.22,,,
14,Ajuy,,Ajuy,23.11,,,
15,Akbar,,Akbar,70.12,,,
16,Alabat,,Al-barka,73.56,,,
17,Alabel,,Alabat,15.45,,,
18,Alamada,,Alabel,29.2,,,
19,Alaminos (LA),,Alamada,44.3,,,
20,Alaminos (PS),,Alaminos,2.58,,,
21,Alang-Alang,,Alaminos City,7.75,,,
22,Al-Barka,,Alangalang,31.05,,,
23,Albuera,,Albuera,27.2,,,
24,Alburquerque,,Alburquerque,10.4,,,
25,Alcala (CG),,Alcala,12.24,,,
26,Alcala (PS),,Alcala,14.66,,,
27,Alcantara (CU),,Alcantara,21.15,,,
28,Alcantara (RN),,Alcantara,22.3,,,
29,Alcoy,,Alcoy,22.9,,,
30,Alegria (CU),,Alegria,23.2,,,
31,Alegria (SN),,Alegria,37.37,,,
32,Aleosan,,Aleosan,47.1,,,
33,Alfonso,,Alfonso,5.26,,,
34,Alfonso Castaneda,,Alfonso Castaneda,22.92,,,
35,Alfonso Lista,,Alfonso Lista (Potia),16.4,,,
36,Aliaga,,Aliaga,6.71,,,
37,Alicia (BL),,Alicia,27.6,,,
38,Alicia (IA),,Alicia,12.61,,,
39,Alicia (ZS),,Alicia,37.31,,,
40,Alilem,,Alilem,8.69,,,
41,Alimodian,,Alimodian,23.72,,,
42,Alitagtag,,Alitagtag,16,,,
43,Allacapan,,Allacapan,11.47,,,
44,Allen,,Allen,23.97,,,
45,Almagro,,Almagro,30.25,,,
46,Almeria,,Almeria,16.78,,,
47,Aloguinsan,,Aloguinsan,22.7,,,
48,Aloran,,Aloran,23.51,,,
49,Altavas,,Altavas,14.62,,,
50,Alubijid,,Alubijid,14.93,,,
51,Amadeo,,Amadeo,4.7,,,
52,Amai Manabilang,,Amai Manabilang,75.74,,,
53,Ambaguio,,Ambaguio,53.45,,,
54,Amlan,,Amlan,12.7,,,
55,Ampatuan,,Ampatuan,58.89,,,
56,Amulung,,Amulung,15.46,,,
57,Anahawan,,Anahawan,23.63,,,
58,Anao,,Anao,5.21,,,
59,Anda (BL),,Anda,12.4,,,
60,Anda (PS),,Anda,25.4,,,
61,Angadanan,,Angadanan,14.31,,,
62,Angat,,Angat,4.61,,,
63,Angeles,,,,,,
64,Angono,,Angono,4.07,,,
65,Anilao,,Anilao,22.61,,,
66,Anini-Y,,Anini-Y,18.76,,,
67,Antequera,,Antequera,15.6,,,
68,Antipas,,Antipas,28.6,,,
69,Antipolo,,Antipolo City,5.38,,,
70,Apalit,,Apalit,4.7,,,
71,Aparri,,Aparri,13.28,,,
72,Araceli,,Araceli,19.18,,,
73,Arakan,,Arakan,42.1,,,
74,Arayat,,Arayat,6.4,,,
75,Argao,,Argao,15.9,,,
76,Aringay,,Aringay,4.39,,,
77,Aritao,,Aritao,15.83,,,
78,Aroroy,,Aroroy,37.26,,,
79,Arteche,,Arteche,58.66,,,
80,Asingan,,Asingan,10.42,,,
81,Asipulo,,Asipulo,32.04,,,
82,Asturias,,Asturias,26,,,
83,Asuncion,,Asuncion (Saug),18.12,,,
84,Atimonan,,Atimonan,6.1,,,
85,Atok,,Atok,18.66,,,
86,Aurora (IA),,Aurora,11.23,,,
87,Aurora (ZR),,Aurora,29.8,,,
88,Ayungon,,Ayungon,30.5,,,
89,Baao,,Baao,26.2,,,
90,Babatngon,,Babatngon,33.12,,,
91,Bacacay,,Bacacay,31.51,,,
92,Bacarra,,Bacarra,3.43,,,
93,Baclayon,,Baclayon,11.2,,,
94,Bacnotan,,Bacnotan,1.46,,,
95,Baco,,Baco,16.82,,,
96,Bacolod (LN),,Bacolod,20.42,,,
97,Bacolod (NO),,,,,,
98,Bacolod-Kalawi,,Bacolod-Kalawi,66.62,,,
99,Bacolor,,Bacolor,3.63,,,
100,Bacong,,Bacong,13.9,,,
101,Bacoor,,Bacoor City,3.9,,,
102,Bacuag,,Bacuag,31.76,,,
103,Bacungan Leon B. Postigo,,Bacungan (Leon T. Postigo),55.77,,,
