,city_munic,economic_ind,disaster_ind,industry_ind,healthcare_ind,poverty_ind,cluster_id,population,hospital,doctor,nurse,midwife,dentist,nutritioni,pharmacist,occupation,medical_techs,physical_techs,radiology,x-ray_techs
0,Aborlan,0.06065210935740084,-0.29337857074472956,-0.2563559496546239,-2.7346561864819106,-0.1522904334841729,1,"35,091",0,20,30,7,1,0,0,0,1,0,0,0
1,Abra De Ilog,1.6920295685396678,0.6819338511276444,-0.44803465673618076,-11.70078336369875,-0.21538758982000267,2,"31,306",0,10,30,0,0,0,1,0,0,1,0,0
2,Abucay,-0.7952181022036563,-0.38749471004460484,-0.6562724340722831,-9.675572723530935,0.12661167314376717,1,"42,984",0,20,10,5,1,0,0,0,4,0,0,0
3,Abulug,0.38214033006747933,0.8335328836350792,-0.2829744757438244,-12.662499304895832,0.02515841713476646,1,"32,497",1,10,30,7,1,0,0,0,1,0,0,0
4,Abuyog,-0.7803080045642103,0.02645045329393564,0.46208705353521085,-3.419035750941392,0.40840021348425437,1,"59,571",1,80,210,20,2,1,3,0,7,0,1,0
5,Adams,-0.17031757177394902,-0.2876514873605498,0.4299442759784601,-19.62951811590722,0.22113199602667014,1,"1,792",0,10,40,3,0,0,0,0,0,0,0,0
6,Agdangan,-0.7423244717643273,-0.2247428133518658,0.4740330084899466,-8.626910439076568,0.08171668703416977,1,"12,764",0,0,0,0,0,0,0,0,0,0,0,0
7,Aglipay,-0.7254752567068902,-0.26750264745464736,-0.5082544340649969,4.396088900983959,-0.5262000995858757,1,"30,714",0,30,60,5,6,0,0,0,2,0,1,0
8,Agno,-0.7775870943010404,0.6396847076486749,-0.14977083707863123,-13.59196304946807,0.0970297128196344,1,"29,342",0,30,30,8,2,0,3,0,1,0,0,0
9,Agoncillo,-0.08930338916987601,0.680885440157546,0.37115435074701886,-15.706705909619108,0.006600197203527397,1,"39,101",0,0,0,0,0,0,0,0,0,0,0,0
10,Agoo,-0.9048338144092078,-0.5391436462395109,-0.6016047494426947,-6.587654738801097,-0.13753921608987574,1,"63,692",2,750,830,49,1,2,9,1,16,3,9,1
11,Aguilar,-0.2338573014473572,-0.3654497816143908,0.29931853403398845,-4.676390273551007,0.09951859165952825,1,"45,100",0,80,100,8,3,0,3,0,0,0,0,0
12,Aguinaldo,-0.6535545251944531,0.32995379797369967,-0.288790786740628,1.235236817225956,0.26711290100719504,1,"19,408",0,40,100,19,1,1,1,0,2,0,0,0
13,Agutaya,2.1655493392689604,3.6008849757894312,2.5833766720244773,-13.71780822133755,-0.4766534257733611,2,"12,545",0,0,10,4,0,0,0,0,0,0,0,0
14,Ajuy,-0.8063290891115236,-0.22868184055780774,0.2555986685614401,10.162656355436356,-0.24612880941290444,1,"53,462",0,20,20,14,1,0,0,0,1,0,0,0
15,Akbar,0.19741476884408365,2.903406564979802,2.1605972968243674,-11.674079139146416,-0.34477762366258763,2,"23,098",0,0,0,0,0,0,0,0,0,0,0,0
16,Al-Barka,2.230517099749785,3.4855915692197414,3.3648620398512135,-16.707522896679272,-0.34540039223203683,2,"23,736",0,0,0,0,0,0,0,0,0,0,0,0
17,Alabat,-0.7225536804930377,0.7719706978322008,-0.45849902400329945,-1.7386822630803533,0.08309578147771333,1,"15,936",1,10,70,5,2,1,1,0,2,0,0,1
18,Alabel,-0.8730787225387922,-0.4584694755231146,-0.8643323127914172,-7.5445397339018365,0.1350185581167835,1,"88,294",0,20,80,16,2,1,0,0,1,1,0,0
19,Alamada,-0.7518888784836109,-0.41054787481342725,-0.6114256092670679,-3.680757122320722,-0.036073471763325864,1,"64,596",0,0,0,0,0,0,7,0,0,0,0,0
20,Alaminos (LA),-0.8832783024990356,-0.0977028423776479,-0.2869202235993758,-9.711412933885175,-0.27484035130004203,1,"51,659",1,10,20,4,0,0,0,0,1,0,0,0
21,Alaminos (PS),-0.7909187007865789,-1.2514740239423925,-0.7803929903322332,-7.3308305246526775,0.1479444851034904,1,"89,708",3,480,1500,39,17,3,25,0,15,4,4,2
22,Alang-Alang,-0.08604031010661854,-0.3710351481215876,0.35827942110008054,-13.506460550101837,0.40134720650260824,1,"55,235",0,10,10,8,1,0,0,0,2,0,0,0
23,Albuera,0.35295594268088043,-0.4041046683621833,0.1941409567437402,-11.49266508718608,-0.02693777729606734,1,"46,332",0,10,20,9,0,0,0,0,1,0,0,0
24,Alburquerque,-0.8432576089060024,-0.21708015330921968,-0.7536364342331965,-17.63815680847126,-0.1656770873454883,1,"10,540",0,10,20,3,0,0,0,0,0,0,0,0
25,Alcala (CG),1.047333402904253,0.36738048384668776,0.49041343159936523,-8.5340399584569,0.18029104614228658,2,"38,883",0,50,320,13,1,0,1,0,3,0,0,0
26,Alcala (PS),-0.750002063777568,-0.43278181177968605,-0.6123499167127961,-8.533325716554018,0.10031514850071928,1,"48,908",0,10,10,7,1,0,8,0,1,1,0,0
27,Alcantara (CU),1.0698944948891584,0.7724134575577188,0.18385991094464335,-0.6582433721604973,-0.027234573532044917,2,"15,160",0,0,0,0,0,0,0,0,0,0,0,0
28,Alcantara (RN),0.20206859515960093,1.761559715440642,1.545538605868152,-0.6587484648107346,0.3167096120513858,2,"16,351",0,10,0,4,0,0,0,0,0,0,0,0
29,Alcoy,-0.6788104270155609,0.025773081155413442,-0.4083417043815614,-12.662944048901707,-0.02443582829274432,1,"19,186",0,10,40,1,0,0,0,0,0,0,0,0
30,Alegria (CU),-0.8791345627833255,0.050975568756201614,-0.2525868495334882,-2.647609901142159,-0.19375506618253988,1,"23,300",0,60,70,8,1,1,1,0,1,0,1,0
31,Alegria (SN),0.3399284826558232,-0.23846268770874646,-0.7676456270498474,-2.647204730474732,0.03922243862305109,1,"16,011",0,10,10,5,0,0,0,0,0,0,0,0
32,Aleosan,-0.8187674490196801,-0.37111828041028044,-0.6467703093975672,-1.7337013791358205,-0.3478055083772892,1,"39,405",0,90,70,8,0,1,2,0,2,0,1,0
33,Alfonso,-0.18141242170580626,0.04262200940267353,-0.49216154964928993,11.312629051265004,0.0381416337635708,1,"51,839",1,230,160,3,0,2,1,0,1,0,1,1
34,Alfonso Castaneda,1.1734111914868632,0.15251642034396057,-0.41775761018358504,-14.65467946709552,0.3197374109277202,1,"7,940",0,10,10,8,0,0,0,0,1,0,0,0
35,Alfonso Lista,-0.9182020703589853,-0.409546068851646,-0.06358091884363444,1.2497994024783534,0.27634976533956707,1,"32,119",1,40,110,17,1,1,1,0,4,0,0,0
36,Aliaga,1.7261931074798529,-0.08080084955770436,-0.6316590192652345,-12.65699928434349,-0.34374797598799106,2,"70,363",0,20,20,7,0,0,0,0,0,0,0,0
37,Alicia (BL),-0.8732846203068017,-0.31596285267367696,-0.07225142731660211,27.650093171451285,-0.4542746262927417,0,"23,517",0,0,0,0,0,0,0,0,0,0,0,0
38,Alicia (IA),-0.8465573444669019,-0.20209385529675283,-0.0338184000439779,27.647662189816646,0.40074384703770993,1,"73,874",3,320,490,13,2,2,7,0,8,1,1,4
39,Alicia (ZS),0.5734588026266143,-0.3122238489660972,0.9473836427329522,27.64900255499805,-0.02546174739142607,2,"39,456",0,40,110,11,1,0,5,0,0,0,0,0
40,Alilem,-0.6581856491119665,-0.42987274939224224,0.876157564341047,-14.655803143100576,-0.15382357284278272,1,"6,695",0,0,0,0,0,0,0,0,0,0,0,0
41,Alimodian,-0.8775757481958909,-0.339102814336308,-0.44899935492707865,-12.682040199663016,-0.5050351801008072,1,"39,722",1,50,170,22,1,0,1,0,2,0,0,0
42,Alitagtag,-0.7852230636249428,-0.3111070641266545,-0.6598563350799271,-15.703897895378395,0.005627871874982433,1,"25,300",0,0,0,0,0,0,0,0,0,0,0,0
43,Allacapan,-0.9936705499630335,-0.36304570246835766,-0.6090638742793817,-14.647949657130031,0.01946613038520388,1,"33,571",0,10,140,12,1,0,0,0,1,0,0,0
44,Allen,1.4895411337267366,-0.37707747106597095,-0.19974966117847237,-18.595658704478705,-0.020790588526393428,2,"27,043",1,40,140,5,0,1,0,0,2,0,0,0
45,Almagro,1.2303116403966052,0.6674348478008649,1.2191595215815847,-18.639322619652795,0.45193581805580263,2,"8,942",0,20,70,4,0,0,0,0,0,0,0,0
