PSGC,Region/ Province,Municipality/City,Poverty Incidence,Standard Error,Coefficient of Variation,90% confidence interval min,90% confidence interval max
133901,Metropolitan Manila,Tondo,3.8,0.6,15.7,2.8,4.7
133902,Metropolitan Manila,Binondo,1.5,0.4,23.0,0.9,2.1
133903,Metropolitan Manila,Quiapo,4.0,0.8,18.7,2.8,5.3
133904,Metropolitan Manila,San Nicolas,4.0,1.2,30.3,2.0,6.0
133905,Metropolitan Manila,Santa Cruz,2.4,0.3,11.9,1.9,2.8
133906,Metropolitan Manila,Sampaloc,2.0,0.2,9.6,1.7,2.3
133907,Metropolitan Manila,San Miguel,4.6,0.9,19.6,3.1,6.1
133908,Metropolitan Manila,Ermita,2.9,0.5,15.7,2.1,3.6
133909,Metropolitan Manila,Intramuros,4.3,1.2,26.9,2.4,6.2
133910,Metropolitan Manila,Malate,2.7,0.3,11.9,2.2,3.2
133911,Metropolitan Manila,Paco,1.9,0.3,13.9,1.4,2.3
133912,Metropolitan Manila,Pandacan,2.2,0.3,13.0,1.7,2.6
133913,Metropolitan Manila,Port Area,6.5,2.5,38.7,2.4,10.6
133914,Metropolitan Manila,Santa Ana,2.4,0.3,12.5,1.9,2.9
140101,Abra,Bangued,8.9,1.1,11.9,7.2,10.6
140102,Abra,Boliney,33.0,4.4,13.5,25.7,40.3
140103,Abra,Bucay,20.4,2.3,11.5,16.6,24.3
140104,Abra,Bucloc,21.2,4.7,22.1,13.5,28.9
140105,Abra,Daguioman,24.7,4.9,19.9,16.6,32.9
140106,Abra,Danglas,23.2,3.2,13.6,18.0,28.4
140107,Abra,Dolores,15.7,2.5,15.7,11.6,19.7
140108,Abra,La Paz,19.8,2.7,13.6,15.4,24.3
140109,Abra,Lacub,37.7,5.0,13.1,29.5,45.8
140110,Abra,Lagangilang,19.4,2.1,10.8,15.9,22.8
140111,Abra,Lagayan,32.9,4.8,14.6,25.0,40.8
140112,Abra,Langiden,24.0,4.0,16.4,17.5,30.5
140113,Abra,Licuan-Baay (Licuan),23.3,2.8,11.8,18.8,27.9
140114,Abra,Luba,21.6,3.5,16.0,15.9,27.3
140115,Abra,Malibcong,18.4,2.9,16.0,13.6,23.3
140116,Abra,Manabo,16.7,3.0,18.0,11.8,21.7
140117,Abra,Peñarrubia,16.2,2.7,16.6,11.8,20.6
140118,Abra,Pidigan,15.2,2.1,13.9,11.8,18.7
140119,Abra,Pilar,19.3,2.7,13.7,14.9,23.7
140120,Abra,Sallapadan,20.0,3.4,17.1,14.4,25.6
140121,Abra,San Isidro,20.3,2.8,14.0,15.6,25.0
140122,Abra,San Juan,22.2,2.3,10.2,18.5,25.9
140123,Abra,San Quintin,14.8,2.9,19.6,10.0,19.6
140124,Abra,Tayum,17.9,2.7,15.0,13.5,22.4
140125,Abra,Tineg,36.4,3.7,10.2,30.3,42.5
140126,Abra,Tubo,23.6,2.8,12.0,19.0,28.2
140127,Abra,Villaviciosa,19.9,3.4,17.0,14.4,25.5
141101,Benguet,Atok,18.7,2.3,12.4,14.8,22.5
141103,Benguet,Bakun,17.9,3.3,18.6,12.4,23.4
141104,Benguet,Bokod,9.9,1.7,17.5,7.0,12.7
141105,Benguet,Buguias,9.4,1.5,15.6,7.0,11.9
141106,Benguet,Itogon,6.9,1.4,19.6,4.7,9.1
141107,Benguet,Kabayan,19.1,2.7,14.2,14.7,23.6
141108,Benguet,Kapangan,17.3,1.8,10.5,14.3,20.3
141109,Benguet,Kibungan,28.1,3.6,12.7,22.2,33.9
141110,Benguet,La Trinidad,2.3,0.5,21.7,1.5,3.1
141111,Benguet,Mankayan,10.4,1.7,16.2,7.6,13.1
141112,Benguet,Sablan,8.7,1.5,16.9,6.3,11.1
141113,Benguet,Tuba,7.0,1.3,18.3,4.9,9.1
141114,Benguet,Tublay,13.2,2.1,16.1,9.7,16.7
142701,Ifugao,Banaue,19.2,1.9,9.8,16.1,22.3
142702,Ifugao,Hungduan,21.2,2.5,11.9,17.1,25.4
142703,Ifugao,Kiangan,14.9,1.6,10.9,12.2,17.5
142704,Ifugao,Lagawe,12.2,1.2,9.7,10.3,14.2
142705,Ifugao,Lamut,11.7,1.6,13.4,9.1,14.3
142706,Ifugao,Mayoyao,17.4,1.6,9.4,14.7,20.1
142707,Ifugao,Alfonso Lista (Potia),16.4,1.8,10.9,13.5,19.3
142708,Ifugao,Aguinaldo,24.7,2.8,11.5,20.0,29.4
142709,Ifugao,Hingyon,23.0,2.7,11.6,18.6,27.5
142710,Ifugao,Tinoc,27.0,3.1,11.3,21.9,32.0
142711,Ifugao,Asipulo,32.0,3.8,11.8,25.8,38.3
143201,Kalinga,Balbalan,16.0,2.1,13.4,12.4,19.5
143206,Kalinga,Lubuagan,20.2,2.3,11.2,16.5,24.0
143208,Kalinga,Pasil,18.2,2.0,11.0,14.9,21.4
143209,Kalinga,Pinukpuk,20.3,1.8,8.7,17.4,23.2
143211,Kalinga,Rizal (Liwan),11.9,1.7,14.2,9.1,14.6
143213,Kalinga,Tabuk City,10.6,1.1,10.5,8.8,12.4
143214,Kalinga,Tanudan,22.3,2.6,11.8,18.0,26.6
143215,Kalinga,Tinglayan,27.7,2.5,9.0,23.6,31.8
144401,Mountain Province,Barlig,14.4,2.5,17.0,10.4,18.5
144402,Mountain Province,Bauko,21.8,2.2,10.0,18.2,25.3
144403,Mountain Province,Besao,16.6,2.0,12.1,13.3,19.9
144404,Mountain Province,Bontoc,10.0,1.5,15.2,7.5,12.5
144405,Mountain Province,Natonin,23.1,3.3,14.4,17.6,28.6
144406,Mountain Province,Paracelis,30.6,3.2,10.3,25.5,35.8
144407,Mountain Province,Sabangan,14.0,1.8,13.0,11.0,17.1
