,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0000,0.0009,0.0054,0.0048,0.0237,0.0302,0.0213,Burgos (LU)
1,Local Economy Growth,-,-,0.0000,0.0000,0.0025,0.0012,0.0317,0.0113,0.0,Burgos (LU)
2,Active Establishments in the Locality,-,-,-,0.0000,0.0019,0.0071,0.2063,0.3461,0.1939,Burgos (LU)
3,Safety Compliant Business,-,-,-,0.0934,0.0445,0.0061,0.3076,0.1914,0.1667,Burgos (LU)
4,Employment Generation,-,-,0.0000,0.0000,0.0319,0.0478,0.1858,0.0936,0.1096,Burgos (LU)
5,Cost of Living,-,-,3.0000,1.4224,1.8981,2.0000,1.5984,1.6250,1.5526,Burgos (LU)
6,Cost of Doing Business,-,-,2.3866,2.0180,1.4346,1.8034,2.3565,1.9704,1.1891,Burgos (LU)
7,Financial Deepening,-,-,0.2315,0.0265,0.0000,0.0026,0.0463,0.0521,0.0437,Burgos (LU)
8,Productivity,-,-,0.0000,0.0000,0.0065,0.0397,0.1392,0.0587,0.0787,Burgos (LU)
9,Presence of Business and Professional Organizations,-,-,0.0130,0.0000,0.0011,0.0009,0.0027,0.1548,0.0818,Burgos (LU)
10,Compliance to National Directives,-,-,0.2222,2.2697,0.0000,2.4994,2.4653,2.4405,1.9545,Burgos (LU)
11,Presence of Investment Promotion Unit,-,-,0.0000,1.8750,0.0000,2.5000,2.5000,2.5000,1.9978,Burgos (LU)
12,Compliance to ARTA Citizens Charter,-,-,2.1552,2.3461,0.0000,2.4450,2.4766,2.3499,2.0,Burgos (LU)
13,Capacity to Generate Local Resource,-,-,1.7233,0.5948,0.0000,0.0207,0.5761,0.0163,0.0064,Burgos (LU)
14,Capacity of Health Services,-,-,0.0000,0.0291,0.0000,0.0285,0.1111,0.0920,0.0,Burgos (LU)
15,Capacity of School Services,-,-,0.0000,0.0000,0.0000,0.1112,0.0681,0.0223,0.0,Burgos (LU)
16,Recognition of Performance,-,-,0.0877,0.0000,0.0000,0.1389,0.2024,0.6597,0.6458,Burgos (LU)
17,Getting Business Permits,-,-,0.0000,1.3471,0.0000,1.6049,1.6357,1.5354,1.5,Burgos (LU)
18,Peace and Order,-,-,0.6338,0.5843,0.0000,0.1728,0.4605,0.2083,0.0,Burgos (LU)
19,Social Protection,-,-,0.0183,0.4019,0.0000,0.4730,0.0675,0.6162,0.0,Burgos (LU)
20,Road Network,-,-,0.0000,0.0007,0.0000,0.0379,0.0035,0.0260,0.0,Burgos (LU)
21,Distance to Ports,-,-,3.1834,2.4298,0.0000,2.3793,2.3838,1.9284,1.467,Burgos (LU)
22,Availability of Basic Utilities,-,-,1.6667,0.0000,0.0000,1.2438,1.2438,1.2438,0.2937,Burgos (LU)
23,Transportation Vehicles,-,-,0.0198,0.0404,0.0000,0.0197,0.0037,0.0881,0.0633,Burgos (LU)
24,Education,-,-,0.0694,0.0335,0.0000,0.0091,0.0469,0.0838,0.3038,Burgos (LU)
25,Health,-,-,0.0000,0.0329,0.0000,0.0341,0.0124,0.1262,0.1174,Burgos (LU)
26,LGU Investment,-,-,1.5188,0.1590,0.0000,0.0397,0.1597,0.2204,0.0019,Burgos (LU)
27,Accommodation Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Burgos (LU)
28,Information Technology Capacity,-,-,0.0000,0.1389,0.0000,0.3000,0.6250,1.0714,0.25,Burgos (LU)
29,Financial Technology Capacity,-,-,0.2381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Burgos (LU)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4487,2.4459,2.5000,1.9861,Burgos (LU)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.4762,1.9998,Burgos (LU)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,1.2544,1.2074,Burgos (LU)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.4773,1.1818,Burgos (LU)
34,Budget for DRRMP,-,-,-,0.0021,0.0000,0.0709,0.1674,0.0039,0.0017,Burgos (LU)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Burgos (LU)
36,Emergency Infrastructure,-,-,-,0.8498,0.0000,0.4227,0.4775,0.2691,0.4549,Burgos (LU)
37,Utilities,-,-,-,0.7022,0.0000,1.8748,1.9265,1.2960,1.5085,Burgos (LU)
38,Employed Population,-,-,-,0.0132,0.0000,0.0573,1.0380,0.9038,0.7674,Burgos (LU)
39,Sanitary System,-,-,-,1.0000,0.0000,1.9970,1.9952,1.8777,1.5001,Burgos (LU)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Burgos (LU)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Burgos (LU)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Burgos (LU)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Burgos (LU)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Burgos (LU)
45,Internet Capability,-,-,-,-,-,-,-,-,0.04,Burgos (LU)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Burgos (LU)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Burgos (LU)
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Burgos (LU)
49,New Technology,-,-,-,-,-,-,-,-,0.0,Burgos (LU)
