,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0679,0.0000,0.0000,0.0000,0.0146,0.0867,0.0159,0.0026,Viga
1,Local Economy Growth,-,0.1519,0.0000,0.0000,0.0000,0.0013,1.0300,0.0010,0.0002,Viga
2,Active Establishments in the Locality,-,-,-,0.0000,0.0000,0.0900,0.1760,0.3087,0.2129,Viga
3,Safety Compliant Business,-,-,-,0.0000,0.0000,0.0000,0.1123,0.1874,0.1398,Viga
4,Employment Generation,-,0.4088,0.0000,0.0000,0.0000,0.0587,0.0926,0.1519,0.1935,Viga
5,Cost of Living,-,3.3120,3.3333,1.4224,1.7130,1.5000,1.7188,0.0000,1.9989,Viga
6,Cost of Doing Business,-,0.8821,0.3437,0.3551,0.2078,1.2414,1.5724,2.3351,1.8541,Viga
7,Financial Deepening,-,0.2825,0.1543,0.0265,0.0042,0.0469,0.1269,0.1574,0.0707,Viga
8,Productivity,-,0.0196,0.0000,0.0000,0.0000,0.0491,0.1300,0.1026,0.0796,Viga
9,Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0274,0.0,Viga
10,Compliance to National Directives,-,0.0000,0.2222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Viga
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9991,Viga
12,Compliance to ARTA Citizens Charter,-,2.3560,1.4782,1.8531,0.0000,2.3744,2.4771,1.9762,2.0,Viga
13,Capacity to Generate Local Resource,-,0.8793,0.0000,0.0000,0.0000,0.0000,0.0475,0.0194,0.0161,Viga
14,Capacity of Health Services,-,0.0600,0.0228,0.0174,0.0000,0.0516,0.0553,0.0648,0.0471,Viga
15,Capacity of School Services,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,Viga
16,Recognition of Performance,-,0.5556,0.0000,0.0000,0.0000,0.0000,0.0430,0.0000,0.0417,Viga
17,Getting Business Permits,-,-,0.0000,1.4247,0.0000,2.4205,2.4938,1.8654,1.5,Viga
18,Peace and Order,-,0.1928,0.1418,0.0000,0.0000,0.1728,0.2168,0.0800,0.0002,Viga
19,Social Protection,-,-,0.0000,0.0000,0.0000,0.4731,0.4126,0.0000,0.7504,Viga
20,Road Network,-,0.0001,0.0017,0.0000,0.0000,0.0866,0.0005,0.0754,0.0007,Viga
21,Distance to Ports,-,2.0082,1.1011,0.8259,0.0000,0.0000,0.8194,2.2657,1.9154,Viga
22,Availability of Basic Utilities,-,3.3333,3.3333,0.0000,0.0000,1.2500,1.0000,1.5500,0.3633,Viga
23,Transportation Vehicles,-,0.0127,0.0065,0.0042,0.0000,0.0021,0.0021,0.0057,0.0007,Viga
24,Education,-,0.1149,0.1512,0.1078,0.0000,0.0084,0.0416,0.0000,0.0615,Viga
25,Health,-,0.1670,0.0896,0.0414,0.0000,0.0291,0.0757,0.0369,0.0511,Viga
26,LGU Investment,-,0.0000,0.0000,0.0000,0.0000,1.3015,0.0510,0.0958,0.0001,Viga
27,Accommodation Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0221,0.0299,Viga
28,Information Technology Capacity,-,0.8419,0.9471,0.4960,0.0000,0.2430,0.0833,0.0543,0.1739,Viga
29,Financial Technology Capacity,-,0.2381,0.2381,0.1563,0.0000,0.2649,0.2500,0.1389,0.0486,Viga
30,Land Use Plan,-,-,-,0.0000,0.0000,1.5000,0.9103,0.0000,0.0,Viga
31,Disaster Risk Reduction Plan,-,-,-,0.0000,0.0000,2.5000,2.5000,2.4853,1.5,Viga
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2829,1.002,Viga
33,Early Warning System,-,-,-,0.0000,0.0000,0.0000,2.5000,1.2525,1.002,Viga
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.1200,0.0401,0.0026,0.0,Viga
35,Local Risk Assessments,-,-,-,0.0000,0.0000,2.5000,1.2500,2.5000,2.0,Viga
36,Emergency Infrastructure,-,-,-,0.0000,0.0000,0.4455,0.4473,0.2508,0.3794,Viga
37,Utilities,-,-,-,0.0000,0.0000,0.6512,1.2615,0.7500,1.4988,Viga
38,Employed Population,-,-,-,0.0000,0.0000,0.0317,0.0245,0.0148,0.0045,Viga
39,Sanitary System,-,-,-,0.0000,0.0000,0.0227,1.0003,1.2500,1.0,Viga
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0267,Viga
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Viga
42,STEM graduates,-,-,-,-,-,-,-,-,0.05,Viga
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Viga
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Viga
45,Internet Capability,-,-,-,-,-,-,-,-,1.087,Viga
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Viga
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,Viga
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Viga
49,New Technology,-,-,-,-,-,-,-,-,0.0,Viga
