,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.0484,0.3308,0.3266,0.0339,0.0544,0.0450,0.0545,0.0598,0.0659,Kidapawan
1,Local Economy Growth,0.8293,0.3025,0.2544,0.0541,0.1008,0.0526,0.6103,0.0387,0.0084,Kidapawan
2,Active Establishments in the Locality,-,-,-,0.4207,0.7354,0.4553,0.3274,0.4444,0.4851,Kidapawan
3,Safety Compliant Business,-,-,-,0.4733,0.3493,0.4238,0.4002,0.4330,0.4465,Kidapawan
4,Employment Generation,0.1896,0.2809,0.9767,0.1959,0.1136,0.2662,0.3800,0.3627,0.0736,Kidapawan
5,Cost of Living,2.7564,2.4909,2.5833,0.8621,2.0408,0.4365,2.3239,0.5195,0.7692,Kidapawan
6,Cost of Doing Business,2.9629,3.1148,3.2909,2.0592,1.9523,2.0384,2.0272,2.0454,1.6075,Kidapawan
7,Financial Deepening,0.2433,0.5654,1.2266,0.9000,0.9370,0.3059,0.5491,0.5885,0.529,Kidapawan
8,Productivity,0.0479,0.3971,0.1903,0.0129,0.0888,0.2216,0.3435,0.2979,0.056,Kidapawan
9,Presence of Business and Professional Organizations,0.6190,0.9892,2.7013,0.1512,0.1408,0.1127,0.3139,0.3389,0.4222,Kidapawan
10,Compliance to National Directives,3.3333,3.3333,2.9412,2.4306,2.4306,2.3611,2.5000,2.4265,1.8571,Kidapawan
11,Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.9048,Kidapawan
12,Compliance to ARTA Citizens Charter,-,2.8567,2.4402,2.3271,2.3026,2.3345,2.3081,0.9375,2.0,Kidapawan
13,Capacity to Generate Local Resource,0.6303,0.7523,1.3515,0.9932,1.0123,0.0780,0.1469,0.0842,0.2515,Kidapawan
14,Capacity of Health Services,0.3196,0.9308,0.6775,0.5044,0.7815,0.5681,0.4286,0.3506,0.4971,Kidapawan
15,Capacity of School Services,0.6750,0.9960,0.3728,0.3374,0.4644,0.5750,0.3138,0.2817,0.2257,Kidapawan
