,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.4322,0.5869,0.4547,0.2388,0.1260,0.1203,0.0914,0.4528,0.3122,Mandaue
1,Local Economy Growth,1.1714,1.2428,0.4997,0.2579,0.3812,0.8441,1.1188,1.6491,0.6447,Mandaue
2,Active Establishments in the Locality,-,-,-,0.1853,0.5381,0.3793,0.2728,0.9088,0.789,Mandaue
3,Safety Compliant Business,-,-,-,0.2361,0.1996,0.0590,0.2886,0.2034,0.1393,Mandaue
4,Employment Generation,0.0000,0.7308,0.7771,0.3890,2.5000,0.4828,0.4975,0.5355,0.533,Mandaue
5,Cost of Living,3.1410,1.3258,2.2619,0.0000,1.3333,0.7895,1.9531,2.5000,2.0,Mandaue
6,Cost of Doing Business,3.0108,3.4315,2.7753,1.8429,1.7326,1.8413,1.8210,2.0136,1.7551,Mandaue
7,Financial Deepening,0.1409,0.8381,0.6365,0.3973,0.2975,0.2696,0.2885,0.4348,0.2447,Mandaue
8,Productivity,0.0000,0.1762,2.4638,0.6463,0.0000,0.5787,0.4960,0.8401,0.7163,Mandaue
9,Presence of Business and Professional Organizations,0.0755,0.3792,0.0553,0.1050,0.5381,0.0745,0.1144,0.1189,0.1112,Mandaue
10,Compliance to National Directives,3.3333,3.3333,3.0159,2.5000,2.4219,2.2115,2.2115,1.7857,1.0,Mandaue
11,Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,1.2500,2.5000,2.5000,2.5000,2.5000,1.9556,Mandaue
12,Compliance to ARTA Citizens Charter,-,2.3296,0.6137,0.7227,1.6172,0.7295,1.4886,0.9415,2.0,Mandaue
13,Capacity to Generate Local Resource,0.0000,0.0000,0.7423,0.8256,1.0698,0.1922,0.2424,0.1006,0.1593,Mandaue
14,Capacity of Health Services,0.0927,0.2050,0.2113,0.1172,0.7560,0.2216,0.3294,0.2574,0.5395,Mandaue
15,Capacity of School Services,0.3787,0.7347,1.0775,0.5048,0.9398,0.2443,0.4486,0.1713,0.6684,Mandaue
16,Recognition of Performance,0.0000,0.7005,0.5114,0.5048,0.4167,0.2062,0.0513,0.1250,0.3653,Mandaue
17,Getting Business Permits,-,-,2.4836,1.7041,2.0833,2.0813,1.2500,1.7190,2.0,Mandaue
18,Peace and Order,0.8874,1.2717,0.9674,0.5585,0.4881,0.1666,0.1466,0.1164,0.0004,Mandaue
19,Social Protection,-,-,0.0190,0.1897,0.5546,0.2255,0.1181,0.1651,1.4054,Mandaue
20,Road Network,0.0000,0.0045,0.5222,1.1313,0.0000,0.7248,0.5777,0.6337,0.011,Mandaue
21,Distance to Ports,3.1890,2.9985,3.0909,2.2569,2.1271,2.2461,2.2566,2.2566,1.8218,Mandaue
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,2.5000,2.4578,1.8750,2.5000,1.7969,Mandaue
23,Transportation Vehicles,0.0000,0.2099,0.1204,0.1472,0.1760,0.3882,0.0842,0.2997,0.2367,Mandaue
24,Education,0.3179,0.2442,0.4360,0.2923,0.3376,0.1768,0.2895,0.1898,0.1703,Mandaue
25,Health,0.0719,0.2013,0.2846,0.2132,0.7669,0.3705,0.2694,0.2292,0.211,Mandaue
26,LGU Investment,0.6728,0.5627,0.0000,0.1783,0.3902,0.5340,0.1391,0.1310,0.0574,Mandaue
27,Accommodation Capacity,0.0362,0.0488,0.0079,0.4135,0.2810,0.2772,0.2989,0.2682,0.5202,Mandaue
28,Information Technology Capacity,0.1710,0.0045,0.1806,0.0000,0.2671,0.1797,0.2831,0.1538,0.0581,Mandaue
29,Financial Technology Capacity,0.6664,0.1308,0.0974,0.0905,0.1519,0.1632,0.1748,0.1531,0.0335,Mandaue
30,Land Use Plan,-,-,-,2.5000,2.5000,2.3462,2.3846,2.3824,1.9444,Mandaue
31,Disaster Risk Reduction Plan,-,-,-,2.5000,2.5000,2.3611,2.5000,2.5000,1.95,Mandaue
32,Annual Disaster Drill,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2568,1.0108,Mandaue
33,Early Warning System,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2672,1.0136,Mandaue
34,Budget for DRRMP,-,-,-,2.3131,0.7612,0.2151,0.1094,0.1339,0.5601,Mandaue
35,Local Risk Assessments,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0,Mandaue
36,Emergency Infrastructure,-,-,-,0.9230,0.1659,0.5100,0.6125,0.3698,0.4615,Mandaue
37,Utilities,-,-,-,1.1738,1.5289,1.7944,1.5701,1.3123,1.3809,Mandaue
38,Employed Population,-,-,-,0.2749,0.1165,0.0798,0.0472,0.0469,0.0355,Mandaue
39,Sanitary System,-,-,-,1.5000,2.0038,2.0038,1.9414,2.3837,1.693,Mandaue
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.1389,Mandaue
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0178,Mandaue
42,STEM graduates,-,-,-,-,-,-,-,-,0.088,Mandaue
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0461,Mandaue
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Mandaue
45,Internet Capability,-,-,-,-,-,-,-,-,1.0153,Mandaue
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.1611,Mandaue
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,Mandaue
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Mandaue
49,New Technology,-,-,-,-,-,-,-,-,0.0323,Mandaue
