,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,0.0000,0.0000,0.0017,0.0157,0.0950,0.0046,Balangkayan
1,Local Economy Growth,-,-,-,0.0000,0.0000,0.0000,0.0316,0.0251,0.0,Balangkayan
2,Active Establishments in the Locality,-,-,-,0.0000,0.0000,0.1388,0.5063,0.4099,0.3487,Balangkayan
3,Safety Compliant Business,-,-,-,0.1825,0.0000,0.1186,0.4320,0.3765,0.2846,Balangkayan
4,Employment Generation,-,-,-,0.0000,0.0000,0.0540,0.2533,0.1273,0.1682,Balangkayan
5,Cost of Living,-,-,-,1.5517,1.8981,1.2500,1.2705,2.0938,1.1316,Balangkayan
6,Cost of Doing Business,-,-,-,1.9000,1.2431,1.4946,1.6456,1.7152,1.6122,Balangkayan
7,Financial Deepening,-,-,-,0.0794,0.0461,0.0477,0.1799,0.1355,0.0251,Balangkayan
8,Productivity,-,-,-,0.0000,0.0000,0.0007,0.1859,0.0707,0.1057,Balangkayan
9,Presence of Business and Professional Organizations,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Balangkayan
10,Compliance to National Directives,-,-,-,2.1711,0.0000,2.4950,2.5000,2.4405,1.8636,Balangkayan
11,Presence of Investment Promotion Unit,-,-,-,0.0000,0.0000,1.8750,1.8750,0.0000,0.0,Balangkayan
12,Compliance to ARTA Citizens Charter,-,-,-,2.3644,0.0000,2.3696,2.4166,2.3127,2.0,Balangkayan
13,Capacity to Generate Local Resource,-,-,-,0.0000,0.0000,0.0087,0.0076,0.0078,0.0033,Balangkayan
14,Capacity of Health Services,-,-,-,0.0698,0.0000,0.0296,0.0751,0.0154,0.0002,Balangkayan
15,Capacity of School Services,-,-,-,0.0721,0.0000,0.0773,0.0468,0.0170,0.02,Balangkayan
16,Recognition of Performance,-,-,-,0.0721,0.0000,0.1389,0.0833,0.0000,0.0,Balangkayan
17,Getting Business Permits,-,-,-,1.0202,0.0000,1.5091,1.5394,1.8431,1.5,Balangkayan
18,Peace and Order,-,-,-,0.5084,0.0000,0.1613,0.4605,0.2083,0.0001,Balangkayan
19,Social Protection,-,-,-,0.1929,0.0000,0.5646,0.2037,0.0000,0.002,Balangkayan
20,Road Network,-,-,-,0.0000,0.0000,0.0009,0.0112,0.0820,0.0004,Balangkayan
21,Distance to Ports,-,-,-,0.0000,0.0000,2.1775,2.1150,1.2843,1.2551,Balangkayan
22,Availability of Basic Utilities,-,-,-,2.5000,0.0000,2.3625,2.4250,2.4250,0.3307,Balangkayan
23,Transportation Vehicles,-,-,-,0.0026,0.0000,0.0011,0.0018,0.0161,0.011,Balangkayan
24,Education,-,-,-,0.0396,0.0000,0.0027,0.0078,0.0228,0.0346,Balangkayan
25,Health,-,-,-,0.1385,0.0000,0.0100,0.0062,0.0339,0.0354,Balangkayan
26,LGU Investment,-,-,-,0.0649,0.0000,0.0536,0.1847,0.0000,0.0019,Balangkayan
27,Accommodation Capacity,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0065,0.0,Balangkayan
28,Information Technology Capacity,-,-,-,0.3175,0.0000,0.1930,0.4792,0.1786,0.25,Balangkayan
29,Financial Technology Capacity,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0568,0.1154,Balangkayan
30,Land Use Plan,-,-,-,2.5000,0.0000,2.3974,2.5000,2.5000,1.9861,Balangkayan
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.2685,2.0833,2.4762,1.9985,Balangkayan
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,0.9821,2.2321,1.2544,0.0,Balangkayan
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2500,1.1136,Balangkayan
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.1009,0.2075,0.0000,0.0017,Balangkayan
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,1.2500,1.2500,2.0,Balangkayan
36,Emergency Infrastructure,-,-,-,0.8576,0.0000,0.4487,0.5121,0.2455,0.4016,Balangkayan
37,Utilities,-,-,-,0.9797,0.0000,1.8719,1.8344,1.2792,1.2406,Balangkayan
38,Employed Population,-,-,-,0.0238,0.0000,0.0183,0.0445,0.0378,0.0181,Balangkayan
39,Sanitary System,-,-,-,0.5111,0.0000,2.0152,1.9970,0.0000,1.0,Balangkayan
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Balangkayan
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Balangkayan
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Balangkayan
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Balangkayan
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Balangkayan
45,Internet Capability,-,-,-,-,-,-,-,-,0.04,Balangkayan
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Balangkayan
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Balangkayan
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Balangkayan
49,New Technology,-,-,-,-,-,-,-,-,0.0,Balangkayan
