,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.4209,0.4840,0.0185,0.0591,0.1338,0.2937,0.1607,0.0259,Compostela (CU)
1,Local Economy Growth,-,0.2830,0.0942,0.0030,0.0018,0.0017,1.0267,0.0011,0.0004,Compostela (CU)
2,Active Establishments in the Locality,-,-,-,0.2685,0.0077,0.5292,0.7317,0.8152,0.576,Compostela (CU)
3,Safety Compliant Business,-,-,-,0.6332,0.0715,0.5944,0.6763,0.5504,0.4015,Compostela (CU)
4,Employment Generation,-,1.7691,1.0607,0.8578,0.1021,0.6186,0.6629,0.7944,0.7757,Compostela (CU)
5,Cost of Living,-,3.2051,2.6667,0.6466,1.4352,1.5000,1.6667,2.3750,1.9996,Compostela (CU)
6,Cost of Doing Business,-,2.0082,3.3427,1.8602,1.9278,2.0003,2.0451,1.9952,1.8769,Compostela (CU)
7,Financial Deepening,-,3.6017,2.9321,0.6217,0.1804,0.3851,0.4809,0.7147,0.2276,Compostela (CU)
8,Productivity,-,0.1671,0.0728,0.0047,0.0509,0.6279,0.8191,0.8615,0.5463,Compostela (CU)
9,Presence of Business and Professional Organizations,-,0.0000,0.0130,0.0010,0.0000,0.0009,0.0016,0.0152,0.0,Compostela (CU)
10,Compliance to National Directives,-,2.5000,1.5960,1.9737,0.0000,2.4907,2.5000,1.8929,1.3077,Compostela (CU)
11,Presence of Investment Promotion Unit,-,0.0000,1.6667,0.0000,0.0000,2.5000,1.2500,1.2500,1.333,Compostela (CU)
12,Compliance to ARTA Citizens Charter,-,1.4340,1.5241,1.6580,0.0000,2.2997,2.4333,2.1804,2.0,Compostela (CU)
13,Capacity to Generate Local Resource,-,0.0000,0.1685,1.2559,0.0000,0.3475,0.2417,0.1107,0.2342,Compostela (CU)
14,Capacity of Health Services,-,0.0000,0.3157,0.1467,0.0000,0.0456,0.0329,0.0998,0.0103,Compostela (CU)
15,Capacity of School Services,-,0.0000,0.1349,0.1770,0.0000,0.5680,0.1329,0.1306,0.0329,Compostela (CU)
16,Recognition of Performance,-,0.5556,0.3258,0.1770,0.0000,0.0000,0.0000,0.0000,0.0,Compostela (CU)
17,Getting Business Permits,-,-,0.0000,1.1836,0.0000,2.2940,2.3572,1.8650,1.5,Compostela (CU)
18,Peace and Order,-,0.1038,0.0384,0.1097,0.0000,0.1959,0.2934,0.0924,0.089,Compostela (CU)
19,Social Protection,-,-,0.0025,0.8829,0.0000,2.1492,1.0048,0.2406,1.1725,Compostela (CU)
20,Road Network,-,0.0000,0.0053,0.0000,0.0000,0.0045,0.0007,0.0197,0.0023,Compostela (CU)
21,Distance to Ports,-,0.0000,3.2016,2.4371,0.0000,2.3931,2.4000,2.4033,1.9641,Compostela (CU)
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.3125,2.0938,2.3625,0.2252,Compostela (CU)
23,Transportation Vehicles,-,0.3953,0.2744,0.1106,0.0000,0.0091,0.0481,0.0392,0.0215,Compostela (CU)
24,Education,-,0.5079,0.5869,0.4106,0.0000,0.2965,0.1496,0.2719,0.161,Compostela (CU)
25,Health,-,0.0000,0.3249,0.1752,0.0000,0.0389,0.0786,0.1105,0.1204,Compostela (CU)
26,LGU Investment,-,0.0000,2.9988,0.1237,0.0000,0.1227,0.0795,0.1831,0.0008,Compostela (CU)
27,Accommodation Capacity,-,0.0000,0.0505,0.0144,0.0000,0.0000,0.0000,0.0082,0.0146,Compostela (CU)
28,Information Technology Capacity,-,0.6709,1.1799,0.4960,0.0000,0.2194,0.3981,0.3261,0.2609,Compostela (CU)
29,Financial Technology Capacity,-,0.2778,0.3333,0.6563,0.0000,0.5231,0.4063,0.2282,0.1849,Compostela (CU)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.3077,2.3077,2.2714,1.7568,Compostela (CU)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.4853,1.9998,Compostela (CU)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.3214,2.5000,1.2829,1.001,Compostela (CU)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2649,1.0119,Compostela (CU)
34,Budget for DRRMP,-,-,-,0.0020,0.0000,0.2441,0.0602,0.0020,0.0,Compostela (CU)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Compostela (CU)
36,Emergency Infrastructure,-,-,-,0.9573,0.0000,0.5727,0.6156,0.4753,0.5832,Compostela (CU)
37,Utilities,-,-,-,1.5811,0.0000,1.8789,1.8795,1.2711,1.5002,Compostela (CU)
38,Employed Population,-,-,-,0.7441,0.0000,0.0244,0.1705,0.1788,0.0498,Compostela (CU)
39,Sanitary System,-,-,-,1.1667,0.0000,1.5947,1.5011,1.8756,1.5001,Compostela (CU)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Compostela (CU)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Compostela (CU)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Compostela (CU)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0207,Compostela (CU)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Compostela (CU)
45,Internet Capability,-,-,-,-,-,-,-,-,1.2391,Compostela (CU)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Compostela (CU)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Compostela (CU)
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Compostela (CU)
49,New Technology,-,-,-,-,-,-,-,-,0.0,Compostela (CU)
