,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.9079,0.2256,0.0124,0.0671,0.1185,0.2004,0.0610,0.0082,Mawab
1,Local Economy Growth,-,0.4863,0.0768,0.0047,0.0111,0.0012,1.0261,0.0004,0.0011,Mawab
2,Active Establishments in the Locality,-,-,-,0.0000,0.0069,0.5398,0.4675,0.4808,0.3542,Mawab
3,Safety Compliant Business,-,-,-,0.3002,0.2088,0.4608,0.3914,0.3612,0.2266,Mawab
4,Employment Generation,-,0.7278,0.2295,0.1190,0.0990,0.2153,0.1592,0.1558,0.2022,Mawab
5,Cost of Living,-,3.5791,2.6667,1.1207,1.0648,1.7500,0.8333,2.4688,1.9994,Mawab
6,Cost of Doing Business,-,2.5608,2.6509,1.8236,1.9576,1.8204,1.9146,2.0462,1.8666,Mawab
7,Financial Deepening,-,0.4237,0.6173,0.2249,0.1174,0.1945,0.3012,0.6587,0.4283,Mawab
8,Productivity,-,0.1606,0.0927,0.0262,0.0621,0.2631,0.2016,0.1976,0.1479,Mawab
9,Presence of Business and Professional Organizations,-,0.2493,0.4297,0.0669,0.0743,0.3340,0.1215,0.0549,0.0381,Mawab
10,Compliance to National Directives,-,3.0000,3.2997,2.3684,0.0000,2.4994,2.5000,2.4643,1.9231,Mawab
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,2.5000,0.0000,2.5000,2.5000,2.5000,1.9984,Mawab
12,Compliance to ARTA Citizens Charter,-,2.5943,1.7725,2.4024,0.0000,2.4151,2.4961,2.2501,2.0,Mawab
13,Capacity to Generate Local Resource,-,0.1242,0.1107,0.0723,0.0000,0.2319,0.1242,0.0979,0.1079,Mawab
14,Capacity of Health Services,-,0.1834,0.2315,0.9104,0.0000,0.0996,0.1539,0.1197,0.0763,Mawab
15,Capacity of School Services,-,0.0000,0.3424,0.0119,0.0000,0.6031,0.1009,0.1349,0.052,Mawab
16,Recognition of Performance,-,0.5556,0.5013,0.0119,0.0000,0.4146,0.1888,0.2003,0.137,Mawab
17,Getting Business Permits,-,-,0.0000,1.4416,0.0000,2.4254,2.4959,2.1778,2.0,Mawab
18,Peace and Order,-,0.2134,0.0995,0.1572,0.0000,0.5991,0.7653,0.1478,0.0002,Mawab
19,Social Protection,-,-,0.0405,0.3087,0.0000,1.7176,1.5140,0.2677,1.317,Mawab
20,Road Network,-,0.0002,0.0045,0.0015,0.0000,0.0952,0.0008,0.0809,0.0,Mawab
21,Distance to Ports,-,0.7778,1.8525,2.3696,0.0000,2.3654,2.2909,2.3300,1.9727,Mawab
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.5000,2.2313,2.4813,0.3317,Mawab
23,Transportation Vehicles,-,0.2241,0.0965,0.0748,0.0000,0.0289,0.4664,0.0746,0.0128,Mawab
24,Education,-,0.5133,0.3582,0.2900,0.0000,0.3581,0.1276,0.3197,0.0891,Mawab
25,Health,-,1.1717,1.0102,0.5700,0.0000,0.5163,0.3769,0.3641,0.2088,Mawab
26,LGU Investment,-,0.0000,0.0000,0.1118,0.0000,0.1432,0.0513,0.1483,0.0001,Mawab
27,Accommodation Capacity,-,0.0000,0.0000,0.0055,0.0000,0.0580,0.0648,0.0696,0.0,Mawab
28,Information Technology Capacity,-,1.5598,1.7989,0.3770,0.0000,0.4221,0.7731,0.2717,0.2609,Mawab
29,Financial Technology Capacity,-,0.0000,0.0000,0.2500,0.0000,0.1563,0.1250,0.0694,0.0455,Mawab
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4872,2.5000,2.5000,1.973,Mawab
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.5000,2.0,Mawab
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,1.2500,2.5000,1.2500,1.0025,Mawab
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2874,1.0356,Mawab
34,Budget for DRRMP,-,-,-,0.0018,0.0000,0.2000,0.0603,0.0022,0.0,Mawab
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Mawab
36,Emergency Infrastructure,-,-,-,0.0273,0.0000,0.4919,0.4750,0.3449,0.4523,Mawab
37,Utilities,-,-,-,0.0000,0.0000,1.8803,1.8817,1.2730,1.5031,Mawab
38,Employed Population,-,-,-,0.3338,0.0000,0.0366,0.0170,0.0811,0.018,Mawab
39,Sanitary System,-,-,-,1.6729,0.0000,2.1674,1.9975,1.8754,1.5001,Mawab
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0007,Mawab
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Mawab
42,STEM graduates,-,-,-,-,-,-,-,-,0.22,Mawab
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0086,Mawab
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Mawab
45,Internet Capability,-,-,-,-,-,-,-,-,1.1304,Mawab
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.059,Mawab
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Mawab
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Mawab
49,New Technology,-,-,-,-,-,-,-,-,0.0,Mawab
