,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.1273,0.1916,0.0002,0.0036,0.0151,0.0346,0.0250,0.0015,Sierra Bullones
1,Local Economy Growth,-,0.2740,0.0837,0.0012,0.0193,0.0035,1.0272,0.0010,0.0005,Sierra Bullones
2,Active Establishments in the Locality,-,-,-,0.0000,0.0038,0.2917,0.2779,0.3902,0.3653,Sierra Bullones
3,Safety Compliant Business,-,-,-,0.0784,0.1013,0.3291,0.3721,0.3029,0.1836,Sierra Bullones
4,Employment Generation,-,0.2707,0.0854,0.0871,0.0400,0.0729,0.0535,0.0700,0.0659,Sierra Bullones
5,Cost of Living,-,3.2051,2.9167,0.5603,1.8981,1.2500,1.9271,2.2500,1.9993,Sierra Bullones
6,Cost of Doing Business,-,3.3722,3.4224,1.9751,2.0337,2.0894,2.1523,2.2316,1.8971,Sierra Bullones
7,Financial Deepening,-,1.4831,1.6204,0.1720,0.1007,0.1437,0.2230,0.3398,0.0997,Sierra Bullones
8,Productivity,-,0.0178,0.0076,0.0000,0.0037,0.0606,0.0503,0.0876,0.0469,Sierra Bullones
9,Presence of Business and Professional Organizations,-,0.0000,0.0260,0.0000,0.0000,0.0000,0.0000,0.0534,0.0,Sierra Bullones
10,Compliance to National Directives,-,3.3333,2.4242,1.4803,0.0000,2.4994,2.5000,2.4286,1.8846,Sierra Bullones
11,Presence of Investment Promotion Unit,-,0.8333,3.3333,2.5000,0.0000,2.5000,1.8750,2.5000,1.9987,Sierra Bullones
12,Compliance to ARTA Citizens Charter,-,2.6960,1.3437,2.1164,0.0000,2.4859,2.4717,2.0959,2.0,Sierra Bullones
13,Capacity to Generate Local Resource,-,1.8160,0.0602,0.7913,0.0000,0.0598,0.0843,0.0156,0.0275,Sierra Bullones
14,Capacity of Health Services,-,0.1869,0.2207,0.1628,0.0000,0.0652,0.0689,0.0610,0.0222,Sierra Bullones
15,Capacity of School Services,-,0.2374,0.2882,0.0544,0.0000,0.4083,0.0621,0.0576,0.0157,Sierra Bullones
16,Recognition of Performance,-,0.0000,0.6516,0.0544,0.0000,0.1042,0.0417,0.0000,0.0787,Sierra Bullones
17,Getting Business Permits,-,-,1.1111,2.1804,0.0000,2.3150,2.4009,1.8570,2.0,Sierra Bullones
18,Peace and Order,-,0.1522,0.1018,0.1803,0.0000,0.2419,0.3444,0.1108,0.0002,Sierra Bullones
19,Social Protection,-,-,0.0000,0.4649,0.0000,1.0834,0.9010,0.2040,1.2253,Sierra Bullones
20,Road Network,-,0.0001,0.0012,0.0004,0.0000,0.1056,0.0005,0.0958,0.0007,Sierra Bullones
21,Distance to Ports,-,2.9811,3.0098,2.3586,0.0000,2.2472,2.2375,2.3059,1.9693,Sierra Bullones
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.4756,2.2144,2.3125,0.0,Sierra Bullones
23,Transportation Vehicles,-,0.0507,0.0753,0.0479,0.0000,0.0014,0.0093,0.0141,0.0014,Sierra Bullones
24,Education,-,0.1292,0.1717,0.5045,0.0000,0.1141,0.1750,0.0484,0.1387,Sierra Bullones
25,Health,-,0.0000,0.0000,0.0220,0.0000,0.0000,0.0239,0.0270,0.0284,Sierra Bullones
26,LGU Investment,-,0.0000,0.0000,0.0000,0.0000,0.0921,0.0461,0.1381,0.0003,Sierra Bullones
27,Accommodation Capacity,-,0.2218,0.2332,0.0277,0.0000,0.0031,0.0706,0.0027,0.0001,Sierra Bullones
28,Information Technology Capacity,-,0.8932,0.9101,0.8234,0.0000,0.4957,0.7824,0.4891,0.1739,Sierra Bullones
29,Financial Technology Capacity,-,0.2381,0.2381,0.1563,0.0000,0.0543,0.1563,0.0893,0.0455,Sierra Bullones
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4872,2.4872,2.4571,1.9459,Sierra Bullones
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,1.9853,1.9998,Sierra Bullones
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.5000,2.5000,0.0000,1.0005,Sierra Bullones
