,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.3216,0.1678,0.0704,0.2200,0.0751,0.1755,0.2068,0.0969,Concepcion (TC)
1,Local Economy Growth,-,0.3805,0.0743,0.0135,0.0304,0.0024,0.3322,0.0007,0.0,Concepcion (TC)
2,Active Establishments in the Locality,-,-,-,0.1820,0.3434,0.1736,0.3356,0.3032,0.1602,Concepcion (TC)
3,Safety Compliant Business,-,-,-,0.1453,0.2311,0.1778,0.1830,0.2237,0.0,Concepcion (TC)
4,Employment Generation,-,0.0657,0.3423,0.2684,0.2193,0.3425,0.3668,0.3124,0.2503,Concepcion (TC)
5,Cost of Living,-,2.3256,2.1667,1.7905,1.8056,0.9921,0.5172,0.2500,1.8798,Concepcion (TC)
6,Cost of Doing Business,-,1.6531,3.3164,1.7549,1.7306,1.9070,1.9764,1.9929,1.7429,Concepcion (TC)
7,Financial Deepening,-,0.8517,0.9284,0.4419,0.0755,0.4556,0.4244,0.4597,0.4643,Concepcion (TC)
8,Productivity,-,0.0637,0.0032,0.0180,0.0122,0.0058,0.3792,0.4354,0.2735,Concepcion (TC)
9,Presence of Business and Professional Organizations,-,0.0048,0.0062,2.5000,0.0000,0.0007,0.0090,0.0088,0.0011,Concepcion (TC)
10,Compliance to National Directives,-,3.3333,3.2456,2.3077,0.0000,2.2000,2.2727,2.0238,1.6786,Concepcion (TC)
11,Presence of Investment Promotion Unit,-,0.0000,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9231,Concepcion (TC)
12,Compliance to ARTA Citizens Charter,-,1.4984,2.2701,2.3076,0.0000,2.4035,2.3887,1.9975,1.0,Concepcion (TC)
13,Capacity to Generate Local Resource,-,0.0000,0.1555,0.2283,0.0000,0.3871,0.3512,0.0361,0.0115,Concepcion (TC)
14,Capacity of Health Services,-,0.3474,0.2911,0.2830,0.0000,0.2152,0.2020,0.2989,0.0022,Concepcion (TC)
15,Capacity of School Services,-,0.7253,0.4655,0.1716,0.0000,0.5932,0.2210,0.1252,0.0282,Concepcion (TC)
16,Recognition of Performance,-,0.0000,0.2886,0.1716,0.0000,0.0000,0.0307,0.0551,0.0291,Concepcion (TC)
17,Getting Business Permits,-,-,1.1111,1.2508,0.0000,1.6316,2.3194,2.0952,1.5,Concepcion (TC)
18,Peace and Order,-,0.0000,0.0402,0.3386,0.0000,0.0778,0.0754,0.1086,0.0,Concepcion (TC)
19,Social Protection,-,-,0.6562,0.0000,0.0000,0.6231,0.6232,0.4681,0.0009,Concepcion (TC)
20,Road Network,-,0.0008,0.0007,0.0027,0.0000,0.0344,0.0011,0.0532,0.0006,Concepcion (TC)
21,Distance to Ports,-,2.1442,2.1462,1.6263,0.0000,2.4534,2.3478,2.4554,1.8227,Concepcion (TC)
22,Availability of Basic Utilities,-,0.0000,3.3333,2.5000,0.0000,2.2933,2.2556,2.2974,0.0823,Concepcion (TC)
23,Transportation Vehicles,-,0.0000,0.1017,0.0580,0.0000,0.0244,0.0279,0.0233,0.0285,Concepcion (TC)
24,Education,-,0.5697,0.0845,0.1205,0.0000,0.0883,0.1414,0.1075,0.0745,Concepcion (TC)
25,Health,-,0.0000,0.3318,0.4767,0.0000,0.2884,0.3841,0.4666,0.4153,Concepcion (TC)
26,LGU Investment,-,0.0000,0.5039,0.3855,0.0000,0.6095,0.2834,0.3729,0.0009,Concepcion (TC)
