,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0961,0.0499,0.0011,0.0050,0.0085,0.0141,0.0128,0.0016,Pamplona (NR)
1,Local Economy Growth,-,0.2483,0.0283,0.0044,0.0020,0.0014,1.0262,0.0019,0.0003,Pamplona (NR)
2,Active Establishments in the Locality,-,-,-,0.0866,0.0028,0.2249,0.8219,0.7097,0.0184,Pamplona (NR)
3,Safety Compliant Business,-,-,-,0.4126,0.2898,0.4443,0.4623,0.7981,0.1977,Pamplona (NR)
4,Employment Generation,-,0.0000,0.0976,0.2247,0.0822,0.1923,0.1574,0.2523,0.5075,Pamplona (NR)
5,Cost of Living,-,3.3120,2.3333,0.5603,1.5278,1.0000,1.7188,2.0625,1.9993,Pamplona (NR)
6,Cost of Doing Business,-,2.7085,3.4584,2.1913,2.0134,2.0757,2.1224,2.1777,1.8966,Pamplona (NR)
7,Financial Deepening,-,0.7062,0.8488,0.1455,0.0461,0.1103,0.1761,0.1924,0.0993,Pamplona (NR)
8,Productivity,-,0.0000,0.0075,0.0009,0.0039,0.1516,0.0651,0.1121,0.3043,Pamplona (NR)
9,Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0020,0.0011,0.0038,0.2347,0.4238,0.0011,Pamplona (NR)
10,Compliance to National Directives,-,3.3333,3.0976,2.3355,0.0000,2.4975,2.3571,0.0000,0.0,Pamplona (NR)
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,2.5000,0.0000,2.5000,0.0000,0.0000,1.3334,Pamplona (NR)
12,Compliance to ARTA Citizens Charter,-,2.8920,1.5817,2.2273,0.0000,2.3220,2.4755,2.1626,2.0,Pamplona (NR)
13,Capacity to Generate Local Resource,-,1.6224,1.6243,1.0513,0.0000,0.1303,0.6651,0.0594,0.029,Pamplona (NR)
14,Capacity of Health Services,-,0.1199,0.1522,0.1163,0.0000,0.0686,0.0966,0.1018,0.032,Pamplona (NR)
15,Capacity of School Services,-,0.1672,0.2116,0.0780,0.0000,0.3018,0.0456,0.0763,0.0077,Pamplona (NR)
16,Recognition of Performance,-,0.1389,0.0000,0.0780,0.0000,0.0592,0.0847,0.0329,0.0333,Pamplona (NR)
17,Getting Business Permits,-,-,0.0000,1.5325,0.0000,2.3622,2.4035,1.5504,1.5,Pamplona (NR)
18,Peace and Order,-,0.1789,0.1179,0.1809,0.0000,0.4147,0.4082,0.2032,0.2064,Pamplona (NR)
19,Social Protection,-,-,0.0000,0.0000,0.0000,1.1757,1.0253,0.1783,0.0,Pamplona (NR)
20,Road Network,-,0.0000,0.0000,0.0004,0.0000,0.1022,0.0015,0.0992,0.6828,Pamplona (NR)
21,Distance to Ports,-,1.9929,3.1872,2.4438,0.0000,2.4247,2.3825,2.4004,1.3065,Pamplona (NR)
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.0063,1.7813,2.1000,0.4027,Pamplona (NR)
23,Transportation Vehicles,-,0.0733,0.0389,0.0252,0.0000,0.0040,0.0068,0.0141,0.0008,Pamplona (NR)
24,Education,-,0.2179,0.2660,0.1902,0.0000,0.0325,0.0888,0.0810,0.0218,Pamplona (NR)
25,Health,-,0.4090,0.4238,0.2984,0.0000,0.1410,0.0822,0.0477,0.0172,Pamplona (NR)
26,LGU Investment,-,0.6828,0.6705,0.1758,0.0000,0.0882,0.0822,0.1293,0.0001,Pamplona (NR)
27,Accommodation Capacity,-,0.0000,0.0579,0.0554,0.0000,0.0254,0.0332,0.0346,0.0,Pamplona (NR)
28,Information Technology Capacity,-,1.1197,0.8836,0.4464,0.0000,0.2291,0.4815,0.1630,0.2174,Pamplona (NR)
29,Financial Technology Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2282,0.0455,Pamplona (NR)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.4429,1.9189,Pamplona (NR)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.5000,2.4706,1.9998,Pamplona (NR)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,1.2500,2.5000,0.0082,0.0,Pamplona (NR)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2525,0.0,Pamplona (NR)
34,Budget for DRRMP,-,-,-,0.0035,0.0000,0.1581,0.0599,0.0025,0.0,Pamplona (NR)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Pamplona (NR)
36,Emergency Infrastructure,-,-,-,0.8730,0.0000,0.4683,0.5454,0.2818,0.3825,Pamplona (NR)
37,Utilities,-,-,-,0.9842,0.0000,1.8708,1.8728,1.2604,1.4999,Pamplona (NR)
38,Employed Population,-,-,-,0.2223,0.0000,0.0609,0.0565,0.0506,0.0036,Pamplona (NR)
39,Sanitary System,-,-,-,1.0556,0.0000,2.0568,1.9855,1.8751,2.0,Pamplona (NR)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Pamplona (NR)
