,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0947,0.0025,0.0051,0.0018,0.0051,0.0030,0.0018,Nueva Era
1,Local Economy Growth,-,-,0.1371,0.0052,0.0012,0.0009,1.0270,0.0010,0.0122,Nueva Era
2,Active Establishments in the Locality,-,-,-,0.1305,0.0006,0.0435,0.0892,0.0925,0.1391,Nueva Era
3,Safety Compliant Business,-,-,-,0.0597,0.0875,0.0343,0.0821,0.0900,0.1187,Nueva Era
4,Employment Generation,-,-,0.0297,0.0339,0.0127,0.0443,0.0352,0.0388,0.0983,Nueva Era
5,Cost of Living,-,-,2.9167,0.0000,1.3426,1.2500,0.8333,1.1563,1.9994,Nueva Era
6,Cost of Doing Business,-,-,3.1167,2.2698,2.0988,2.2049,2.3401,2.4124,1.9287,Nueva Era
7,Financial Deepening,-,-,0.3086,0.0265,0.0294,0.0031,0.0124,0.0713,0.0058,Nueva Era
8,Productivity,-,-,0.0080,0.0012,0.0054,0.0196,0.0190,0.0263,0.0234,Nueva Era
9,Presence of Business and Professional Organizations,-,-,0.0000,0.0039,0.0044,0.0195,0.0083,0.0595,0.0233,Nueva Era
10,Compliance to National Directives,-,-,3.2323,2.2697,0.0000,2.4994,2.4643,2.3929,1.8462,Nueva Era
11,Presence of Investment Promotion Unit,-,-,3.3333,0.6250,0.0000,2.5000,2.5000,2.5000,1.9997,Nueva Era
12,Compliance to ARTA Citizens Charter,-,-,2.0365,2.3045,0.0000,2.2797,2.4801,2.2543,2.0,Nueva Era
13,Capacity to Generate Local Resource,-,-,1.7192,0.6111,0.0000,0.0147,0.3600,0.0283,0.014,Nueva Era
14,Capacity of Health Services,-,-,0.0989,0.1163,0.0000,0.0355,0.0136,0.0461,0.0608,Nueva Era
15,Capacity of School Services,-,-,0.4265,0.1281,0.0000,0.1430,0.0176,0.0111,0.0096,Nueva Era
16,Recognition of Performance,-,-,0.0877,0.1281,0.0000,0.0694,0.0208,0.0000,0.2916,Nueva Era
17,Getting Business Permits,-,-,0.0000,1.3966,0.0000,1.6006,1.6512,1.5528,0.5,Nueva Era
18,Peace and Order,-,-,0.5735,0.4392,0.0000,0.1613,0.2679,0.0739,0.0004,Nueva Era
19,Social Protection,-,-,0.0150,0.2831,0.0000,0.3520,0.1606,0.0537,1.7144,Nueva Era
20,Road Network,-,-,0.0005,0.0002,0.0000,0.2891,0.0001,0.1330,0.0002,Nueva Era
21,Distance to Ports,-,-,3.0454,2.3859,0.0000,2.3541,2.3281,2.3565,1.9752,Nueva Era
22,Availability of Basic Utilities,-,-,3.3333,2.5000,0.0000,2.4375,1.7750,2.4375,0.456,Nueva Era
23,Transportation Vehicles,-,-,0.0393,0.0215,0.0000,0.0069,0.0030,0.0043,0.0048,Nueva Era
24,Education,-,-,0.1017,0.0698,0.0000,0.0134,0.0335,0.0208,0.0332,Nueva Era
25,Health,-,-,0.1753,0.0495,0.0000,0.0844,0.0114,0.0473,0.0205,Nueva Era
26,LGU Investment,-,-,0.9052,0.1774,0.0000,0.0930,0.0963,0.1658,0.0004,Nueva Era
27,Accommodation Capacity,-,-,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Nueva Era
28,Information Technology Capacity,-,-,0.0000,0.1389,0.0000,0.2500,0.3472,0.3261,0.087,Nueva Era
29,Financial Technology Capacity,-,-,0.0000,0.0000,0.0000,0.1563,0.1250,0.0694,0.0455,Nueva Era
30,Land Use Plan,-,-,-,0.0000,0.0000,2.4744,2.4744,2.4000,1.9865,Nueva Era
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.5000,1.9995,Nueva Era
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.3214,2.5000,1.3076,1.013,Nueva Era
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.4119,1.0217,Nueva Era
34,Budget for DRRMP,-,-,-,0.0021,0.0000,0.1639,0.0545,0.0025,0.0,Nueva Era
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Nueva Era
36,Emergency Infrastructure,-,-,-,0.9132,0.0000,0.4781,0.4617,0.2306,0.3649,Nueva Era
37,Utilities,-,-,-,1.0186,0.0000,1.8920,1.8851,1.3474,1.5031,Nueva Era
38,Employed Population,-,-,-,0.0781,0.0000,0.0890,0.0688,0.1064,0.0275,Nueva Era
39,Sanitary System,-,-,-,1.5408,0.0000,2.0447,1.9997,1.8751,1.5,Nueva Era
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.1313,Nueva Era
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Nueva Era
42,STEM graduates,-,-,-,-,-,-,-,-,0.0661,Nueva Era
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Nueva Era
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Nueva Era
45,Internet Capability,-,-,-,-,-,-,-,-,1.0,Nueva Era
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0005,Nueva Era
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Nueva Era
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Nueva Era
49,New Technology,-,-,-,-,-,-,-,-,0.0,Nueva Era
