,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,0.0007,0.0207,0.0211,0.0000,0.0037,0.0011,Pamplona (CS)
1,Local Economy Growth,-,-,-,0.0000,0.0139,0.0017,0.0000,0.0004,0.0002,Pamplona (CS)
2,Active Establishments in the Locality,-,-,-,0.0000,0.0000,0.1029,0.0000,0.2151,0.0902,Pamplona (CS)
3,Safety Compliant Business,-,-,-,0.0000,0.0000,0.0000,0.0000,0.4206,0.1565,Pamplona (CS)
4,Employment Generation,-,-,-,0.0000,0.0000,0.1535,0.0000,0.1469,0.1673,Pamplona (CS)
5,Cost of Living,-,-,-,1.0776,2.1759,1.2500,0.6771,0.0938,1.9988,Pamplona (CS)
6,Cost of Doing Business,-,-,-,0.7673,0.6141,1.4851,1.5505,1.8807,1.5568,Pamplona (CS)
7,Financial Deepening,-,-,-,0.1058,0.0503,0.0631,0.1390,0.2089,0.1511,Pamplona (CS)
8,Productivity,-,-,-,0.0000,0.0000,0.1177,0.0000,0.0970,0.098,Pamplona (CS)
9,Presence of Business and Professional Organizations,-,-,-,0.0010,0.2699,0.2419,0.3877,0.0152,0.0,Pamplona (CS)
10,Compliance to National Directives,-,-,-,2.3026,0.0000,2.4944,2.1786,2.4643,1.9231,Pamplona (CS)
11,Presence of Investment Promotion Unit,-,-,-,1.2500,0.0000,1.2500,1.2500,2.5000,0.0,Pamplona (CS)
12,Compliance to ARTA Citizens Charter,-,-,-,2.3058,0.0000,2.3599,2.4945,1.7386,2.0,Pamplona (CS)
13,Capacity to Generate Local Resource,-,-,-,0.0764,0.0000,0.0956,0.0000,0.0363,0.0337,Pamplona (CS)
14,Capacity of Health Services,-,-,-,0.1221,0.0000,0.0626,0.0415,0.0495,0.0,Pamplona (CS)
15,Capacity of School Services,-,-,-,0.0488,0.0000,0.3029,0.0370,0.1410,0.0169,Pamplona (CS)
16,Recognition of Performance,-,-,-,0.0488,0.0000,0.0940,0.0000,0.2159,0.0417,Pamplona (CS)
17,Getting Business Permits,-,-,-,0.0000,0.0000,1.5288,1.5702,2.4863,1.0,Pamplona (CS)
18,Peace and Order,-,-,-,0.1130,0.0000,0.2189,0.3189,0.0062,0.0001,Pamplona (CS)
19,Social Protection,-,-,-,0.2884,0.0000,0.7971,0.6951,0.0011,0.9254,Pamplona (CS)
20,Road Network,-,-,-,0.0008,0.0000,0.0437,0.0003,0.0361,0.0001,Pamplona (CS)
21,Distance to Ports,-,-,-,2.4528,0.0000,2.4127,2.3971,2.3368,1.9723,Pamplona (CS)
22,Availability of Basic Utilities,-,-,-,1.2500,0.0000,1.2313,0.9813,0.2458,0.2249,Pamplona (CS)
23,Transportation Vehicles,-,-,-,0.0549,0.0000,0.0001,0.0001,0.0354,0.0015,Pamplona (CS)
24,Education,-,-,-,0.2295,0.0000,0.0376,0.0578,0.0760,0.067,Pamplona (CS)
25,Health,-,-,-,0.3064,0.0000,0.0178,0.0161,0.2434,0.1303,Pamplona (CS)
26,LGU Investment,-,-,-,0.0000,0.0000,0.0376,0.0000,0.1004,0.0001,Pamplona (CS)
27,Accommodation Capacity,-,-,-,0.0238,0.0000,0.0265,0.0184,0.0244,0.0226,Pamplona (CS)
28,Information Technology Capacity,-,-,-,0.7440,0.0000,0.3291,0.5972,0.2174,0.2609,Pamplona (CS)
29,Financial Technology Capacity,-,-,-,0.0000,0.0000,0.2106,0.2813,0.0893,0.0909,Pamplona (CS)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.5000,1.7838,Pamplona (CS)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.0370,2.0370,2.5000,1.9995,Pamplona (CS)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,0.0000,1.2829,1.002,Pamplona (CS)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2625,1.002,Pamplona (CS)
34,Budget for DRRMP,-,-,-,0.0021,0.0000,0.0951,0.0000,0.0014,0.0,Pamplona (CS)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Pamplona (CS)
36,Emergency Infrastructure,-,-,-,0.9015,0.0000,0.5560,0.5794,0.3722,0.4003,Pamplona (CS)
37,Utilities,-,-,-,0.9726,0.0000,1.5632,1.5622,0.7479,1.4993,Pamplona (CS)
38,Employed Population,-,-,-,0.0213,0.0000,0.0731,0.0565,0.0131,0.0063,Pamplona (CS)
39,Sanitary System,-,-,-,0.5333,0.0000,1.0227,1.0003,1.2500,1.5,Pamplona (CS)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Pamplona (CS)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0001,Pamplona (CS)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Pamplona (CS)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.2,Pamplona (CS)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Pamplona (CS)
45,Internet Capability,-,-,-,-,-,-,-,-,1.1304,Pamplona (CS)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Pamplona (CS)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Pamplona (CS)
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Pamplona (CS)
49,New Technology,-,-,-,-,-,-,-,-,0.0,Pamplona (CS)
