,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,-,-,-,-,0.0004,0.0001,Sumisip
1,Local Economy Growth,-,-,-,-,-,-,-,0.0003,0.0,Sumisip
2,Active Establishments in the Locality,-,-,-,-,-,-,-,0.0195,0.0,Sumisip
3,Safety Compliant Business,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
4,Employment Generation,-,-,-,-,-,-,-,0.0032,0.0051,Sumisip
5,Cost of Living,-,-,-,-,-,-,-,2.0313,1.9038,Sumisip
6,Cost of Doing Business,-,-,-,-,-,-,-,0.8945,0.0,Sumisip
7,Financial Deepening,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
8,Productivity,-,-,-,-,-,-,-,0.0017,0.0033,Sumisip
9,Presence of Business and Professional Organizations,-,-,-,-,-,-,-,0.0000,0.0648,Sumisip
10,Compliance to National Directives,-,-,-,-,-,-,-,2.2619,1.9643,Sumisip
11,Presence of Investment Promotion Unit,-,-,-,-,-,-,-,0.0000,1.3334,Sumisip
12,Compliance to ARTA Citizens Charter,-,-,-,-,-,-,-,0.0000,1.0,Sumisip
13,Capacity to Generate Local Resource,-,-,-,-,-,-,-,0.0003,0.0,Sumisip
14,Capacity of Health Services,-,-,-,-,-,-,-,0.0736,0.0009,Sumisip
15,Capacity of School Services,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
16,Recognition of Performance,-,-,-,-,-,-,-,0.0938,0.106,Sumisip
17,Getting Business Permits,-,-,-,-,-,-,-,1.2030,0.5,Sumisip
18,Peace and Order,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
19,Social Protection,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
20,Road Network,-,-,-,-,-,-,-,0.1293,0.0002,Sumisip
21,Distance to Ports,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
22,Availability of Basic Utilities,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
23,Transportation Vehicles,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
24,Education,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
25,Health,-,-,-,-,-,-,-,0.0000,0.0833,Sumisip
26,LGU Investment,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
27,Accommodation Capacity,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
28,Information Technology Capacity,-,-,-,-,-,-,-,0.0000,0.0176,Sumisip
29,Financial Technology Capacity,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
30,Land Use Plan,-,-,-,-,-,-,-,2.0000,1.9242,Sumisip
31,Disaster Risk Reduction Plan,-,-,-,-,-,-,-,2.4737,1.9995,Sumisip
32,Annual Disaster Drill,-,-,-,-,-,-,-,0.0000,1.004,Sumisip
33,Early Warning System,-,-,-,-,-,-,-,1.2555,1.0037,Sumisip
34,Budget for DRRMP,-,-,-,-,-,-,-,0.0000,0.0,Sumisip
35,Local Risk Assessments,-,-,-,-,-,-,-,2.5000,2.0,Sumisip
36,Emergency Infrastructure,-,-,-,-,-,-,-,0.0001,0.3543,Sumisip
37,Utilities,-,-,-,-,-,-,-,0.2500,1.2499,Sumisip
38,Employed Population,-,-,-,-,-,-,-,0.0100,0.007,Sumisip
39,Sanitary System,-,-,-,-,-,-,-,1.2500,1.0001,Sumisip
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Sumisip
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Sumisip
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Sumisip
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Sumisip
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Sumisip
45,Internet Capability,-,-,-,-,-,-,-,-,0.019,Sumisip
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Sumisip
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Sumisip
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Sumisip
49,New Technology,-,-,-,-,-,-,-,-,0.0,Sumisip
