,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.1663,0.1420,0.0021,0.0123,0.0326,0.0919,0.0262,0.0082,Iguig
1,Local Economy Growth,-,0.2721,0.0723,0.0056,0.0026,0.0019,1.0281,0.0007,0.0006,Iguig
2,Active Establishments in the Locality,-,-,-,0.1983,0.0025,0.1643,0.3088,0.3343,0.3358,Iguig
3,Safety Compliant Business,-,-,-,0.1928,0.2728,0.3315,0.4029,0.4928,0.2899,Iguig
4,Employment Generation,-,0.4171,0.1801,0.1298,0.0487,0.1683,0.1997,0.2438,0.3995,Iguig
5,Cost of Living,-,3.5256,2.2500,1.0345,1.2963,2.0000,1.4583,0.7813,1.9989,Iguig
6,Cost of Doing Business,-,3.5393,3.5814,2.1485,2.0084,2.0201,2.1478,2.2049,1.9115,Iguig
7,Financial Deepening,-,0.6356,0.9259,0.1190,0.0378,0.0750,0.1814,0.2113,0.0915,Iguig
8,Productivity,-,0.0316,0.0227,0.0027,0.0120,0.0781,0.1074,0.1742,0.174,Iguig
9,Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0020,0.0076,0.0159,0.0096,0.0015,0.0021,Iguig
10,Compliance to National Directives,-,3.3333,3.0303,2.3684,0.0000,2.4981,2.3929,2.3214,1.7692,Iguig
11,Presence of Investment Promotion Unit,-,2.5000,2.5000,1.8750,0.0000,2.5000,2.5000,2.5000,1.9974,Iguig
12,Compliance to ARTA Citizens Charter,-,2.4980,1.9251,2.2579,0.0000,2.3744,2.4974,2.3580,2.0,Iguig
13,Capacity to Generate Local Resource,-,0.1098,0.3067,0.3197,0.0000,0.0745,0.0504,0.0450,0.074,Iguig
14,Capacity of Health Services,-,0.0730,0.1075,0.0828,0.0000,0.2695,0.1479,0.0767,0.046,Iguig
15,Capacity of School Services,-,0.0494,1.0112,0.3220,0.0000,0.2940,0.0426,0.0310,0.0077,Iguig
16,Recognition of Performance,-,0.0000,0.0000,0.3220,0.0000,0.2328,0.1915,0.0720,0.2,Iguig
17,Getting Business Permits,-,-,0.0000,1.2980,0.0000,1.6206,1.4321,1.5556,0.5,Iguig
18,Peace and Order,-,0.2393,0.3496,0.3169,0.0000,0.3802,0.5230,0.1355,0.0003,Iguig
19,Social Protection,-,-,0.0022,0.6290,0.0000,0.7169,0.5052,0.0938,0.851,Iguig
20,Road Network,-,0.0001,0.0023,0.0009,0.0000,0.0616,0.0007,0.0515,0.0009,Iguig
21,Distance to Ports,-,3.0351,3.1765,1.6421,0.0000,2.3665,2.3377,2.4360,1.9155,Iguig
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.4938,2.2438,2.4938,0.3809,Iguig
23,Transportation Vehicles,-,0.2642,0.1628,0.1036,0.0000,0.0178,0.0245,0.0583,0.0066,Iguig
24,Education,-,0.2128,0.1986,0.1375,0.0000,0.0303,0.0258,0.0326,0.0337,Iguig
25,Health,-,0.1247,0.1123,0.1936,0.0000,0.0985,0.0551,0.0877,0.0621,Iguig
26,LGU Investment,-,0.4202,0.2910,0.1095,0.0000,0.0932,0.1189,0.1934,0.0002,Iguig
27,Accommodation Capacity,-,0.0499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0051,0.0,Iguig
28,Information Technology Capacity,-,0.6175,0.6772,0.5060,0.0000,0.5012,0.4769,0.3804,0.3478,Iguig
29,Financial Technology Capacity,-,0.0000,0.5714,0.4063,0.0000,0.2106,0.2813,0.0694,0.0455,Iguig
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4615,2.4615,2.4429,1.9189,Iguig
31,Disaster Risk Reduction Plan,-,-,-,1.5000,0.0000,2.4074,2.4074,2.4559,1.9988,Iguig
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,1.2829,1.001,Iguig
33,Early Warning System,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2625,1.0198,Iguig
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.1380,0.0523,0.0018,0.0,Iguig
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Iguig
36,Emergency Infrastructure,-,-,-,0.8820,0.0000,0.4925,0.5046,0.2852,0.394,Iguig
37,Utilities,-,-,-,1.3761,0.0000,1.9039,1.8992,1.3436,1.5082,Iguig
38,Employed Population,-,-,-,0.1373,0.0000,0.0353,0.0273,0.0253,0.0045,Iguig
39,Sanitary System,-,-,-,1.0111,0.0000,2.0417,1.9960,1.8751,1.5,Iguig
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0513,Iguig
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Iguig
42,STEM graduates,-,-,-,-,-,-,-,-,0.0817,Iguig
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0459,Iguig
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Iguig
45,Internet Capability,-,-,-,-,-,-,-,-,1.1739,Iguig
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0185,Iguig
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Iguig
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Iguig
49,New Technology,-,-,-,-,-,-,-,-,0.0,Iguig
