city_municipality,Sanitary System,Social Protection,Hospital,Poverty Incidents,Health,Cluster_Id,Vulnerability
Aborlan,0.5057389897355514,0.00100662141184405,0.1111111111111111,0.14184513688554343,0.11350295719714454,2,high
Abra De Ilog,0.9481721191282804,0.0002876061176697286,0.0,0.2326563883104395,0.04590193121943345,0,medium
Abucay,0.948121555342064,0.6220201309902055,0.0,0.039571034649650685,0.3513584189705724,0,medium
Abulug,0.7586084846033271,0.45218871850623077,0.1111111111111111,0.16044042820116028,0.23521262330927867,0,medium
Abuyog,0.9482226829144966,0.05601129141617964,0.1111111111111111,0.33085481025797786,0.5359398211772032,0,medium
Adams,0.7774687768620115,0.08736035824218005,0.0,0.04364671493800508,0.07650321869905574,0,medium
Agdangan,0.5343580927339839,0.14265263436418538,0.0,0.15037859248928542,0.08832644340709164,2,high
Aglipay,0.9480709915558477,0.34915382685105045,0.0,0.11981099032662755,0.24439300955316534,0,medium
Agno,0.948121555342064,0.3741036575588994,0.0,0.12082991039871614,0.0346350935564816,0,medium
Agoncillo,0.948121555342064,0.015890238001252506,0.0,0.13127384113762428,0.0,0,medium
Agoo,0.9485260656317945,0.2070764047222046,0.2222222222222222,0.01358857281139152,0.7418030278582988,1,low
Aguilar,0.948121555342064,0.20779542001637888,0.0,0.17865362448974392,0.11419844100349959,0,medium
Aguinaldo,0.9480709915558477,0.04033675800317943,0.0,0.28640442211311284,0.13450656814906709,0,medium
Agutaya,0.7585073570308944,0.0,0.0,0.1659171235886365,0.004311999599401324,0,medium
Ajuy,0.5077615411842039,0.12582767648050625,0.0,0.2664081156983742,0.04284180247147122,2,high
Akbar,0.0,0.0,0.0,0.8651510230594348,0.021142707713193588,2,high
Al-Barka,0.0,0.0,0.0,0.9089645861592444,0.0,2,high
Alabat,0.5267229610153209,0.1706942308369839,0.1111111111111111,0.1688465187958912,0.28667842497955254,0,medium
Alabel,0.9485260656317945,0.310974114730394,0.0,0.3439734061861185,0.3833506740629048,0,medium
Alamada,0.9482226829144966,0.32995611849659606,0.0,0.5362945697928407,0.2154608832087952,0,medium
Alaminos (LA),0.524801537139101,0.45707802250661617,0.0,0.004927752198638464,0.15690114671369979,0,medium
Alaminos (PS),0.953127370177479,0.21656740660530563,0.3333333333333333,0.07077546185736391,0.37611764247681223,0,medium
Alang-Alang,0.9482226829144966,0.08822317659518925,0.0,0.36753593285316727,0.08151070210481212,0,medium
Albuera,0.7584567932446782,0.6602717446402794,0.0,0.3185004043839036,0.06815741302279513,0,medium
Alburquerque,0.9491833948526066,0.11640857612682264,0.0,0.10452718924529862,0.106409022372323,0,medium
Alcala (CG),0.6320978914901147,0.5099256466284288,0.0,0.12796235090333632,0.18805882123840612,0,medium
Alcala (PS),0.9459473125347626,0.18205467248493817,0.0,0.15878468308401633,0.23896823586359597,0,medium
Alcantara (CU),0.7585073570308944,0.11957224342118965,0.0,0.2414445739322036,0.02155999799700662,0,medium
Alcantara (RN),0.7585579208171108,0.0,0.0,0.25609154996847716,0.0,0,medium
Alcoy,0.9489811397077413,0.06845025600539541,0.0,0.2637334505091416,0.23117881723241934,0,medium
