city_municipality,Cost of Living,Poverty Incidents,Population,Financial Deepening,Employed Population,Cluster_Id,Vulnerability
Aborlan,0.7376365601704313,0.14184513688554343,0.054114358212714875,0.1128275068145613,0.007804044286032289,1,medium
Abra De Ilog,0.781363800142026,0.2326563883104395,0.047527637341308965,0.04060323762701109,0.08085501620938372,1,medium
Abucay,0.5481751748215055,0.039571034649650685,0.06784989000611166,0.3111692815884936,0.3711398766193389,0,low
Abulug,0.6210072657181935,0.16044042820116028,0.04960023563928636,0.6415861476051414,0.02008581890011589,0,low
Abuyog,0.35031815939803324,0.33085481025797786,0.09671486730968099,0.46991602553879436,0.012153839461853565,0,low
Adams,0.47527312034086255,0.04364671493800508,0.0,0.00852393024675402,0.062432354288258315,0,low
Agdangan,0.5756008997316896,0.15037859248928542,0.015260536047356936,0.1884430170680244,0.09019428232217645,0,low
Aglipay,0.9990205098246363,0.11981099032662755,0.046497428951382334,0.0789150961554324,0.031216177144129158,1,medium
Agno,0.5627276002840521,0.12082991039871614,0.044109851399052366,0.07809019967994008,0.015608088572064579,1,medium
Agoncillo,0.6283534420334216,0.13127384113762428,0.0610926278809679,0.24151135699136397,0.02008581890011589,1,medium
Agoo,0.7376365601704313,0.01358857281139152,0.10388630105104525,0.5089611253787644,0.5960498742397449,1,medium
Aguilar,0.5627276002840521,0.17865362448974392,0.07153218891334942,0.19357570624886553,0.029680955317368706,0,low
Aguinaldo,0.4428799809699051,0.28640442211311284,0.02682253696403352,0.009257171558302755,0.034542491102110134,0,low
Agutaya,0.9631991548399059,0.1659171235886365,0.01487942855175908,0.015398067542523394,0.0,1,medium
Ajuy,0.8032624019198009,0.2664081156983742,0.08608388242106309,0.08478102664782226,0.05130199604424505,1,medium
Akbar,0.8711270783557159,0.8651510230594348,0.03324393723232621,0.0,0.05411656939330587,2,high
Al-Barka,0.8711270783557159,0.9089645861592444,0.03435419559849714,0.0,0.0,2,high
Alabat,0.5756008997316896,0.1688465187958912,0.02078050397446382,0.271574250764862,0.06447931672393892,0,low
Alabel,0.5446769956237778,0.3439734061861185,0.14669911660674625,0.3266590042949606,0.6401875017591078,0,low
Alamada,0.6561989484473332,0.5362945697928407,0.10545945710593321,0.10192054230527389,0.013816996440844054,2,high
Alaminos (LA),0.8250910401136209,0.004927752198638464,0.08294627139566153,0.22757977207193802,0.016759504942134917,1,medium
Alaminos (PS),0.5320835505119584,0.07077546185736391,0.149159783267821,0.38898451577660287,0.09057808777886657,0,low
Alang-Alang,0.35031815939803324,0.36753593285316727,0.08916928694021835,0.12235964386469483,0.007804044286032289,0,low
Albuera,0.6501820802272418,0.3185004043839036,0.07367613610319673,0.13308329804609506,0.006012952154811764,1,medium
Alburquerque,0.7476413526759322,0.10452718924529862,0.011390293717632564,0.11090274837174588,0.09019428232217645,1,medium
Alcala (CG),0.50766625971182,0.12796235090333632,0.06071326060224492,0.28422266338907765,0.05296515302323554,0,low
Alcala (PS),0.5627276002840521,0.15878468308401633,0.07815893477287748,0.21016529092265562,0.06985259311760049,0,low
Alcantara (CU),0.6501820802272418,0.2414445739322036,0.019430095679559993,0.0997208183706277,0.03863641597347134,1,medium
Alcantara (RN),0.41048684159894777,0.25609154996847716,0.021502693977537388,0.07699033771261697,0.2035448271979897,0,low
Alcoy,0.6501820802272418,0.2637334505091416,0.026436208817811037,0.24600246002459997,0.025714965598237542,1,medium
Alegria (CU),0.7668113746794794,0.26755440077947384,0.033595461041051176,0.10164557681344312,0.04682426571619374,1,medium
Alegria (SN),0.6048456778246922,0.4480306185481662,0.020911020240079525,0.16809557067254707,0.06447931672393892,2,high
Aleosan,0.8760944928164891,0.5719567723159416,0.06162165381093023,0.10036240451823283,0.2320743661452881,2,high
Alfonso,0.6048456778246922,0.03906157461360639,0.08325951043313923,0.13959081468609005,0.020469624356806004,1,medium
Alfonso Castaneda,0.4058692450579474,0.2639881805271638,0.006865729842954791,0.012465102296328462,0.006268822459271839,0,low
Alfonso Lista,0.4428799809699051,0.18094619465194325,0.04894243366058321,0.1436236418996081,0.6019348912423266,0,low
Aliaga,0.8721765321150341,0.05752950092021218,0.11549528782334349,0.15022281370354668,0.01087448793955319,1,medium
Alicia (BL),0.9489965472971318,0.3235950047443466,0.033973088102899285,0.11117771386357665,0.013433190984153942,1,medium
Alicia (IA),0.3546559016032155,0.13267485623674607,0.12160518927103335,0.39915823897434155,0.00933926611279274,0,low
Alicia (ZS),0.6501820802272418,0.4472664284940998,0.061710404871548906,0.16571253641001366,0.07714489679471263,2,high
Alilem,0.7376365601704313,0.0827477727044049,0.004699159833734089,0.02694661819941594,0.024947354684857318,1,medium
Alimodian,0.9854475745374534,0.2741773812480497,0.06217330256026594,0.15654702001565451,0.04912709845633441,1,medium
Alitagtag,0.6283534420334216,0.1758515942915003,0.03707589479080331,0.1696537084595881,0.061408873070418014,1,medium
Allacapan,0.6210072657181935,0.1181552452094836,0.05146922856290326,0.18890129288774235,0.3180467884438733,1,medium
Allen,0.6501820802272418,0.2773615064733266,0.04010909280371229,0.4228969264357318,0.032751398970889606,1,medium
Almagro,0.31330742348607543,0.3573467321322813,0.008609427151580609,0.00852393024675402,0.007548173981572214,0,low
Almeria,1.0,0.18578606499436412,0.02429226162796372,0.11915171312666913,0.025714965598237542,1,medium
Aloguinsan,0.7668113746794794,0.2611861503289201,0.048909369539960564,0.09266337074697113,0.016759504942134917,1,medium
Aloran,0.4097172421754478,0.27150271605881715,0.04165962603922687,0.20659073952885554,0.10605824119870111,0,low
Altavas,0.6501820802272418,0.158275223047972,0.0376658283113863,0.25434307994346683,0.011130358244013264,1,medium
Alubijid,0.6501820802272418,0.16222353832731534,0.05564922949635557,0.1751530182962036,0.05245341241431538,1,medium
Amadeo,0.6048456778246922,0.031929134108986235,0.06596523513062089,0.10531178337118678,0.012025904309623529,1,medium
Amai Manabilang,0.7376365601704313,0.9367301581236586,0.011148403572024793,0.021447308362800444,0.006652627915961952,2,high
Ambaguio,0.2602050632645708,0.6528335530379739,0.01958671519829884,0.0,0.07970359983931338,2,high
Amlan,0.8032624019198009,0.13382114131784575,0.034159291308511024,0.12025157509399223,0.04221860023591239,1,medium
Ampatuan,0.23480828228906858,0.7221201179399983,0.04341202443222707,0.23161259928545605,0.016759504942134917,2,high
Amulung,0.50766625971182,0.1689738838049023,0.07633518748800737,0.05361827090700111,0.012793515223003753,0,low
Anahawan,0.7238537341313847,0.27303109616695004,0.0077166958947691875,0.04857723689010356,0.05475624515445606,1,medium
Anao,0.6501820802272418,0.03842474956855102,0.014292975464925844,0.11796019599540244,0.07087607433544078,1,medium
Anda (BL),0.7476413526759322,0.13000019104751354,0.021695858050648633,0.14206550411256702,0.0,1,medium
Anda (PS),0.5627276002840521,0.2955747027619102,0.06179393528154296,0.14756481394918253,0.14034486199635118,0,low
Angadanan,0.511724147581184,0.15432690776862873,0.09165779707129112,0.06535013189178084,0.011130358244013264,0,low
Angat,0.9125455200568104,0.030782849027886566,0.10723621853518167,0.16287122632776233,0.0037101194146710883,1,medium
Angeles,0.6296127865446035,0.0,0.7986435253090666,0.27899831904429295,0.005117406089201501,0,low
Angono,0.6048456778246922,0.02390513854128855,0.1901853960930243,1.0,0.8653533696839738,0,low
Anilao,0.9854475745374534,0.26003986524782047,0.04615982687765638,0.0823063372213453,0.02341213285809687,1,medium
Anini-Y,0.9854475745374534,0.21100433677855684,0.031364503007460055,0.23903666756488695,0.006012952154811764,1,medium
Antequera,0.9489965472971318,0.1707569939310573,0.018151036276526086,0.1589300542781879,0.0011514163700703378,1,medium
Antipas,0.6561989484473332,0.33633150564545405,0.03708285565830281,0.39805837700701846,0.11578131276818396,1,medium
Antipolo,0.7072723647341559,0.04058995472173929,1.0,1.0,0.5510167006547717,0,low
Apalit,0.885609540234308,0.031929134108986235,0.19693221691691878,0.46514995701372747,0.006524692763731915,1,medium
Aparri,0.44511881565645084,0.14120831184048804,0.10729190547517771,0.4146479616808086,0.01151416370070338,0,low
Araceli,0.7376365601704313,0.21635366715702195,0.0189933012439661,0.042253030577995745,0.0,1,medium
Arakan,0.6561989484473332,0.5082742678104044,0.07697558729796175,0.08404778533627354,0.040299572952461823,2,high
Arayat,0.885609540234308,0.053581185640868875,0.245162327604109,0.3376576239681916,0.004733600632511389,1,medium
Argao,0.6048456778246922,0.17457794420138956,0.12911074465237385,0.47642354217878935,0.011770034005163453,0,low
Aringay,0.7376365601704313,0.027980818829642925,0.08072053401269505,0.14078233181735675,0.11271086911466306,1,medium
Aritao,0.4058692450579474,0.17368638913831203,0.057827981023700396,0.2779901122409134,0.019574078291195743,0,low
Aroroy,0.5657360343940978,0.4466296034490444,0.14299941553075973,0.1455484003424235,0.031983788057509385,2,high
Arteche,0.9287071079503117,0.7191907227327435,0.020937123493202668,0.07699033771261697,0.029041279556218522,2,high
Asingan,0.5627276002840521,0.10478191926332077,0.09285854671495561,0.11236923099484335,0.06345583550609861,0,low
Asipulo,0.4428799809699051,0.3801450687452636,0.019605857583922477,0.09119688812387368,0.14942825780468383,0,low
Asturias,0.7668113746794794,0.30321660330257466,0.07632996683738273,0.14105729730918753,0.05577972637229636,1,medium
Asuncion,0.4428799809699051,0.20285297620184808,0.1007556508931432,0.11136102419146383,0.01458460735422428,0,low
Atimonan,0.3440914004260782,0.04976023537053664,0.11607826047642697,0.24160301215530755,0.10452301937194065,0,low
Atok,1.0,0.20973068668844608,0.027274993351501305,0.043994478692923986,0.0,1,medium
Aurora (IA),0.511724147581184,0.1150984849932178,0.056776890031275264,0.3119941780639859,0.11834001581278471,0,low
Aurora (ZR),0.7768161671849803,0.35161530672678293,0.08527120114049597,0.19201756846182447,0.006780563068191989,1,medium
Ayungon,0.6696319565666071,0.36053085735755813,0.07362566981382533,0.08093150976219142,0.07906392407816319,1,medium
Baao,0.47527312034086255,0.30576390348279614,0.10005956414319278,0.11860178214300757,0.02226071648802653,0,low
Babatngon,0.6501820802272418,0.3939004897184596,0.041421216327368844,0.12767564337342316,0.008443720047182477,1,medium
Bacacay,0.05416230851841619,0.3733947232676767,0.11295979183664906,0.19733356797055276,0.05948984578696745,0,low
Bacarra,0.47527312034086255,0.01575377796457979,0.04910949448057131,0.18230212108380375,0.32636257333882573,0,low
Baclayon,0.9489965472971318,0.11471638996618456,0.02888121352701191,0.03959503082363159,0.041323054170302125,1,medium
Bacnotan,0.7376365601704313,0.0,0.06890620164916143,0.22373025518630718,0.45787990983130433,1,medium
Baco,0.8639907927923516,0.1862955250304084,0.057810578854951646,0.16067150239311614,0.006652627915961952,1,medium
Bacolod (LN),0.5846262020618269,0.2321469282743952,0.03313256335233414,0.20677404985674272,0.031216177144129158,1,medium
Bacolod (NO),0.06101873974596228,0.05740213591120111,1.0,0.3789024477428078,0.19753187504317796,0,low
Bacolod-Kalawi,0.7376365601704313,0.8205732699055588,0.02931626774573093,0.0,0.013433190984153942,2,high
Bacolor,0.8963839321633091,0.01830107814480127,0.07669367216423183,0.09614626697682761,0.026738446816077843,1,medium
Bacong,0.8032624019198009,0.14910494239917468,0.056613309645036906,0.08514764730359663,0.012025904309623529,1,medium
Bacoor,0.5724525384537349,0.02173993338810028,1.0,1.0,0.003838054566901126,0,low
Bacuag,0.6048456778246922,0.37657884849295353,0.018257189505893525,0.04335289254531884,0.15940719967862677,1,medium
Bacungan Leon B. Postigo,0.8760944928164891,0.6823822351285431,0.04114626206113843,0.06150061500614999,0.020469624356806004,2,high
Badian,0.7668113746794794,0.3095848537531284,0.059023510016740256,0.2466440461722051,0.016759504942134917,1,medium
Badiangan,0.9854475745374534,0.175342134255456,0.04013171562308568,0.04408613385686757,0.041323054170302125,1,medium
Badoc,0.47527312034086255,0.04428353998306045,0.04965766279615727,0.12996702247201294,0.1169327291382543,0,low
Bagabag,0.4058692450579474,0.08262040769539383,0.054827847131414066,0.12987536730806934,0.006140887307041801,0,low
Bagac,0.5481751748215055,0.04937814034350342,0.05171111870851103,0.1598466059176238,0.015608088572064579,0,low
Bagamanoc,0.6501820802272418,0.26131351533793123,0.013149652978132267,0.0,0.003838054566901126,1,medium
Baganga,0.7165075578161566,0.43503938762903666,0.09091994511634367,0.11695198919202292,0.034542491102110134,1,medium
Baggao,0.44511881565645084,0.1436282470116985,0.13710704119242936,0.08478102664782226,0.03006476077405882,0,low
Bago,0.3276499581967587,0.13738736157015582,0.32579527650149154,0.11979329927427428,0.041450989322532154,0,low
Baguio,0.2602050632645708,0.023013583478211027,0.5940601490648864,0.0,0.07970359983931338,0,low
Bagulin,0.7376365601704313,0.04211833482987218,0.016464766124771175,0.0230054461498415,0.572893611686108,1,medium
Bagumbayan,0.8688182800852156,0.3936457597004375,0.10974909170250272,0.07103275205628351,0.010618617635093116,1,medium
Bais,0.7787051839517531,0.2624598004190309,0.12581129345760883,0.1216264025531461,0.01138622854847334,1,medium
Bakun,1.0,0.2003056760216266,0.01977291840391058,0.02868806631434418,0.0,1,medium
Balabac,0.7376365601704313,0.35085111667271646,0.06290419364771388,0.024471928772938967,0.0,1,medium
Balabagan,0.7376365601704313,0.9075635710601226,0.039719284223740055,0.06699992484276548,0.011130358244013264,2,high
Balagtas,0.9125455200568104,0.015116952919524414,0.12707643112564374,0.3899010674160388,0.0020469624356806004,1,medium
