city_municipality,Availability of Basic Utilities,Cost of Doing Business,Transportation Vehicles,Distance to Ports,Poverty Incidents,Cluster_Id,Vulnerability
Aborlan,0.84188,0.8563073256342051,0.006790567199687145,0.932498355348423,0.14184513688554343,0,low
Abra De Ilog,0.81952,0.8805709473388916,0.13206482415943274,0.8234309300590065,0.2326563883104395,0,low
Abucay,0.885,0.738099937842144,0.11309806749823763,0.9195581523479837,0.039571034649650685,0,low
Abulug,0.75624,0.7448304063336537,0.0433191355842111,0.9180712346119084,0.16044042820116028,0,low
Abuyog,0.30672000000000005,0.6659312168743592,0.06088094730753993,0.9437105188177477,0.33085481025797786,2,medium
Adams,0.49500000000000005,0.6215327482538958,0.0,0.7802299417811426,0.04364671493800508,2,medium
Agdangan,0.545,0.6982827124806075,0.029972158674481195,0.7520186917615514,0.15037859248928542,2,medium
Aglipay,0.83596,0.8091940461936373,0.05549532504571908,0.8530889108488331,0.11981099032662755,0,low
Agno,0.6667200000000001,0.849972767053961,0.01241034695115237,0.7981533285457262,0.12082991039871614,0,low
Agoncillo,0.8900000000000001,0.6768470187135303,0.0011707874482219216,0.0,0.13127384113762428,0,low
Agoo,0.8302,0.8414324246823812,0.13393808407658783,0.8989020519062889,0.01358857281139152,0,low
Aguilar,0.39404,0.802293902025871,0.013815291889018675,0.8681188360729458,0.17865362448974392,2,medium
Aguinaldo,0.8046,0.8602664247468581,0.006322252220398377,0.7579261757400129,0.28640442211311284,0,low
Agutaya,0.0,0.0,0.0018732599171550747,0.0,0.1659171235886365,1,high
Ajuy,0.5837600000000001,0.742454946866062,0.035357780936302034,0.9131684247794439,0.2664081156983742,2,medium
Akbar,0.03528,0.5367514686843745,0.019200914150839517,0.5223903689525147,0.8651510230594348,1,high
Al-Barka,0.0,0.0,0.0,0.0,0.9089645861592444,1,high
Alabat,0.885,0.8118522984549899,0.03184541859163627,0.9889208553876053,0.1688465187958912,0,low
Alabel,0.915,0.8830029653652354,0.592886763779581,0.9758199045238065,0.3439734061861185,0,low
Alamada,0.9371600000000001,0.8677887130608983,0.026693953819459812,0.8097673616734496,0.5362945697928407,0,low
Alaminos (LA),0.88752,0.6930227665166546,0.0927263658991762,0.7837262078092115,0.004927752198638464,0,low
Alaminos (PS),0.9212,0.7207930188639762,0.6954477442438214,0.913771229267042,0.07077546185736391,0,low
Alang-Alang,0.37992000000000004,0.7703383163308881,0.041914190646344794,0.9484123938210128,0.36753593285316727,2,medium
Albuera,0.48876000000000003,0.835493776013402,0.026928111309104195,0.9718012079398193,0.3185004043839036,2,medium
Alburquerque,0.91252,0.8006537038220578,0.01732765423368444,0.9755385957629276,0.10452718924529862,0,low
Alcala (CG),0.5,0.7025811629457734,0.046129025459943705,0.8022523990613932,0.12796235090333632,2,medium
Alcala (PS),0.86276,0.8538187490491091,0.02599148135052666,0.8805366085174667,0.15878468308401633,0,low
Alcantara (CU),0.5843999999999999,0.7986741542657314,0.014986079337240598,0.8219440123229312,0.2414445739322036,2,medium
Alcantara (RN),0.10840000000000001,0.5299644416341126,0.10420008289175102,0.5350894501579146,0.25609154996847716,1,high
Alcoy,0.81752,0.7549543883502943,0.022947433985149663,0.7991178157258831,0.2637334505091416,0,low
Alegria (CU),0.82752,0.8016717578795969,0.02599148135052666,0.7576448669791337,0.26755440077947384,0,low
Alegria (SN),0.9500000000000001,0.8316477940182538,0.02060585908870582,0.8614879867093667,0.4480306185481662,0,low
Aleosan,0.8500000000000001,0.8321002624882712,0.020137544109417052,0.9103151502048129,0.5719567723159416,2,medium
Alfonso,0.98104,0.8339101363683412,0.0388701432809678,0.9386871480877635,0.03906157461360639,0,low
Alfonso Castaneda,0.94292,0.7250349107703897,0.0011707874482219216,0.770866378740452,0.2639881805271638,0,low
Alfonso Lista,0.6425200000000001,0.7555765324965684,0.018732599171550745,0.811857083897123,0.18094619465194325,2,medium
Aliaga,0.995,0.7508256135613849,0.02552316637123789,0.889337554036399,0.05752950092021218,0,low
Alicia (BL),0.66832,0.8197704966802952,0.01404944937866306,0.8436047869106231,0.3235950047443466,2,medium
Alicia (IA),0.7787999999999999,0.7102165683773181,0.047533970397810016,0.7610205721096831,0.13267485623674607,0,low
Alicia (ZS),0.27084,0.23721734153281615,0.009834614565064142,0.8403094557117533,0.4472664284940998,1,high
Alilem,0.39752000000000004,0.6490767663662087,0.0039806773239545335,0.7713486223305306,0.0827477727044049,2,medium
Alimodian,0.895,0.8030291632896494,0.07118387685189283,0.9608301662655337,0.2741773812480497,0,low
Alitagtag,0.9,0.8059702083447629,0.07656949911371368,0.8936375593812654,0.1758515942915003,0,low
Allacapan,0.9,0.7947150551530786,0.13300145411801031,0.944875940827104,0.1181552452094836,0,low
Allen,0.79376,0.7559158838490814,0.04004093072918972,0.9486133286502123,0.2773615064733266,0,low
Almagro,0.47752,0.44416510800705167,0.004683149792887686,0.6967616137317255,0.3573467321322813,2,medium
Almeria,0.9750000000000001,0.7146846945187404,0.002341574896443843,0.7834047120824926,0.18578606499436412,0,low
Aloguinsan,0.875,0.7962986947981396,0.016156866785462517,0.9190357217920655,0.2611861503289201,0,low
Aloran,0.8079200000000001,0.8089112533998766,0.023415748964438432,0.9670591459707142,0.27150271605881715,0,low
Altavas,0.47720000000000007,0.7747498839135583,0.022947433985149663,0.9572133393399451,0.158275223047972,2,medium
Alubijid,0.6200000000000001,0.7878149109853123,0.06345667969362814,0.9806423404245914,0.16222353832731534,2,medium
Amadeo,0.895,0.7662661001007309,0.09038479100273235,0.9363964910348906,0.031929134108986235,0,low
Amai Manabilang,0.5,1.0000000000000002,0.009600457075419759,0.8239935475807647,0.9367301581236586,2,medium
