,NAME_2
0,Bangued
1,Boliney
2,Bucay
3,Bucloc
4,Daguioman
5,Danglas
6,Dolores
7,La Paz
8,Lacub
9,Lagangilang
10,Lagayan
11,Langiden
12,Licuan-Baay
13,Luba
14,Malibcong
15,Manabo
16,Peñarrubia
17,Pidigan
18,Pilar
19,Sallapadan
20,San Isidro
21,San Juan
22,San Quintin
23,Tayum
24,Tineg
25,Tubo
26,Villaviciosa
27,Buenavista
28,Butuan City
29,Cabadbaran City
30,Carmen
31,Jabonga
32,Kitcharao
33,Las Nieves
34,Magallanes
35,Mainit Lake
36,Nasipit
37,Remedios T. Romualdez
38,Santiago
39,Tubay
40,Bayugan City
41,Bunawan
42,Esperanza
43,La Paz
44,Loreto
45,Prosperidad
46,Rosario
47,San Francisco
48,San Luis
49,Santa Josefa
50,Sibagat
51,Talacogon
52,Trento
53,Veruela
54,Altavas
55,Balete
56,Banga
57,Batan
58,Buruanga
59,Ibajay
60,Kalibo
61,Lezo
62,Libacao
63,Madalag
64,Makato
65,Malay
66,Malinao
67,Nabas
68,New Washington
69,Numancia
70,Tangalan
71,Bacacay
72,Bato Lake
73,Camalig
74,Daraga
75,Guinobatan
76,Jovellar
77,Legazpi City
78,Libon
79,Ligao City
80,Malilipot
81,Malinao
82,Manito
83,Oas
84,Pio Duran
85,Polangui
86,Rapu-Rapu
87,Santo Domingo
88,Tabaco City
89,Tiwi
90,Anini-Y
91,Barbaza
92,Belison
93,Bugasong
94,Caluya
95,Culasi
96,Hamtic
97,Laua-An
98,Libertad
99,Pandan
100,Patnongon
101,San Jose
102,San Remigio
103,Sebaste
104,Sibalom
105,Tibiao
106,Tobias Fornier
107,Valderrama
108,Calanasan
109,Conner
110,Flora
111,Kabugao
112,Luna
113,Pudtol
114,Santa Marcela
115,Baler
116,Casiguran
117,Dilasag
118,Dinalungan
119,Dingalan
120,Dipaculao
121,Maria Aurora
122,San Luis
123,Akbar
124,Al-Barka
125,Hadji Mohammad Ajul
126,Isabela City
127,Lamitan City
128,Lantawan
129,Maluso
130,Sumisip
131,Tipo-Tipo
132,Tuburan
133,Ungkaya Pukan
134,Abucay
135,Bagac
136,Balanga City
137,Dinalupihan
138,Hermosa
139,Limay
140,Mariveles
141,Morong
142,Orani
143,Orion
144,Pilar
145,Samal
146,Basco
147,Itbayat
148,Ivana
149,Mahatao
150,Sabtang
151,Uyugan
152,Agoncillo
153,Alitagtag
154,Balayan
155,Balete
156,Batangas City
157,Bauan
158,Calaca
159,Calatagan
160,Cuenca
161,Ibaan
162,Laurel
163,Lemery
164,Lian
165,Lipa City
166,Lobo
167,Mabini
168,Malvar
169,Mataas Na Kahoy
170,Nasugbu
171,Padre Garcia
172,Rosario
173,San Jose
174,San Juan
175,San Luis
176,San Nicolas
177,San Pascual
178,Santa Teresita
179,Santo Tomas
180,Taal
181,Taal lake
182,Talisay
183,Tanauan City
184,Taysan
185,Tingloy
186,Tuy
187,Atok
188,Baguio City
189,Bakun
190,Bokod
191,Buguias
192,Itogon
193,Kabayan
194,Kapangan
195,Kibungan
196,La Trinidad
197,Mankayan
198,Sablan
199,Tuba
200,Tublay
201,Almeria
202,Biliran
203,Cabucgayan
204,Caibiran
205,Culaba
206,Kawayan
207,Maripipi
208,Naval
209,Albuquerque
210,Alicia
211,Anda
212,Antequera
213,Baclayon
214,Balilihan
215,Batuan
216,Bien Unido
217,Bilar
218,Buenavista
219,Calape
220,Candijay
221,Carmen
222,Catigbian
223,Clarin
224,Corella
225,Cortes
226,Dagohoy
227,Danao
228,Dauis
229,Dimiao
230,Duero
231,Garcia Hernandez
232,Guindulman
233,Inabanga
234,Jagna
235,Jetafe
236,Lila
237,Loay
238,Loboc
239,Loon
240,Mabini
241,Maribojoc
242,Panglao
243,Pilar
244,Pres. Carlos P. Garcia
245,Sagbayan
246,San Isidro
247,San Miguel
248,Sevilla
249,Sierra Bullones
250,Sikatuna
251,Tagbilaran City
252,Talibon
253,Trinidad
254,Tubigon
255,Ubay
256,Valencia
257,Baungon
258,Cabanglasan
259,Damulog
260,Dangcagan
261,Don Carlos
262,Impasug-Ong
263,Kadingilan
264,Kalilangan
265,Kibawe
266,Kitaotao
267,Lantapan
268,Libona
269,Malaybalay City
270,Malitbog
271,Manolo Fortich
272,Maramag
273,Pangantucan
274,Quezon
