psgc,province,municipality-city,2009-poverty-inc,2012-poverty-inc,2015-poverty-inc,2009-cov,2012-cov,2015-cov,2009-conf-int-lowerlimit,2009-conf-int-upper-limit,2012-conf-int-lowerlimit,2012-conf-int-upper-limit,2015-conf-int-lowerlimit,2015-conf-int-upper-limit
140107,Abra,Dolores,"33,5","23,6","16,3","15,0","20,9","11,5","25,2","41,7","15,5","31,7","13,2","19,4"
140108,Abra,La Paz,"36,0","28,1","19,3","14,9","19,2","12,6","27,1","44,8","19,2","37,0","15,3","23,3"
140109,Abra,Lacub,"67,2","57,8","27,1","14,2","13,4","14,6","51,6","82,9","45,1","70,4","20,6","33,7"
140110,Abra,Lagangilang,"27,5","28,5","22,4","16,5","18,0","11,3","20,0","34,9","20,0","36,9","18,2","26,5"
140111,Abra,Lagayan,"41,4","42,2","27,2","18,8","18,8","14,4","28,6","54,3","29,2","55,3","20,8","33,7"
140112,Abra,Langiden,"46,0","40,8","17,4","17,6","19,3","21,0","32,7","59,4","27,8","53,7","11,4","23,4"
140113,Abra,Licuan-Baay (Licuan),"46,7","45,9","27,7","18,0","14,2","9,3","32,9","60,5","35,1","56,6","23,5","31,9"
140114,Abra,Luba,"36,2","44,8","18,4","18,5","15,5","15,9","25,2","47,2","33,4","56,2","13,6","23,2"
140115,Abra,Malibcong,"55,6","51,5","44,5","15,8","12,8","10,4","41,1","70,0","40,7","62,4","36,9","52,0"
140116,Abra,Manabo,"34,9","30,8","15,7","19,8","18,3","16,7","23,5","46,3","21,5","40,1","11,4","20,0"
140117,Abra,Peñarrubia,"35,7","31,0","18,3","19,6","18,1","14,8","24,2","47,2","21,7","40,2","13,9","22,8"
140118,Abra,Pidigan,"25,9","23,1","14,8","18,9","21,5","15,8","17,8","33,9","14,9","31,2","11,0","18,7"
140119,Abra,Pilar,"42,8","38,4","18,3","14,4","14,9","11,7","32,7","53,0","29,0","47,9","14,8","21,9"
140120,Abra,Sallapadan,"62,0","43,2","15,3","13,2","16,6","17,2","48,6","75,4","31,4","55,0","10,9","19,6"
140121,Abra,San Isidro,"42,3","42,3","17,2","15,9","16,4","17,3","31,3","53,4","30,9","53,8","12,3","22,2"
140122,Abra,San Juan,"33,7","22,0","16,8","19,7","21,6","14,1","22,8","44,6","14,1","29,8","12,9","20,7"
140123,Abra,San Quintin,"28,7","22,5","11,6","23,3","26,5","22,1","17,7","39,7","12,7","32,3","7,4","15,8"
140124,Abra,Tayum,"23,7","23,4","15,5","18,7","21,5","13,6","16,4","31,0","15,1","31,7","12,0","19,0"
140125,Abra,Tineg,"43,2","78,3","35,8","19,9","7,9","9,0","29,1","57,4","68,1","88,5","30,5","41,1"
140126,Abra,Tubo,"56,4","51,7","30,5","16,6","14,3","10,5","41,0","71,7","39,5","63,8","25,2","35,7"
140127,Abra,Villaviciosa,"49,1","39,2","14,3","15,7","17,6","19,4","36,4","61,8","27,8","50,5","9,7","18,8"
141101,Benguet,Atok,"39,7","16,6","11,5","24,9","28,1","16,4","23,4","56,0","8,9","24,3","8,4","14,6"
141102,Benguet,Baguio City,"2,4","0,9","2,5","31,3","40,0","14,7","1,2","3,7","0,3","1,4","1,9","3,1"
141103,Benguet,Bakun,"53,7","26,5","10,0","17,9","22,6","21,4","37,9","69,4","16,6","36,3","6,5","13,5"
141104,Benguet,Bokod,"21,5","9,2","9,2","22,4","33,4","18,3","13,6","29,5","4,1","14,2","6,4","12,0"
141105,Benguet,Buguias,"42,0","13,1","5,8","19,2","25,5","17,3","28,7","55,2","7,6","18,5","4,2","7,5"
141106,Benguet,Itogon,"8,9","4,8","6,3","29,0","41,6","20,1","4,7","13,2","1,5","8,0","4,2","8,4"
141107,Benguet,Kabayan,"58,6","15,7","10,4","12,5","23,2","15,5","46,6","70,7","9,7","21,7","7,7","13,0"
141108,Benguet,Kapangan,"37,7","17,7","13,5","17,5","20,1","12,9","26,8","48,5","11,8","23,5","10,6","16,4"
141109,Benguet,Kibungan,"67,9","26,1","18,5","16,7","27,1","14,4","49,3","86,5","14,5","37,7","14,1","22,9"
141110,Benguet,La Trinidad,"5,4","1,7","2,1","27,3","44,2","18,9","3,0","7,9","0,4","2,9","1,4","2,7"
141111,Benguet,Mankayan,"16,5","6,2","9,3","26,2","39,2","18,1","9,4","23,5","2,2","10,2","6,6","12,1"
141112,Benguet,Sablan,"19,3","9,2","6,8","27,7","34,5","22,1","10,5","28,1","4,0","14,4","4,3","9,2"
141113,Benguet,Tuba,"14,2","4,6","6,8","22,7","38,9","14,4","8,9","19,5","1,7","7,5","5,2","8,4"
141114,Benguet,Tublay,"30,4","11,7","9,7","22,7","31,8","18,0","19,1","41,8","5,6","17,8","6,8","12,5"
142701,Ifugao,Banaue,"20,9","30,8","37,7","16,3","14,2","6,3","15,3","26,5","23,6","38,0","33,8","41,6"
142702,Ifugao,Hungduan,"29,9","40,6","27,0","19,3","16,1","11,3","20,4","39,4","29,9","51,3","22,0","32,0"
142703,Ifugao,Kiangan,"22,9","25,3","24,2","21,9","17,6","9,6","14,6","31,1","18,0","32,6","20,4","28,0"
142704,Ifugao,Lagawe,"19,9","17,6","19,7","17,4","16,5","10,0","14,2","25,5","12,8","22,4","16,5","22,9"
142705,Ifugao,Lamut,"18,2","17,2","21,2","18,3","16,9","10,5","12,7","23,7","12,4","22,0","17,5","24,8"
142706,Ifugao,Mayoyao,"34,1","34,3","29,6","11,9","13,0","6,5","27,4","40,8","27,0","41,7","26,4","32,7"
142707,Ifugao,Alfonso Lista (Potia),"37,1","21,5","20,8","12,2","19,1","10,1","29,6","44,5","14,8","28,3","17,4","24,3"
142708,Ifugao,Aguinaldo,"33,2","53,6","31,4","18,1","13,1","8,7","23,3","43,0","42,0","65,1","26,9","35,9"
142709,Ifugao,Hingyon,"25,2","29,9","32,4","22,7","19,9","8,7","15,8","34,7","20,1","39,7","27,7","37,0"
142710,Ifugao,Tinoc,"49,6","53,5","34,5","15,0","13,1","9,5","37,3","61,9","41,9","65,0","29,1","39,9"
142711,Ifugao,Asipulo,"47,5","55,3","44,9","19,5","14,8","7,6","32,2","62,8","41,9","68,7","39,3","50,4"
143201,Kalinga,Balbalan,"30,1","33,9","26,4","19,1","19,6","9,5","20,6","39,5","23,0","44,8","22,3","30,5"
143206,Kalinga,Lubuagan,"24,8","26,1","26,6","21,2","22,6","9,8","16,1","33,5","16,4","35,8","22,3","30,9"
143208,Kalinga,Pasil,"26,5","41,2","27,7","16,9","19,6","10,4","19,2","33,9","27,9","54,5","22,9","32,4"
143209,Kalinga,Pinukpuk,"29,9","31,9","30,4","14,5","17,9","7,3","22,8","37,0","22,5","41,3","26,7","34,0"
143211,Kalinga,Rizal (Liwan),"25,3","9,1","15,3","21,2","31,3","13,3","16,5","34,1","4,4","13,7","12,0","18,7"
143213,Kalinga,Tabuk City,"17,3","8,8","17,7","16,3","21,3","9,0","12,7","22,0","5,7","11,9","15,1","20,3"
143214,Kalinga,Tanudan,"30,7","40,7","38,6","20,0","17,4","7,2","20,6","40,7","29,1","52,3","34,0","43,1"
143215,Kalinga,Tinglayan,"34,1","26,4","30,5","15,5","18,0","7,9","25,4","42,7","18,6","34,2","26,6","34,5"
144401,Mountain Province,Barlig,"27,4","16,7","18,0","30,4","23,6","14,3","13,7","41,1","10,2","23,1","13,8","22,3"
144402,Mountain Province,Bauko,"34,4","21,1","24,5","22,7","17,8","8,8","21,6","47,2","14,9","27,3","21,0","28,1"
144403,Mountain Province,Besao,"26,9","16,3","23,2","28,7","22,3","11,5","14,2","39,6","10,3","22,3","18,8","27,6"
144404,Mountain Province,Bontoc,"16,7","10,9","15,4","29,4","25,6","11,4","8,6","24,8","6,3","15,4","12,5","18,3"
144405,Mountain Province,Natonin,"37,4","39,7","35,7","24,5","14,8","9,2","22,4","52,5","30,1","49,4","30,3","41,0"
144406,Mountain Province,Paracelis,"46,7","40,6","30,6","21,4","14,8","10,4","30,3","63,2","30,7","50,5","25,3","35,8"
144407,Mountain Province,Sabangan,"26,0","10,9","19,1","31,1","24,9","11,7","12,7","39,4","6,4","15,4","15,4","22,7"
144408,Mountain Province,Sadanga,"39,0","42,7","37,4","27,8","18,4","11,7","21,2","56,9","29,8","55,6","30,2","44,7"
144409,Mountain Province,Sagada,"35,4","10,2","25,4","25,4","24,5","8,9","20,6","50,2","6,1","14,3","21,6","29,1"
144410,Mountain Province,Tadian,"36,2","21,6","31,6","20,0","17,4","7,8","24,3","48,0","15,4","27,8","27,5","35,7"
148101,Apayao,Calanasan (Bayag),"32,9","62,6","27,1","21,4","12,0","8,7","21,3","44,4","50,2","75,0","23,2","31,0"
148102,Apayao,Conner,"30,3","56,3","21,6","15,2","10,1","11,1","22,7","37,8","46,9","65,7","17,7","25,5"
148103,Apayao,Flora,"26,2","35,7","17,8","20,1","17,1","13,7","17,6","34,9","25,7","45,8","13,8","21,8"
148104,Apayao,Kabugao,"40,6","63,9","24,9","13,0","9,3","10,8","31,9","49,2","54,1","73,7","20,5","29,3"
148105,Apayao,Luna,"28,8","33,4","17,4","16,4","13,6","9,8","21,0","36,5","25,9","40,9","14,6","20,2"
148106,Apayao,Pudtol,"29,8","41,1","26,4","18,3","14,5","9,0","20,8","38,7","31,3","50,9","22,5","30,3"
148107,Apayao,Santa Marcela,"23,8","32,6","16,4","20,7","17,7","13,7","15,7","31,9","23,1","42,2","12,7","20,1"
12801,Ilocos Norte,Adams,"29,4","17,1","16,5","8,5","62,3","55,5","27,6","31,3","0,0","34,6","1,4","31,5"
12802,Ilocos Norte,Bacarra,"13,2","4,5","7,5","11,7","34,2","16,4","9,4","17,0","1,9","7,0","5,5","9,5"
12803,Ilocos Norte,Badoc,"19,6","17,5","10,7","11,3","13,1","17,9","17,2","21,9","13,7","21,3","7,5","13,9"
12804,Ilocos Norte,Bangui,"12,6","10,6","8,5","13,6","19,1","24,3","9,2","16,0","7,3","13,9","5,1","11,9"
12805,Ilocos Norte,Batac City,"15,3","10,9","7,8","9,6","13,0","16,1","12,6","17,9","8,6","13,2","5,7","9,8"
12806,Ilocos Norte,Burgos,"16,8","13,6","8,4","23,5","19,4","28,0","8,1","25,6","9,3","18,0","4,5","12,2"
12807,Ilocos Norte,Carasi,"22,6","16,1","20,3","8,7","41,3","29,4","20,4","24,8","5,1","27,0","10,5","30,2"
12808,Ilocos Norte,Currimao,"15,2","7,0","9,3","13,1","26,0","18,5","11,7","18,7","4,0","9,9","6,5","12,1"
12809,Ilocos Norte,Dingras,"16,3","15,6","11,7","9,8","14,6","15,5","11,9","20,6","11,8","19,4","8,7","14,7"
12810,Ilocos Norte,Dumalneg,"21,6","25,7","12,1","26,3","53,0","46,0","12,3","30,9","3,3","48,0","2,9","21,3"
12811,Ilocos Norte,Banna,"17,8","21,3","12,8","12,2","15,4","16,8","14,2","21,4","15,9","26,7","9,3","16,3"
12812,Ilocos Norte,Laoag City,"9,9","3,8","6,6","8,2","25,1","12,6","8,6","11,2","2,2","5,3","5,2","8,0"
12813,Ilocos Norte,Marcos,"18,7","23,7","9,8","10,9","16,0","23,7","15,4","22,0","17,5","30,0","6,0","13,6"
12814,Ilocos Norte,Nueva Era,"24,9","25,2","14,6","10,7","15,2","19,8","20,5","29,3","18,9","31,5","9,8","19,3"
12815,Ilocos Norte,Pagudpud,"20,2","17,8","9,5","6,3","13,8","17,7","18,1","22,3","13,7","21,8","6,7","12,2"
12816,Ilocos Norte,Paoay,"14,9","6,8","8,4","7,9","21,8","19,4","12,9","16,8","4,4","9,2","5,7","11,1"
12817,Ilocos Norte,Pasuquin,"14,1","10,4","10,6","11,4","21,0","18,7","11,5","16,7","6,8","14,0","7,3","13,9"
12818,Ilocos Norte,Piddig,"16,3","13,6","11,4","16,1","17,8","19,1","12,0","20,6","9,6","17,5","7,8","14,9"
12819,Ilocos Norte,Pinili,"17,6","23,7","12,4","13,0","13,3","16,7","13,9","21,4","18,5","28,8","9,0","15,8"
12820,Ilocos Norte,San Nicolas,"12,3","6,2","7,7","9,2","23,3","17,8","10,4","14,1","3,8","8,6","5,4","9,9"
12821,Ilocos Norte,Sarrat,"14,0","9,0","8,5","13,5","19,5","17,9","10,9","17,1","6,1","11,9","6,0","11,0"
12822,Ilocos Norte,Solsona,"15,0","13,7","10,5","8,7","16,2","18,1","12,8","17,1","10,1","17,4","7,3","13,6"
12823,Ilocos Norte,Vintar,"16,8","15,3","8,5","12,0","15,6","18,8","13,5","20,1","11,4","19,2","5,9","11,1"
12901,Ilocos Sur,Alilem,"27,4","33,4","18,5","8,6","14,7","18,9","23,5","31,3","25,3","41,4","12,8","24,3"
12902,Ilocos Sur,Banayoyo,"20,9","23,1","12,0","12,6","15,8","18,3","16,6","25,2","17,1","29,1","8,4","15,6"
12903,Ilocos Sur,Bantay,"16,4","15,7","11,2","11,3","16,5","13,6","13,4","19,5","11,4","19,9","8,7","13,7"
12904,Ilocos Sur,Burgos,"26,5","31,6","13,1","12,2","13,3","16,2","21,2","31,8","24,7","38,5","9,6","16,6"
12905,Ilocos Sur,Cabugao,"20,7","22,5","15,0","11,4","11,0","12,5","16,8","24,5","18,4","26,5","11,9","18,1"
12906,Ilocos Sur,Candon City,"17,8","14,1","10,4","11,0","12,4","12,8","14,5","21,0","11,2","17,0","8,2","12,6"
12907,Ilocos Sur,Caoayan,"14,4","15,2","10,7","9,9","17,1","19,5","12,0","16,7","10,9","19,5","7,2","14,1"
12908,Ilocos Sur,Cervantes,"24,5","33,1","19,6","14,6","11,7","16,5","18,6","30,3","26,8","39,4","14,3","24,9"
12909,Ilocos Sur,Galimuyod,"20,6","26,9","13,0","13,8","12,3","16,5","15,9","25,2","21,4","32,3","9,5","16,5"
12910,Ilocos Sur,Gregorio del Pilar,"26,1","26,6","19,3","13,1","18,4","21,5","20,5","31,7","18,5","34,6","12,4","26,1"
12911,Ilocos Sur,Lidlidda,"17,3","34,4","11,1","19,9","15,8","21,6","11,6","22,9","25,4","43,4","7,1","15,0"
12912,Ilocos Sur,Magsingal,"18,1","21,8","10,9","13,9","12,5","17,2","14,0","22,3","17,3","26,3","7,8","13,9"
12913,Ilocos Sur,Nagbukel,"28,4","30,3","16,9","16,0","13,9","17,6","20,9","35,9","23,4","37,2","12,0","21,7"
12914,Ilocos Sur,Narvacan,"17,7","11,0","13,2","11,0","16,3","12,8","14,5","20,9","8,0","13,9","10,5","16,0"
12915,Ilocos Sur,Quirino,"27,2","35,2","20,4","15,8","14,3","17,5","20,1","34,2","26,9","43,5","14,5","26,2"
12916,Ilocos Sur,Salcedo,"22,7","26,8","15,1","12,5","13,2","15,1","18,0","27,4","21,0","32,7","11,3","18,9"
12917,Ilocos Sur,San Emilio,"23,7","24,4","18,8","19,9","18,0","23,5","15,9","31,4","17,2","31,6","11,6","26,1"
12918,Ilocos Sur,San Esteban,"15,7","18,6","10,9","18,6","17,5","21,0","10,9","20,5","13,2","23,9","7,1","14,6"
12919,Ilocos Sur,San Ildefonso,"15,4","10,4","10,2","15,4","21,6","21,6","11,5","19,3","6,7","14,0","6,6","13,8"
12920,Ilocos Sur,San Juan,"18,0","17,0","11,7","12,8","11,7","12,5","14,2","21,8","13,7","20,2","9,3","14,1"
12921,Ilocos Sur,San Vicente,"12,9","14,1","9,6","21,5","21,1","30,7","8,4","17,5","9,2","18,9","4,7","14,4"
12922,Ilocos Sur,Santa,"13,6","12,6","11,2","16,9","16,9","16,1","9,8","17,4","9,1","16,2","8,2","14,1"
12923,Ilocos Sur,Santa Catalina,"11,7","16,7","13,3","19,6","20,2","19,0","7,9","15,5","11,1","22,3","9,1","17,5"
12924,Ilocos Sur,Santa Cruz,"24,0","21,2","14,7","9,7","11,1","10,3","20,2","27,8","17,3","25,0","12,2","17,2"
12925,Ilocos Sur,Santa Lucia,"25,1","21,9","14,4","11,2","9,8","11,7","20,5","29,8","18,4","25,4","11,7","17,2"
12926,Ilocos Sur,Santa Maria,"16,9","18,5","11,3","12,7","10,2","15,4","13,4","20,4","15,4","21,6","8,5","14,2"
12927,Ilocos Sur,Santiago,"20,9","24,7","13,0","11,4","11,5","15,8","17,0","24,8","20,0","29,3","9,6","16,4"
12928,Ilocos Sur,Santo Domingo,"16,4","21,1","11,3","12,3","10,4","14,5","13,1","19,7","17,4","24,7","8,6","14,0"
12929,Ilocos Sur,Sigay,"27,2","22,9","21,4","20,1","26,7","21,7","18,2","36,1","12,9","33,0","13,8","29,1"
12930,Ilocos Sur,Sinait,"18,7","20,0","12,2","13,2","11,7","12,4","14,6","22,7","16,2","23,8","9,7","14,7"
12931,Ilocos Sur,Sugpon,"35,4","42,4","26,6","20,9","15,5","20,0","23,2","47,6","31,6","53,2","17,8","35,3"
12932,Ilocos Sur,Suyo,"24,4","24,7","14,6","18,1","18,7","22,5","17,1","31,7","17,1","32,3","9,2","20,0"
12933,Ilocos Sur,Tagudin,"20,6","22,6","13,5","9,3","9,1","10,8","17,4","23,7","19,2","26,0","11,1","15,9"
12934,Ilocos Sur,Vigan City,"12,4","7,1","8,7","12,9","22,2","15,3","9,8","15,1","4,5","9,7","6,5","10,9"
13301,La Union,Agoo,"21,3","8,5","6,7","10,3","15,4","14,8","17,7","24,9","6,3","10,7","5,0","8,3"
13302,La Union,Aringay,"26,0","11,7","8,6","13,4","17,4","18,9","20,3","31,7","8,4","15,1","5,9","11,3"
13303,La Union,Bacnotan,"21,1","9,0","5,3","8,4","15,3","15,0","18,2","24,0","6,7","11,2","4,0","6,6"
13304,La Union,Bagulin,"35,1","27,6","13,0","10,2","16,2","20,1","29,2","41,0","20,2","35,0","8,7","17,2"
13305,La Union,Balaoan,"26,6","12,1","6,5","8,2","15,8","14,6","23,0","30,2","8,9","15,2","4,9","8,1"
13306,La Union,Bangar,"27,9","14,9","8,0","11,9","14,4","17,1","22,4","33,4","11,4","18,5","5,7","10,2"
13307,La Union,Bauang,"20,3","6,0","5,7","10,7","20,8","18,0","16,8","23,9","3,9","8,0","4,0","7,4"
13308,La Union,Burgos,"26,2","16,7","10,1","10,6","21,6","23,2","21,6","30,8","10,8","22,6","6,2","14,0"
13309,La Union,Caba,"25,2","8,5","7,3","7,2","29,5","21,6","22,2","28,2","4,4","12,7","4,7","9,9"
13310,La Union,Luna,"24,7","12,1","6,0","11,8","15,2","19,7","19,9","29,5","9,0","15,1","4,0","7,9"
13311,La Union,Naguilian,"21,9","5,1","5,9","12,9","24,1","15,7","17,3","26,5","3,1","7,1","4,4","7,5"
13312,La Union,Pugo,"27,4","7,5","5,8","9,4","26,0","25,6","23,1","31,6","4,3","10,8","3,4","8,3"
13313,La Union,Rosario,"24,8","8,2","6,4","14,4","18,5","17,4","18,9","30,6","5,7","10,7","4,6","8,3"
13314,La Union,San Fernando City,"15,0","3,8","3,8","8,9","25,7","16,2","12,8","17,1","2,2","5,4","2,8","4,8"
13315,La Union,San Gabriel,"29,7","15,0","15,1","13,6","19,1","15,7","23,0","36,3","10,3","19,7","11,2","19,0"
13316,La Union,San Juan,"22,7","7,1","5,5","12,3","21,4","16,5","18,1","27,3","4,6","9,7","4,0","7,0"
13317,La Union,Santo Tomas,"22,7","12,3","7,5","6,3","15,3","18,6","20,4","25,0","9,2","15,4","5,2","9,8"
13318,La Union,Santol,"32,7","20,6","12,6","9,8","18,4","22,1","27,4","38,0","14,4","26,9","8,0","17,1"
13319,La Union,Sudipen,"25,8","14,7","9,7","14,0","15,3","21,3","19,9","31,8","11,0","18,4","6,3","13,0"
13320,La Union,Tubao,"26,2","17,0","8,6","13,3","18,4","18,3","20,5","32,0","11,9","22,1","6,0","11,1"
15501,Pangasinan,Agno,"28,4","11,3","16,6","11,5","22,1","14,9","23,0","33,7","7,2","15,4","12,5","20,7"
15502,Pangasinan,Aguilar,"26,0","15,0","16,6","8,1","16,1","12,6","22,5","29,4","11,0","19,0","13,1","20,0"
15503,Pangasinan,Alaminos City,"19,9","8,6","12,4","10,1","16,6","13,7","16,6","23,2","6,3","11,0","9,6","15,2"
15504,Pangasinan,Alcala,"20,3","13,6","12,4","7,5","19,9","16,6","17,8","22,8","9,2","18,1","9,0","15,7"
15505,Pangasinan,Anda,"25,9","8,9","11,5","8,0","23,9","19,3","22,5","29,3","5,4","12,4","7,9","15,2"
15506,Pangasinan,Asingan,"20,4","10,6","9,4","10,0","20,0","15,7","17,0","23,7","7,1","14,0","7,0","11,8"
15507,Pangasinan,Balungao,"21,4","12,2","11,0","10,0","18,2","18,4","17,9","24,9","8,6","15,9","7,6","14,3"
15508,Pangasinan,Bani,"21,0","17,6","11,8","5,3","14,1","17,9","19,1","22,8","13,5","21,6","8,3","15,2"
15509,Pangasinan,Basista,"24,6","11,6","17,6","5,0","21,1","16,5","22,6","26,6","7,6","15,6","12,8","22,4"
15510,Pangasinan,Bautista,"23,4","10,0","14,1","9,4","23,2","16,8","19,8","27,0","6,2","13,8","10,2","18,0"
15511,Pangasinan,Bayambang,"24,2","19,5","13,9","7,9","10,0","8,9","21,0","27,3","16,3","22,7","11,9","15,9"
15512,Pangasinan,Binalonan,"14,8","7,8","8,8","9,7","21,0","15,5","12,4","17,2","5,1","10,5","6,6","11,1"
15513,Pangasinan,Binmaley,"17,5","7,5","9,2","9,6","16,1","13,0","14,8","20,3","5,5","9,4","7,2","11,2"
15514,Pangasinan,Bolinao,"28,7","12,5","16,9","9,7","18,0","14,4","24,1","33,2","8,8","16,2","12,9","20,9"
15515,Pangasinan,Bugallon,"24,8","15,2","14,7","7,6","14,1","12,3","21,6","27,9","11,6","18,7","11,7","17,6"
15516,Pangasinan,Burgos,"28,7","9,5","13,7","9,8","30,6","15,3","24,1","33,3","4,7","14,2","10,2","17,1"
15517,Pangasinan,Calasiao,"17,2","9,9","8,7","11,1","18,7","17,2","14,1","20,4","6,8","12,9","6,2","11,2"
15518,Pangasinan,Dagupan City,"13,9","6,0","9,2","7,0","20,6","16,7","12,3","15,5","3,9","8,0","6,7","11,7"
15519,Pangasinan,Dasol,"25,3","17,6","12,8","9,6","16,9","16,4","21,3","29,3","12,7","22,5","9,4","16,3"
15520,Pangasinan,Infanta,"24,0","9,5","14,2","11,0","30,3","16,7","19,6","28,3","4,8","14,2","10,3","18,1"
15521,Pangasinan,Labrador,"18,6","8,7","11,0","9,9","25,7","25,0","15,5","21,6","5,0","12,4","6,5","15,5"
15522,Pangasinan,Lingayen,"18,3","9,4","10,6","5,8","14,4","12,9","16,6","20,1","7,2","11,6","8,4","12,9"
15523,Pangasinan,Mabini,"21,5","12,1","14,9","7,6","20,4","16,3","18,8","24,2","8,0","16,2","10,9","18,9"
