Region,REG_Code,Province,PROV_Code,City_Municipality,City_Mun Code,Ambulatory Surgical Clinic,Animal Bite Treatment Center,Barangay Health Station,Birthing Home,City Health Office,DepEd Clinic,Drug Abuse Treatment and Rehabilitation Centers,General Clinic Laboratory,Hospital,Infirmary,Municipal Health Office,Provincial Health Office,Psychiatric Care Facility,Rural Health Unit,Social hygiene Clinic
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Akbar,PH150708000,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Al-Barka,PH150709000,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,City of Lamitan (Capital),PH150702000,0,0,15,5,0,0,0,0,2,0,0,0,0,3,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Hadji Mohammad Ajul,PH150710000,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Hadji Muhtamad,PH150712000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Lantawan,PH150703000,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Maluso,PH150704000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Sumisip,PH150705000,0,0,16,1,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tabuan-Lasa,PH150713000,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tipo-Tipo,PH150706000,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tuburan,PH150707000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Ungkaya Pukan,PH150711000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Bacolod-Kalawi (Bacolod Grande),PH153601000,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Balabagan,PH153602000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Balindong (Watu),PH153603000,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Bayang,PH153604000,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Binidayan,PH153605000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Buadiposo-Buntong,PH153633000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Bubong,PH153606000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Bumbaran,PH153637000,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Butig,PH153607000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Calanogas,PH153632000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Ditsaan-Ramain,PH153624000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Ganassi,PH153609000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Kapai,PH153610000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
