Region,Region code,Province,Province code,City_Municipality,City_Mun Code,Elementary_school,Secondary_school,Enrollment_Elementary_Male,Enrollment_Elementary_Female,Enrollment_Secondary_Male,Enrollment_Secondary_Female
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Adams,PH012801000,2,1,154,129,85,71
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Bacarra ,PH012802000,24,2,1.971,1.842,1.309,1.272
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Badoc,PH012803000,21,3,2.133,1.814,420,326
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Bangui,PH012804000,13,3,985,976,672,635
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Banna (Espiritu),PH012811000,17,4,1.375,1.228,517,473
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Burgos,PH012806000,10,1,690,657,323,282
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Carasi,PH012807000,1,1,80,47,74,64
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,City of Batac,PH012805000,26,4,3.203,2.884,1.296,1.297
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Currimao,PH012808000,9,2,744,693,392,360
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Dingras,PH012809000,24,6,2.764,2.387,1.099,1.025
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Dumalneg,PH012810000,2,1,201,203,96,113
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,City of Laoag (Capital),PH012812000,34,7,6.037,5.658,3.760,3.932
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Marcos,PH012813000,13,3,1.287,1.167,697,632
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Nueva Era,PH012814000,10,3,655,622,356,362
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Pagudpud,PH012815000,18,3,1.799,1.663,807,768
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Paoay,PH012816000,15,3,1.560,1.441,728,681
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Pasuquin,PH012817000,23,2,1.835,1.530,759,747
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Piddig,PH012818000,18,1,1.551,1.324,364,324
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Pinili,PH012819000,19,2,1.044,1.022,490,535
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,San Nicolas,PH012820000,11,2,2.308,2.086,1.121,1.072
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Sarrat,PH012821000,15,3,1.520,1.375,1.005,887
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Solsona,PH012822000,14,3,1.603,1.422,822,828
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Vintar,PH012823000,39,5,1.970,1.790,709,680
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Alilem,PH012901000,14,1,514,468,258,251
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Banayoyo,PH012902000,7,1,558,512,264,251
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Bantay,PH012903000,18,2,2.028,1.933,411,320
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Burgos,PH012904000,9,1,810,740,333,334
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Cabugao,PH012905000,26,4,2.666,2.446,909,784
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Caoayan,PH012907000,12,3,1.141,1.044,312,270
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Cervantes,PH012908000,22,1,1.488,1.186,372,457
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,City of Candon,PH012906000,29,5,3.832,3.474,1.973,2.027
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,City of Vigan (Capital),PH012934000,18,3,3.123,2.869,3.210,3.580
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Galimuyod,PH012909000,9,1,533,474,131,91
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Gregorio del Pilar (Concepcion),PH012910000,9,1,267,229,111,104
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Lidlidda,PH012911000,5,1,274,228,163,149
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Magsingal,PH012912000,19,3,2.062,1.824,726,631
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Nagbukel,PH012913000,8,1,395,365,249,193
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Narvacan,PH012914000,34,5,2.888,2.680,1.661,1.622
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Quirino (Angkaki),PH012915000,15,1,711,620,190,178
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Salcedo (Baugen),PH012916000,16,2,765,706,399,336
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Emilio,PH012917000,11,2,569,441,176,152
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Esteban,PH012918000,4,1,572,512,257,259
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Ildefonso,PH012919000,4,2,440,429,146,108
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Juan (Lapog),PH012920000,23,3,1.771,1.592,818,825
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Vicente,PH012921000,6,2,774,728,326,256
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa,PH012922000,10,3,939,807,280,241
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Catalina,PH012923000,7,1,769,607,152,112
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Cruz,PH012924000,24,2,2.599,2.424,410,340
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Lucia,PH012925000,14,3,1.701,1.626,690,611
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Maria,PH012926000,19,2,1.940,1.708,872,933
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santiago,PH012927000,11,1,1.275,1.113,372,297
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santo Domingo,PH012928000,20,2,1.834,1.649,721,691
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Sigay,PH012929000,6,1,188,141,56,42
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Sinait,PH012930000,18,2,1.681,1.591,1.202,1.179
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Sugpon,PH012931000,8,1,240,234,114,119
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Suyo,PH012932000,20,2,868,744,353,357
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Tagudin,PH012933000,21,5,2.682,2.344,1.595,1.516
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Agoo,PH013301000,18,6,4.460,4.085,2.046,2.056
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Aringay,PH013302000,23,4,3.394,3.077,1.100,1.094
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bacnotan,PH013303000,17,2,2.455,2.084,1.296,1.149
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bagulin,PH013304000,14,5,971,829,553,512
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Balaoan,PH013305000,18,5,2.439,2.191,1.246,1.104
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bangar,PH013306000,16,5,2.476,2.309,1.478,1.441
