Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Ownership Major Classification,Ambulatory Surgical Clinic,Animal Bite Treatment Center,Barangay Health Station,Birthing Home,City Health Office,COVID-19 Testing Laboratory,DepEd Clinic,Dialysis Clinic,Drug Abuse Treatment and Rehabilitation Centers,Drug Testing Laboratory,General Clinic Laboratory,Hospital,Infirmary,Municipal Health Office,Provincial Health Office,Psychiatric Care Facility,Rural Health Unit,Social hygiene Clinic,Total
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,AKBAR,PH150708000,Government,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,AL-BARKA,PH150709000,Government,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,CITY OF LAMITAN (Capital),PH150702000,Government,0,0,15,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,23
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,CITY OF LAMITAN (Capital),PH150702000,Private,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,HADJI MOHAMMAD AJUL,PH150710000,Government,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,HADJI MUHTAMAD,PH150712000,Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,LANTAWAN,PH150703000,Government,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,MALUSO,PH150704000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,SUMISIP,PH150705000,Government,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,TABUAN-LASA,PH150713000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,TIPO-TIPO,PH150706000,Government,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,TUBURAN,PH150707000,Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,UNGKAYA PUKAN,PH150711000,Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,AMAI MANABILANG,PH153637000,Government,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,BACOLOD-KALAWI (BACOLOD GRANDE),PH153601000,Government,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,BALABAGAN,PH153602000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,BALINDONG (WATU),PH153603000,Government,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,BAYANG,PH153604000,Government,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,BINIDAYAN,PH153605000,Government,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,BUADIPOSO-BUNTONG,PH153633000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,BUBONG,PH153606000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,BUTIG,PH153607000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,CALANOGAS,PH153632000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,DITSAAN-RAMAIN,PH153624000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,GANASSI,PH153609000,Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,KAPAI,PH153610000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,KAPATAGAN,PH153639000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
