city_municipality,Cost of Living,Poverty Incidents,Financial Deepening,Employed Population,Cluster_Id,Vulnerability
Aborlan,0.7376365601704313,0.14184513688554343,0.1128275068145613,0.007804044286032289,1,medium
Abra De Ilog,0.781363800142026,0.2326563883104395,0.04060323762701109,0.08085501620938372,1,medium
Abucay,0.5481751748215055,0.039571034649650685,0.3111692815884936,0.3711398766193389,0,low
Abulug,0.6210072657181935,0.16044042820116028,0.6415861476051414,0.02008581890011589,0,low
Abuyog,0.35031815939803324,0.33085481025797786,0.46991602553879436,0.012153839461853565,0,low
Adams,0.47527312034086255,0.04364671493800508,0.00852393024675402,0.062432354288258315,0,low
Agdangan,0.5756008997316896,0.15037859248928542,0.1884430170680244,0.09019428232217645,0,low
Aglipay,0.9990205098246363,0.11981099032662755,0.0789150961554324,0.031216177144129158,1,medium
Agno,0.5627276002840521,0.12082991039871614,0.07809019967994008,0.015608088572064579,0,low
Agoncillo,0.6283534420334216,0.13127384113762428,0.24151135699136397,0.02008581890011589,1,medium
Agoo,0.7376365601704313,0.01358857281139152,0.5089611253787644,0.5960498742397449,1,medium
Aguilar,0.5627276002840521,0.17865362448974392,0.19357570624886553,0.029680955317368706,0,low
Aguinaldo,0.4428799809699051,0.28640442211311284,0.009257171558302755,0.034542491102110134,0,low
Agutaya,0.9631991548399059,0.1659171235886365,0.015398067542523394,0.0,1,medium
Ajuy,0.8032624019198009,0.2664081156983742,0.08478102664782226,0.05130199604424505,1,medium
Akbar,0.8711270783557159,0.8651510230594348,0.0,0.05411656939330587,2,high
Al-Barka,0.8711270783557159,0.9089645861592444,0.0,0.0,2,high
Alabat,0.5756008997316896,0.1688465187958912,0.271574250764862,0.06447931672393892,0,low
Alabel,0.5446769956237778,0.3439734061861185,0.3266590042949606,0.6401875017591078,0,low
Alamada,0.6561989484473332,0.5362945697928407,0.10192054230527389,0.013816996440844054,2,high
Alaminos (LA),0.8250910401136209,0.004927752198638464,0.22757977207193802,0.016759504942134917,1,medium
Alaminos (PS),0.5320835505119584,0.07077546185736391,0.38898451577660287,0.09057808777886657,0,low
Alang-Alang,0.35031815939803324,0.36753593285316727,0.12235964386469483,0.007804044286032289,0,low
Albuera,0.6501820802272418,0.3185004043839036,0.13308329804609506,0.006012952154811764,1,medium
Alburquerque,0.7476413526759322,0.10452718924529862,0.11090274837174588,0.09019428232217645,1,medium
Alcala (CG),0.50766625971182,0.12796235090333632,0.28422266338907765,0.05296515302323554,0,low
Alcala (PS),0.5627276002840521,0.15878468308401633,0.21016529092265562,0.06985259311760049,0,low
Alcantara (CU),0.6501820802272418,0.2414445739322036,0.0997208183706277,0.03863641597347134,1,medium
Alcantara (RN),0.41048684159894777,0.25609154996847716,0.07699033771261697,0.2035448271979897,0,low
Alcoy,0.6501820802272418,0.2637334505091416,0.24600246002459997,0.025714965598237542,1,medium
Alegria (CU),0.7668113746794794,0.26755440077947384,0.10164557681344312,0.04682426571619374,1,medium
Alegria (SN),0.6048456778246922,0.4480306185481662,0.16809557067254707,0.06447931672393892,2,high
Aleosan,0.8760944928164891,0.5719567723159416,0.10036240451823283,0.2320743661452881,2,high
Alfonso,0.6048456778246922,0.03906157461360639,0.13959081468609005,0.020469624356806004,1,medium
Alfonso Castaneda,0.4058692450579474,0.2639881805271638,0.012465102296328462,0.006268822459271839,0,low
Alfonso Lista,0.4428799809699051,0.18094619465194325,0.1436236418996081,0.6019348912423266,0,low
Aliaga,0.8721765321150341,0.05752950092021218,0.15022281370354668,0.01087448793955319,1,medium
