city_municipality,Availability of Basic Utilities,Utilities,Transportation Vehicles,Cost of Doing Business,Poverty Incidents,Cluster_Id,Vulnerability
Aborlan,0.84188,0.852314516380943,0.006790567199687145,0.8563073256342051,0.14184513688554343,2,low
Abra De Ilog,0.81952,0.8525416942356459,0.13206482415943274,0.8805709473388916,0.2326563883104395,2,low
Abucay,0.885,0.8571988402570516,0.11309806749823763,0.738099937842144,0.039571034649650685,2,low
Abulug,0.75624,0.8519169551352133,0.0433191355842111,0.7448304063336537,0.16044042820116028,2,low
Abuyog,0.30672000000000005,0.8541319392185648,0.06088094730753993,0.6659312168743592,0.33085481025797786,0,medium
Adams,0.49500000000000005,0.8486796707056994,0.0,0.6215327482538958,0.04364671493800508,0,medium
Agdangan,0.545,0.8537343779728351,0.029972158674481195,0.6982827124806075,0.15037859248928542,0,medium
Aglipay,0.83596,0.8531664333360782,0.05549532504571908,0.8091940461936373,0.11981099032662755,2,low
Agno,0.6667200000000001,0.8313573592846167,0.01241034695115237,0.849972767053961,0.12082991039871614,2,low
Agoncillo,0.8900000000000001,0.724526973110661,0.0011707874482219216,0.6768470187135303,0.13127384113762428,2,low
Agoo,0.8302,0.8879814395692706,0.13393808407658783,0.8414324246823812,0.01358857281139152,2,low
Aguilar,0.39404,0.8520305440625646,0.013815291889018675,0.802293902025871,0.17865362448974392,0,medium
Aguinaldo,0.8046,0.7238454395465529,0.006322252220398377,0.8602664247468581,0.28640442211311284,2,low
Agutaya,0.0,0.5654456803550789,0.0018732599171550747,0.0,0.1659171235886365,1,high
Ajuy,0.5837600000000001,0.8548134727826731,0.035357780936302034,0.742454946866062,0.2664081156983742,0,medium
Akbar,0.03528,0.8493612042698077,0.019200914150839517,0.5367514686843745,0.8651510230594348,1,high
Al-Barka,0.0,0.0,0.0,0.0,0.9089645861592444,1,high
Alabat,0.885,0.8564037177655921,0.03184541859163627,0.8118522984549899,0.1688465187958912,2,low
Alabel,0.915,0.8594706188040788,0.592886763779581,0.8830029653652354,0.3439734061861185,2,low
Alamada,0.9371600000000001,0.7188475267430929,0.026693953819459812,0.8677887130608983,0.5362945697928407,2,low
Alaminos (LA),0.88752,0.8531096388724025,0.0927263658991762,0.6930227665166546,0.004927752198638464,2,low
Alaminos (PS),0.9212,0.9538630174330605,0.6954477442438214,0.7207930188639762,0.07077546185736391,2,low
Alang-Alang,0.37992000000000004,0.7225959613456879,0.041914190646344794,0.7703383163308881,0.36753593285316727,0,medium
Albuera,0.48876000000000003,0.7156670367772549,0.026928111309104195,0.835493776013402,0.3185004043839036,0,medium
Alburquerque,0.91252,0.7368513717282839,0.01732765423368444,0.8006537038220578,0.10452718924529862,2,low
Alcala (CG),0.5,0.7306039807239589,0.046129025459943705,0.7025811629457734,0.12796235090333632,0,medium
