city_municipality,Presence of Investment Promotion Unit,Active Establishments in the Locality,Productivity,Cost of Doing Business,Poverty Incidents,Cluster_Id,Vulnerability
Aborlan,0.66668,0.13800842076788755,0.03546239426278776,0.8563073256342051,0.14184513688554343,2,medium
Abra De Ilog,0.0,0.039824571510152666,0.009151585616203294,0.8805709473388916,0.2326563883104395,0,high
Abucay,1.0,0.43406278256034325,0.38540654879147046,0.738099937842144,0.039571034649650685,1,low
Abulug,0.5,0.25147087922134137,0.27725144605452245,0.7448304063336537,0.16044042820116028,2,medium
Abuyog,1.0,0.12014163187234736,0.04014218236198263,0.6659312168743592,0.33085481025797786,2,medium
Adams,0.79976,0.05326640801567589,0.026206813355491246,0.6215327482538958,0.04364671493800508,2,medium
Agdangan,1.0,0.10653281603135178,0.09900351712074472,0.6982827124806075,0.15037859248928542,2,medium
Aglipay,1.0,0.17599621958784448,0.10087543236042265,0.8091940461936373,0.11981099032662755,2,medium
Agno,1.0,0.47564063709295545,0.19384722259776066,0.849972767053961,0.12082991039871614,1,low
Agoncillo,0.75,0.18576451071297628,0.04783783390288085,0.6768470187135303,0.13127384113762428,2,medium
Agoo,1.0,0.5185543263093464,0.14517742636613404,0.8414324246823812,0.01358857281139152,1,low
Aguilar,0.79948,0.18050466164559764,0.09588365838794814,0.802293902025871,0.17865362448974392,2,medium
Aguinaldo,1.0,0.09935270460604126,0.01206345376681343,0.8602664247468581,0.28640442211311284,2,medium
Agutaya,0.0,0.002337710696612735,0.0,0.0,0.1659171235886365,0,high
Ajuy,1.0,0.04116040619393137,0.0108155102736948,0.742454946866062,0.2664081156983742,2,medium
Akbar,0.79988,0.0,0.0,0.5367514686843745,0.8651510230594348,2,medium
Al-Barka,0.0,0.0,0.0,0.0,0.9089645861592444,0,high
Alabat,1.0,0.28369789096750264,0.11543477311347335,0.8118522984549899,0.1688465187958912,2,medium
Alabel,1.0,0.2270084065746438,0.15630492251310849,0.8830029653652354,0.3439734061861185,2,medium
Alamada,1.0,0.07280299026593946,0.01736721361256761,0.8677887130608983,0.5362945697928407,2,medium
Alaminos (LA),1.0,0.2995609278373748,0.4785863296109949,0.6930227665166546,0.004927752198638464,1,low
Alaminos (PS),1.0,0.2243367372070864,0.1027473476001006,0.7207930188639762,0.07077546185736391,2,medium
Alang-Alang,0.75,0.07088272790800758,0.028078728595169196,0.7703383163308881,0.36753593285316727,2,medium
Albuera,0.5,0.22041272282348648,0.2876509751638444,0.835493776013402,0.3185004043839036,2,medium
Alburquerque,1.0,0.26699995742026883,0.10337131934665993,0.8006537038220578,0.10452718924529862,2,medium
Alcala (CG),0.26668,0.25940239765627743,0.10929905093897341,0.7025811629457734,0.12796235090333632,0,high
Alcala (PS),1.0,0.3293667392191872,0.1449694357839476,0.8538187490491091,0.15878468308401633,2,medium
Alcantara (CU),0.26668,0.19210972546092514,0.07934840710412629,0.7986741542657314,0.2414445739322036,0,high
Alcantara (RN),0.79948,0.0010853656805701985,0.006135722174499935,0.5299644416341126,0.25609154996847716,2,medium
Alcoy,1.0,0.17207220520424454,0.25697236429134473,0.7549543883502943,0.2637334505091416,2,medium
Alegria (CU),1.0,0.20505062396003135,0.06572502397091456,0.8016717578795969,0.26755440077947384,2,medium
Alegria (SN),0.5,0.3003123348470003,0.09973148415839725,0.8316477940182538,0.4480306185481662,2,medium
Aleosan,1.0,0.2559793212790945,0.10087543236042265,0.8321002624882712,0.5719567723159416,2,medium
Alfonso,0.7795200000000001,0.2792729385774857,0.06718095804621962,0.8339101363683412,0.03906157461360639,2,medium
Alfonso Castaneda,0.25,0.022041272282348645,0.010191538527135485,0.7250349107703897,0.2639881805271638,0,high
Alfonso Lista,1.0,0.8102672253795213,0.85671320802594,0.7555765324965684,0.18094619465194325,1,low
Aliaga,0.0,0.10928797506664537,0.01757520419475405,0.7508256135613849,0.05752950092021218,0,high
Alicia (BL),1.0,0.2391978980641245,0.10295533818228704,0.8197704966802952,0.3235950047443466,2,medium
Alicia (IA),1.0,0.16881610816253395,0.0800763741417788,0.7102165683773181,0.13267485623674607,2,medium
Alicia (ZS),0.53336,0.0018367726901957206,0.07269270847416025,0.23721734153281615,0.4472664284940998,0,high
Alilem,1.0,0.10594838835719862,0.052101640837702835,0.6490767663662087,0.0827477727044049,2,medium
Alimodian,1.0,0.23727763570619262,0.10784311686366835,0.8030291632896494,0.2741773812480497,2,medium
Alitagtag,1.0,0.46295020759705774,0.15880080949934577,0.8059702083447629,0.1758515942915003,1,low
Allacapan,1.0,0.6056340497581708,0.2697637850958107,0.7947150551530786,0.1181552452094836,1,low
Allen,0.0,0.31893053075216604,0.43636424142714786,0.7559158838490814,0.2773615064733266,0,high
Almagro,0.26668,0.07931518434936066,0.01611927011944898,0.44416510800705167,0.3573467321322813,0,high
Almeria,0.75,0.20613598964060156,0.2211979841552773,0.7146846945187404,0.18578606499436412,2,medium
Aloguinsan,0.75,0.12289679090764094,0.016951232448194735,0.7962986947981396,0.2611861503289201,2,medium
Aloran,0.7996400000000001,0.35199243917568895,0.12822619391793932,0.8089112533998766,0.27150271605881715,2,medium
Altavas,0.25,0.5046950414651423,0.22722971103868403,0.7747498839135583,0.158275223047972,0,high
Alubijid,1.0,0.4970139920334148,0.14798529922565098,0.7878149109853123,0.16222353832731534,1,low
Amadeo,1.0,0.551950193403814,0.34900819690884377,0.7662661001007309,0.031929134108986235,1,low
Amai Manabilang,1.0,0.0954286902224413,0.1491292474276764,1.0000000000000002,0.9367301581236586,2,medium
Ambaguio,1.0,0.23594180102241394,0.08475616224097368,0.7761072893236105,0.6528335530379739,2,medium
Amlan,0.25,0.21440146674648228,0.07061280265229586,0.7968642803856616,0.13382114131784575,0,high
Ampatuan,1.0,0.08440805408126698,0.06333313227577052,0.8907514879142844,0.7221201179399983,2,medium
Amulung,0.0,0.11104125808910494,0.01091950556478802,0.6907604241665672,0.1689738838049023,0,high
Anahawan,0.0,0.08407409541032229,0.07071679794338909,0.28020184618447486,0.27303109616695004,0,high
