city_municipality,Budget for DRRMP,Early Warning System,Land Use Plan,Annual Disaster Drill,Poverty Incidents,Cluster_Id,Vulnerability
Aborlan,0.05891411691849017,0.50148,0.96924,0.547279312300912,0.14184513688554343,0,medium
Abra De Ilog,0.05891411691849017,0.50732,0.9589600000000001,0.556355543919361,0.2326563883104395,0,medium
Abucay,0.006576459562994252,0.5119600000000001,0.94872,0.5598027665052144,0.039571034649650685,0,medium
Abulug,0.006850478711452346,0.501,0.5384800000000001,0.5454466116856481,0.16044042820116028,0,medium
Abuyog,0.06466851903611014,0.50072,0.96364,0.0,0.33085481025797786,0,medium
Adams,0.012330861680614221,0.5038,0.9846,0.5530828642492472,0.04364671493800508,0,medium
Agdangan,0.008494593602200909,0.50756,0.9461600000000001,0.5492865558319151,0.15037859248928542,0,medium
Aglipay,0.006850478711452346,0.502,0.96,0.5454466116856481,0.11981099032662755,0,medium
Agno,0.017537225501318005,0.50596,0.9897600000000001,0.5598027665052144,0.12082991039871614,0,medium
Agoncillo,0.005480382969161876,0.505,0.96924,0.5598027665052144,0.13127384113762428,0,medium
Agoo,0.06055823180923874,0.6644800000000001,0.9897600000000001,0.5545228433040973,0.01358857281139152,0,medium
Aguilar,0.007398517008368534,0.504,0.97144,0.549024741458306,0.17865362448974392,0,medium
Aguinaldo,0.052611676503954014,0.50292,0.4,0.5490683771872409,0.28640442211311284,1,high
Agutaya,0.0,0.41516000000000003,0.0,0.0,0.1659171235886365,1,high
Ajuy,0.05891411691849017,0.50072,0.9,0.547279312300912,0.2664081156983742,0,medium
Akbar,0.0046583255237875945,0.0,0.0,0.4386699829820657,0.8651510230594348,1,high
Al-Barka,0.0,0.4,0.0,0.43635728934851853,0.9089645861592444,1,high
Alabat,0.11426598490702514,0.5492400000000001,0.91352,0.4479643932451891,0.1688465187958912,0,medium
Alabel,0.1468742635735383,0.50804,0.99092,0.547279312300912,0.3439734061861185,0,medium
Alamada,0.04493914034712739,0.51316,0.96924,0.5599773094209539,0.5362945697928407,0,medium
Alaminos (LA),0.006850478711452346,0.502,0.90768,0.5526028712309639,0.004927752198638464,0,medium
Alaminos (PS),0.5099496352805126,1.0,0.9818,0.9999999999999999,0.07077546185736391,2,low
Alang-Alang,0.05891411691849017,0.50512,0.9545600000000001,0.547279312300912,0.36753593285316727,0,medium
Albuera,0.006850478711452346,0.503,0.95384,0.5598027665052144,0.3185004043839036,0,medium
Alburquerque,0.009864689344491378,0.50756,0.95384,0.5530828642492472,0.10452718924529862,0,medium
Alcala (CG),0.005206363820703783,0.504,0.78976,0.5454466116856481,0.12796235090333632,0,medium
Alcala (PS),0.006850478711452346,0.505,0.98284,0.549024741458306,0.15878468308401633,0,medium
Alcantara (CU),0.008768612750659002,0.5151600000000001,0.16756000000000001,0.5454466116856481,0.2414445739322036,1,high
Alcantara (RN),0.0,0.42424,0.79444,0.0,0.25609154996847716,0,medium
Alcoy,0.009864689344491378,0.40304000000000006,0.79232,0.5473665837587817,0.2637334505091416,0,medium
Alegria (CU),0.006850478711452346,0.501,0.9179600000000001,0.0,0.26755440077947384,0,medium
Alegria (SN),0.01068674678986566,0.5038,0.97692,0.43635728934851853,0.4480306185481662,0,medium
Aleosan,0.006850478711452346,0.502,0.90768,0.5705807915521228,0.5719567723159416,0,medium
Alfonso,0.05891411691849017,0.50148,0.95384,0.5509010778025046,0.03906157461360639,0,medium
Alfonso Castaneda,0.0712449785991044,0.5022000000000001,0.79488,0.5454466116856481,0.2639881805271638,0,medium
Alfonso Lista,0.006028421266078065,0.5069600000000001,0.9897600000000001,0.549024741458306,0.18094619465194325,0,medium
Aliaga,0.04137689141717217,0.5,0.96364,0.5454466116856481,0.05752950092021218,0,medium
Alicia (BL),0.03918473822950742,0.505,0.98284,0.5454466116856481,0.3235950047443466,0,medium
Alicia (IA),0.053433733949328294,0.5022000000000001,0.8,0.5527337784177684,0.13267485623674607,0,medium
Alicia (ZS),0.006576459562994252,0.501,0.98284,0.43657546799319275,0.4472664284940998,0,medium
Alilem,0.006850478711452346,0.501,0.98284,0.549024741458306,0.0827477727044049,0,medium
Alimodian,0.011782823383698035,0.503,0.95384,0.5454466116856481,0.2741773812480497,0,medium
Alitagtag,0.006850478711452346,0.501,0.90284,0.5598027665052144,0.1758515942915003,0,medium
Allacapan,0.006850478711452346,0.503,0.9314399999999999,0.5562246367325565,0.1181552452094836,0,medium
Allen,0.01068674678986566,0.5,0.97296,0.5473665837587817,0.2773615064733266,0,medium
Almagro,0.01068674678986566,0.0,0.71796,0.4409826766156128,0.3573467321322813,0,medium
Almeria,0.01068674678986566,0.51136,0.97692,0.01391979753021774,0.18578606499436412,0,medium
Aloguinsan,0.00575440211761997,0.503,0.6000000000000001,0.5633808962778722,0.2611861503289201,0,medium
Aloran,0.007124497859910439,0.504,0.9885600000000001,0.5562246367325565,0.27150271605881715,0,medium
Altavas,0.004932344672245689,0.501,0.9794800000000001,0.0,0.158275223047972,0,medium
Alubijid,0.003288229781497126,0.504,0.9794800000000001,0.5598027665052144,0.16222353832731534,0,medium
Amadeo,0.006576459562994252,0.503,0.96,0.5562246367325565,0.031929134108986235,0,medium
Amai Manabilang,0.006850478711452346,0.501,0.94284,0.5598027665052144,0.9367301581236586,0,medium
Ambaguio,0.01068674678986566,0.53032,0.90768,0.5530828642492472,0.6528335530379739,0,medium
