name,Ambulatory Surgical Clinic,Animal Bite Treatment Center,Barangay Health Station,Birthing Home,City Health Office,COVID-19 Testing Laboratory,DepEd Clinic,Dialysis Clinic,Drug Abuse Treatment and Rehabilitation Centers,Drug Testing Laboratory,General Clinic Laboratory,Hospital,Infirmary,Municipal Health Office,Provincial Health Office,Psychiatric Care Facility,Rural Health Unit,Social hygiene Clinic,Total,year
Aborlan,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20,2021
Abra De Ilog,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,2021
Abucay,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2021
Abulug,0,0,8,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,14,2021
Abuyog,0,0,17,4,0,0,0,0,0,0,2,1,0,0,0,0,2,0,26,2021
Adams,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2021
Agdangan,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2021
Aglipay,0,0,25,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30,2021
Agno,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2021
Agoncillo,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Agoo,0,0,14,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,19,2021
Aguilar,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,2021
Aguinaldo,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,2021
Agutaya,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Ajuy,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,2021
Akbar,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Alabat,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21,2021
Alabel,0,0,13,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,2021
Alamada,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,2021
Alaminos (LA),0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,2021
Alaminos (PS),0,0,13,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,22,2021
Alang-Alang,0,0,7,3,0,0,0,0,0,0,2,0,1,1,0,0,1,0,15,2021
Al-Barka,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Albuera,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2021
Alburquerque,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Alcala (CG),0,0,12,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,17,2021
Alcala (PS),0,0,12,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,17,2021
Alcantara (CU),0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,2021
Alcantara (RN),0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,2021
Alcoy,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Alegria (CU),0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,2021
Alegria (SN),0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,2021
Aleosan,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21,2021
Alfonso,0,0,32,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,36,2021
Alfonso Castaneda,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Alfonso Lista,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,24,2021
Aliaga,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2021
Alicia (BL),0,0,48,5,0,0,0,0,0,0,1,3,1,0,0,0,3,0,61,2021
Alicia (IA),0,0,48,5,0,0,0,0,0,0,1,3,1,0,0,0,3,0,61,2021
Alicia (ZS),0,0,48,5,0,0,0,0,0,0,1,3,1,0,0,0,3,0,61,2021
Alilem,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Alimodian,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,2021
Alitagtag,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Allacapan,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,2021
Allen,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,2021
Almagro,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Almeria,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Aloguinsan,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Aloran,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,2021
Altavas,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,2021
Alubijid,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,2021
Amadeo,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,30,2021
Amai Manabilang,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2021
Ambaguio,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Amlan,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Ampatuan,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Amulung,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,2021
Anahawan,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,2021
Anao,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Anda (BL),0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,2021
Anda (PS),0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,2021
Angadanan,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,2021
Angat,0,0,13,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17,2021
Angeles,1,0,27,15,1,1,0,0,0,0,0,15,2,0,0,0,6,1,69,2021
Angono,0,0,9,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,15,2021
Anilao,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Anini-Y,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Antequera,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Antipas,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,15,2021
Antipolo,0,0,17,12,0,1,0,0,2,0,0,14,3,0,0,0,5,1,55,2021
Apalit,0,0,13,6,0,0,0,0,0,0,0,4,0,0,0,0,2,0,25,2021
Aparri,0,0,25,1,0,0,0,0,0,0,2,3,0,0,0,0,2,0,33,2021
Araceli,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2021
Arakan,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,2021
Arayat,0,0,28,8,0,0,0,0,0,0,0,5,1,0,0,0,3,0,45,2021
Argao,0,0,40,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,44,2021
Aringay,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,2021
Aritao,0,0,22,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25,2021
Aroroy,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,34,2021
Arteche,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,2021
Asingan,0,0,17,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,22,2021
Asipulo,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Asturias,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29,2021
Asuncion,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,2021
Atimonan,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,12,2021
