municipality,pov_inc
Aborlan,13.33
Abra De Ilog,20.46
Abucay,5.3
Abulug,14.79
Abuyog,28.17
Adams,5.62
Agdangan,14
Aglipay,11.6
Agno,11.68
Agoncillo,12.5
Agoo,3.26
Aguilar,16.22
Aguinaldo,24.68
Agutaya,15.22
Ajuy,23.11
Akbar,70.12
Alabat,73.56
Alabel,15.45
Alamada,29.2
Alaminos (LA),44.3
Alaminos (PS),2.58
Alang-Alang,7.75
Al-Barka,31.05
Albuera,27.2
Alburquerque,10.4
Alcala (CG),12.24
Alcala (PS),14.66
Alcantara (CU),21.15
Alcantara (RN),22.3
Alcoy,22.9
Alegria (CU),23.2
Alegria (SN),37.37
Aleosan,47.1
Alfonso,5.26
Alfonso Castaneda,22.92
Alfonso Lista,16.4
Aliaga,6.71
Alicia (BL),27.6
Alicia (IA),12.61
Alicia (ZS),37.31
Alilem,8.69
Alimodian,23.72
Alitagtag,16
Allacapan,11.47
Allen,23.97
Almagro,30.25
Almeria,16.78
Aloguinsan,22.7
Aloran,23.51
Altavas,14.62
Alubijid,14.93
Amadeo,4.7
Amai Manabilang,75.74
Ambaguio,53.45
Amlan,12.7
Ampatuan,58.89
Amulung,15.46
Anahawan,23.63
Anao,5.21
Anda (BL),12.4
Anda (PS),25.4
Angadanan,14.31
Angat,4.61
Angeles,1.71
Angono,4.07
Anilao,22.61
Anini-Y,18.76
Antequera,15.6
Antipas,28.6
Antipolo,5.38
Apalit,4.7
Aparri,13.28
Araceli,19.18
Arakan,42.1
Arayat,6.4
Argao,15.9
Aringay,4.39
Aritao,15.83
Aroroy,37.26
Arteche,58.66
Asingan,10.42
Asipulo,32.04
Asturias,26
Asuncion,18.12
Atimonan,6.1
Atok,18.66
Aurora (IA),11.23
Aurora (ZR),29.8
Ayungon,30.5
Baao,26.2
Babatngon,33.12
Bacacay,31.51
Bacarra,3.43
Baclayon,11.2
Bacnotan,1.46
Baco,16.82
Bacolod (LN),20.42
Bacolod (NO),6.7
Bacolod-Kalawi,66.62
Bacolor,3.63
Bacong,13.9
Bacoor,3.9
Bacuag,31.76
Bacungan Leon B. Postigo,55.77
Badian,26.5
Badiangan,15.96
Badoc,5.67
Bagabag,8.68
Bagac,6.07
Bagamanoc,22.71
Baganga,36.35
Baggao,13.47
Bago,12.98
Baguio,4
Bagulin,5.5
Bagumbayan,33.1
Bais,22.8
Bakun,17.92
Balabac,29.74
Balabagan,73.45
Balagtas,3.38
Balamban,18.9
Balanga,3.39
Balangiga,50.07
Balangkayan,50.42
Balaoan,3.2
Balasan,20.74
Balatan,38.39
Balayan,10.41
Balbalan,15.95
Baleno,33.05
Baler,7.34
Balete (AK),17.26
Balete (BS),12.66
Baliangao,26.76
Baliguian,52.55
Balilihan,20.5
Balindong,67.37
Balingasag,20.15
Balingoan,18.47
Baliwag,3.98
Ballesteros,13.03
Baloi,29.12
Balud,31.72
Balungao,9.49
Bamban,10.3
Bambang,8.23
Banate,18.8
Banaue,19.22
Banaybanay,26.05
Banayoyo,6.05
Banga (AK),19.5
Banga (SC),10.61
Bangar,3.83
Bangued,8.89
Bangui,4.74
Bani,10.58
Banisilan,43
Banna,6.13
Bansalan,17.29
Bansud,16.2
Bantay,3.18
Bantayan Island,23.5
Banton,16.71
Baras (CT),6.4
Baras (RL),25.67
Barbaza,19.88
Barcelona,28.35
Barili,23.5
Barira,65.66
Barlig,14.43
Barobo,33.17
Barotac Nuevo,15.66
Barotac Viejo,19.5
Baroy,17.11
Barugo,26.48
Basay,29.1
Basco,7.01
Basey,26.87
Basilisa,33.22
Basista,14.48
Basud (CN),22.37
Batac,4.14
Batad,23.77
Batan,14.66
Batangas,8.55
Bataraza,15.29
Bato (CS),29.15
Bato (CT),30.85
Bato (LE),14.55
Batuan (BL),23.3
Batuan (MS),29.28
Bauan,7.6
Bauang,3.1
Bauko,21.75
Baungon,34.65
Bautista,14.79
Bay,2.19
Bayabas,31.1
Bayambang,14.67
Bayang,70.39
Bayawan,29.5
Baybay,22.84
Bayog,37.86
Bayombong,6.82
Bayugan,31.5
Belison,13.18
Benito Soliven,19.74
Besao,16.63
Bien Unido,32
Bilar,20.1
Biliran,22.42
Binalbagan,16.41
Binalonan,6.92
Binangonan,3.83
Bindoy,37.8
Bingawan,22.39
Binidayan,69.77
Binmaley,6.56
Binuangan,17.11
Biri,41.78
Bislig,21.6
Binan,1.69
Boac,13.44
Bobon,34.6
Bocaue,7.52
Bogo,13.1
Bokod,9.88
Bolinao,16.28
Boliney,32.97
Boljoon,23.3
Bombon,23.78
Bongabon,5.47
Bongabong,16.5
Bongao,17.29
Bonifacio,34.96
Bontoc (MP),29.69
Bontoc (SL),10.01
Borbon,20.7
Borongan,37.42
Boston,29.48
Botolan,12.75
Braulio E. Dujali,11.4
Buadiposo-Buntong,66.88
Bubong,67.25
Bucay,20.43
Bucloc,21.16
Buenavista (AN),32.6
Buenavista (BL),6.99
Buenavista (GS),19.65
Buenavista (ME),24.91
Buenavista (QN),24.77
Bugallon,15.28
Bugasong,19.93
Buguey,15.28
Buguias,9.44
Buhi,29.82
Bula,25.05
Bulakan,4
Bulalacao,23.93
Bulan,29.49
Buldon,66.8
Buluan,63.91
Bulusan,28.97
Bunawan,30.33
