city_municipality,Cluster_Id
Concepcion (RN),1
Concepcion (TC),2
Conner,1
Consolacion,2
Corcuera,1
Cordon,2
Cordova,2
Corella,2
Coron,1
Cortes (BL),1
Cortes (SS),2
Cotabato,0
Cuartero,2
Cuenca,1
Culaba,1
Culasi,2
Culion,1
Currimao,2
Cuyapo,2
Cuyo,1
Daan Bantayan,2
Daet,2
Dagami,1
Dagohoy,1
Daguioman,2
Dagupan,0
Dalaguete,2
Damulog,2
Danao (BL),2
Danao (CU),0
Dangcagan,2
Danglas,2
Dao,2
Dapa,1
Dapitan,2
Daraga,2
Daram,2
Dasmarinas,0
Dasol,2
Datu Abdullah Sangki,2
Datu Anggal Midtimbang,2
Datu Blah Sinsuat,1
Datu Hoffer Ampatuan,1
Datu Odin Sinsuat,2
Datu Paglas,2
Datu Piang,1
Datu Salibo,1
Datu Saudi-Ampatuan,1
Datu Unsay,2
Dauin,1
Dauis,2
Davao,0
Del Carmen,2
Del Gallego,2
Delfin Albano,2
Diadi,2
Diffun,2
Digos,0
Dilasag,1
Dimasalang,1
Dimataling,2
Dimiao,2
Dinagat,2
Dinalungan,2
Dinalupihan,2
Dinapigue,1
Dinas,2
Dingalan,2
Dingle,2
Dingras,2
Dipaculao,2
Diplahan,1
Dipolog,0
Ditsaan-Ramain,2
Divilacan,2
Dolores (AA),2
Dolores (ES),2
Dolores (QN),2
Don Carlos,2
Don Marcelino,2
Don Victoriano Chiongbian,1
Dona Remedios Trinidad,2
Donsol,2
Duenas,2
Duero,2
Dulag,2
Dumaguete,0
Dumalag,2
Dumalinao,2
Dumalneg,2
Dumangas,2
Dumanjug,2
Dumaran,1
Dumarao,2
Dumingag,2
Dupax Del Norte,2
Dupax Del Sur,2
E. B. Magalona,2
Echague,2
El Nido,2
El Salvador,2
Enrile,1
Enrique Villanueva,2
Escalante,2
Esperanza (AS),2
Esperanza (MS),1
Esperanza (SK),2
Estancia,2
Famy,1
Ferrol,1
Flora,2
Floridablanca,2
Gabaldon,2
Gainza,1
Galimuyod,2
Gamay,2
Gamu,2
Ganassi,1
Gandara,1
Gapan,0
Garchitorena,1
Garcia-Hernandez,2
Gasan,2
Gattaran,2
Gen S.K Pendatun,2
Gen. Emilio Aguinaldo,2
Gen. Mariano Alvarez,2
General Luna  (SN),1
General Luna (QN),2
General Macarthur,1
General Mamerto Natividad,2
General Nakar,2
General Santos,0
General Tinio,2
General Trias,0
Gerona,2
Getafe,2
Gigaquit,1
Gigmoto,1
Ginatilan,2
Gingoog,0
Giporlos,1
Gitagum,2
Glan,2
Gloria,1
Goa,2
Godod,1
Gonzaga,2
Governor Generoso,2
Gregorio Del Pilar,2
Guagua,2
Gubat,2
Guiguinto (BU),2
Guihulngan,2
Guimba,2
Guimbal,2
Guinayangan,2
Guindulman,2
Guindulungan,1
Guinobatan,2
Guinsiliban,2
Guipos,1
Guiuan,2
Gumaca,2
Gutalac,2
Hadji Mohammad Ajul,1
Hadji Muhtamad,1
Hadji Panglima Tahil,1
Hagonoy (BU),2
Hagonoy (DS),2
Hamtic,1
Hermosa,2
Hernani,1
Hilongos,2
Himamaylan,2
Hinabangan,1
Hinatuan,2
Hindang,2
Hingyon,1
Hinigaran,2
Hinobaan,1
Hinunangan,2
Hinundayan,2
Hungduan,2
Iba,2
Ibaan,1
Ibajay,2
Igacos,2
Igbaras,2
Iguig,2
Ilagan,0
Iligan,0
Ilog,1
Iloilo,0
Imelda,2
Impasug-Ong,2
Imus,0
Inabanga,1
Indanan,1
Indang,2
Infanta (PS),2
Infanta (QN),2
Initao,2
Inopacan,2
Ipil,1
Iriga,0
Irosin,2
Isabel,1
Isabela (BAS),2
Isabela (NO),1
Isulan,0
Itbayat,2
Itogon,2
Ivana,1
Ivisan,2
Jabonga,2
Jaen,2
Jagna,2
Jalajala,2
Jamindan,2
Janiuay,2
Jaro,2
Jasaan,2
Javier,2
Jiabong,1
Jimalalud,1
Jimenez,2
Jipapad,1
Jolo,1
Jomalig,2
Jones,2
Jordan,2
Jose Abad Santos,1
Jose Dalman,2
Jose Panganiban,2
Josefina,1
Jovellar,2
Juban,2
Julita,1
Kabacan,0
Kabankalan,0
Kabasalan,1
Kabayan,2
Kabugao,1
Kabuntalan,1
Kadingilan,2
Kalamansig,2
Kalawit,1
Kalayaan (LA),2
Kalayaan (PN),1
Kalibo,0
Kalilangan,2
Kalingalan Caluang,1
Kananga,2
Kapai,1
Kapalong,2
Kapangan,2
Kapatagan (LN),2
Kapatagan (LS),2
Kasibu,2
Katipunan,2
Kauswagan,2
Kawayan,2
Kawit,2
Kayapa,1
Kiamba,2
Kiangan,2
Kibawe,2
Kiblawan,1
Kibungan,2
Kidapawan,0
Kinoguitan,2
Kitaotao,2
Kitcharao,2
Kolambugan,2
Koronadal,0
Kumalarang,2
La Carlota,2
La Castellana,1
La Libertad (NR),2
La Libertad (ZN),1
La Paz (AA),2
La Paz (AS),2
La Paz (LE),1
La Paz (TC),1
La Trinidad,0
Laak,2
Labangan,1
Labason,2
Labo,2
Labrador,1
Lacub,2
Lagangilang,2
Lagawe,2
Lagayan,1
Lagonglong,2
Lagonoy,1
Laguindingan,2
Lake Sebu,2
Lakewood,2
Lala,2
Lallo,2
Lambayong,2
Lambunao,2
Lamitan,2
Lamut,2
Langiden,1
Languyan,2
Lantapan,2
Lantawan,1
Lanuza,2
Laoac,2
Laoag,0
Laoang,1
Lapinig,1
Lapu Lapu,0
Lapuyan,1
Larena,2
Las Navas,1
Las Nieves,2
Las Pinas,0
Lasam,2
Laua-An,2
Laur,1
Laurel,2
Lavezares,1
Lawaan,1
Lazi,2
Lebak,2
Leganes,2
Legazpi,0
Lemery (BS),2
Lemery (IO),2
Leon,1
Leyte,1
Lezo,2
Lian,1
Lianga,1
Libacao,1
Libagon,1
Libertad (AE),1
Libertad (MO),2
Libjo,2
Libmanan,1
Libon,1
Libona,2
Libungan,2
Licab,2
Licuan-Baay,2
Lidlidda,2
Ligao,2
Lila,2
Liliw,2
Liloan (CU),2
Liloan (SL),2
Liloy,2
Limasawa,1
Limay,2
Linamon,2
Linapacan,1
Lingayen,2
Lingig,1
Lipa,2
Llanera,2
Llorente,1
Loay,1
Lobo,2
Loboc,2
Looc (OM),2
Looc (RN),1
Loon,2
Lope De Vega,1
Lopez,2
Lopez Jaena,1
Loreto (AS),2
Loreto (DI),2
Los Banos,2
Luba,2
Lubang,1
Lubao,2
Lubuagan,2
Lucban,2
Lucena,2
Lugait,2
Lugus,1
Luisiana,1
Lumba-Bayabao,1
Lumbaca-Unayan,1
Lumban,2
Lumbatan,1
Lumbayanague,1
Luna (AO),2
Luna (IA),2
Luna (LU),2
Lupao,2
Lupi,2
Lupon,2
Lutayan,2
Luuk,1
Ma-Ayon,2
Maasim,2
Maasin (IO),2
Maasin (SL),2
Mabalacat,0
Mabinay,2
Mabini (BL),2
Mabini (BS),2
Mabini (CV),2
Mabini (PS),1
Mabitac,1
Mabuhay,1
Macabebe,2
Macalelon,1
Macarthur,1
Maco,2
Maconacon,2
Macrohon,1
Madalag,1
Madalum,2
Madamba,2
Maddela,2
Madrid,2
Madridejos,2
Magalang,1
Magallanes (AN),2
Magallanes (CE),2
Magallanes (SO),2
Magarao,1
Magdalena,2
Magdiwang,1
Magpet,2
Magsaysay (DS),2
Magsaysay (LN),2
Magsaysay (MO),2
Magsaysay (OM),1
Magsaysay (PN),1
Magsingal,2
Maguing,1
Mahaplag,2
Mahatao,1
Mahayag,2
Mahinog,2
Maigo,2
Maimbung,1
Mainit,2
Maitum,2
Majayjay,2
Makati,0
Makato,2
Makilala,2
Malabang,1
Malabon,0
Malabuyoc,1
Malalag,2
Malangas,1
Malapatan,2
Malasiqui,1
Malay,0
Malaybalay,0
Malibcong,2
Malilipot,1
Malimono,2
Malinao (AK),2
Malinao (AY),1
Malita,2
Malitbog (BK),2
Malitbog (SL),1
Mallig,2
Malolos,0
Malungon,2
Maluso,1
Malvar,2
Mamasapano,2
Mambajao,0
Mamburao,1
Mambusao,1
Manabo,2
Manaoag,2
Manapla,1
Manay,2
Mandaluyong,0
Mandaon,1
Mandaue,0
Mangaldan,2
Mangatarem,2
Mangudadatu,1
Manila,0
Manito,1
Manjuyod,1
Mankayan,2
Manolo Fortich,2
Mansalay,1
Manticao,2
Manukan,2
Mapanas,1
Mapandan,1
Mapun,1
Marabut,2
Maragondon,2
Maragusan,2
Maramag,2
Marantao,2
Marawi,1
Marcos,2
Margosatubig,2
Maria,2
Maria Aurora,2
Maribojoc,2
Marihatag,2
Marikina,0
Marilao,0
Maripipi,1
Mariveles,2
Marogong,1
Masantol,2
Masbate,2
Masinloc,2
Masiu,2
Maslog,1
Mataasnakahoy,2
Matag-Ob,1
Matalam,2
Matalom,1
Matanao,2
Matanog,2
Mati,0
Matnog,1
Matuguinao,1
Matungao,2
Mauban,2
Mawab,2
Mayantoc,2
Maydolong,1
Mayorga,1
Mayoyao,2
Medellin,2
Medina,2
Mendez,2
Mercedes,2
Mercedes (ES),1
Merida,1
Mexico,2
Meycauayan,0
Miag-ao,2
Midsalip,1
Midsayap,0
Milagros,1
Milaor,1
Mina,2
Minalabac,1
Minalin,2
Minglanilla,2
Mlang,2
Moalboal,2
Mobo,1
Mogpog,2
Moises Padilla,1
Molave,2
Moncada,2
Mondragon,1
Monkayo,2
Monreal,1
Montevista,2
Morong (BN),2
Morong (RL),2
Motiong,2
Mulanay,2
Mulondo,1
Munai,2
Muntinlupa,0
Murcia,1
Mutia,2
Naawan,2
Nabas,2
Nabua,1
Nabunturan,2
Naga (CS),0
Naga (CU),0
Naga (ZS),1
Nagbukel,2
Nagcarlan,2
Nagtipunan,2
Naguilian (IA),2
Naguilian (LU),2
Naic,2
Nampicuan,2
Narra,2
Narvacan,2
Nasipit,2
Nasugbu,1
Natividad,2
Natonin,2
Naujan,2
Naval,2
Navotas,2
New Bataan,2
New Corella,2
New Lucena,2
New Washington,2
Norala,2
Northern Kabuntalan,1
Norzagaray,2
Noveleta,2
Nueva Era,2
Nueva Valencia,2
Numancia,2
Nunungan,1
Oas,1
Obando,2
Ocampo,1
Odiongan,2
Old Panamao,1
Olongapo,2
Olutanga,1
Omar,1
Opol,2
Orani,2
Oras,2
Orion,2
Ormoc,0
Oroquieta,2
Oslob,2
Oton,2
Ozamiz,0
Padada,2
Padre Burgos (QN),2
Padre Burgos (SL),1
Padre Garcia,2
Paete,2
Pagadian,0
