,id,DOCTOR,NURSE,MIDWIFE,DENTIST,NUTRITIONI,PHARMACIST,OCCUPATION,MEDICAL TE,PHYSICAL T,RADIOLOGY,X-RAY TECH,year
0,Aborlan,20,30,7,1,0,0,0,1,0,0,0,2017
1,Abra De Ilog,10,30,0,0,0,1,0,0,1,0,0,2017
2,Abucay,20,10,5,1,0,0,0,4,0,0,0,2017
3,Abulug,10,30,7,1,0,0,0,1,0,0,0,2017
4,Abuyog,80,210,20,2,1,3,0,7,0,1,0,2017
5,Adams,10,40,3,0,0,0,0,0,0,0,0,2017
6,Agdangan,0,0,0,0,0,0,0,0,0,0,0,2017
7,Aglipay,30,60,5,6,0,0,0,2,0,1,0,2017
8,Agno,30,30,8,2,0,3,0,1,0,0,0,2017
9,Agoncillo,0,0,0,0,0,0,0,0,0,0,0,2017
10,Agoo,750,830,49,1,2,9,1,16,3,9,1,2017
11,Aguilar,80,100,8,3,0,3,0,0,0,0,0,2017
12,Aguinaldo,40,100,19,1,1,1,0,2,0,0,0,2017
13,Agutaya,0,10,4,0,0,0,0,0,0,0,0,2017
14,Ajuy,20,20,14,1,0,0,0,1,0,0,0,2017
15,Akbar,0,0,0,0,0,0,0,0,0,0,0,2017
16,Alabat,10,70,5,2,1,1,0,2,0,0,1,2017
17,Alabel,20,80,16,2,1,0,0,1,1,0,0,2017
18,Alamada,0,0,0,0,0,7,0,0,0,0,0,2017
19,Alaminos (LA),10,20,4,0,0,0,0,1,0,0,0,2017
20,Alaminos (PS),480,1500,39,17,3,25,0,15,4,4,2,2017
21,Alang-Alang,10,10,8,1,0,0,0,2,0,0,0,2017
22,Al-Barka,0,0,0,0,0,0,0,0,0,0,0,2017
23,Albuera,10,20,9,0,0,0,0,1,0,0,0,2017
24,Alburquerque,10,20,3,0,0,0,0,0,0,0,0,2017
25,Alcala (CG),50,320,13,1,0,1,0,3,0,0,0,2017
26,Alcala (PS),10,10,7,1,0,8,0,1,1,0,0,2017
27,Alcantara (CU),0,0,0,0,0,0,0,0,0,0,0,2017
28,Alcantara (RN),10,0,4,0,0,0,0,0,0,0,0,2017
29,Alcoy,10,40,1,0,0,0,0,0,0,0,0,2017
30,Alegria (CU),60,70,8,1,1,1,0,1,0,1,0,2017
31,Alegria (SN),10,10,5,0,0,0,0,0,0,0,0,2017
32,Aleosan,90,70,8,0,1,2,0,2,0,1,0,2017
33,Alfonso,230,160,3,0,2,1,0,1,0,1,1,2017
34,Alfonso Castaneda,10,10,8,0,0,0,0,1,0,0,0,2017
35,Alfonso Lista,40,110,17,1,1,1,0,4,0,0,0,2017
36,Aliaga,20,20,7,0,0,0,0,0,0,0,0,2017
37,Alicia (BL),0,0,0,0,0,0,0,0,0,0,0,2017
38,Alicia (IA),320,490,13,2,2,7,0,8,1,1,4,2017
39,Alicia (ZS),40,110,11,1,0,5,0,0,0,0,0,2017
40,Alilem,0,0,0,0,0,0,0,0,0,0,0,2017
41,Alimodian,50,170,22,1,0,1,0,2,0,0,0,2017
42,Alitagtag,0,0,0,0,0,0,0,0,0,0,0,2017
43,Allacapan,10,140,12,1,0,0,0,1,0,0,0,2017
44,Allen,40,140,5,0,1,0,0,2,0,0,0,2017
45,Almagro,20,70,4,0,0,0,0,0,0,0,0,2017
46,Almeria,10,10,8,1,0,0,0,1,0,0,0,2017
47,Aloguinsan,10,80,9,0,0,0,0,1,0,0,0,2017
48,Aloran,10,50,1,0,0,0,0,0,0,0,0,2017
49,Altavas,70,100,5,1,1,2,0,2,0,1,0,2017
50,Alubijid,0,0,0,0,0,0,0,0,0,0,0,2017
51,Amadeo,0,0,0,0,0,0,0,0,0,0,0,2017
52,Amai Manabilang,0,0,0,0,0,0,0,0,0,0,0,2017
53,Ambaguio,10,10,8,0,0,0,0,0,0,0,0,2017
54,Amlan,0,30,9,0,0,0,0,0,0,0,0,2017
55,Ampatuan,0,20,4,0,0,0,0,0,0,0,0,2017
56,Amulung,10,10,0,0,0,1,0,0,0,0,0,2017
57,Anahawan,70,230,15,1,0,1,0,3,0,0,1,2017
58,Anao,10,10,6,1,0,0,0,0,0,0,0,2017
59,Anda (BL),0,0,0,0,0,0,0,0,0,0,0,2017
60,Anda (PS),0,0,0,0,0,0,0,0,0,0,0,2017
61,Angadanan,10,170,12,1,1,0,0,1,0,0,0,2017
62,Angat,20,20,16,1,0,0,0,1,0,0,0,2017
63,Angeles,2160,5610,87,7,14,32,0,115,8,20,9,2017
64,Angono,420,750,22,3,0,2,0,12,0,1,2,2017
65,Anilao,0,0,0,0,0,0,0,0,0,0,0,2017
66,Anini-Y,10,10,5,0,0,0,0,1,0,0,0,2017
67,Antequera,0,0,0,0,0,0,0,0,0,0,0,2017
68,Antipas,100,230,11,1,1,8,0,3,0,1,1,2017
69,Antipolo,910,940,6,5,3,9,0,10,0,2,0,2017
70,Apalit,300,340,18,1,2,4,0,5,0,2,3,2017
71,Aparri,720,690,27,3,2,7,0,13,0,4,0,2017
72,Araceli,10,20,4,0,0,0,0,0,0,0,0,2017
73,Arakan,60,120,21,0,1,4,0,2,0,0,1,2017
