,name,city,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,"Lake, river, rain and others_count",Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
0,Aborlan,ABORLAN,2130.0,1621.0,932.0,2286.0,403.0,458.0,164.0,15.0,88.0,14.0,183.0,,,2015.0
1,Abra De Ilog,ABRA DE ILOG,1076.0,459.0,846.0,2749.0,773.0,301.0,613.0,188.0,250.0,1.0,67.0,6.0,,2015.0
2,Abucay,ABUCAY,966.0,1488.0,448.0,5914.0,30.0,4.0,119.0,1.0,4.0,,477.0,2.0,,2015.0
3,Abulug,ABULUG,345.0,130.0,1609.0,1608.0,156.0,1325.0,13.0,2.0,,,2217.0,,,2015.0
4,Abuyog,ABUYOG,665.0,3264.0,518.0,2725.0,96.0,1803.0,1955.0,521.0,10.0,134.0,1809.0,8.0,,2015.0
5,Adams,ADAMS,380.0,31.0,,,,,,,,,,,,2015.0
6,Agdangan,AGDANGAN,144.0,525.0,188.0,1009.0,71.0,129.0,1.0,6.0,36.0,39.0,1022.0,1.0,,2015.0
7,Aglipay,AGLIPAY,197.0,189.0,1221.0,2346.0,583.0,124.0,474.0,592.0,1.0,16.0,834.0,,,2015.0
8,Agno,AGNO,160.0,102.0,1246.0,1171.0,56.0,2701.0,263.0,52.0,13.0,2.0,856.0,2.0,,2015.0
9,Agoncillo,AGONCILLO,5641.0,621.0,242.0,650.0,197.0,14.0,2.0,,4.0,126.0,325.0,4.0,,2015.0
10,Agoo,AGOO,111.0,791.0,1539.0,2505.0,73.0,491.0,627.0,4.0,13.0,780.0,6906.0,10.0,,2015.0
11,Aguilar,AGUILAR,301.0,346.0,1646.0,2682.0,683.0,10.0,114.0,1.0,5.0,2.0,2984.0,3.0,,2015.0
12,Aguinaldo,AGUINALDO,2189.0,1854.0,124.0,300.0,54.0,21.0,103.0,5.0,6.0,,2.0,3.0,,2015.0
13,Agutaya,AGUTAYA,85.0,412.0,12.0,650.0,30.0,1835.0,,,,6.0,15.0,,,2015.0
14,Ajuy,AJUY,198.0,1499.0,847.0,4904.0,469.0,903.0,1826.0,121.0,7.0,663.0,784.0,,,2015.0
15,Akbar,AKBAR,27.0,10.0,14.0,399.0,4.0,2351.0,2.0,,10.0,2.0,1.0,,,2015.0
16,Alabat,ALABAT,157.0,1148.0,317.0,563.0,44.0,102.0,76.0,2.0,58.0,25.0,1074.0,,,2015.0
17,Alabel,ALABEL (Capital),4074.0,3985.0,1699.0,3247.0,641.0,638.0,2186.0,384.0,383.0,3.0,689.0,,,2015.0
18,Alamada,ALAMADA,3509.0,2928.0,401.0,978.0,291.0,1648.0,3749.0,1289.0,159.0,14.0,24.0,3.0,,2015.0
19,Alaminos (LA),ALAMINOS,8120.0,1222.0,37.0,257.0,42.0,159.0,46.0,,1.0,3.0,1264.0,3.0,,2015.0
20,Alaminos (PS),CITY OF ALAMINOS,6325.0,2314.0,1534.0,2518.0,376.0,209.0,272.0,6.0,,13.0,7949.0,60.0,,2015.0
21,Alang-Alang,ALANGALANG,248.0,852.0,492.0,6606.0,314.0,2034.0,293.0,205.0,8.0,10.0,1706.0,,,2015.0
22,Al-Barka,AL-BARKA,266.0,527.0,102.0,635.0,47.0,1064.0,114.0,244.0,644.0,3.0,8.0,8.0,,2015.0
23,Albuera,ALBUERA,1432.0,3183.0,1301.0,3420.0,114.0,212.0,224.0,78.0,373.0,127.0,603.0,,,2015.0
24,Alburquerque,ALBURQUERQUE,456.0,195.0,3.0,54.0,38.0,47.0,5.0,18.0,17.0,6.0,1583.0,,,2015.0
25,Alcala (CG),ALCALA,551.0,214.0,1884.0,4664.0,33.0,1008.0,11.0,1.0,5.0,,877.0,,,2015.0
26,Alcala (PS),ALCALA,2273.0,356.0,2536.0,3866.0,69.0,,35.0,,,5.0,1031.0,3.0,,2015.0
27,Alcantara (CU),ALCANTARA,805.0,556.0,40.0,194.0,303.0,16.0,625.0,17.0,,182.0,706.0,,,2015.0
28,Alcantara (RN),ALCANTARA,676.0,533.0,926.0,800.0,4.0,35.0,142.0,31.0,9.0,,517.0,,,2015.0
29,Alcoy,ALCOY,765.0,1294.0,1.0,2.0,1.0,26.0,62.0,,166.0,127.0,939.0,5.0,,2015.0
30,Alegria (CU),ALEGRIA,880.0,1170.0,52.0,106.0,5.0,9.0,902.0,748.0,42.0,2.0,1112.0,,,2015.0
31,Alegria (SN),ALEGRIA,1333.0,690.0,233.0,500.0,,23.0,104.0,44.0,4.0,,475.0,9.0,,2015.0
32,Aleosan,ALEOSAN,778.0,1227.0,428.0,3309.0,162.0,2027.0,318.0,23.0,13.0,142.0,418.0,,,2015.0
33,Alfonso,ALFONSO,8456.0,594.0,245.0,301.0,10.0,86.0,36.0,5.0,241.0,5.0,1835.0,6.0,,2015.0
34,Alfonso Castaneda,ALFONSO CASTANEDA,140.0,60.0,43.0,49.0,26.0,39.0,424.0,712.0,43.0,,167.0,84.0,,2015.0
35,Alfonso Lista,ALFONSO LISTA (POTIA),216.0,189.0,1287.0,4489.0,18.0,95.0,197.0,38.0,1.0,,619.0,,,2015.0
36,Aliaga,ALIAGA,4168.0,1355.0,2954.0,4759.0,475.0,8.0,6.0,,2.0,34.0,238.0,5.0,,2015.0
37,Alicia (BL),ALICIA,801.0,1349.0,105.0,962.0,83.0,351.0,128.0,67.0,1.0,3.0,1255.0,,,2015.0
38,Alicia (IA),ALICIA,836.0,183.0,2695.0,2479.0,4266.0,19.0,29.0,3.0,3.0,7.0,7304.0,40.0,,2015.0
39,Alicia (ZS),ALICIA,437.0,3834.0,41.0,612.0,330.0,1914.0,49.0,6.0,76.0,51.0,415.0,1.0,,2015.0
40,Alilem,ALILEM,390.0,28.0,97.0,387.0,,1.0,491.0,55.0,,,27.0,,,2015.0
41,Alimodian,ALIMODIAN,292.0,339.0,639.0,1412.0,70.0,748.0,2223.0,182.0,104.0,19.0,2038.0,1.0,,2015.0
42,Alitagtag,ALITAGTAG,3845.0,915.0,6.0,33.0,1.0,,1.0,2.0,,16.0,735.0,2.0,,2015.0
43,Allacapan,ALLACAPAN,54.0,35.0,1919.0,2359.0,26.0,1566.0,12.0,2.0,30.0,,1764.0,,,2015.0
44,Allen,ALLEN,118.0,1720.0,241.0,955.0,62.0,591.0,206.0,11.0,13.0,66.0,1543.0,17.0,,2015.0
45,Almagro,ALMAGRO,122.0,640.0,45.0,286.0,62.0,258.0,208.0,,203.0,259.0,18.0,,,2015.0
46,Almeria,ALMERIA,3447.0,513.0,,4.0,1.0,,28.0,2.0,3.0,,45.0,,,2015.0
47,Aloguinsan,ALOGUINSAN,1591.0,2008.0,86.0,701.0,21.0,851.0,220.0,159.0,37.0,4.0,1220.0,3.0,,2015.0
48,Aloran,ALORAN,2478.0,1106.0,110.0,646.0,182.0,59.0,1220.0,152.0,1.0,17.0,412.0,,,2015.0
49,Altavas,ALTAVAS,61.0,135.0,584.0,2507.0,20.0,1693.0,127.0,65.0,,,799.0,,,2015.0
50,Alubijid,ALUBIJID,3510.0,1627.0,60.0,701.0,58.0,142.0,498.0,15.0,6.0,6.0,1117.0,3.0,,2015.0
51,Amadeo,AMADEO,3963.0,482.0,24.0,37.0,,5.0,89.0,36.0,63.0,381.0,3711.0,20.0,,2015.0
52,Amai Manabilang,BUMBARAN,1127.0,297.0,10.0,384.0,2.0,1.0,2.0,,3.0,2.0,,,,2015.0
53,Ambaguio,AMBAGUIO,443.0,564.0,14.0,3.0,1.0,,234.0,2257.0,,,20.0,,,2015.0
54,Amlan,AMLAN (AYUQUITAN),2855.0,1143.0,31.0,261.0,24.0,21.0,107.0,,,46.0,1037.0,,,2015.0
55,Ampatuan,AMPATUAN,151.0,31.0,1452.0,1429.0,9.0,250.0,564.0,1.0,1.0,3.0,27.0,4.0,,2015.0
56,Amulung,AMULUNG,678.0,136.0,2554.0,6782.0,7.0,138.0,5.0,4.0,,,393.0,,,2015.0
57,Anahawan,ANAHAWAN,1448.0,248.0,6.0,3.0,1.0,1.0,5.0,,,33.0,6.0,37.0,,2015.0
58,Anao,ANAO,919.0,298.0,352.0,341.0,163.0,3.0,1.0,1.0,,2.0,639.0,1.0,,2015.0
59,Anda (BL),ANDA,1265.0,593.0,2.0,1.0,,40.0,135.0,21.0,127.0,1.0,1579.0,,,2015.0
60,Anda (PS),ANDA,1064.0,311.0,403.0,1748.0,698.0,1494.0,6.0,2.0,3.0,119.0,3527.0,1.0,,2015.0
61,Angadanan,ANGADANAN,583.0,453.0,1270.0,3508.0,145.0,2329.0,122.0,6.0,8.0,,1480.0,2.0,,2015.0
62,Angat,ANGAT,1686.0,260.0,733.0,1505.0,170.0,132.0,25.0,,6.0,2.0,10368.0,4.0,,2015.0
63,Angeles,ANGELES CITY,57069.0,3227.0,1617.0,2811.0,619.0,552.0,267.0,9.0,2.0,1537.0,26842.0,1667.0,,2015.0
64,Angono,ANGONO,10811.0,2228.0,77.0,116.0,8.0,40.0,204.0,12.0,1.0,158.0,11578.0,92.0,,2015.0
65,Anilao,ANILAO,731.0,698.0,950.0,1912.0,152.0,716.0,411.0,26.0,13.0,137.0,813.0,2.0,,2015.0
66,Anini-Y,ANINI-Y,168.0,808.0,873.0,1986.0,7.0,22.0,140.0,27.0,3.0,1.0,606.0,,,2015.0
67,Antequera,ANTEQUERA,639.0,124.0,15.0,281.0,3.0,37.0,562.0,232.0,3.0,1.0,1585.0,,,2015.0
68,Antipas,ANTIPAS,2654.0,1009.0,148.0,439.0,108.0,175.0,1490.0,30.0,4.0,,11.0,3.0,,2015.0
69,Antipolo,CITY OF ANTIPOLO,102022.0,26843.0,2707.0,3533.0,611.0,1513.0,3596.0,292.0,136.0,4588.0,24100.0,555.0,,2015.0
70,Apalit,APALIT,8086.0,1118.0,1942.0,1022.0,85.0,5.0,26.0,6.0,2.0,5.0,11396.0,86.0,,2015.0
71,Aparri,APARRI,646.0,510.0,1304.0,2613.0,311.0,1533.0,259.0,2.0,233.0,,6567.0,,,2015.0
72,Araceli,ARACELI,179.0,423.0,56.0,27.0,8.0,1952.0,1.0,13.0,77.0,271.0,287.0,,,2015.0
73,Arakan,ARAKAN,3471.0,3358.0,367.0,1325.0,271.0,746.0,843.0,152.0,74.0,27.0,89.0,,,2015.0
74,Arayat,ARAYAT,7928.0,1444.0,9711.0,4884.0,395.0,59.0,649.0,12.0,22.0,96.0,2905.0,39.0,,2015.0
75,Argao,ARGAO,3850.0,1610.0,338.0,736.0,47.0,147.0,3269.0,862.0,7.0,122.0,5586.0,,,2015.0
76,Aringay,ARINGAY,308.0,144.0,1492.0,2122.0,10.0,154.0,1153.0,180.0,1.0,105.0,5143.0,5.0,,2015.0
77,Aritao,ARITAO,499.0,383.0,615.0,1631.0,1113.0,91.0,1537.0,725.0,7.0,2.0,1959.0,,,2015.0
78,Aroroy,,,,,,,,,,,,,,,
79,Arteche,ARTECHE,68.0,864.0,102.0,925.0,533.0,374.0,132.0,107.0,1.0,29.0,370.0,,,2015.0
80,Asingan,ASINGAN,4174.0,1189.0,2964.0,2316.0,4.0,6.0,13.0,,,169.0,2662.0,126.0,,2015.0
81,Asipulo,ASIPULO,908.0,1001.0,433.0,259.0,6.0,,199.0,14.0,2.0,,11.0,,,2015.0
82,Asturias,ASTURIAS,1919.0,1853.0,169.0,1919.0,40.0,346.0,642.0,44.0,24.0,131.0,3135.0,,,2015.0
83,Asuncion,ASUNCION (SAUG),1864.0,2149.0,611.0,4151.0,238.0,502.0,854.0,155.0,134.0,2413.0,730.0,,,2015.0
84,Atimonan,ATIMONAN,466.0,2058.0,720.0,2753.0,32.0,449.0,582.0,338.0,234.0,62.0,7294.0,13.0,,2015.0
85,Atok,ATOK,30.0,109.0,8.0,24.0,,6.0,943.0,2661.0,156.0,12.0,429.0,,,2015.0
86,Aurora (IA),AURORA,1079.0,281.0,2475.0,1329.0,240.0,2.0,15.0,1.0,,93.0,2958.0,3.0,,2015.0
87,Aurora (ZR),AURORA,6868.0,2303.0,93.0,134.0,48.0,546.0,588.0,76.0,13.0,45.0,318.0,5.0,,2015.0
88,Ayungon,AYUNGON,3986.0,3807.0,104.0,593.0,71.0,290.0,998.0,534.0,,36.0,154.0,,,2015.0
89,Baao,,,,,,,,,,,,,,,
90,Babatngon,BABATNGON,168.0,2420.0,149.0,1548.0,177.0,595.0,307.0,4.0,9.0,18.0,713.0,,,2015.0
91,Bacacay,,,,,,,,,,,,,,,
92,Bacarra,BACARRA,2010.0,261.0,1605.0,504.0,76.0,428.0,14.0,,1.0,3.0,3363.0,4.0,,2015.0
93,Baclayon,BACLAYON,873.0,218.0,,19.0,2.0,,23.0,,298.0,2.0,2962.0,,,2015.0
94,Bacnotan,BACNOTAN,407.0,254.0,1783.0,1565.0,218.0,168.0,444.0,88.0,,1.0,5032.0,3.0,,2015.0
95,Baco,BACO,1671.0,1314.0,1963.0,2316.0,57.0,120.0,717.0,22.0,8.0,69.0,67.0,2.0,,2015.0
96,Bacolod (LN),BACOLOD,2659.0,1157.0,16.0,261.0,9.0,208.0,304.0,5.0,337.0,10.0,233.0,,,2015.0
97,Bacolod (NO),BACOLOD CITY (Capital),14209.0,8678.0,1628.0,7371.0,948.0,1255.0,1785.0,155.0,18.0,11772.0,81000.0,257.0,,2015.0
98,Bacolod-Kalawi,BACOLOD-KALAWI (BACOLOD GRANDE),34.0,15.0,428.0,304.0,54.0,4.0,593.0,396.0,1417.0,,8.0,47.0,,2015.0
99,Bacolor,BACOLOR,2204.0,399.0,881.0,838.0,294.0,3.0,48.0,,1.0,,4910.0,15.0,,2015.0
100,Bacong,BACONG,4810.0,1398.0,70.0,511.0,10.0,15.0,5.0,,,6.0,1438.0,2.0,,2015.0
101,Bacoor,BACOOR CITY,26087.0,8053.0,1932.0,2012.0,61.0,76.0,961.0,5.0,8.0,5269.0,104330.0,366.0,,2015.0
102,Bacuag,BACUAG,1163.0,1200.0,31.0,175.0,14.0,8.0,63.0,2.0,27.0,29.0,394.0,1.0,,2015.0
103,Bacungan Leon B. Postigo,BACUNGAN (Leon T. Postigo),483.0,1592.0,103.0,651.0,116.0,529.0,599.0,987.0,10.0,105.0,389.0,,,2015.0
104,Badian,BADIAN,2024.0,3790.0,84.0,412.0,4.0,39.0,572.0,195.0,3.0,94.0,999.0,2.0,,2015.0
105,Badiangan,BADIANGAN,1297.0,705.0,935.0,1214.0,550.0,603.0,,,4.0,69.0,507.0,13.0,,2015.0
106,Badoc,BADOC,459.0,193.0,1319.0,1868.0,181.0,1170.0,265.0,62.0,,2.0,1856.0,,,2015.0
107,Bagabag,BAGABAG,151.0,131.0,1667.0,2277.0,632.0,14.0,167.0,3.0,1.0,13.0,3854.0,,,2015.0
108,Bagac,BAGAC,3387.0,437.0,99.0,442.0,48.0,258.0,435.0,106.0,,11.0,819.0,,,2015.0
109,Bagamanoc,,,,,,,,,,,,,,,
110,Baganga,BAGANGA,1530.0,2191.0,982.0,3451.0,833.0,811.0,1944.0,353.0,148.0,138.0,944.0,14.0,,2015.0
111,Baggao,BAGGAO,291.0,119.0,8259.0,8577.0,584.0,100.0,273.0,338.0,102.0,,987.0,,,2015.0
112,Bago,BAGO CITY,5143.0,3194.0,2917.0,14406.0,986.0,1922.0,2823.0,843.0,11.0,2516.0,5171.0,17.0,,2015.0
113,Baguio,BAGUIO CITY,5758.0,901.0,305.0,537.0,86.0,89.0,3649.0,265.0,9.0,1368.0,76969.0,51.0,,2015.0
114,Bagulin,BAGULIN,313.0,10.0,3.0,15.0,113.0,2.0,1187.0,1258.0,2.0,,75.0,,,2015.0
115,Bagumbayan,BAGUMBAYAN,1919.0,2557.0,1404.0,1712.0,3296.0,1656.0,2148.0,275.0,116.0,10.0,346.0,1.0,,2015.0
116,Bais,BAIS CITY,5035.0,3903.0,607.0,2577.0,383.0,1130.0,2144.0,330.0,,186.0,1361.0,37.0,,2015.0
117,Bakun,BAKUN,1301.0,678.0,13.0,5.0,,,385.0,920.0,25.0,5.0,18.0,,,2015.0
