,name,city,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,Lake river rain and others_count,Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
123,Balangiga,BALANGIGA,825.0,1551.0,35.0,651.0,8.0,44.0,124.0,11.0,18.0,,10.0,,,2015.0
124,Balangkayan,BALANGKAYAN,789.0,684.0,26.0,597.0,1.0,,20.0,1.0,253.0,,4.0,,,2015.0
125,Balaoan,BALAOAN,1795.0,278.0,4017.0,2169.0,57.0,17.0,509.0,4.0,7.0,,109.0,1.0,,2015.0
126,Balasan,BALASAN,162.0,744.0,1642.0,3319.0,15.0,1582.0,8.0,1.0,1.0,5.0,610.0,1.0,,2015.0
127,Balatan,,,,,,,,,,,,,,,
128,Balayan,BALAYAN,6148.0,4203.0,4970.0,3773.0,1336.0,536.0,408.0,55.0,229.0,25.0,308.0,10.0,,2015.0
129,Balbalan,BALBALAN,7.0,,1.0,3.0,,,2158.0,133.0,,,,,,2015.0
130,Baleno,,,,,,,,,,,,,,,
131,Baler,BALER,3791.0,2844.0,572.0,1089.0,215.0,6.0,86.0,1.0,18.0,23.0,196.0,1.0,,2015.0
132,Balete (AK),BALETE,1495.0,1017.0,475.0,219.0,56.0,3020.0,170.0,471.0,,,76.0,,,2015.0
133,Balete (BS),BALETE,3319.0,716.0,59.0,618.0,1.0,3.0,,3.0,2.0,7.0,3.0,1.0,,2015.0
134,Baliangao,BALIANGAO,169.0,124.0,152.0,1907.0,5.0,1136.0,116.0,3.0,1.0,262.0,2.0,,,2015.0
135,Baliguian,BALIGUIAN,83.0,3014.0,92.0,560.0,53.0,408.0,694.0,77.0,178.0,1.0,16.0,,,2015.0
136,Balilihan,BALILIHAN,2611.0,210.0,18.0,16.0,4.0,29.0,690.0,489.0,13.0,,4.0,,,2015.0
137,Balindong,BALINDONG (WATU),511.0,717.0,501.0,539.0,13.0,199.0,968.0,4.0,727.0,,2.0,2.0,,2015.0
138,Balingasag,BALINGASAG,4049.0,4354.0,398.0,3553.0,504.0,156.0,949.0,657.0,50.0,17.0,103.0,,,2015.0
139,Balingoan,BALINGOAN,980.0,1049.0,7.0,20.0,2.0,172.0,47.0,,18.0,,25.0,,,2015.0
140,Baliwag,BALIUAG,29407.0,677.0,2932.0,2092.0,262.0,6.0,,,,22.0,1051.0,31.0,,2015.0
141,Ballesteros,BALLESTEROS,443.0,50.0,3535.0,2709.0,136.0,1409.0,5.0,2.0,,,61.0,,,2015.0
142,Baloi,BALOI,794.0,2783.0,688.0,2064.0,88.0,2536.0,434.0,4.0,503.0,155.0,34.0,1.0,,2015.0
143,Balud,,,,,,,,,,,,,,,
144,Balungao,BALUNGAO,1955.0,347.0,2640.0,2543.0,5.0,22.0,2.0,2.0,,1.0,87.0,2.0,,2015.0
145,Bamban,BAMBAN,8686.0,846.0,1437.0,2462.0,238.0,342.0,53.0,9.0,38.0,,863.0,4.0,,2015.0
146,Bambang,BAMBANG,1708.0,312.0,3115.0,2941.0,2875.0,28.0,1682.0,478.0,56.0,7.0,250.0,7.0,,2015.0
147,Banate,BANATE,986.0,427.0,973.0,2049.0,219.0,1000.0,180.0,3.0,5.0,1903.0,191.0,57.0,,2015.0
148,Banaue,BANAUE,109.0,99.0,58.0,17.0,1.0,1.0,2880.0,762.0,1.0,1.0,,,,2015.0
149,Banaybanay,BANAYBANAY,1765.0,2097.0,738.0,3951.0,529.0,34.0,147.0,41.0,13.0,1.0,4.0,1.0,,2015.0
150,Banayoyo,BANAYOYO,335.0,20.0,528.0,721.0,153.0,1.0,,1.0,1.0,,22.0,,,2015.0
151,Banga (AK),BANGA,2507.0,592.0,2634.0,1821.0,134.0,1002.0,388.0,130.0,,,42.0,,,2015.0
152,Banga (SC),BANGA,3993.0,1796.0,3643.0,6490.0,2379.0,686.0,1674.0,267.0,4.0,8.0,141.0,19.0,,2015.0
153,Bangar,BANGAR,199.0,8.0,936.0,788.0,6009.0,17.0,35.0,,,,85.0,1.0,,2015.0
154,Bangued,BANGUED (Capital),5950.0,1311.0,1102.0,1597.0,390.0,190.0,136.0,298.0,1.0,1.0,42.0,6.0,,2015.0
155,Bangui,BANGUI,1727.0,113.0,835.0,545.0,6.0,17.0,277.0,4.0,13.0,,31.0,,,2015.0
156,Bani,BANI,4079.0,1603.0,890.0,1662.0,455.0,3146.0,222.0,1.0,26.0,7.0,246.0,,,2015.0
157,Banisilan,BANISILAN,1149.0,1136.0,894.0,2127.0,56.0,1996.0,1449.0,646.0,24.0,140.0,25.0,7.0,,2015.0
158,Banna,BANNA (ESPIRITU),393.0,97.0,468.0,283.0,24.0,2873.0,333.0,8.0,,2.0,51.0,,,2015.0
159,Bansalan,BANSALAN,6625.0,3546.0,1323.0,725.0,41.0,99.0,1754.0,10.0,496.0,27.0,267.0,,,2015.0
160,Bansud,BANSUD,432.0,623.0,3558.0,3220.0,169.0,54.0,734.0,433.0,19.0,1.0,6.0,1.0,,2015.0
161,Bantay,BANTAY,1997.0,774.0,122.0,644.0,4481.0,35.0,97.0,29.0,,1.0,49.0,,,2015.0
162,Bantayan Island,BANTAYAN,4302.0,3887.0,163.0,500.0,228.0,5287.0,32.0,1.0,1614.0,2322.0,158.0,,,2015.0
163,Banton,BANTON,59.0,74.0,17.0,392.0,4.0,14.0,190.0,60.0,609.0,,1.0,,,2015.0
164,Baras (CT),,,,,,,,,,,,,,,
165,Baras (RL),BARAS,3290.0,1053.0,511.0,8723.0,359.0,98.0,371.0,176.0,115.0,1144.0,863.0,3.0,,2015.0
166,Barbaza,BARBAZA,1140.0,1602.0,801.0,1176.0,27.0,24.0,518.0,199.0,,,10.0,7.0,,2015.0
167,Barcelona,,,,,,,,,,,,,,,
168,Barili,BARILI,5795.0,5284.0,131.0,748.0,310.0,1536.0,913.0,685.0,61.0,188.0,123.0,4.0,,2015.0
169,Barira,BARIRA,207.0,392.0,108.0,345.0,70.0,1686.0,795.0,99.0,1267.0,6.0,4.0,1.0,,2015.0
170,Barlig,BARLIG,,,2.0,3.0,1.0,,741.0,443.0,,,,,,2015.0
171,Barobo,BAROBO,2434.0,4644.0,101.0,1477.0,8.0,198.0,384.0,9.0,1055.0,229.0,147.0,4.0,,2015.0
172,Barotac Nuevo,BAROTAC NUEVO,1713.0,404.0,2065.0,1900.0,2843.0,2088.0,325.0,3.0,6.0,4.0,636.0,4.0,,2015.0
173,Barotac Viejo,BAROTAC VIEJO,353.0,1594.0,1954.0,3600.0,161.0,590.0,1825.0,85.0,69.0,398.0,462.0,,,2015.0
174,Baroy,BAROY,1219.0,560.0,529.0,2170.0,16.0,110.0,728.0,154.0,7.0,70.0,38.0,,,2015.0
175,Barugo,BARUGO,1750.0,1868.0,206.0,1735.0,218.0,612.0,329.0,30.0,2.0,151.0,18.0,,,2015.0
176,Basay,BASAY,289.0,1340.0,298.0,1263.0,652.0,664.0,330.0,499.0,,594.0,40.0,2.0,,2015.0
177,Basco,BASCO (Capital),1446.0,814.0,4.0,12.0,,,,,10.0,16.0,23.0,2.0,,2015.0
178,Basey,BASEY,1334.0,4526.0,303.0,3478.0,17.0,1909.0,516.0,25.0,400.0,25.0,115.0,,,2015.0
179,Basilisa,BASILISA (RIZAL),1864.0,4430.0,301.0,823.0,185.0,248.0,418.0,89.0,215.0,2.0,13.0,,,2015.0
180,Basista,BASISTA,1875.0,767.0,2444.0,1528.0,117.0,9.0,5.0,,,1.0,157.0,1.0,,2015.0
181,Basud (CN),,,,,,,,,,,,,,,
182,Batac,CITY OF BATAC,1356.0,135.0,2259.0,1213.0,3899.0,2623.0,241.0,286.0,1.0,4.0,777.0,3.0,,2015.0
183,Batad,BATAD,227.0,810.0,493.0,2494.0,23.0,960.0,90.0,3.0,1.0,4.0,48.0,1.0,,2015.0
184,Batan,BATAN,645.0,727.0,906.0,4581.0,23.0,726.0,205.0,29.0,,,125.0,,,2015.0
185,Batangas,BATANGAS CITY (Capital),62937.0,5119.0,1659.0,3059.0,336.0,160.0,2890.0,187.0,621.0,299.0,632.0,91.0,,2015.0
186,Bataraza,BATARAZA,3593.0,4839.0,1556.0,3448.0,126.0,3050.0,244.0,530.0,377.0,3.0,217.0,,,2015.0
187,Bato (CS),,,,,,,,,,,,,,,
188,Bato (CT),,,,,,,,,,,,,,,
189,Bato (LE),BATO,984.0,2188.0,619.0,2181.0,288.0,518.0,803.0,216.0,766.0,84.0,36.0,8.0,,2015.0
190,Batuan (BL),BATUAN,1586.0,522.0,87.0,393.0,10.0,22.0,180.0,41.0,8.0,,4.0,,,2015.0
191,Batuan (MS),,,,,,,,,,,,,,,
192,Bauan,BAUAN,17850.0,861.0,426.0,884.0,49.0,17.0,409.0,22.0,5.0,2.0,156.0,13.0,,2015.0
193,Bauang,BAUANG,3107.0,988.0,4484.0,3930.0,520.0,2497.0,729.0,2.0,,3.0,966.0,28.0,,2015.0
194,Bauko,BAUKO,,,49.0,33.0,3.0,5.0,1726.0,4968.0,,2.0,14.0,,,2015.0
195,Baungon,BAUNGON,2168.0,1742.0,14.0,367.0,85.0,562.0,1170.0,1333.0,76.0,6.0,74.0,1.0,,2015.0
196,Bautista,BAUTISTA,596.0,79.0,2608.0,3550.0,1.0,,1.0,1.0,,10.0,44.0,2.0,,2015.0
197,Bay,BAY,9440.0,1510.0,711.0,2447.0,419.0,11.0,44.0,151.0,2.0,3.0,366.0,45.0,,2015.0
198,Bayabas,BAYABAS,332.0,884.0,96.0,300.0,1.0,70.0,45.0,5.0,1.0,1.0,3.0,,,2015.0
199,Bayambang,BAYAMBANG,6530.0,1952.0,6332.0,8848.0,1402.0,7.0,2.0,2.0,1.0,44.0,474.0,2.0,,2015.0
200,Bayang,BAYANG,2.0,,91.0,668.0,10.0,5.0,787.0,699.0,1250.0,13.0,11.0,,,2015.0
201,Bayawan,CITY OF BAYAWAN (TULONG),5210.0,5174.0,1299.0,3948.0,570.0,4083.0,2421.0,2272.0,,207.0,414.0,48.0,,2015.0
202,Baybay,CITY OF BAYBAY,11483.0,10367.0,373.0,1427.0,316.0,621.0,1196.0,58.0,106.0,179.0,51.0,3.0,,2015.0
203,Bayog,BAYOG,1974.0,2684.0,200.0,993.0,118.0,288.0,385.0,201.0,67.0,4.0,5.0,1.0,,2015.0
204,Bayombong,BAYOMBONG (Capital),4122.0,736.0,1030.0,325.0,6881.0,91.0,1529.0,596.0,7.0,2.0,423.0,19.0,,2015.0
205,Bayugan,CITY OF BAYUGAN,6524.0,3546.0,1594.0,6180.0,166.0,365.0,2989.0,711.0,166.0,6.0,393.0,18.0,,2015.0
206,Belison,BELISON,322.0,25.0,62.0,179.0,2304.0,7.0,110.0,12.0,,,62.0,,,2015.0
207,Benito Soliven,BENITO SOLIVEN,456.0,160.0,1086.0,4241.0,10.0,378.0,235.0,239.0,13.0,10.0,111.0,2.0,,2015.0
208,Besao,BESAO,,,1.0,,,,1559.0,152.0,,,,,,2015.0
209,Bien Unido,BIEN UNIDO,403.0,165.0,23.0,54.0,6.0,3159.0,,2.0,1696.0,1.0,215.0,1.0,,2015.0
