,name,city,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,Lake river rain and others_count,Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
0,Aborlan,ABORLAN,2447.0,1564.0,1007.0,2060.0,413.0,524.0,150.0,13.0,101.0,4.0,11.0,,,2015.0
1,Abra De Ilog,ABRA DE ILOG,1282.0,461.0,917.0,2612.0,848.0,299.0,538.0,197.0,174.0,,,1.0,,2015.0
2,Abucay,ABUCAY,1146.0,1518.0,628.0,5777.0,33.0,4.0,129.0,,12.0,1.0,203.0,2.0,,2015.0
3,Abulug,ABULUG,632.0,273.0,2274.0,1987.0,236.0,1929.0,,1.0,,,73.0,,,2015.0
4,Abuyog,ABUYOG,806.0,3322.0,947.0,3260.0,153.0,2408.0,1779.0,499.0,9.0,50.0,275.0,,,2015.0
5,Adams,ADAMS,380.0,31.0,,,,,,,,,,,,2015.0
6,Agdangan,AGDANGAN,374.0,716.0,339.0,1340.0,80.0,224.0,1.0,6.0,34.0,3.0,54.0,,,2015.0
7,Aglipay,AGLIPAY,450.0,256.0,1473.0,2512.0,659.0,140.0,461.0,594.0,1.0,2.0,28.0,1.0,,2015.0
8,Agno,AGNO,411.0,105.0,1432.0,1231.0,60.0,2977.0,257.0,54.0,14.0,,82.0,1.0,,2015.0
9,Agoncillo,AGONCILLO,6071.0,606.0,253.0,615.0,200.0,15.0,,,43.0,,20.0,3.0,,2015.0
10,Agoo,AGOO,371.0,707.0,4243.0,4515.0,375.0,982.0,724.0,5.0,13.0,1057.0,847.0,11.0,,2015.0
11,Aguilar,AGUILAR,627.0,403.0,3187.0,3274.0,1009.0,13.0,130.0,1.0,3.0,2.0,126.0,2.0,,2015.0
12,Aguinaldo,AGUINALDO,2183.0,1858.0,127.0,302.0,53.0,21.0,101.0,6.0,6.0,,,4.0,,2015.0
13,Agutaya,AGUTAYA,110.0,414.0,11.0,505.0,31.0,1969.0,,,,5.0,,,,2015.0
14,Ajuy,AJUY,401.0,1660.0,1095.0,4990.0,472.0,1013.0,1794.0,126.0,17.0,538.0,115.0,,,2015.0
15,Akbar,AKBAR,9.0,10.0,15.0,350.0,10.0,2411.0,1.0,,12.0,2.0,,,,2015.0
16,Alabat,ALABAT,399.0,1401.0,496.0,852.0,49.0,131.0,69.0,1.0,63.0,1.0,104.0,,,2015.0
17,Alabel,ALABEL (Capital),4373.0,4082.0,1834.0,3175.0,795.0,636.0,2181.0,386.0,376.0,,90.0,1.0,,2015.0
18,Alamada,ALAMADA,3542.0,2929.0,410.0,984.0,287.0,1684.0,3674.0,1286.0,181.0,12.0,2.0,2.0,,2015.0
19,Alaminos (LA),ALAMINOS,9266.0,1358.0,38.0,258.0,36.0,160.0,23.0,,2.0,2.0,8.0,3.0,,2015.0
20,Alaminos (PS),CITY OF ALAMINOS,12054.0,3135.0,2395.0,3002.0,563.0,112.0,17.0,5.0,14.0,2.0,215.0,62.0,,2015.0
21,Alang-Alang,ALANGALANG,582.0,861.0,734.0,7011.0,353.0,2633.0,267.0,174.0,10.0,2.0,139.0,2.0,,2015.0
22,Al-Barka,AL-BARKA,263.0,501.0,99.0,602.0,81.0,1089.0,127.0,154.0,733.0,2.0,3.0,8.0,,2015.0
23,Albuera,ALBUERA,2046.0,2998.0,1679.0,3273.0,122.0,199.0,157.0,72.0,380.0,29.0,112.0,,,2015.0
24,Alburquerque,ALBURQUERQUE,1891.0,315.0,4.0,68.0,56.0,36.0,5.0,5.0,17.0,4.0,21.0,,,2015.0
25,Alcala (CG),ALCALA,994.0,221.0,2101.0,4714.0,33.0,1147.0,8.0,1.0,5.0,,24.0,,,2015.0
26,Alcala (PS),ALCALA,2900.0,349.0,2813.0,3977.0,79.0,,1.0,2.0,,,50.0,3.0,,2015.0
27,Alcantara (CU),ALCANTARA,1322.0,662.0,53.0,271.0,311.0,24.0,586.0,17.0,,198.0,,,,2015.0
28,Alcantara (RN),ALCANTARA,762.0,635.0,1174.0,864.0,3.0,42.0,129.0,28.0,9.0,,27.0,,,2015.0
29,Alcoy,ALCOY,1557.0,1434.0,1.0,1.0,2.0,25.0,55.0,,179.0,130.0,,4.0,,2015.0
30,Alegria (CU),ALEGRIA,1694.0,1392.0,57.0,107.0,6.0,20.0,868.0,734.0,150.0,,,,,2015.0
31,Alegria (SN),ALEGRIA,1730.0,841.0,255.0,473.0,2.0,5.0,47.0,43.0,6.0,,5.0,8.0,,2015.0
32,Aleosan,ALEOSAN,853.0,1388.0,536.0,3309.0,174.0,2117.0,318.0,23.0,17.0,47.0,63.0,,,2015.0
33,Alfonso,ALFONSO,10217.0,602.0,327.0,419.0,8.0,75.0,25.0,4.0,50.0,4.0,86.0,3.0,,2015.0
34,Alfonso Castaneda,ALFONSO CASTANEDA,230.0,82.0,31.0,38.0,17.0,30.0,451.0,770.0,54.0,,2.0,82.0,,2015.0
35,Alfonso Lista,ALFONSO LISTA (POTIA),870.0,437.0,1317.0,4152.0,22.0,98.0,194.0,37.0,1.0,,19.0,2.0,,2015.0
36,Aliaga,ALIAGA,4310.0,1162.0,3652.0,4297.0,538.0,8.0,5.0,1.0,,2.0,16.0,13.0,,2015.0
37,Alicia (BL),ALICIA,1335.0,1678.0,205.0,1089.0,103.0,477.0,113.0,71.0,7.0,1.0,26.0,,,2015.0
38,Alicia (IA),ALICIA,2599.0,443.0,4499.0,3498.0,6602.0,44.0,13.0,4.0,,1.0,125.0,36.0,,2015.0
39,Alicia (ZS),ALICIA,430.0,3960.0,44.0,662.0,328.0,2122.0,45.0,7.0,102.0,52.0,13.0,1.0,,2015.0
40,Alilem,ALILEM,392.0,29.0,103.0,402.0,,1.0,492.0,55.0,,,2.0,,,2015.0
41,Alimodian,ALIMODIAN,1067.0,283.0,1280.0,1733.0,94.0,1054.0,2214.0,139.0,107.0,2.0,94.0,,,2015.0
42,Alitagtag,ALITAGTAG,4552.0,929.0,7.0,32.0,1.0,,1.0,1.0,,12.0,18.0,3.0,,2015.0
43,Allacapan,ALLACAPAN,86.0,30.0,2830.0,2493.0,27.0,2051.0,11.0,4.0,18.0,,217.0,,,2015.0
44,Allen,ALLEN,441.0,1786.0,585.0,1115.0,97.0,506.0,183.0,8.0,5.0,156.0,649.0,12.0,,2015.0
45,Almagro,ALMAGRO,119.0,625.0,55.0,872.0,64.0,291.0,8.0,,29.0,38.0,,,,2015.0
46,Almeria,ALMERIA,3464.0,517.0,,4.0,1.0,,28.0,2.0,3.0,,24.0,,,2015.0
47,Aloguinsan,ALOGUINSAN,2130.0,2248.0,99.0,748.0,23.0,1132.0,218.0,203.0,42.0,11.0,46.0,1.0,,2015.0
48,Aloran,ALORAN,2936.0,1199.0,156.0,579.0,186.0,73.0,1142.0,93.0,2.0,,17.0,,,2015.0
49,Altavas,ALTAVAS,220.0,230.0,805.0,2649.0,24.0,1828.0,119.0,64.0,,,52.0,,,2015.0
50,Alubijid,ALUBIJID,4340.0,1844.0,70.0,757.0,62.0,141.0,486.0,15.0,7.0,5.0,13.0,3.0,,2015.0
51,Amadeo,AMADEO,7835.0,669.0,47.0,67.0,1.0,4.0,17.0,28.0,15.0,21.0,96.0,11.0,,2015.0
52,Amai Manabilang,BUMBARAN,1123.0,300.0,11.0,385.0,4.0,,2.0,,2.0,1.0,,,,2015.0
53,Ambaguio,AMBAGUIO,517.0,567.0,14.0,14.0,18.0,1.0,148.0,2257.0,,,,,,2015.0
54,Amlan,AMLAN (AYUQUITAN),3733.0,1238.0,42.0,275.0,27.0,20.0,104.0,,,43.0,43.0,,,2015.0
55,Ampatuan,AMPATUAN,157.0,31.0,1420.0,1477.0,10.0,256.0,564.0,2.0,1.0,2.0,1.0,1.0,,2015.0
56,Amulung,AMULUNG,837.0,139.0,2666.0,6853.0,9.0,148.0,,4.0,1.0,,40.0,,,2015.0
57,Anahawan,ANAHAWAN,1520.0,250.0,6.0,3.0,2.0,1.0,5.0,,,,1.0,,,2015.0
58,Anao,ANAO,1305.0,270.0,521.0,313.0,304.0,,,,,,7.0,,,2015.0
59,Anda (BL),ANDA,2613.0,846.0,,1.0,3.0,41.0,93.0,16.0,149.0,,2.0,,,2015.0
60,Anda (PS),ANDA,2322.0,516.0,694.0,2193.0,844.0,2628.0,3.0,1.0,2.0,79.0,90.0,4.0,,2015.0
61,Angadanan,ANGADANAN,797.0,631.0,1669.0,3687.0,168.0,2799.0,114.0,5.0,6.0,,29.0,1.0,,2015.0
62,Angat,ANGAT,9881.0,557.0,1155.0,2083.0,199.0,158.0,19.0,2.0,29.0,1.0,806.0,1.0,,2015.0
63,Angeles,ANGELES CITY,82475.0,3593.0,2257.0,3259.0,845.0,594.0,45.0,3.0,2.0,330.0,2615.0,201.0,,2015.0
64,Angono,ANGONO,21276.0,2786.0,164.0,187.0,13.0,84.0,82.0,12.0,1.0,160.0,477.0,83.0,,2015.0
65,Anilao,ANILAO,962.0,795.0,1100.0,2109.0,187.0,750.0,424.0,28.0,14.0,93.0,99.0,,,2015.0
66,Anini-Y,ANINI-Y,209.0,901.0,1166.0,2133.0,8.0,22.0,136.0,27.0,2.0,,36.0,1.0,,2015.0
67,Antequera,ANTEQUERA,2338.0,282.0,30.0,156.0,3.0,36.0,384.0,200.0,37.0,1.0,15.0,,,2015.0
68,Antipas,ANTIPAS,2692.0,1017.0,147.0,450.0,111.0,192.0,1423.0,29.0,3.0,,4.0,3.0,,2015.0
69,Antipolo,CITY OF ANTIPOLO,119718.0,28087.0,3525.0,4755.0,845.0,2055.0,3998.0,366.0,174.0,4932.0,1680.0,361.0,,2015.0
70,Apalit,APALIT,18443.0,1655.0,2005.0,879.0,142.0,5.0,5.0,,2.0,2.0,622.0,19.0,,2015.0
71,Aparri,APARRI,1920.0,871.0,2793.0,3974.0,376.0,2870.0,258.0,3.0,306.0,,607.0,,,2015.0
72,Araceli,ARACELI,179.0,273.0,53.0,25.0,7.0,2135.0,1.0,15.0,74.0,327.0,205.0,,,2015.0
73,Arakan,ARAKAN,3525.0,3447.0,371.0,1281.0,220.0,834.0,799.0,154.0,80.0,3.0,8.0,1.0,,2015.0
74,Arayat,ARAYAT,9243.0,1342.0,11297.0,5190.0,392.0,80.0,330.0,7.0,25.0,20.0,212.0,6.0,,2015.0
75,Argao,ARGAO,8598.0,2058.0,428.0,829.0,57.0,182.0,3458.0,884.0,12.0,66.0,,2.0,,2015.0
76,Aringay,ARINGAY,555.0,375.0,3730.0,3758.0,20.0,275.0,1293.0,178.0,,126.0,507.0,,,2015.0
77,Aritao,ARITAO,894.0,485.0,957.0,1972.0,1350.0,95.0,1764.0,974.0,12.0,1.0,56.0,2.0,,2015.0
78,Aroroy,,,,,,,,,,,,,,,
79,Arteche,ARTECHE,172.0,908.0,92.0,1079.0,524.0,409.0,130.0,103.0,1.0,1.0,86.0,,,2015.0
80,Asingan,ASINGAN,5197.0,879.0,4489.0,2917.0,8.0,7.0,19.0,,,6.0,97.0,4.0,,2015.0
81,Asipulo,ASIPULO,908.0,997.0,443.0,262.0,5.0,,195.0,19.0,2.0,,2.0,,,2015.0
82,Asturias,ASTURIAS,4341.0,2375.0,221.0,2053.0,49.0,379.0,595.0,32.0,25.0,152.0,,,,2015.0
83,Asuncion,ASUNCION (SAUG),2486.0,2270.0,952.0,4905.0,178.0,982.0,809.0,158.0,211.0,732.0,118.0,,,2015.0
84,Atimonan,ATIMONAN,1809.0,2967.0,2181.0,4814.0,62.0,646.0,649.0,366.0,277.0,46.0,1173.0,11.0,,2015.0
85,Atok,ATOK,31.0,157.0,10.0,33.0,3.0,7.0,956.0,2937.0,227.0,8.0,9.0,,,2015.0
86,Aurora (IA),AURORA,2524.0,363.0,3557.0,1554.0,283.0,4.0,,,,2.0,180.0,9.0,,2015.0
87,Aurora (ZR),AURORA,7196.0,2325.0,93.0,137.0,46.0,538.0,546.0,74.0,14.0,25.0,38.0,5.0,,2015.0
88,Ayungon,AYUNGON,4105.0,3816.0,95.0,596.0,68.0,278.0,993.0,532.0,,37.0,53.0,,,2015.0
89,Baao,,,,,,,,,,,,,,,
90,Babatngon,BABATNGON,380.0,2703.0,203.0,1643.0,186.0,658.0,278.0,3.0,15.0,13.0,24.0,2.0,,2015.0
91,Bacacay,,,,,,,,,,,,,,,
92,Bacarra,BACARRA,3720.0,394.0,2501.0,793.0,172.0,616.0,1.0,1.0,,1.0,69.0,1.0,,2015.0
93,Baclayon,BACLAYON,3484.0,480.0,11.0,27.0,2.0,1.0,15.0,1.0,324.0,,52.0,,,2015.0
94,Bacnotan,BACNOTAN,830.0,284.0,4301.0,2647.0,562.0,345.0,468.0,138.0,1.0,1.0,386.0,,,2015.0
95,Baco,BACO,1720.0,1326.0,2121.0,2211.0,45.0,113.0,713.0,23.0,8.0,33.0,11.0,2.0,,2015.0
96,Bacolod (LN),BACOLOD,2836.0,1161.0,15.0,244.0,13.0,211.0,293.0,6.0,364.0,9.0,47.0,,,2015.0
97,Bacolod (NO),BACOLOD CITY (Capital),53482.0,20524.0,5650.0,18774.0,1987.0,2498.0,1661.0,166.0,53.0,7379.0,16713.0,189.0,,2015.0
98,Bacolod-Kalawi,BACOLOD-KALAWI (BACOLOD GRANDE),29.0,14.0,406.0,302.0,57.0,4.0,594.0,398.0,1448.0,1.0,1.0,46.0,,2015.0
99,Bacolor,BACOLOR,4267.0,597.0,1383.0,1120.0,419.0,12.0,6.0,2.0,,,1769.0,18.0,,2015.0
100,Bacong,BACONG,5989.0,1443.0,106.0,643.0,10.0,23.0,3.0,,,,44.0,4.0,,2015.0
101,Bacoor,BACOOR CITY,80514.0,15614.0,11076.0,13566.0,241.0,193.0,405.0,7.0,5.0,7388.0,19897.0,254.0,,2015.0
102,Bacuag,BACUAG,1421.0,1255.0,45.0,240.0,22.0,28.0,59.0,2.0,23.0,1.0,10.0,1.0,,2015.0
103,Bacungan Leon B. Postigo,BACUNGAN (Leon T. Postigo),651.0,1625.0,172.0,764.0,129.0,572.0,590.0,1005.0,12.0,12.0,32.0,,,2015.0
104,Badian,BADIAN,2814.0,3999.0,90.0,422.0,8.0,34.0,565.0,194.0,2.0,90.0,,,,2015.0
105,Badiangan,BADIANGAN,1487.0,757.0,1123.0,1213.0,559.0,733.0,,,4.0,3.0,7.0,11.0,,2015.0
106,Badoc,BADOC,899.0,233.0,1991.0,2182.0,222.0,1545.0,179.0,69.0,,,55.0,,,2015.0
107,Bagabag,BAGABAG,1175.0,271.0,3173.0,2873.0,1064.0,16.0,211.0,4.0,,1.0,122.0,,,2015.0
108,Bagac,BAGAC,4161.0,418.0,137.0,498.0,44.0,228.0,457.0,66.0,1.0,8.0,21.0,3.0,,2015.0
109,Bagamanoc,,,,,,,,,,,,,,,
110,Baganga,BAGANGA,1880.0,2255.0,1294.0,3618.0,1006.0,830.0,1840.0,333.0,170.0,17.0,76.0,20.0,,2015.0
111,Baggao,BAGGAO,328.0,126.0,9065.0,8727.0,594.0,104.0,228.0,335.0,104.0,,19.0,,,2015.0
112,Bago,BAGO CITY,8643.0,3698.0,3642.0,15442.0,1161.0,2447.0,2620.0,822.0,14.0,866.0,590.0,4.0,,2015.0
113,Baguio,BAGUIO CITY,52386.0,8187.0,1370.0,2556.0,219.0,444.0,8119.0,914.0,144.0,8829.0,6696.0,123.0,,2015.0
114,Bagulin,BAGULIN,313.0,10.0,7.0,16.0,141.0,2.0,1213.0,1269.0,2.0,,5.0,,,2015.0
115,Bagumbayan,BAGUMBAYAN,1948.0,2624.0,1549.0,1691.0,3410.0,1693.0,2079.0,299.0,117.0,9.0,20.0,1.0,,2015.0
116,Bais,BAIS CITY,6085.0,4000.0,470.0,2632.0,397.0,1190.0,2144.0,326.0,,178.0,230.0,41.0,,2015.0
117,Bakun,BAKUN,1335.0,694.0,18.0,10.0,2.0,,394.0,859.0,35.0,,3.0,,,2015.0
118,Balabac,BALABAC,81.0,125.0,99.0,1502.0,66.0,5065.0,744.0,24.0,420.0,288.0,31.0,,,2015.0
119,Balabagan,BALABAGAN,85.0,393.0,40.0,178.0,470.0,508.0,540.0,245.0,1689.0,614.0,7.0,,,2015.0
120,Balagtas,BALAGTAS (BIGAA),10376.0,2843.0,1087.0,643.0,34.0,60.0,,,1.0,7.0,2530.0,52.0,,2015.0
121,Balamban,BALAMBAN,9637.0,3851.0,523.0,2450.0,475.0,394.0,1710.0,441.0,56.0,76.0,,1.0,,2015.0
122,Balanga,CITY OF BALANGA (Capital),12887.0,2580.0,1150.0,3433.0,259.0,97.0,229.0,32.0,174.0,1.0,424.0,3.0,,2015.0
