,id,water-seal,closed-pit,open-pit,none,year
103,Bacungan Leon B. Postigo,2789,9070,5500,7780,2010
104,Badian,402,1222,5140,1869,2010
105,Badiangan,3839,9230,7330,0,2010
106,Badoc,6755,830,150,690,2010
107,Bagabag,7422,4120,3600,600,2010
108,Bagac,5135,980,1180,3030,2010
109,Bagamanoc,1756,950,1190,2790,2010
110,Baganga,8345,2306,4490,7440,2010
111,Baggao,15895,1631,3000,1560,2010
112,Bago,26228,2225,1513,5226,2010
113,Baguio,77159,6580,2410,720,2010
114,Bagulin,1268,7130,5190,720,2010
115,Bagumbayan,8516,3408,2028,2060,2010
116,Bais,10768,2063,7510,2542,2010
117,Bakun,2581,800,1570,100,2010
118,Balabac,7800,7000,1015,3462,2010
119,Balabagan,1193,1118,1477,3280,2010
120,Balagtas,14438,570,50,680,2010
121,Balamban,1091,5480,1368,2933,2010
122,Balanga,17871,4380,1110,3880,2010
123,Balangiga,2245,150,100,3880,2010
124,Balangkayan,15,550,290,2570,2010
125,Balaoan,7495,3510,1940,470,2010
126,Balasan,4595,1425,2860,1830,2010
127,Balatan,2942,2025,1350,3650,2010
128,Balayan,15449,4390,1780,8200,2010
129,Balbalan,1388,2460,4980,50,2010
130,Baleno,2551,5650,5520,9440,2010
131,Baler,728,2080,1380,1500,2010
132,Balete (AK),3558,2064,4490,350,2010
133,Balete (BS),3948,1290,680,1850,2010
134,Baliangao,2346,6690,1580,5290,2010
135,Baliguian,171,1059,4480,7960,2010
136,Balilihan,3412,3640,380,630,2010
137,Balindong,1605,1567,3880,30,2010
138,Balingasag,9878,107,3640,1772,2010
139,Balingoan,1435,2610,1280,1500,2010
140,Baliwag,32428,6630,670,1180,2010
141,Ballesteros,6637,9100,3440,310,2010
142,Baloi,4732,248,1724,210,2010
143,Balud,3716,3520,5430,2472,2010
144,Balungao,6015,1190,840,450,2010
145,Bamban,12721,830,1700,540,2010
146,Bambang,9961,9450,4830,610,2010
147,Banate,4774,7260,1880,6410,2010
148,Banaue,2407,1078,7150,1760,2010
149,Banaybanay,7155,7270,1030,2140,2010
150,Banayoyo,1629,140,0,100,2010
151,Banga (AK),6056,1461,2880,310,2010
152,Banga (SC),13809,2354,9560,5800,2010
153,Bangar,696,1500,410,1190,2010
154,Bangued,8426,1035,2480,700,2010
155,Bangui,3528,100,110,50,2010
156,Bani,8325,1161,7940,1980,2010
157,Banisilan,3463,316,1433,1110,2010
158,Banna,3853,890,440,300,2010
159,Bansalan,10816,2035,3160,1750,2010
160,Bansud,6041,1036,3070,1064,2010
161,Bantay,7324,2040,150,670,2010
162,Bantayan Island,7421,5840,6630,6487,2010
163,Banton,9960,0,410,1940,2010
164,Baras (CT),2018,1260,1160,2920,2010
165,Baras (RL),6538,2810,530,1500,2010
166,Barbaza,3218,5610,4030,5550,2010
167,Barcelona,3494,5090,540,5290,2010
168,Barili,7631,1766,1207,2865,2010
169,Barira,4920,1095,9210,6280,2010
170,Barlig,1371,980,0,410,2010
171,Barobo,6801,8060,2540,6380,2010
172,Barotac Nuevo,9036,1413,3270,2410,2010
173,Barotac Viejo,6195,1473,10,2330,2010
174,Baroy,353,7200,690,2670,2010
175,Barugo,4241,7060,1230,1035,2010
176,Basay,3382,1470,660,1555,2010
177,Basco,2031,0,0,0,2010
178,Basey,7207,5810,2480,242,2010
179,Basilisa,5944,8370,660,3650,2010
180,Basista,6032,2330,0,50,2010
181,Basud (CN),714,5350,740,5180,2010
182,Batac,11801,3980,700,390,2010
183,Batad,2654,7390,2090,4960,2010
184,Batan,60,6390,2210,610,2010
185,Batangas,64995,6630,4850,9620,2010
186,Bataraza,571,2708,1246,4483,2010
187,Bato (CS),8045,7300,920,2300,2010
188,Bato (CT),3826,300,50,3200,2010
189,Bato (LE),4212,4930,1330,2788,2010
190,Batuan (BL),1932,6780,340,200,2010
191,Batuan (MS),1205,1010,5280,8340,2010
192,Bauan,18135,600,250,590,2010
193,Bauang,15133,5650,1310,260,2010
194,Bauko,5051,5420,5850,610,2010
195,Baungon,4412,2053,8580,1200,2010
196,Bautista,6025,2470,440,600,2010
197,Bay,1253,620,50,700,2010
198,Bayabas,8810,5400,580,2000,2010
199,Bayambang,19922,2788,5450,640,2010
200,Bayang,1996,6720,3870,750,2010
201,Bayawan,13707,2268,2395,57,2010
202,Baybay,19237,5040,7310,2549,2010
203,Bayog,3791,7100,111,5260,2010
204,Bayombong,11885,9070,4030,680,2010
205,Bayugan,17725,1178,7390,7640,2010
206,Belison,2631,460,1620,530,2010
207,Benito Soliven,3352,2061,6420,210,2010
208,Besao,1709,640,330,250,2010
209,Bien Unido,1962,5040,6250,1564,2010
210,Bilar,3095,3150,1160,420,2010
211,Biliran,2465,100,260,9070,2010
212,Binalbagan,8241,9750,1224,2114,2010
213,Binalonan,1152,5700,400,510,2010
214,Binangonan,54037,3710,390,1024,2010
215,Bindoy,4612,6860,3290,2584,2010
216,Bingawan,1654,8760,3740,140,2010
217,Binidayan,7120,1469,7870,610,2010
218,Binmaley,16021,7030,2080,1530,2010
219,Binuangan,1258,440,210,680,2010
220,Biri,147,2840,1110,3090,2010
221,Bislig,16292,1041,8520,1668,2010
222,Binan,6684,9140,1900,2010,2010
223,Boac,10168,2680,900,1382,2010
224,Bobon,3359,2000,780,5430,2010
225,Bocaue,23432,1390,370,1730,2010
226,Bogo,9551,8540,2033,3685,2010
227,Bokod,1514,6020,5200,100,2010
228,Bolinao,1163,2408,1135,8250,2010
229,Boliney,5820,930,250,1010,2010
230,Boljoon,2493,2550,2960,1730,2010
231,Bombon,2281,5030,1810,1770,2010
232,Bongabon,12544,3070,1120,4320,2010
233,Bongabong,10742,6300,4090,2846,2010
234,Bongao,4699,3543,4831,3520,2010
235,Bonifacio,4123,1075,5040,9690,2010
236,Bontoc (MP),452,1060,5350,5410,2010
237,Bontoc (SL),5384,1290,720,6660,2010
238,Borbon,4499,5230,8170,9960,2010
239,Borongan,10673,7590,1110,1685,2010
240,Boston,1831,800,1770,5400,2010
241,Botolan,9301,7210,2690,1207,2010
242,Braulio E. Dujali,4833,2570,600,0,2010
243,Brooke's Point,5704,3318,9890,2783,2010
244,Buadiposo-Buntong,1263,7630,3820,50,2010
245,Bubong,1298,6690,8000,170,2010
246,Bucay,3011,3130,1150,1680,2010
247,Bucloc,3100,0,0,1040,2010
248,Buenavista (AN),9527,4800,1010,1649,2010
249,Buenavista (BL),3406,3330,2420,107,2010
250,Buenavista (GS),8535,9560,7810,1680,2010
251,Buenavista (ME),2781,1570,2020,1744,2010
252,Buenavista (QN),2346,1466,8010,7560,2010
253,Bugallon,12242,7200,1860,2150,2010
254,Bugasong,4956,5690,6980,5300,2010
255,Buguey,5299,6120,1180,3070,2010
256,Buguias,6126,1283,1376,0,2010
257,Buhi,11419,2492,6620,8230,2010
258,Bula,9328,2334,5190,3260,2010
259,Bulakan,16462,1470,2500,1130,2010
260,Bulalacao,2838,4880,2520,3639,2010
261,Bulan,14121,1856,5580,2425,2010
262,Buldon,1602,1495,106,7590,2010
263,Buluan,2643,19,6590,1670,2010
264,Bulusan,3556,2650,600,9990,2010
265,Bunawan,6221,8460,1940,6230,2010
266,Burauen,8567,7010,1730,1045,2010
267,Burdeos,1962,5790,3430,1884,2010
268,Burgos (IN),2111,530,160,210,2010
269,Burgos (IS),2123,4350,0,50,2010
270,Burgos (IA),4757,2960,300,1460,2010
271,Burgos (LU),1166,1670,1480,1530,2010
272,Burgos (PS),3166,7090,3670,1070,2010
273,Burgos (SN),8480,0,0,930,2010
274,Buruanga,2909,1550,740,3040,2010
275,Bustos,13997,3480,620,750,2010
276,Busuanga,31,2740,2690,5600,2010
277,Butig,6820,1209,8010,170,2010
278,Butuan,57969,2877,1035,2692,2010
279,Buug,6145,7230,2010,6000,2010
280,Caba,4121,2840,3630,210,2010
281,Cabadbaran,12825,4020,1000,9880,2010
282,Cabagan,8264,6410,2090,1450,2010
283,Cabanatuan,58125,8630,1820,3430,2010
284,Cabangan,4521,1190,400,4300,2010
285,Cabanglasan,3955,133,7390,2570,2010
286,Cabarroguis,4924,9120,7720,200,2010
287,Cabatuan (IO),9347,1481,7620,490,2010
288,Cabatuan (IA),8081,1790,1000,2070,2010
289,Cabiao,1397,1830,420,1660,2010
290,Cabucgayan,2872,1100,1510,1029,2010
291,Cabugao,7214,3190,730,1100,2010
292,Cabusao,2774,4690,780,4150,2010
293,Cabuyao,58151,5960,1380,150,2010
294,Cadiz,17721,2276,2777,8476,2010
295,Cagayancillo,6250,2880,380,1630,2010
296,Cagayan De Oro,127097,4249,1931,2807,2010
297,Cagdianao,2447,2370,480,5060,2010
298,Cagwait,3025,6360,390,1810,2010
299,Caibiran,267,150,300,1393,2010
300,Cainta,70162,1660,750,1880,2010
301,Cajidiocan,3417,5500,4550,3600,2010
302,Calabanga,1254,1161,5120,1305,2010
303,Calaca,13362,4100,2120,9420,2010
304,Calamba (LA),87035,181,9380,2800,2010
305,Calamba (MC),4015,6070,870,1800,2010
306,Calanasan,144,3550,4080,50,2010
307,Calanogas,1050,1590,1077,5100,2010
308,Calapan,25156,8220,2820,8770,2010
309,Calape,5716,5250,2900,1250,2010
310,Calasiao,18157,8790,1410,1050,2010
311,Calatagan,9811,5820,880,1081,2010
312,Calatrava (NO),5167,7960,2362,812,2010
313,Calatrava (RN),1414,1630,250,5310,2010
314,Calauag,9804,2352,167,1069,2010
315,Calauan,16169,4020,690,2250,2010
316,Calayan,2254,9920,2440,380,2010
317,Calbayog,20022,9300,2811,10025,2010
318,Calbiga,2755,1820,2190,13,2010
319,Calinog,5756,3851,1489,280,2010
320,Calintaan,4745,1100,490,9900,2010
321,Caloocan,339465,2592,1176,2130,2010
322,Calubian,3661,1220,860,2873,2010
323,Calumpit,21608,770,930,870,2010
324,Caluya,4384,1240,1140,1933,2010
325,Camalaniugan,4658,2700,200,250,2010
326,Camalig,9275,2879,7660,4340,2010
327,Camaligan,4244,1560,250,940,2010
328,Camiling,17708,4810,690,1680,2010
329,Canaman,5513,7810,1910,390,2010
330,Can-Avid,3181,780,1840,5530,2010
331,Candaba,17883,7440,2240,4750,2010
332,Candelaria (QN),21728,1537,5420,3410,2010
333,Candelaria (ZA),4767,1650,300,3100,2010
334,Candijay,5094,6780,700,3500,2010
335,Candon,12955,2430,1010,480,2010
336,Candoni,2849,8170,2150,2970,2010
337,Canlaon,5501,7540,7210,423,2010
338,Cantilan,518,8190,860,4390,2010
339,Caoayan,4218,150,50,740,2010
340,Capalonga,4452,2430,950,1635,2010
341,Capas,24841,3780,3860,5690,2010
342,Capoocan,3731,2510,900,19,2010
343,Capul,1285,3770,150,7240,2010
344,Caraga,3641,1809,1664,4980,2010
345,Caramoan,5329,1113,900,2202,2010
346,Caramoran,3609,640,1190,1455,2010
347,Carasi,2420,120,180,60,2010
348,Carcar,16302,1845,1011,2631,2010
349,Cardona,9595,620,50,7090,2010
350,Carigara,7279,4780,4360,1637,2010
351,Carles,5958,2431,1231,2547,2010
352,Carmen (AN),3006,4760,150,6990,2010
353,Carmen (BL),851,3230,710,1690,2010
354,Carmen (CU),6996,3370,1870,1958,2010
355,Carmen (NC),7296,4719,3426,1613,2010
356,Carmen (DN),1434,8610,1390,2290,2010
357,Carmen (SS),1715,3580,0,360,2010
358,Carmona,17585,890,470,420,2010
359,Carranglan,5236,1741,7780,1880,2010
360,Carrascal,3096,1910,650,1760,2010
361,Casiguran (AU),3656,1091,2960,2100,2010
362,Casiguran (SO),5021,3980,590,7730,2010
363,Castilla,7333,8030,2920,2223,2010
364,Castillejos,10824,730,50,1990,2010
365,Cataingan,3656,3640,7980,5638,2010
366,Catanauan,7858,1059,1665,3369,2010
367,Catarman (CM),3147,1980,350,3270,2010
368,Catarman (NS),11652,1475,8640,1988,2010
369,Catbalogan,12081,8140,1338,3862,2010
370,Cateel,4417,4940,3220,2689,2010
371,Catigbian,4047,6070,910,410,2010
372,Catmon,4933,4340,2500,6380,2010
373,Catubig,4447,7810,730,6050,2010
374,Cauayan (IA),24189,2649,9300,1610,2010
375,Cauayan (NO),9775,386,1742,4048,2010
376,Cavinti,4059,6440,1740,810,2010
377,Cavite,19396,8690,6670,4300,2010
378,Cawayan,3987,3750,7350,792,2010
379,Cebu,176162,4046,3402,8921,2010
380,Cervantes,1991,9760,3200,50,2010
381,Clarin (BL),3472,2460,1520,5360,2010
382,Clarin (MC),6414,7660,2540,3110,2010
383,Claver,4407,50,620,4180,2010
384,Claveria (CG),6918,1320,0,410,2010
385,Claveria (MS),3353,2110,8470,3582,2010
386,Claveria (MO),5922,1392,1676,4660,2010
387,Columbio,3292,5780,1455,5510,2010
388,Compostela (CU),755,4170,1910,1211,2010
389,Compostela (DDO),16472,8650,1200,4500,2010
390,Concepcion (IO),5245,1267,4270,1161,2010
391,Concepcion,1162,2340,380,1630,2010
392,Concepcion (RN),1005,90,160,300,2010
393,Concepcion (TC),27369,5180,990,3870,2010
394,Conner,2978,8040,9840,210,2010
395,Consolacion,21149,2800,5060,1545,2010
396,Corcuera,1274,2520,890,7100,2010
397,Cordon,8488,4400,5280,310,2010
398,Cordova,7496,3110,7030,1651,2010
399,Corella,1674,310,0,100,2010
400,Coron,5303,7590,1298,1756,2010
401,Cortes (BL),2784,3410,450,510,2010
402,Cortes (SS),2685,2750,1360,2120,2010
403,Cotabato,43299,6101,242,2086,2010
404,Cuartero,301,18,8880,50,2010
405,Cuenca,6347,1830,300,200,2010
406,Culaba,1868,630,430,5100,2010
407,Culasi,6869,7180,660,4720,2010
408,Culion,179,1980,2790,1742,2010
409,Currimao,2552,220,0,250,2010
410,Cuyapo,11854,1027,4190,3180,2010
411,Cuyo,308,8970,1400,3900,2010
412,Daan Bantayan,9748,1037,161,3424,2010
413,Daet,19263,8610,1240,3860,2010
414,Dagami,5013,3120,1570,1118,2010
415,Dagohoy,3374,1860,310,2110,2010
416,Daguioman,3010,20,10,220,2010
417,Dagupan,33197,1903,7620,4530,2010
418,Dalaguete,8199,1306,1215,1855,2010
419,Damulog,2482,1269,1343,3440,2010
420,Danao (BL),2707,3700,250,2730,2010
421,Danao (CU),18354,1032,1085,5148,2010
422,Dangcagan,3501,7110,4260,1400,2010
423,Danglas,5730,3670,50,50,2010
424,Dao,4092,138,1399,100,2010
425,Dapa,3457,1230,5830,7520,2010
426,Dapitan,12665,1972,5830,1299,2010
427,Daraga,20679,2756,5520,6280,2010
428,Daram,3722,1370,3520,321,2010
429,Dasmarinas,124966,2710,2240,1270,2010
430,Dasol,493,5460,2830,520,2010
431,Datu Abdullah Sangki,9340,5990,7750,3090,2010
432,Datu Anggal Midtimbang,8120,5280,7870,380,2010
433,Datu Blah Sinsuat,8480,3200,8460,5710,2010
434,Datu Hoffer Ampatuan,4470,1032,5700,2710,2010
435,Datu Odin Sinsuat,5516,3764,2365,1298,2010
436,Datu Paglas,1749,9920,5050,910,2010
437,Datu Piang,1795,1085,1219,4330,2010
438,Datu Salibo,8050,4940,7540,2680,2010
439,Datu Saudi-Ampatuan,4380,126,137,1700,2010
440,Datu Unsay,5690,8860,5760,1300,2010
441,Dauin,4969,2190,500,3820,2010
442,Dauis,769,2640,700,1570,2010
443,Davao,300495,16028,10486,504,2010
444,Del Carmen,2506,1790,2090,5150,2010
445,Delfin Albano,5438,3860,580,610,2010
446,Del Gallego,3563,3350,1330,6880,2010
447,Diadi,2369,7470,5630,600,2010
448,Diffun,8584,1135,1194,1620,2010
449,Digos,31962,1764,6140,5360,2010
450,Dilasag,239,8690,2640,250,2010
451,Dimasalang,2116,1260,4390,2348,2010
452,Dimataling,3925,4540,8920,7810,2010
453,Dimiao,2919,2180,140,380,2010
454,Dinagat,2074,2670,530,2090,2010
455,Dinalungan,1625,3990,2940,840,2010
456,Dinalupihan,19377,7910,1750,4260,2010
457,Dinapigue,7820,1270,3190,430,2010
458,Dinas,5413,7660,3070,8190,2010
459,Dingalan,402,6740,2820,3380,2010
460,Dingle,667,1942,5750,750,2010
461,Dingras,7715,3580,300,250,2010
462,Dipaculao,4834,9620,2600,1560,2010
463,Diplahan,4785,1248,2430,2510,2010
464,Dipolog,2441,1209,1850,5130,2010
465,Ditsaan-Ramain,1173,1194,4220,160,2010
466,Divilacan,8510,40,400,1650,2010
467,Dolores (AA),1805,4380,1600,150,2010
468,Dolores (ES),5239,2160,3290,218,2010
469,Dolores (QN),5164,4570,3520,710,2010
470,Don Carlos,10839,1582,7710,3700,2010
471,Don Marcelino,368,3132,1541,3440,2010
472,Donsol,5196,1084,5220,2098,2010
473,Don Victoriano Chiongbian,9900,4400,3870,1720,2010
474,Dona Remedios Trinidad,2534,4640,3520,1068,2010
475,Duero,3602,200,200,1070,2010
476,Duenas,4935,1858,4910,180,2010
477,Dulag,7106,1656,1230,2110,2010
478,Dumaguete,2615,2460,540,2800,2010
479,Dumalag,4432,1425,7580,240,2010
480,Dumalinao,4852,6870,5270,5530,2010
481,Dumalneg,3100,0,0,0,2010
482,Dumangas,12067,1224,7120,2830,2010
483,Dumanjug,4084,1711,5260,3137,2010
484,Dumaran,3004,7850,1170,3800,2010
485,Dumarao,4975,3632,8720,150,2010
486,Dumingag,5291,2438,104,4070,2010
487,Dupax Del Norte,4605,6850,5910,200,2010
488,Dupax Del Sur,2974,1800,8170,50,2010
489,Echague,14286,1763,5770,3140,2010
490,El Nido,3596,1987,6190,7500,2010
491,El Salvador,9158,4260,3130,3520,2010
492,Enrile,5916,7980,150,350,2010
493,E. B. Magalona,8483,4600,3950,3119,2010
494,Enrique Villanueva,1302,0,0,1300,2010
495,Escalante,996,1292,148,7099,2010
496,Esperanza (AS),84,9020,2630,5660,2010
497,Esperanza (MS),1355,410,1180,2385,2010
498,Esperanza (SK),10217,1886,1734,5160,2010
499,Estancia,6369,1106,3720,5510,2010
500,Famy,2936,1850,260,1760,2010
501,Ferrol,1016,1170,720,2930,2010
502,Flora,2845,5790,2480,540,2010
503,Floridablanca,22927,1260,3800,2260,2010
504,Gabaldon,6592,7650,660,790,2010
505,Gainza,1896,300,100,830,2010
506,Galimuyod,2112,90,0,50,2010
507,Gamay,2779,2030,1900,1498,2010
508,Gamu,5863,3780,1510,550,2010
509,Ganassi,7130,1587,8500,400,2010
510,Gandara,2544,6400,3350,278,2010
511,Gapan,21529,6150,560,2040,2010
512,Garchitorena,2686,6260,1810,9920,2010
513,Garcia-Hernandez,4309,2410,0,200,2010
514,Gasan,5628,900,790,1432,2010
515,Gattaran,10841,8750,3860,1130,2010
516,Gen. Emilio Aguinaldo,3566,300,350,1210,2010
517,General Luna (QN),3122,5750,2010,1532,2010
518,General Luna  (SN),264,1460,1280,3540,2010
519,General Macarthur,1725,530,830,4700,2010
520,General Mamerto Natividad,724,4260,550,3830,2010
521,General Nakar,3216,1034,5460,2800,2010
522,General Santos,116581,3494,1242,3455,2010
523,General Tinio,848,4620,1880,1310,2010
524,General Trias,5852,8650,1810,1490,2010
525,Gen. Mariano Alvarez,28796,9010,590,160,2010
526,Gen S.K Pendatun,1764,7110,5790,4960,2010
527,Gerona,18337,5080,1390,1130,2010
528,Getafe,2503,1012,5870,1433,2010
529,Gigaquit,3421,980,600,4700,2010
530,Gigmoto,1291,1320,190,940,2010
531,Ginatilan,1998,3400,2250,5340,2010
532,Gingoog,19763,2208,8000,144,2010
533,Giporlos,1868,470,2480,2920,2010
534,Gitagum,3139,2430,1210,1560,2010
535,Glan,1167,4984,533,1872,2010
536,Gloria,7541,6520,2850,9070,2010
537,Goa,834,1394,5800,1087,2010
538,Godod,1702,9880,4070,5960,2010
539,Gonzaga,7358,3750,1100,2230,2010
540,Governor Generoso,942,7110,1870,5680,2010
541,Gregorio Del Pilar,7730,300,0,460,2010
542,Guagua,22533,1240,810,2360,2010
543,Gubat,10148,1039,3870,9350,2010
544,Guiguinto (BU),19981,760,330,500,2010
545,Guihulngan,7619,1994,2024,8971,2010
546,Guimba,21395,1941,2240,5110,2010
547,Guimbal,6533,1240,480,1010,2010
548,Guinayangan,5937,1271,1198,6640,2010
549,Guindulman,6253,4220,660,1050,2010
550,Guindulungan,3460,6510,1127,1310,2010
551,Guinobatan,11772,2718,1081,7890,2010
552,Guinsiliban,9920,530,210,2010,2010
553,Guipos,3472,4790,2070,590,2010
554,Guiuan,704,2730,4260,1881,2010
555,Gumaca,13136,1226,4940,5850,2010
556,Gutalac,277,131,1029,1882,2010
557,Hadji Mohammad Ajul,6650,7170,6690,4060,2010
558,Hadji Muhtamad,1330,2340,1360,1145,2010
559,Hadji Panglima Tahil,1060,300,8160,250,2010
560,Hagonoy (BU),26734,4670,2370,2330,2010
561,Hagonoy (DS),10032,1067,3680,2710,2010
562,Hamtic,731,9510,5860,6710,2010
563,Hermosa,11463,2350,860,2680,2010
564,Hernani,1066,2160,1000,1740,2010
565,Hilongos,8968,1915,6140,1335,2010
566,Himamaylan,11867,2494,1998,4814,2010
567,Hinabangan,1355,1170,1050,8060,2010
568,Hinatuan,3648,1858,1133,122,2010
569,Hindang,3898,4160,750,2160,2010
570,Hingyon,9330,5460,4850,610,2010
571,Hinigaran,12536,1606,1203,1792,2010
572,Hinobaan,7472,9860,8320,2046,2010
573,Hinunangan,6323,1410,400,1150,2010
574,Hinundayan,2682,1560,860,350,2010
575,Hungduan,1343,2010,4120,100,2010
576,Iba,1023,610,1090,1750,2010
577,Ibaan,9895,1720,410,1210,2010
578,Ibajay,8949,6160,490,2230,2010
579,Igbaras,5663,5770,1490,1770,2010
580,Iguig,5109,3640,550,190,2010
581,Ilagan,22625,4813,307,5830,2010
582,Iligan,60008,3003,2155,2453,2010
583,Ilog,7061,1607,9930,1359,2010
584,Iloilo,85311,2757,103,9660,2010
585,Imelda,3631,1178,2140,4370,2010
586,Impasug-Ong,6266,9070,1078,4040,2010
587,Imus,71621,1960,790,1140,2010
588,Inabanga,6689,7160,2850,9520,2010
589,Indanan,3532,3272,3083,1141,2010
590,Indang,13602,1420,200,800,2010
591,Infanta (PS),428,3820,3910,1660,2010
592,Infanta (QN),12467,1515,2400,3600,2010
593,Initao,5557,5990,1570,2600,2010
594,Inopacan,3914,2780,650,3170,2010
595,Ipil,9913,158,9650,1872,2010
596,Iriga,18735,2156,5730,2350,2010
597,Irosin,8658,5960,1530,9100,2010
598,Isabel,797,1340,6830,1166,2010
599,Isabela (BAS),13214,1776,1671,2283,2010
600,Isabela (NO),678,1493,1152,2361,2010
601,Igacos,19186,133,1004,1076,2010
602,Isulan,15709,2109,6740,3190,2010
603,Itbayat,7690,0,0,0,2010
604,Itogon,9675,1319,7820,190,2010
605,Ivana,3170,0,0,0,2010
606,Ivisan,4979,5420,1380,360,2010
607,Jabonga,3942,550,710,5600,2010
608,Jaen,1408,5300,500,1150,2010
609,Jagna,6675,1540,200,700,2010
610,Jalajala,6285,670,920,1330,2010
611,Jamindan,4221,3076,6140,260,2010
612,Janiuay,8386,3589,9290,590,2010
613,Jaro,5183,7500,6760,1897,2010
614,Jasaan,9107,4050,2670,6160,2010
615,Javier,3636,8300,3090,3870,2010
616,Jiabong,1758,5280,1110,1003,2010
617,Jimalalud,2642,1268,6750,156,2010
618,Jimenez,5227,3040,1250,1370,2010
619,Jipapad,7320,1000,460,5480,2010
