,id,water-seal,closed-pit,open-pit,none,year
0,Aborlan,3025,2378,7270,8520,2010
1,Abra De Ilog,3791,1730,2180,199,2010
2,Abucay,8028,740,520,3060,2010
3,Abulug,5556,1103,1130,550,2010
4,Abuyog,9547,6080,3860,1722,2010
5,Adams,2900,880,0,20,2010
6,Agdangan,2266,1540,980,1980,2010
7,Aglipay,432,4780,1035,350,2010
8,Agno,4452,1001,7150,2500,2010
9,Agoncillo,6572,1060,140,4490,2010
10,Agoo,11752,6340,1450,780,2010
11,Aguilar,6896,1252,340,300,2010
12,Aguinaldo,7920,2403,8780,160,2010
13,Agutaya,1062,1085,1930,2460,2010
14,Ajuy,6773,1852,5710,5290,2010
15,Akbar,4620,4500,8930,2570,2010
16,Alabat,291,3260,340,750,2010
17,Alabel,10781,2623,1189,1106,2010
18,Alamada,4895,307,226,1928,2010
19,Alaminos (LA),9218,2260,490,1090,2010
20,Alaminos (PS),16309,1704,6800,1680,2010
21,Alang-Alang,6379,2467,4440,6690,2010
22,Al-Barka,8860,4660,1421,3790,2010
23,Albuera,7672,3150,3250,7220,2010
24,Alburquerque,2067,350,200,50,2010
25,Alcala (CG),7728,7750,880,1180,2010
26,Alcala (PS),8591,4310,250,570,2010
27,Alcantara (CU),1804,3100,2530,4610,2010
28,Alcantara (RN),2698,2030,1500,3320,2010
29,Alcoy,2266,4240,950,2810,2010
30,Alegria (CU),3239,7460,2910,5200,2010
31,Alegria (SN),2336,5820,470,920,2010
32,Aleosan,2979,2247,1571,5480,2010
33,Alfonso,10398,1370,810,730,2010
34,Alfonso Castaneda,9720,3860,850,0,2010
35,Alfonso Lista,3503,1499,1089,950,2010
36,Aliaga,11798,4870,550,2440,2010
37,Alicia (BL),4123,3050,980,2020,2010
38,Alicia (IA),14458,5540,850,950,2010
39,Alicia (ZS),3109,1606,149,9620,2010
40,Alilem,1118,1690,140,560,2010
41,Alimodian,6236,7810,4130,450,2010
42,Alitagtag,445,1050,650,540,2010
43,Allacapan,6721,4880,3910,500,2010
44,Allen,4056,540,2220,5620,2010
45,Almagro,1356,930,560,6000,2010
46,Almeria,3269,300,700,2380,2010
47,Aloguinsan,2985,9900,5110,1415,2010
48,Aloran,4935,8700,1290,970,2010
49,Altavas,3378,1185,4750,1000,2010
50,Alubijid,4703,6320,2260,6140,2010
51,Amadeo,719,650,340,390,2010
52,Amai Manabilang,7150,5340,1740,0,2010
53,Ambaguio,7030,4280,1687,1250,2010
54,Amlan,4503,1300,560,2330,2010
55,Ampatuan,1499,1045,1330,1670,2010
56,Amulung,9258,3890,100,360,2010
57,Anahawan,1837,0,0,220,2010
58,Anao,2176,1980,1330,50,2010
59,Anda (BL),304,2730,200,1740,2010
60,Anda (PS),6798,1018,2350,2030,2010
61,Angadanan,6552,146,8830,1180,2010
62,Angat,11749,1640,610,880,2010
63,Angeles,72191,7540,2110,1760,2010
64,Angono,22133,2910,250,550,2010
65,Anilao,4013,1166,5560,1220,2010
66,Anini-Y,3512,2880,1430,3280,2010
67,Antequera,2952,2280,860,250,2010
68,Antipas,4306,6930,5190,1750,2010
69,Antipolo,144169,2915,3160,5590,2010
70,Apalit,20168,990,110,3090,2010
71,Aparri,11229,9450,2550,5230,2010
72,Araceli,2108,150,360,8350,2010
73,Arakan,4829,249,1458,1170,2010
74,Arayat,22684,4710,1140,6120,2010
75,Argao,11676,1997,6500,7580,2010
76,Aringay,8509,5490,5180,1210,2010
77,Aritao,7388,6620,3080,350,2010
78,Aroroy,6393,6480,1224,5935,2010
79,Arteche,1775,1990,1250,1085,2010
80,Asingan,1271,1890,1000,660,2010
81,Asipulo,1178,7020,7360,600,2010
82,Asturias,5282,2830,7200,286,2010
83,Asuncion,10538,8250,4190,2820,2010
84,Atimonan,12821,4890,4820,5340,2010
85,Atok,2064,9650,1114,100,2010
86,Aurora (IA),7112,1610,790,3180,2010
87,Aurora (ZR),7159,1142,6880,1249,2010
88,Ayungon,509,1674,1247,1806,2010
89,Baao,8089,1269,5370,4050,2010
90,Babatngon,3268,2560,7110,6080,2010
91,Bacacay,10563,2187,2550,4540,2010
92,Bacarra,7461,690,90,360,2010
93,Baclayon,3707,480,270,760,2010
94,Bacnotan,8967,1760,560,250,2010
95,Baco,5588,3380,5080,1039,2010
96,Bacolod (LN),2781,6440,7550,4840,2010
97,Bacolod (NO),105851,4252,2074,27,2010
98,Bacolod-Kalawi,1694,8190,4380,340,2010
99,Bacolor,6768,920,1410,350,2010
100,Bacong,6623,1050,380,4600,2010
101,Bacoor,113334,2687,2657,6390,2010
102,Bacuag,2207,4470,360,830,2010
