,name,city,bldg_type,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
3327,Garcia-Hernandez,GARCIA HERNANDEZ,Not Reported,,,,,,,2015.0
3328,Gasan,GASAN,Single house,7498.0,7570.0,32703.0,4.32,1.01,4.36,2015.0
3329,Gasan,GASAN,Duplex,382.0,383.0,1578.0,4.12,1.0,4.13,2015.0
3330,Gasan,GASAN,Multi-unit residential,81.0,81.0,370.0,4.57,1.0,4.57,2015.0
3331,Gasan,GASAN,Commercial/industrial/agricultural,16.0,16.0,59.0,3.69,1.0,3.69,2015.0
3332,Gasan,GASAN,Institutional living quarter,2.0,2.0,8.0,4.0,1.0,4.0,2015.0
3333,Gasan,GASAN,Others,,,,,,,2015.0
3334,Gasan,GASAN,Not Reported,18.0,18.0,83.0,4.61,1.0,4.61,2015.0
3335,Gattaran,GATTARAN,Single house,11877.0,12182.0,53650.0,4.4,1.03,4.52,2015.0
3336,Gattaran,GATTARAN,Duplex,583.0,600.0,2531.0,4.22,1.03,4.34,2015.0
3337,Gattaran,GATTARAN,Multi-unit residential,65.0,65.0,257.0,3.95,1.0,3.95,2015.0
3338,Gattaran,GATTARAN,Commercial/industrial/agricultural,19.0,22.0,86.0,3.91,1.16,4.53,2015.0
3339,Gattaran,GATTARAN,Institutional living quarter,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
3340,Gattaran,GATTARAN,Others,3.0,3.0,12.0,4.0,1.0,4.0,2015.0
3341,Gattaran,GATTARAN,Not Reported,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
3342,Gen. Emilio Aguinaldo,GENERAL EMILIO AGUINALDO,Single house,4094.0,4139.0,20963.0,5.06,1.01,5.12,2015.0
3343,Gen. Emilio Aguinaldo,GENERAL EMILIO AGUINALDO,Duplex,176.0,179.0,811.0,4.53,1.02,4.61,2015.0
3344,Gen. Emilio Aguinaldo,GENERAL EMILIO AGUINALDO,Multi-unit residential,91.0,92.0,395.0,4.29,1.01,4.34,2015.0
3345,Gen. Emilio Aguinaldo,GENERAL EMILIO AGUINALDO,Commercial/industrial/agricultural,4.0,4.0,17.0,4.25,1.0,4.25,2015.0
3346,Gen. Emilio Aguinaldo,GENERAL EMILIO AGUINALDO,Institutional living quarter,,,,,,,2015.0
3347,Gen. Emilio Aguinaldo,GENERAL EMILIO AGUINALDO,Others,,,,,,,2015.0
3348,Gen. Emilio Aguinaldo,GENERAL EMILIO AGUINALDO,Not Reported,,,,,,,2015.0
3349,General Luna (QN),GENERAL LUNA,Single house,5456.0,5468.0,25547.0,4.67,1.0,4.68,2015.0
3350,General Luna (QN),GENERAL LUNA,Duplex,148.0,148.0,660.0,4.46,1.0,4.46,2015.0
3351,General Luna (QN),GENERAL LUNA,Multi-unit residential,49.0,51.0,205.0,4.02,1.04,4.18,2015.0
3352,General Luna (QN),GENERAL LUNA,Commercial/industrial/agricultural,11.0,11.0,44.0,4.0,1.0,4.0,2015.0
3353,General Luna (QN),GENERAL LUNA,Institutional living quarter,,,,,,,2015.0
3354,General Luna (QN),GENERAL LUNA,Others,,,,,,,2015.0
3355,General Luna (QN),GENERAL LUNA,Not Reported,2.0,2.0,11.0,5.5,1.0,5.5,2015.0
3356,General Luna  (SN),GENERAL LUNA,Single house,3735.0,3745.0,16318.0,4.36,1.0,4.37,2015.0
3357,General Luna  (SN),GENERAL LUNA,Duplex,77.0,77.0,320.0,4.16,1.0,4.16,2015.0
3358,General Luna  (SN),GENERAL LUNA,Multi-unit residential,20.0,20.0,88.0,4.4,1.0,4.4,2015.0
3359,General Luna  (SN),GENERAL LUNA,Commercial/industrial/agricultural,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
3360,General Luna  (SN),GENERAL LUNA,Institutional living quarter,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
3361,General Luna  (SN),GENERAL LUNA,Others,,,,,,,2015.0
3362,General Luna  (SN),GENERAL LUNA,Not Reported,3.0,3.0,12.0,4.0,1.0,4.0,2015.0
3363,General Macarthur,GENERAL MACARTHUR,Single house,2860.0,2927.0,14040.0,4.8,1.02,4.91,2015.0
3364,General Macarthur,GENERAL MACARTHUR,Duplex,83.0,85.0,380.0,4.47,1.02,4.58,2015.0
3365,General Macarthur,GENERAL MACARTHUR,Multi-unit residential,17.0,17.0,64.0,3.76,1.0,3.76,2015.0
3366,General Macarthur,GENERAL MACARTHUR,Commercial/industrial/agricultural,4.0,4.0,20.0,5.0,1.0,5.0,2015.0
3367,General Macarthur,GENERAL MACARTHUR,Institutional living quarter,,,,,,,2015.0
3368,General Macarthur,GENERAL MACARTHUR,Others,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
3369,General Macarthur,GENERAL MACARTHUR,Not Reported,,,,,,,2015.0
3370,General Mamerto Natividad,GENERAL MAMERTO NATIVIDAD,Single house,8387.0,9048.0,37725.0,4.17,1.08,4.5,2015.0
3371,General Mamerto Natividad,GENERAL MAMERTO NATIVIDAD,Duplex,712.0,753.0,3133.0,4.16,1.06,4.4,2015.0
3372,General Mamerto Natividad,GENERAL MAMERTO NATIVIDAD,Multi-unit residential,204.0,212.0,727.0,3.43,1.04,3.56,2015.0
3373,General Mamerto Natividad,GENERAL MAMERTO NATIVIDAD,Commercial/industrial/agricultural,17.0,17.0,65.0,3.82,1.0,3.82,2015.0
3374,General Mamerto Natividad,GENERAL MAMERTO NATIVIDAD,Institutional living quarter,,,,,,,2015.0
3375,General Mamerto Natividad,GENERAL MAMERTO NATIVIDAD,Others,,,,,,,2015.0
3376,General Mamerto Natividad,GENERAL MAMERTO NATIVIDAD,Not Reported,,,,,,,2015.0
3377,General Nakar,GENERAL NAKAR,Single house,6106.0,6199.0,28640.0,4.62,1.02,4.69,2015.0
3378,General Nakar,GENERAL NAKAR,Duplex,164.0,165.0,694.0,4.21,1.01,4.23,2015.0
3379,General Nakar,GENERAL NAKAR,Multi-unit residential,84.0,84.0,322.0,3.83,1.0,3.83,2015.0
3380,General Nakar,GENERAL NAKAR,Commercial/industrial/agricultural,3.0,3.0,11.0,3.67,1.0,3.67,2015.0
3381,General Nakar,GENERAL NAKAR,Institutional living quarter,,,,,,,2015.0
3382,General Nakar,GENERAL NAKAR,Others,,,,,,,2015.0
3383,General Nakar,GENERAL NAKAR,Not Reported,,,,,,,2015.0
3384,General Santos,GENERAL SANTOS CITY (DADIANGAS),Single house,114754.0,115705.0,497268.0,4.3,1.01,4.33,2015.0
3385,General Santos,GENERAL SANTOS CITY (DADIANGAS),Duplex,12075.0,12174.0,46844.0,3.85,1.01,3.88,2015.0
3386,General Santos,GENERAL SANTOS CITY (DADIANGAS),Multi-unit residential,15592.0,15692.0,45911.0,2.93,1.01,2.94,2015.0
3387,General Santos,GENERAL SANTOS CITY (DADIANGAS),Commercial/industrial/agricultural,277.0,285.0,950.0,3.33,1.03,3.43,2015.0
3388,General Santos,GENERAL SANTOS CITY (DADIANGAS),Institutional living quarter,21.0,21.0,66.0,3.14,1.0,3.14,2015.0
3389,General Santos,GENERAL SANTOS CITY (DADIANGAS),Others,9.0,9.0,28.0,3.11,1.0,3.11,2015.0
3390,General Santos,GENERAL SANTOS CITY (DADIANGAS),Not Reported,440.0,446.0,1772.0,3.97,1.01,4.03,2015.0
3391,General Tinio,GENERAL TINIO (PAPAYA),Single house,9346.0,9985.0,43655.0,4.37,1.07,4.67,2015.0
3392,General Tinio,GENERAL TINIO (PAPAYA),Duplex,624.0,659.0,2836.0,4.3,1.06,4.54,2015.0
3393,General Tinio,GENERAL TINIO (PAPAYA),Multi-unit residential,322.0,336.0,1287.0,3.83,1.04,4.0,2015.0
3394,General Tinio,GENERAL TINIO (PAPAYA),Commercial/industrial/agricultural,4.0,4.0,16.0,4.0,1.0,4.0,2015.0
3395,General Tinio,GENERAL TINIO (PAPAYA),Institutional living quarter,1.0,1.0,6.0,6.0,1.0,6.0,2015.0
3396,General Tinio,GENERAL TINIO (PAPAYA),Others,6.0,6.0,19.0,3.17,1.0,3.17,2015.0
3397,General Tinio,GENERAL TINIO (PAPAYA),Not Reported,2.0,5.0,22.0,4.4,2.5,11.0,2015.0
3398,General Trias,CITY OF GENERAL TRIAS,Single house,30328.0,31386.0,127970.0,4.08,1.03,4.22,2015.0
3399,General Trias,CITY OF GENERAL TRIAS,Duplex,8696.0,9309.0,35177.0,3.78,1.07,4.05,2015.0
3400,General Trias,CITY OF GENERAL TRIAS,Multi-unit residential,37546.0,39311.0,150012.0,3.82,1.05,4.0,2015.0
3401,General Trias,CITY OF GENERAL TRIAS,Commercial/industrial/agricultural,88.0,94.0,313.0,3.33,1.07,3.56,2015.0
3402,General Trias,CITY OF GENERAL TRIAS,Institutional living quarter,13.0,25.0,74.0,2.96,1.92,5.69,2015.0
3403,General Trias,CITY OF GENERAL TRIAS,Others,3.0,3.0,11.0,3.67,1.0,3.67,2015.0
3404,General Trias,CITY OF GENERAL TRIAS,Not Reported,13.0,14.0,47.0,3.36,1.08,3.62,2015.0
3405,Gen. Mariano Alvarez,GEN. MARIANO ALVAREZ,Single house,19066.0,19617.0,91268.0,4.65,1.03,4.79,2015.0
3406,Gen. Mariano Alvarez,GEN. MARIANO ALVAREZ,Duplex,5760.0,5898.0,25414.0,4.31,1.02,4.41,2015.0
3407,Gen. Mariano Alvarez,GEN. MARIANO ALVAREZ,Multi-unit residential,9037.0,9199.0,37822.0,4.11,1.02,4.19,2015.0
3408,Gen. Mariano Alvarez,GEN. MARIANO ALVAREZ,Commercial/industrial/agricultural,46.0,46.0,164.0,3.57,1.0,3.57,2015.0
3409,Gen. Mariano Alvarez,GEN. MARIANO ALVAREZ,Institutional living quarter,,,,,,,2015.0
3410,Gen. Mariano Alvarez,GEN. MARIANO ALVAREZ,Others,,,,,,,2015.0
3411,Gen. Mariano Alvarez,GEN. MARIANO ALVAREZ,Not Reported,5.0,13.0,50.0,3.85,2.6,10.0,2015.0
3412,Gen S.K Pendatun,GEN. S. K. PENDATUN,Single house,4147.0,4266.0,27953.0,6.55,1.03,6.74,2015.0
3413,Gen S.K Pendatun,GEN. S. K. PENDATUN,Duplex,10.0,12.0,75.0,6.25,1.2,7.5,2015.0
3414,Gen S.K Pendatun,GEN. S. K. PENDATUN,Multi-unit residential,,,,,,,2015.0
3415,Gen S.K Pendatun,GEN. S. K. PENDATUN,Commercial/industrial/agricultural,6.0,7.0,53.0,7.57,1.17,8.83,2015.0
3416,Gen S.K Pendatun,GEN. S. K. PENDATUN,Institutional living quarter,,,,,,,2015.0
3417,Gen S.K Pendatun,GEN. S. K. PENDATUN,Others,,,,,,,2015.0
3418,Gen S.K Pendatun,GEN. S. K. PENDATUN,Not Reported,4.0,4.0,22.0,5.5,1.0,5.5,2015.0
3419,Gerona,GERONA,Single house,19452.0,19584.0,80808.0,4.13,1.01,4.15,2015.0
3420,Gerona,GERONA,Duplex,1176.0,1187.0,4602.0,3.88,1.01,3.91,2015.0
3421,Gerona,GERONA,Multi-unit residential,491.0,492.0,1711.0,3.48,1.0,3.48,2015.0
3422,Gerona,GERONA,Commercial/industrial/agricultural,28.0,28.0,105.0,3.75,1.0,3.75,2015.0
3423,Gerona,GERONA,Institutional living quarter,,,,,,,2015.0
3424,Gerona,GERONA,Others,,,,,,,2015.0
3425,Gerona,GERONA,Not Reported,10.0,11.0,56.0,5.09,1.1,5.6,2015.0
3426,Getafe,GETAFE,Single house,6321.0,6385.0,30521.0,4.78,1.01,4.83,2015.0
3427,Getafe,GETAFE,Duplex,70.0,70.0,299.0,4.27,1.0,4.27,2015.0
3428,Getafe,GETAFE,Multi-unit residential,18.0,18.0,63.0,3.5,1.0,3.5,2015.0
3429,Getafe,GETAFE,Commercial/industrial/agricultural,2.0,2.0,7.0,3.5,1.0,3.5,2015.0
3430,Getafe,GETAFE,Institutional living quarter,1.0,1.0,9.0,9.0,1.0,9.0,2015.0
3431,Getafe,GETAFE,Others,,,,,,,2015.0
3432,Getafe,GETAFE,Not Reported,11.0,11.0,56.0,5.09,1.0,5.09,2015.0
3433,Gigaquit,GIGAQUIT,Single house,4351.0,4430.0,20240.0,4.57,1.02,4.65,2015.0
3434,Gigaquit,GIGAQUIT,Duplex,86.0,90.0,357.0,3.97,1.05,4.15,2015.0
3435,Gigaquit,GIGAQUIT,Multi-unit residential,10.0,10.0,45.0,4.5,1.0,4.5,2015.0
3436,Gigaquit,GIGAQUIT,Commercial/industrial/agricultural,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
3437,Gigaquit,GIGAQUIT,Institutional living quarter,,,,,,,2015.0
3438,Gigaquit,GIGAQUIT,Others,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
3439,Gigaquit,GIGAQUIT,Not Reported,,,,,,,2015.0
3440,Gigmoto,,,,,,,,,
3441,Ginatilan,GINATILAN,Single house,3249.0,3261.0,15407.0,4.72,1.0,4.74,2015.0
3442,Ginatilan,GINATILAN,Duplex,72.0,74.0,336.0,4.54,1.03,4.67,2015.0
3443,Ginatilan,GINATILAN,Multi-unit residential,45.0,45.0,176.0,3.91,1.0,3.91,2015.0
3444,Ginatilan,GINATILAN,Commercial/industrial/agricultural,,,,,,,2015.0
3445,Ginatilan,GINATILAN,Institutional living quarter,,,,,,,2015.0
3446,Ginatilan,GINATILAN,Others,,,,,,,2015.0
3447,Ginatilan,GINATILAN,Not Reported,,,,,,,2015.0
3448,Gingoog,GINGOOG CITY,Single house,24404.0,24618.0,116338.0,4.73,1.01,4.77,2015.0
3449,Gingoog,GINGOOG CITY,Duplex,1094.0,1099.0,4660.0,4.24,1.0,4.26,2015.0
3450,Gingoog,GINGOOG CITY,Multi-unit residential,777.0,785.0,3184.0,4.06,1.01,4.1,2015.0
3451,Gingoog,GINGOOG CITY,Commercial/industrial/agricultural,31.0,31.0,123.0,3.97,1.0,3.97,2015.0
3452,Gingoog,GINGOOG CITY,Institutional living quarter,1.0,1.0,7.0,7.0,1.0,7.0,2015.0
3453,Gingoog,GINGOOG CITY,Others,,,,,,,2015.0
3454,Gingoog,GINGOOG CITY,Not Reported,,,,,,,2015.0
3455,Giporlos,GIPORLOS,Single house,3126.0,3141.0,12957.0,4.13,1.0,4.14,2015.0
3456,Giporlos,GIPORLOS,Duplex,74.0,74.0,312.0,4.22,1.0,4.22,2015.0
3457,Giporlos,GIPORLOS,Multi-unit residential,6.0,6.0,21.0,3.5,1.0,3.5,2015.0
3458,Giporlos,GIPORLOS,Commercial/industrial/agricultural,,,,,,,2015.0
3459,Giporlos,GIPORLOS,Institutional living quarter,,,,,,,2015.0
3460,Giporlos,GIPORLOS,Others,3.0,3.0,9.0,3.0,1.0,3.0,2015.0
3461,Giporlos,GIPORLOS,Not Reported,,,,,,,2015.0
3462,Gitagum,GITAGUM,Single house,3733.0,3772.0,15838.0,4.2,1.01,4.24,2015.0
3463,Gitagum,GITAGUM,Duplex,92.0,94.0,413.0,4.39,1.02,4.49,2015.0
3464,Gitagum,GITAGUM,Multi-unit residential,16.0,18.0,65.0,3.61,1.13,4.06,2015.0
3465,Gitagum,GITAGUM,Commercial/industrial/agricultural,11.0,11.0,36.0,3.27,1.0,3.27,2015.0
3466,Gitagum,GITAGUM,Institutional living quarter,,,,,,,2015.0
3467,Gitagum,GITAGUM,Others,,,,,,,2015.0
3468,Gitagum,GITAGUM,Not Reported,,,,,,,2015.0
3469,Glan,GLAN,Single house,26732.0,27111.0,113330.0,4.18,1.01,4.24,2015.0
3470,Glan,GLAN,Duplex,763.0,778.0,3008.0,3.87,1.02,3.94,2015.0
3471,Glan,GLAN,Multi-unit residential,406.0,417.0,1570.0,3.76,1.03,3.87,2015.0
3472,Glan,GLAN,Commercial/industrial/agricultural,11.0,15.0,81.0,5.4,1.36,7.36,2015.0
3473,Glan,GLAN,Institutional living quarter,,,,,,,2015.0
3474,Glan,GLAN,Others,,,,,,,2015.0
3475,Glan,GLAN,Not Reported,43.0,45.0,221.0,4.91,1.05,5.14,2015.0
3476,Gloria,GLORIA,Single house,9994.0,10045.0,43696.0,4.35,1.01,4.37,2015.0
3477,Gloria,GLORIA,Duplex,214.0,215.0,905.0,4.21,1.0,4.23,2015.0
3478,Gloria,GLORIA,Multi-unit residential,82.0,82.0,320.0,3.9,1.0,3.9,2015.0
3479,Gloria,GLORIA,Commercial/industrial/agricultural,22.0,22.0,83.0,3.77,1.0,3.77,2015.0
3480,Gloria,GLORIA,Institutional living quarter,,,,,,,2015.0
3481,Gloria,GLORIA,Others,,,,,,,2015.0
3482,Gloria,GLORIA,Not Reported,2.0,2.0,7.0,3.5,1.0,3.5,2015.0
3483,Goa,,,,,,,,,
3484,Godod,GODOD,Single house,3735.0,3746.0,17189.0,4.59,1.0,4.6,2015.0
3485,Godod,GODOD,Duplex,42.0,42.0,173.0,4.12,1.0,4.12,2015.0
3486,Godod,GODOD,Multi-unit residential,9.0,9.0,40.0,4.44,1.0,4.44,2015.0
3487,Godod,GODOD,Commercial/industrial/agricultural,,,,,,,2015.0
3488,Godod,GODOD,Institutional living quarter,,,,,,,2015.0
3489,Godod,GODOD,Others,,,,,,,2015.0
3490,Godod,GODOD,Not Reported,5.0,5.0,22.0,4.4,1.0,4.4,2015.0
3491,Gonzaga,GONZAGA,Single house,8186.0,8287.0,37551.0,4.53,1.01,4.59,2015.0
3492,Gonzaga,GONZAGA,Duplex,276.0,276.0,1176.0,4.26,1.0,4.26,2015.0
3493,Gonzaga,GONZAGA,Multi-unit residential,26.0,26.0,104.0,4.0,1.0,4.0,2015.0
3494,Gonzaga,GONZAGA,Commercial/industrial/agricultural,4.0,4.0,10.0,2.5,1.0,2.5,2015.0
3495,Gonzaga,GONZAGA,Institutional living quarter,,,,,,,2015.0
3496,Gonzaga,GONZAGA,Others,9.0,9.0,36.0,4.0,1.0,4.0,2015.0
3497,Gonzaga,GONZAGA,Not Reported,1.0,1.0,6.0,6.0,1.0,6.0,2015.0
3498,Governor Generoso,GOVERNOR GENEROSO,Single house,11840.0,12122.0,52645.0,4.34,1.02,4.45,2015.0
3499,Governor Generoso,GOVERNOR GENEROSO,Duplex,425.0,428.0,1722.0,4.02,1.01,4.05,2015.0
3500,Governor Generoso,GOVERNOR GENEROSO,Multi-unit residential,149.0,153.0,548.0,3.58,1.03,3.68,2015.0
3501,Governor Generoso,GOVERNOR GENEROSO,Commercial/industrial/agricultural,9.0,9.0,34.0,3.78,1.0,3.78,2015.0
3502,Governor Generoso,GOVERNOR GENEROSO,Institutional living quarter,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
3503,Governor Generoso,GOVERNOR GENEROSO,Others,,,,,,,2015.0
3504,Governor Generoso,GOVERNOR GENEROSO,Not Reported,24.0,25.0,89.0,3.56,1.04,3.71,2015.0
3505,Gregorio Del Pilar,GREGORIO DEL PILAR (CONCEPCION),Single house,872.0,875.0,4695.0,5.37,1.0,5.38,2015.0
3506,Gregorio Del Pilar,GREGORIO DEL PILAR (CONCEPCION),Duplex,26.0,26.0,108.0,4.15,1.0,4.15,2015.0
3507,Gregorio Del Pilar,GREGORIO DEL PILAR (CONCEPCION),Multi-unit residential,6.0,6.0,29.0,4.83,1.0,4.83,2015.0
3508,Gregorio Del Pilar,GREGORIO DEL PILAR (CONCEPCION),Commercial/industrial/agricultural,,,,,,,2015.0
3509,Gregorio Del Pilar,GREGORIO DEL PILAR (CONCEPCION),Institutional living quarter,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
3510,Gregorio Del Pilar,GREGORIO DEL PILAR (CONCEPCION),Others,,,,,,,2015.0
3511,Gregorio Del Pilar,GREGORIO DEL PILAR (CONCEPCION),Not Reported,,,,,,,2015.0
3512,Guagua,GUAGUA,Single house,21316.0,22575.0,101219.0,4.48,1.06,4.75,2015.0
3513,Guagua,GUAGUA,Duplex,2109.0,2185.0,9416.0,4.31,1.04,4.46,2015.0
3514,Guagua,GUAGUA,Multi-unit residential,1531.0,1568.0,6134.0,3.91,1.02,4.01,2015.0
3515,Guagua,GUAGUA,Commercial/industrial/agricultural,7.0,7.0,30.0,4.29,1.0,4.29,2015.0
3516,Guagua,GUAGUA,Institutional living quarter,,,,,,,2015.0
3517,Guagua,GUAGUA,Others,,,,,,,2015.0
3518,Guagua,GUAGUA,Not Reported,1.0,1.0,8.0,8.0,1.0,8.0,2015.0
3519,Gubat,,,,,,,,,
3520,Guiguinto (BU),GUIGUINTO,Single house,15378.0,15596.0,70016.0,4.49,1.01,4.55,2015.0
3521,Guiguinto (BU),GUIGUINTO,Duplex,2858.0,2897.0,11851.0,4.09,1.01,4.15,2015.0
3522,Guiguinto (BU),GUIGUINTO,Multi-unit residential,4503.0,4539.0,17486.0,3.85,1.01,3.88,2015.0
3523,Guiguinto (BU),GUIGUINTO,Commercial/industrial/agricultural,24.0,24.0,94.0,3.92,1.0,3.92,2015.0
3524,Guiguinto (BU),GUIGUINTO,Institutional living quarter,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
3525,Guiguinto (BU),GUIGUINTO,Others,,,,,,,2015.0
3526,Guiguinto (BU),GUIGUINTO,Not Reported,5.0,5.0,28.0,5.6,1.0,5.6,2015.0
3527,Guihulngan,CITY OF GUIHULNGAN,Single house,21819.0,21986.0,93743.0,4.26,1.01,4.3,2015.0
3528,Guihulngan,CITY OF GUIHULNGAN,Duplex,340.0,342.0,1290.0,3.77,1.01,3.79,2015.0
3529,Guihulngan,CITY OF GUIHULNGAN,Multi-unit residential,133.0,133.0,405.0,3.05,1.0,3.05,2015.0
3530,Guihulngan,CITY OF GUIHULNGAN,Commercial/industrial/agricultural,15.0,15.0,64.0,4.27,1.0,4.27,2015.0
3531,Guihulngan,CITY OF GUIHULNGAN,Institutional living quarter,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
3532,Guihulngan,CITY OF GUIHULNGAN,Others,1.0,1.0,9.0,9.0,1.0,9.0,2015.0
3533,Guihulngan,CITY OF GUIHULNGAN,Not Reported,15.0,16.0,75.0,4.69,1.07,5.0,2015.0
3534,Guimba,GUIMBA,Single house,26485.0,26857.0,111511.0,4.15,1.01,4.21,2015.0
3535,Guimba,GUIMBA,Duplex,1316.0,1325.0,5094.0,3.84,1.01,3.87,2015.0
3536,Guimba,GUIMBA,Multi-unit residential,507.0,507.0,1824.0,3.6,1.0,3.6,2015.0
3537,Guimba,GUIMBA,Commercial/industrial/agricultural,8.0,8.0,31.0,3.88,1.0,3.88,2015.0
3538,Guimba,GUIMBA,Institutional living quarter,5.0,5.0,19.0,3.8,1.0,3.8,2015.0
3539,Guimba,GUIMBA,Others,,,,,,,2015.0
3540,Guimba,GUIMBA,Not Reported,4.0,5.0,20.0,4.0,1.25,5.0,2015.0
3541,Guimbal,GUIMBAL,Single house,7079.0,7102.0,32207.0,4.53,1.0,4.55,2015.0
3542,Guimbal,GUIMBAL,Duplex,288.0,289.0,1221.0,4.22,1.0,4.24,2015.0
3543,Guimbal,GUIMBAL,Multi-unit residential,77.0,77.0,317.0,4.12,1.0,4.12,2015.0
3544,Guimbal,GUIMBAL,Commercial/industrial/agricultural,2.0,2.0,10.0,5.0,1.0,5.0,2015.0
3545,Guimbal,GUIMBAL,Institutional living quarter,,,,,,,2015.0
3546,Guimbal,GUIMBAL,Others,,,,,,,2015.0
3547,Guimbal,GUIMBAL,Not Reported,,,,,,,2015.0
3548,Guinayangan,GUINAYANGAN,Single house,9682.0,9790.0,42948.0,4.39,1.01,4.44,2015.0
3549,Guinayangan,GUINAYANGAN,Duplex,370.0,373.0,1596.0,4.28,1.01,4.31,2015.0
3550,Guinayangan,GUINAYANGAN,Multi-unit residential,126.0,128.0,547.0,4.27,1.02,4.34,2015.0
3551,Guinayangan,GUINAYANGAN,Commercial/industrial/agricultural,4.0,4.0,13.0,3.25,1.0,3.25,2015.0
3552,Guinayangan,GUINAYANGAN,Institutional living quarter,2.0,2.0,13.0,6.5,1.0,6.5,2015.0
3553,Guinayangan,GUINAYANGAN,Others,,,,,,,2015.0
3554,Guinayangan,GUINAYANGAN,Not Reported,5.0,7.0,27.0,3.86,1.4,5.4,2015.0
3555,Guindulman,GUINDULMAN,Single house,7049.0,7065.0,31624.0,4.48,1.0,4.49,2015.0
3556,Guindulman,GUINDULMAN,Duplex,112.0,112.0,442.0,3.95,1.0,3.95,2015.0
3557,Guindulman,GUINDULMAN,Multi-unit residential,39.0,39.0,207.0,5.31,1.0,5.31,2015.0
3558,Guindulman,GUINDULMAN,Commercial/industrial/agricultural,12.0,12.0,46.0,3.83,1.0,3.83,2015.0
3559,Guindulman,GUINDULMAN,Institutional living quarter,3.0,3.0,8.0,2.67,1.0,2.67,2015.0
3560,Guindulman,GUINDULMAN,Others,,,,,,,2015.0
3561,Guindulman,GUINDULMAN,Not Reported,3.0,3.0,11.0,3.67,1.0,3.67,2015.0
3562,Guindulungan,GUINDULUNGAN,Single house,2704.0,2714.0,18073.0,6.66,1.0,6.68,2015.0
3563,Guindulungan,GUINDULUNGAN,Duplex,160.0,161.0,1010.0,6.27,1.01,6.31,2015.0
3564,Guindulungan,GUINDULUNGAN,Multi-unit residential,88.0,88.0,523.0,5.94,1.0,5.94,2015.0
3565,Guindulungan,GUINDULUNGAN,Commercial/industrial/agricultural,5.0,5.0,35.0,7.0,1.0,7.0,2015.0
3566,Guindulungan,GUINDULUNGAN,Institutional living quarter,,,,,,,2015.0
3567,Guindulungan,GUINDULUNGAN,Others,,,,,,,2015.0
3568,Guindulungan,GUINDULUNGAN,Not Reported,35.0,35.0,252.0,7.2,1.0,7.2,2015.0
3569,Guinobatan,,,,,,,,,
3570,Guinsiliban,GUINSILIBAN,Single house,1403.0,1410.0,6041.0,4.28,1.0,4.31,2015.0
3571,Guinsiliban,GUINSILIBAN,Duplex,43.0,43.0,193.0,4.49,1.0,4.49,2015.0
3572,Guinsiliban,GUINSILIBAN,Multi-unit residential,3.0,3.0,17.0,5.67,1.0,5.67,2015.0
3573,Guinsiliban,GUINSILIBAN,Commercial/industrial/agricultural,,,,,,,2015.0
3574,Guinsiliban,GUINSILIBAN,Institutional living quarter,,,,,,,2015.0
3575,Guinsiliban,GUINSILIBAN,Others,,,,,,,2015.0
3576,Guinsiliban,GUINSILIBAN,Not Reported,3.0,3.0,19.0,6.33,1.0,6.33,2015.0
3577,Guipos,GUIPOS,Single house,4193.0,4198.0,20135.0,4.8,1.0,4.8,2015.0
3578,Guipos,GUIPOS,Duplex,97.0,97.0,463.0,4.77,1.0,4.77,2015.0
3579,Guipos,GUIPOS,Multi-unit residential,8.0,8.0,40.0,5.0,1.0,5.0,2015.0
3580,Guipos,GUIPOS,Commercial/industrial/agricultural,3.0,3.0,16.0,5.33,1.0,5.33,2015.0
3581,Guipos,GUIPOS,Institutional living quarter,,,,,,,2015.0
3582,Guipos,GUIPOS,Others,,,,,,,2015.0
3583,Guipos,GUIPOS,Not Reported,1.0,1.0,8.0,8.0,1.0,8.0,2015.0
3584,Guiuan,GUIUAN,Single house,12047.0,12100.0,51380.0,4.25,1.0,4.26,2015.0
3585,Guiuan,GUIUAN,Duplex,220.0,220.0,893.0,4.06,1.0,4.06,2015.0
3586,Guiuan,GUIUAN,Multi-unit residential,102.0,103.0,382.0,3.71,1.01,3.75,2015.0
3587,Guiuan,GUIUAN,Commercial/industrial/agricultural,20.0,20.0,103.0,5.15,1.0,5.15,2015.0
3588,Guiuan,GUIUAN,Institutional living quarter,2.0,2.0,8.0,4.0,1.0,4.0,2015.0
3589,Guiuan,GUIUAN,Others,3.0,3.0,3.0,1.0,1.0,1.0,2015.0
3590,Guiuan,GUIUAN,Not Reported,,,,,,,2015.0
3591,Gumaca,GUMACA,Single house,15095.0,16074.0,64480.0,4.01,1.06,4.27,2015.0
