,name,city,bldg_type,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
57,Agno,AGNO,Duplex,141.0,142.0,583.0,4.11,1.01,4.13,2015.0
58,Agno,AGNO,Multi-unit residential,38.0,40.0,153.0,3.83,1.05,4.03,2015.0
59,Agno,AGNO,Commercial/industrial/agricultural,18.0,18.0,94.0,5.22,1.0,5.22,2015.0
60,Agno,AGNO,Institutional living quarter,,,,,,,2015.0
61,Agno,AGNO,Others,,,,,,,2015.0
62,Agno,AGNO,Not Reported,3.0,3.0,10.0,3.33,1.0,3.33,2015.0
63,Agoncillo,AGONCILLO,Single house,7659.0,7679.0,37304.0,4.86,1.0,4.87,2015.0
64,Agoncillo,AGONCILLO,Duplex,112.0,112.0,512.0,4.57,1.0,4.57,2015.0
65,Agoncillo,AGONCILLO,Multi-unit residential,34.0,34.0,190.0,5.59,1.0,5.59,2015.0
66,Agoncillo,AGONCILLO,Commercial/industrial/agricultural,,,,,,,2015.0
67,Agoncillo,AGONCILLO,Institutional living quarter,,,,,,,2015.0
68,Agoncillo,AGONCILLO,Others,,,,,,,2015.0
69,Agoncillo,AGONCILLO,Not Reported,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
70,Agoo,AGOO,Single house,11882.0,12285.0,56600.0,4.61,1.03,4.76,2015.0
71,Agoo,AGOO,Duplex,972.0,996.0,4478.0,4.5,1.02,4.61,2015.0
72,Agoo,AGOO,Multi-unit residential,524.0,543.0,2167.0,3.99,1.04,4.14,2015.0
73,Agoo,AGOO,Commercial/industrial/agricultural,24.0,24.0,93.0,3.88,1.0,3.88,2015.0
74,Agoo,AGOO,Institutional living quarter,,,,,,,2015.0
75,Agoo,AGOO,Others,,,,,,,2015.0
76,Agoo,AGOO,Not Reported,2.0,2.0,8.0,4.0,1.0,4.0,2015.0
77,Aguilar,AGUILAR,Single house,8275.0,8455.0,40095.0,4.74,1.02,4.85,2015.0
