,name,Ambulatory Surgical Clinic,Animal Bite Treatment Center,Barangay Health Station,Birthing Home,City Health Office,DepEd Clinic,Drug Abuse Treatment and Rehabilitation Centers,General Clinic Laboratory,Hospital,Infirmary,Municipal Health Office,Provincial Health Office,Psychiatric Care Facility,Rural Health Unit,Social hygiene Clinic,year
0,Aborlan,0,0,18,0,0,0,0,0,0,1,0,0,0,1,0,2019
1,Abra De Ilog,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,2019
2,Abucay,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,2019
3,Abulug,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,2019
4,Abuyog,0,0,17,0,0,0,0,0,1,0,0,0,0,2,0,2019
5,Adams,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2019
6,Agdangan,0,0,12,2,0,0,0,0,0,0,0,0,0,1,0,2019
7,Aglipay,0,0,15,3,0,0,0,0,0,1,0,0,0,1,0,2019
8,Agno,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,2019
9,Agoncillo,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
10,Agoo,0,0,14,0,0,0,0,0,2,1,0,0,0,1,0,2019
11,Aguilar,0,0,16,1,0,0,0,0,0,1,0,0,0,1,0,2019
12,Aguinaldo,0,0,22,0,0,0,0,0,0,1,0,0,0,1,0,2019
13,Agutaya,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2019
14,Ajuy,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,2019
15,Akbar,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,2019
16,Alabat,0,0,19,0,0,0,0,0,1,0,0,0,0,1,0,2019
17,Alabel,0,0,13,3,0,0,0,0,0,0,0,0,0,1,0,2019
18,Alamada,0,0,17,0,0,0,0,0,0,1,0,0,0,1,0,2019
19,Alaminos (LA),0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,2019
20,Alaminos (PS),0,0,13,3,0,0,0,0,3,0,0,0,0,2,0,2019
21,Alang-Alang,0,0,7,1,0,0,0,0,0,0,1,0,0,1,0,2019
22,Al-Barka,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
23,Albuera,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,2019
24,Alburquerque,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2019
25,Alcala (CG),0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,2019
26,Alcala (PS),0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2019
27,Alcantara (CU),0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,2019
28,Alcantara (RN),0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,2019
29,Alcoy,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,2019
30,Alegria (CU),0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,2019
31,Alegria (SN),0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2019
32,Aleosan,0,0,19,0,0,0,0,0,0,1,0,0,0,1,0,2019
