,name,Elementary_school,Secondary_school,Enrollment_Elementary_Male,Enrollment_Elementary_Female,Enrollment_Secondary_Male,Enrollment_Secondary_Female,year
0,Aborlan,310,120,3.217,2.983,1.779,1.663,2018
1,Abra De Ilog,260,40,3.454,3.208,1.050,1.021,2018
2,Abucay,120,20,2.743,2.623,1.021,1.002,2018
3,Abulug,250,30,2.584,2.461,853,883,2018
4,Abuyog,580,50,5.082,4.474,1.702,1.677,2018
5,Adams,20,10,154,129,85,71,2018
6,Agdangan,60,20,914,941,534,532,2018
7,Aglipay,290,60,2.296,1.988,884,885,2018
8,Agno,180,40,2.223,2.036,971,878,2018
9,Agoncillo,130,30,2.452,2.181,967,899,2018
10,Agoo,180,60,4.460,4.085,2.046,2.056,2018
11,Aguilar,170,60,3.439,3.217,1.545,1.304,2018
12,Aguinaldo,250,40,1.764,1.533,500,627,2018
13,Agutaya,80,20,1.041,931,603,541,2018
14,Ajuy,270,70,4.241,3.820,2.186,2.237,2018
15,Akbar,60,10,820,781,119,111,2018
16,Alabat,50,20,1.207,1.155,849,829,2018
17,Alabel,420,200,7.472,6.924,3.220,3.479,2018
18,Alamada,380,70,5.702,5.200,2.061,2.127,2018
19,Alaminos (LA),120,30,3.325,2.906,1.130,1.167,2018
20,Alaminos (PS),370,90,6.932,6.448,2.827,3.015,2018
21,Alang-Alang,480,70,5.047,4.482,1.971,2.269,2018
22,Al-Barka,110,0,1.078,1.072,0,0,2018
23,Albuera,200,40,3.712,3.538,1.515,1.756,2018
24,Alburquerque,70,10,672,591,454,472,2018
25,Alcala (CG),260,30,2.969,2.681,819,782,2018
26,Alcala (PS),160,70,3.134,2.924,1.622,1.536,2018
27,Alcantara (CU),90,20,1.384,1.243,479,540,2018
28,Alcantara (RN),130,30,1.394,1.254,702,682,2018
29,Alcoy,80,30,1.389,1.264,759,771,2018
30,Alegria (CU),200,40,2.169,1.937,684,627,2018
31,Alegria (SN),90,10,1.278,1.196,766,688,2018
32,Aleosan,250,80,3.564,3.241,1.480,1.437,2018
33,Alfonso,180,60,3.593,3.153,1.862,1.708,2018
34,Alfonso Castaneda,110,30,823,706,322,360,2018
35,Alfonso Lista,270,50,2.824,2.473,1.292,1.396,2018
36,Aliaga,230,50,4.512,4.168,1.827,1.914,2018
