,name,city,Electricity_count,Kerosene (Gaas)_count,Liquified Petroleum Gas (LPG)_count,Oil (vegetable animal and others)_count,Solar panel_count,Solar lamp_count,Others_count,None_count,Not Reported_count,year
0,Aborlan,ABORLAN,5606.0,1436.0,,,669.0,472.0,111.0,,,2015.0
1,Abra De Ilog,ABRA DE ILOG,4773.0,1333.0,30.0,18.0,20.0,550.0,578.0,27.0,,2015.0
2,Abucay,ABUCAY,9256.0,165.0,4.0,,1.0,1.0,19.0,7.0,,2015.0
3,Abulug,ABULUG,6729.0,643.0,3.0,1.0,8.0,18.0,3.0,,,2015.0
4,Abuyog,ABUYOG,11369.0,2062.0,7.0,,12.0,43.0,10.0,5.0,,2015.0
5,Adams,ADAMS,366.0,44.0,,,1.0,,,,,2015.0
6,Agdangan,AGDANGAN,2733.0,256.0,,,33.0,135.0,10.0,4.0,,2015.0
7,Aglipay,AGLIPAY,5690.0,754.0,1.0,,44.0,54.0,29.0,5.0,,2015.0
8,Agno,AGNO,5730.0,838.0,2.0,1.0,3.0,2.0,43.0,5.0,,2015.0
9,Agoncillo,AGONCILLO,7687.0,82.0,2.0,,1.0,1.0,15.0,38.0,,2015.0
10,Agoo,AGOO,13494.0,309.0,,1.0,1.0,7.0,27.0,11.0,,2015.0
11,Aguilar,AGUILAR,8190.0,506.0,12.0,,8.0,18.0,33.0,10.0,,2015.0
12,Aguinaldo,AGUINALDO,3579.0,673.0,,,350.0,41.0,15.0,3.0,,2015.0
13,Agutaya,AGUTAYA,1407.0,321.0,,,863.0,445.0,9.0,,,2015.0
14,Ajuy,AJUY,10457.0,945.0,16.0,4.0,419.0,156.0,179.0,45.0,,2015.0
15,Akbar,AKBAR,1400.0,1194.0,52.0,1.0,130.0,42.0,,1.0,,2015.0
16,Alabat,ALABAT,3074.0,319.0,1.0,,16.0,115.0,21.0,20.0,,2015.0
17,Alabel,ALABEL (Capital),14208.0,3118.0,121.0,6.0,179.0,251.0,18.0,28.0,,2015.0
18,Alamada,ALAMADA,7468.0,3462.0,23.0,3.0,1172.0,2846.0,14.0,5.0,,2015.0
19,Alaminos (LA),ALAMINOS,10516.0,489.0,62.0,,11.0,9.0,63.0,4.0,,2015.0
