PCODE,Region,Province,Municipality_City,Prelim_2012,Pov_2012,SE_2012,CoV_2012,Con_90lower_2012,Con_90upper_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH133901000,NCR,1st district,Tondo,FALSE,3.14,0.64,20.38216561,2.0872,4.1928,2.9,0.8,27.5,4.1,0.5,12.6
PH133902000,NCR,1st district,Binondo,FALSE,1.48,0.62,41.89189189,0.4601,2.4999,1.0,0.7,68.0,1.8,0.3,18.1
PH133903000,NCR,1st district,Quiapo,FALSE,2.1,0.59,28.0952381,1.12945,3.07055,2.1,0.9,42.4,5.3,0.4,7.9
PH133904000,NCR,1st district,San Nicolas,FALSE,2.95,1.58,53.55932203,0.3509,5.5491,2.4,1.4,57.0,4.9,0.5,9.6
PH133905000,NCR,1st district,Santa Cruz,FALSE,1.49,0.29,19.46308725,1.01295,1.96705,1.7,0.5,32.5,4.3,0.6,14.3
PH133906000,NCR,1st district,Sampaloc,FALSE,0.77,0.19,24.67532468,0.45745,1.08255,1.3,0.3,23.6,5.8,0.7,11.9
PH133907000,NCR,1st district,San Miguel,FALSE,1.19,0.87,73.1092437,-0.24115,2.62115,1.4,0.9,67.4,3.1,1.5,47.2
PH133908000,NCR,1st district,Ermita,FALSE,0.9,0.43,47.77777778,0.19265,1.60735,1.5,1.0,68.7,4.4,2.5,56.4
PH133909000,NCR,1st district,Intramuros,FALSE,2.48,1.23,49.59677419,0.45665,4.50335,2.5,1.2,48.0,3.0,0.6,20.9
PH133910000,NCR,1st district,Malate,FALSE,1.31,0.35,26.71755725,0.73425,1.88575,1.8,0.5,29.1,6.4,0.6,8.9
PH133911000,NCR,1st district,Paco,FALSE,0.9,0.28,31.11111111,0.4394,1.3606,1.8,0.6,31.3,6.0,0.4,5.8
PH133912000,NCR,1st district,Pandacan,FALSE,1.56,0.4,25.64102564,0.902,2.218,1.9,0.6,33.0,6.0,0.5,7.8
PH133913000,NCR,1st district,Port Area,FALSE,10.03,4.53,45.16450648,2.57815,17.48185,11.9,6.8,57.5,13.2,2.0,15.2
PH133914000,NCR,1st district,Santa Ana,FALSE,1.27,0.35,27.55905512,0.69425,1.84575,2.2,0.6,29.0,4.7,0.8,17.8
