city_municipality,Presence of Investment Promotion Unit,Active Establishments in the Locality,Productivity,Employment Generation,Poverty Incidents,Cluster_Id,Vulnerability
Aborlan,0.66668,0.13800842076788752,0.035462394262787765,0.05745359057319163,0.14184513688554343,0,medium
Abra De Ilog,0.0,0.03982457151015266,0.009151585616203295,0.015744493570538094,0.2326563883104395,1,high
Abucay,1.0,0.4340627825603432,0.38540654879147057,0.43394034033886564,0.0395710346496507,2,low
Abulug,0.5,0.25147087922134137,0.27725144605452257,0.34849653897360633,0.16044042820116028,0,medium
Abuyog,1.0,0.12014163187234735,0.04014218236198264,0.05883468650043182,0.33085481025797786,0,medium
Adams,0.79976,0.053266408015675885,0.026206813355491253,0.03857861290090912,0.04364671493800509,0,medium
Agdangan,1.0,0.10653281603135177,0.09900351712074473,0.1489742140183078,0.15037859248928542,0,medium
Aglipay,1.0,0.17599621958784445,0.10087543236042268,0.15330164792366038,0.11981099032662756,0,medium
Agno,1.0,0.4756406370929554,0.19384722259776072,0.22999850841639857,0.12082991039871616,0,medium
Agoncillo,0.75,0.18576451071297626,0.04783783390288086,0.10514743659388597,0.13127384113762428,0,medium
Agoo,1.0,0.5185543263093463,0.1451774263661341,0.27787650056072494,0.013588572811391527,0,medium
Aguilar,0.79948,0.1805046616455976,0.09588365838794816,0.09732122633952493,0.17865362448974392,0,medium
Aguinaldo,1.0,0.09935270460604123,0.012063453766813432,0.027713991606619682,0.28640442211311284,0,medium
Agutaya,0.0,0.0023377106966127347,0.0,0.0,0.1659171235886365,1,high
Ajuy,1.0,0.04116040619393137,0.010815510273694802,0.01933534298136257,0.2664081156983742,0,medium
Akbar,0.79988,0.0,0.0,0.0,0.8651510230594348,0,medium
Al-Barka,0.0,0.0,0.0,0.0,0.9089645861592444,1,high
Alabat,1.0,0.2836978909675026,0.11543477311347337,0.10652853252112615,0.1688465187958912,0,medium
Alabel,1.0,0.22700840657464377,0.15630492251310854,0.24334910237972032,0.3439734061861185,0,medium
Alamada,1.0,0.07280299026593946,0.017367213612567614,0.036829224726404895,0.5362945697928407,0,medium
Alaminos (LA),1.0,0.29956092783737476,0.478586329610995,0.40374037606321367,0.004927752198638471,2,low
Alaminos (PS),1.0,0.22433673720708638,0.10274734760010062,0.10035963737945333,0.07077546185736393,0,medium
Alang-Alang,0.75,0.07088272790800758,0.0280787285951692,0.04180117006446956,0.36753593285316727,0,medium
Albuera,0.5,0.22041272282348645,0.28765097516384447,0.2954624553675833,0.3185004043839036,1,high
Alburquerque,1.0,0.2669999574202688,0.10337131934665994,0.1378333735385703,0.10452718924529864,0,medium
Alcala (CG),0.26668,0.2594023976562774,0.10929905093897344,0.1753071096976873,0.12796235090333632,1,high
Alcala (PS),1.0,0.32936673921918713,0.14496943578394764,0.240678983587056,0.15878468308401633,0,medium
Alcantara (CU),0.26668,0.1921097254609251,0.0793484071041263,0.1271528983679129,0.2414445739322036,1,high
