city_municipality,Cluster_Id
Aborlan,0
Abra De Ilog,1
Abucay,2
Abulug,0
Abuyog,0
Adams,0
Agdangan,0
Aglipay,0
Agno,2
Agoncillo,0
Agoo,2
Aguilar,0
Aguinaldo,0
Agutaya,1
Ajuy,0
Akbar,0
Al-Barka,1
Alabat,0
Alabel,0
Alamada,0
Alaminos (LA),2
Alaminos (PS),0
Alang-Alang,0
Albuera,0
Alburquerque,0
Alcala (CG),1
Alcala (PS),0
Alcantara (CU),1
Alcantara (RN),0
Alcoy,0
Alegria (CU),0
Alegria (SN),0
Aleosan,0
Alfonso,0
Alfonso Castaneda,1
Alfonso Lista,2
Aliaga,1
Alicia (BL),0
Alicia (IA),0
Alicia (ZS),1
Alilem,0
Alimodian,0
Alitagtag,2
Allacapan,2
Allen,1
Almagro,1
Almeria,0
Aloguinsan,0
Aloran,0
Altavas,1
Alubijid,2
Amadeo,2
Amai Manabilang,0
Ambaguio,0
Amlan,1
Ampatuan,0
Amulung,1
Anahawan,1
Anao,0
Anda (BL),1
Anda (PS),1
Angadanan,0
Angat,0
Angeles,2
Angono,2
Anilao,0
Anini-Y,1
Antequera,0
Antipas,0
Antipolo,2
Apalit,0
Aparri,0
Araceli,1
Arakan,0
Arayat,0
Argao,0
Aringay,0
Aritao,0
Aroroy,1
Arteche,1
Asingan,0
Asipulo,0
Asturias,1
Asuncion,0
Atimonan,0
Atok,1
Aurora (IA),2
Aurora (ZR),1
Ayungon,1
Baao,0
Babatngon,0
Bacacay,0
Bacarra,2
Baclayon,0
Bacnotan,0
Baco,0
Bacolod (LN),0
Bacolod (NO),2
Bacolod-Kalawi,1
Bacolor,2
Bacong,1
Bacoor,2
Bacuag,0
Bacungan Leon B. Postigo,1
Badian,0
Badiangan,0
Badoc,0
Bagabag,0
Bagac,0
Bagamanoc,1
Baganga,0
Baggao,0
Bago,0
Baguio,0
Bagulin,0
Bagumbayan,0
Bais,0
Bakun,1
Balabac,1
Balabagan,0
Balagtas,2
Balamban,0
Balanga,2
Balangiga,1
Balangkayan,1
Balaoan,0
Balasan,2
Balatan,1
Balayan,1
Balbalan,0
Baleno,1
Baler,2
Balete (AK),0
Balete (BS),1
Baliangao,1
Baliguian,1
Balilihan,0
Balindong,1
Balingasag,0
Balingoan,0
Baliwag,2
Ballesteros,0
Baloi,2
Balud,1
Balungao,0
Bamban,0
Bambang,0
Banate,0
Banaue,0
Banaybanay,1
Banayoyo,0
Banga (AK),0
Banga (SC),0
Bangar,2
Bangued,2
Bangui,0
Bani,0
Banisilan,0
Banna,0
Bansalan,0
Bansud,1
Bantay,2
Bantayan Island,0
Banton,1
Baras (CT),0
Baras (RL),2
Barbaza,1
Barcelona,0
Barili,0
Barira,0
Barlig,0
Barobo,0
