city_municipality,Presence of Investment Promotion Unit,Active Establishments in the Locality,Productivity,Cost of Doing Business,Poverty Incidents,Cluster_Id,Budget for DRRMP,Early Warning System,Land Use Plan,Annual Disaster Drill,Availability of Basic Utilities,Utilities,Transportation Vehicles,Sanitary System,Social Protection,Hospital,Health,Cost of Living,Population,Financial Deepening,Employed Population
Aborlan,0.66668,0.13800842076788752,0.035462394262787765,0.8563073256342051,0.14184513688554343,0,0.05891411691849017,0.50148,0.96924,0.547279312300912,0.84188,0.852314516380943,0.006790567199687145,0.5057389897355514,0.00100662141184405,0.1111111111111111,0.11350295719714454,0.7376365601704313,0.054114358212714875,0.1128275068145613,0.007804044286032289
Abra De Ilog,0.0,0.03982457151015266,0.009151585616203295,0.8805709473388916,0.2326563883104395,1,0.05891411691849017,0.50732,0.9589600000000001,0.556355543919361,0.81952,0.8525416942356459,0.13206482415943274,0.9481721191282804,0.0002876061176697286,0.0,0.04590193121943345,0.781363800142026,0.047527637341308965,0.04060323762701109,0.08085501620938372
Abucay,1.0,0.4340627825603432,0.38540654879147057,0.738099937842144,0.0395710346496507,2,0.006576459562994252,0.5119600000000001,0.94872,0.5598027665052144,0.885,0.8571988402570516,0.11309806749823763,0.948121555342064,0.6220201309902055,0.0,0.3513584189705724,0.5481751748215055,0.06784989000611166,0.3111692815884936,0.3711398766193389
Abulug,0.5,0.25147087922134137,0.27725144605452257,0.7448304063336537,0.16044042820116028,0,0.006850478711452346,0.501,0.5384800000000001,0.5454466116856481,0.75624,0.8519169551352133,0.0433191355842111,0.7586084846033271,0.45218871850623077,0.1111111111111111,0.23521262330927867,0.6210072657181935,0.04960023563928636,0.6415861476051414,0.02008581890011589
Abuyog,1.0,0.12014163187234735,0.04014218236198264,0.6659312168743592,0.33085481025797786,0,0.06466851903611014,0.50072,0.96364,0.0,0.30672000000000005,0.8541319392185648,0.06088094730753992,0.9482226829144966,0.05601129141617964,0.1111111111111111,0.5359398211772032,0.35031815939803324,0.09671486730968099,0.46991602553879436,0.012153839461853565
Adams,0.79976,0.053266408015675885,0.026206813355491253,0.6215327482538959,0.04364671493800509,0,0.012330861680614221,0.5038,0.9846,0.5530828642492472,0.49500000000000005,0.8486796707056994,0.0,0.7774687768620115,0.08736035824218005,0.0,0.07650321869905574,0.47527312034086255,0.0,0.00852393024675402,0.062432354288258315
Agdangan,1.0,0.10653281603135177,0.09900351712074473,0.6982827124806075,0.15037859248928542,0,0.008494593602200909,0.50756,0.9461600000000001,0.5492865558319151,0.545,0.8537343779728351,0.029972158674481195,0.5343580927339839,0.14265263436418538,0.0,0.08832644340709164,0.5756008997316896,0.015260536047356936,0.1884430170680244,0.09019428232217645
Aglipay,1.0,0.17599621958784445,0.10087543236042268,0.8091940461936373,0.11981099032662756,0,0.006850478711452346,0.502,0.96,0.5454466116856481,0.83596,0.8531664333360782,0.05549532504571908,0.9480709915558477,0.34915382685105045,0.0,0.24439300955316534,0.9990205098246363,0.046497428951382334,0.0789150961554324,0.031216177144129158
Agno,1.0,0.4756406370929554,0.19384722259776072,0.849972767053961,0.12082991039871616,2,0.017537225501318005,0.50596,0.9897600000000001,0.5598027665052144,0.6667200000000001,0.8313573592846167,0.01241034695115237,0.948121555342064,0.3741036575588994,0.0,0.0346350935564816,0.5627276002840521,0.044109851399052366,0.07809019967994008,0.015608088572064579
Agoncillo,0.75,0.18576451071297626,0.04783783390288086,0.6768470187135303,0.13127384113762428,0,0.005480382969161876,0.505,0.96924,0.5598027665052144,0.8900000000000001,0.724526973110661,0.0011707874482219216,0.948121555342064,0.015890238001252506,0.0,0.0,0.6283534420334216,0.0610926278809679,0.24151135699136397,0.02008581890011589
Agoo,1.0,0.5185543263093463,0.1451774263661341,0.8414324246823812,0.013588572811391527,2,0.06055823180923874,0.6644800000000001,0.9897600000000001,0.5545228433040973,0.8302,0.8879814395692706,0.13393808407658783,0.9485260656317945,0.20707640472220457,0.2222222222222222,0.7418030278582988,0.7376365601704313,0.10388630105104525,0.5089611253787644,0.5960498742397449
Aguilar,0.79948,0.1805046616455976,0.09588365838794816,0.802293902025871,0.17865362448974392,0,0.007398517008368534,0.504,0.97144,0.549024741458306,0.39404,0.8520305440625646,0.013815291889018675,0.948121555342064,0.20779542001637888,0.0,0.11419844100349959,0.5627276002840521,0.07153218891334942,0.19357570624886553,0.029680955317368706
Aguinaldo,1.0,0.09935270460604123,0.012063453766813432,0.8602664247468581,0.28640442211311284,0,0.052611676503954014,0.50292,0.4,0.5490683771872409,0.8046,0.7238454395465529,0.006322252220398377,0.9480709915558477,0.04033675800317943,0.0,0.13450656814906709,0.4428799809699051,0.02682253696403352,0.009257171558302755,0.034542491102110134
Agutaya,0.0,0.0023377106966127347,0.0,0.0,0.1659171235886365,1,0.0,0.41516000000000003,0.0,0.0,0.0,0.5654456803550789,0.0018732599171550747,0.7585073570308944,0.0,0.0,0.004311999599401324,0.9631991548399059,0.01487942855175908,0.015398067542523394,0.0
Ajuy,1.0,0.04116040619393137,0.010815510273694802,0.742454946866062,0.2664081156983742,0,0.05891411691849017,0.50072,0.9,0.547279312300912,0.5837600000000001,0.8548134727826731,0.035357780936302034,0.5077615411842039,0.12582767648050625,0.0,0.04284180247147122,0.8032624019198009,0.08608388242106309,0.08478102664782226,0.05130199604424505
Akbar,0.79988,0.0,0.0,0.5367514686843745,0.8651510230594348,0,0.0046583255237875945,0.0,0.0,0.4386699829820657,0.03528,0.8493612042698077,0.019200914150839517,0.0,0.0,0.0,0.021142707713193588,0.8711270783557159,0.03324393723232621,0.0,0.05411656939330587
Al-Barka,0.0,0.0,0.0,0.0,0.9089645861592444,1,0.0,0.4,0.0,0.43635728934851853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8711270783557159,0.03435419559849714,0.0,0.0
Alabat,1.0,0.2836978909675026,0.11543477311347337,0.8118522984549899,0.1688465187958912,0,0.11426598490702514,0.5492400000000001,0.91352,0.4479643932451891,0.885,0.8564037177655921,0.03184541859163627,0.5267229610153209,0.1706942308369839,0.1111111111111111,0.28667842497955254,0.5756008997316896,0.02078050397446382,0.271574250764862,0.06447931672393892
Alabel,1.0,0.22700840657464377,0.15630492251310854,0.8830029653652354,0.3439734061861185,0,0.1468742635735383,0.50804,0.99092,0.547279312300912,0.915,0.8594706188040788,0.592886763779581,0.9485260656317945,0.310974114730394,0.0,0.3833506740629048,0.5446769956237778,0.14669911660674625,0.3266590042949606,0.6401875017591078
Alamada,1.0,0.07280299026593946,0.017367213612567614,0.8677887130608983,0.5362945697928407,0,0.04493914034712739,0.51316,0.96924,0.5599773094209539,0.9371600000000001,0.7188475267430929,0.026693953819459812,0.9482226829144966,0.32995611849659606,0.0,0.2154608832087952,0.6561989484473332,0.10545945710593321,0.10192054230527389,0.013816996440844054
Alaminos (LA),1.0,0.29956092783737476,0.478586329610995,0.6930227665166546,0.004927752198638471,2,0.006850478711452346,0.502,0.90768,0.5526028712309639,0.88752,0.8531096388724025,0.0927263658991762,0.524801537139101,0.45707802250661617,0.0,0.15690114671369979,0.8250910401136209,0.08294627139566153,0.22757977207193802,0.016759504942134917
Alaminos (PS),1.0,0.22433673720708638,0.10274734760010062,0.7207930188639762,0.07077546185736393,0,0.5099496352805126,1.0,0.9818,0.9999999999999999,0.9212,0.9538630174330605,0.6954477442438214,0.953127370177479,0.21656740660530563,0.3333333333333333,0.37611764247681223,0.5320835505119584,0.149159783267821,0.38898451577660287,0.09057808777886657
Alang-Alang,0.75,0.07088272790800758,0.0280787285951692,0.7703383163308881,0.36753593285316727,0,0.05891411691849017,0.50512,0.9545600000000001,0.547279312300912,0.37992000000000004,0.7225959613456879,0.041914190646344794,0.9482226829144966,0.08822317659518925,0.0,0.08151070210481212,0.35031815939803324,0.08916928694021835,0.12235964386469483,0.007804044286032289
Albuera,0.5,0.22041272282348645,0.28765097516384447,0.835493776013402,0.3185004043839036,0,0.006850478711452346,0.503,0.95384,0.5598027665052144,0.48876000000000003,0.7156670367772549,0.026928111309104195,0.7584567932446782,0.6602717446402794,0.0,0.06815741302279513,0.6501820802272418,0.07367613610319673,0.13308329804609506,0.006012952154811764
Alburquerque,1.0,0.2669999574202688,0.10337131934665994,0.8006537038220578,0.10452718924529864,0,0.009864689344491378,0.50756,0.95384,0.5530828642492472,0.91252,0.7368513717282839,0.01732765423368444,0.9491833948526066,0.11640857612682264,0.0,0.106409022372323,0.7476413526759322,0.011390293717632564,0.11090274837174588,0.09019428232217645
