,city_munic
0,Aborlan
1,Abra De Ilog
2,Abucay
3,Abulug
4,Abuyog
5,Adams
6,Agdangan
7,Aglipay
8,Agno
9,Agoncillo
10,Agoo
11,Aguilar
12,Aguinaldo
13,Agutaya
14,Ajuy
15,Akbar
16,Alabat
17,Alabel
18,Alamada
19,Alaminos
20,City of Alaminos
21,Alangalang
22,Al-Barka
23,Albuera
24,Alburquerque
25,Alcala
26,Alcala
27,Alcantara
28,Alcantara
29,Alcoy
30,Alegria
31,Alegria
32,Aleosan
33,Alfonso
34,Alfonso Castaneda
35,Alfonso Lista
36,Aliaga
37,Alicia
38,Alicia
39,Alicia
40,Alilem
41,Alimodian
42,Alitagtag
43,Allacapan
44,Allen
45,Almagro
46,Almeria
47,Aloguinsan
48,Aloran
49,Altavas
50,Alubijid
51,Amadeo
52,Amai Manabilang
53,Ambaguio
54,Amlan
55,Ampatuan
56,Amulung
57,Anahawan
58,Anao
59,Anda
60,Anda
61,Angadanan
62,Angat
63,City of Angeles
64,Angono
65,Anilao
66,Anini-Y
67,Antequera
68,Antipas
69,City of Antipolo
70,Apalit
71,Aparri
72,Araceli
73,Arakan
74,Arayat
75,Argao
76,Aringay
77,Aritao
78,Aroroy
79,Arteche
80,Asingan
81,Asipulo
82,Asturias
83,Asuncion
84,Atimonan
85,Atok
86,Aurora
87,Aurora
88,Ayungon
89,Baao
90,Babatngon
91,Bacacay
92,Bacarra
93,Baclayon
94,Bacnotan
95,Baco
96,Bacolod
97,City of Bacolod
98,Bacolod-Kalawi
99,Bacolor
100,Bacong
101,City of Bacoor
102,Bacuag
103,Bacungan
104,Badian
105,Badiangan
106,Badoc
107,Bagabag
108,Bagac
109,Bagamanoc
110,Baganga
111,Baggao
112,City of Bago
113,City of Baguio
114,Bagulin
115,Bagumbayan
116,City of Bais
117,Bakun
118,Balabac
119,Balabagan
120,Balagtas
121,Balamban
122,City of Balanga
123,Balangiga
124,Balangkayan
125,Balaoan
126,Balasan
127,Balatan
128,Balayan
129,Balbalan
130,Baleno
131,Baler
132,Balete
133,Balete
134,Baliangao
135,Baliguian
136,Balilihan
137,Balindong
138,Balingasag
139,Balingoan
140,Baliuag
141,Ballesteros
142,Baloi
143,Balud
144,Balungao
145,Bamban
146,Bambang
147,Banate
148,Banaue
149,Banaybanay
150,Banayoyo
151,Banga
152,Banga
153,Bangar
154,Bangued
155,Bangui
156,Bani
157,Banisilan
158,Banna
159,Bansalan
160,Bansud
161,Bantay
162,Bantayan
163,Banton
164,Baras
165,Baras
166,Barbaza
167,Barcelona
168,Barili
169,Barira
170,Barlig
171,Barobo
172,Barotac Nuevo
173,Barotac Viejo
174,Baroy
175,Barugo
176,Basay
177,Basco
178,Basey
179,Basilisa
180,Basista
181,Basud
182,City of Batac
183,Batad
184,Batan
185,Batangas City
186,Bataraza
187,Bato
188,Bato
189,Bato
190,Batuan
191,Batuan
192,Bauan
193,Bauang
194,Bauko
195,Baungon
196,Bautista
197,Bay
198,Bayabas
199,Bayambang
200,Bayang
201,City of Bayawan
202,City of Baybay
203,Bayog
204,Bayombong
205,City of Bayugan
206,Belison
207,Benito Soliven
208,Besao
209,Bien Unido
210,Bilar
211,Biliran
212,Binalbagan
213,Binalonan
214,Binangonan
215,Bindoy
216,Bingawan
217,Binidayan
218,Binmaley
219,Binuangan
220,Biri
221,City of Bislig
222,City of Biñan
223,Boac
224,Bobon
225,Bocaue
226,City of Bogo
227,Bokod
228,Bolinao
229,Boliney
230,Boljoon
231,Bombon
232,Bongabon
233,Bongabong
234,Bongao
235,Bonifacio
236,Bontoc
237,Bontoc
238,Borbon
239,City of Borongan
240,Boston
241,Botolan
242,Braulio E. Dujali
243,Buadiposo-Buntong
244,Bubong
245,Bucay
246,Bucloc
247,Buenavista
248,Buenavista
249,Buenavista
250,Buenavista
251,Buenavista
252,Bugallon
253,Bugasong
254,Buguey
255,Buguias
256,Buhi
257,Bula
258,Bulacan
259,Bulalacao
260,Bulan
261,Buldon
262,Buluan
263,Bulusan
264,Bunawan
265,Burauen
266,Burdeos
267,Burgos
268,Burgos
269,Burgos
270,Burgos
271,Burgos
272,Burgos
273,Buruanga
274,Bustos
275,Busuanga
276,Butig
277,City of Butuan
278,Buug
279,Caba
280,City of Cabadbaran
281,Cabagan
282,City of Cabanatuan
283,Cabangan
284,Cabanglasan
285,Cabarroguis
286,Cabatuan
287,Cabatuan
288,Cabiao
289,Cabucgayan
290,Cabugao
291,Cabusao
292,City of Cabuyao
293,City of Cadiz
294,Cagayancillo
295,City of Cagayan De Oro
296,Cagdianao
297,Cagwait
298,Caibiran
299,Cainta
300,Cajidiocan
301,Calabanga
302,City of Calaca
303,City of Calamba
304,Calamba
305,Calanasan
306,Calanogas
307,City of Calapan
308,Calape
309,Calasiao
310,Calatagan
311,Calatrava
312,Calatrava
313,Calauag
314,Calauan
315,Calayan
316,City of Calbayog
317,Calbiga
318,Calinog
319,Calintaan
320,City of Caloocan
321,Calubian
322,Calumpit
323,Caluya
324,Camalaniugan
325,Camalig
326,Camaligan
327,Camiling
328,Canaman
329,Can-Avid
330,Candaba
331,Candelaria
332,Candelaria
333,Candijay
334,City of Candon
335,Candoni
336,City of Canlaon
337,Cantilan
338,Caoayan
339,Capalonga
340,Capas
341,Capoocan
342,Capul
343,Caraga
344,Caramoan
345,Caramoran
346,Carasi
347,City of Carcar
348,Cardona
349,Carigara
350,Carles
351,Carmen
352,Carmen
353,Carmen
354,Carmen
355,Carmen
356,Carmen
357,Carmona
358,Carranglan
359,Carrascal
360,Casiguran
361,Casiguran
362,Castilla
363,Castillejos
364,Cataingan
365,Catanauan
366,Catarman
367,Catarman
368,City of Catbalogan
369,Cateel
370,Catigbian
371,Catmon
372,Catubig
373,City of Cauayan
374,Cauayan
375,Cavinti
376,City of Cavite
377,Cawayan
378,City of Cebu
379,Cervantes
380,Clarin
381,Clarin
382,Claver
383,Claveria
384,Claveria
385,Claveria
386,Columbio
387,Compostela
388,Compostela
389,Concepcion
390,Concepcion
391,Concepcion
392,Concepcion
393,Conner
394,Consolacion
395,Corcuera
396,Cordon
397,Cordova
398,Corella
399,Coron
400,Cortes
401,Cortes
402,City of Cotabato
403,Cuartero
404,Cuenca
405,Culaba
406,Culasi
407,Culion
408,Currimao
409,Cuyapo
410,Cuyo
411,Daanbantayan
412,Daet
413,Dagami
414,Dagohoy
415,Daguioman
416,City of Dagupan
417,Dalaguete
418,Damulog
419,Danao
420,Danao City
421,Dangcagan
422,Danglas
423,Dao
424,Dapa
425,City of Dapitan
426,Daraga
427,Daram
428,City of Dasmariñas
429,Dasol
430,Datu Abdullah Sangki
431,Datu Anggal Midtimbang
432,Datu Blah T. Sinsuat
433,Datu Hoffer Ampatuan
434,Datu Odin Sinsuat
435,Datu Paglas
436,Datu Piang
437,Datu Salibo
438,Datu Saudi Ampatuan
439,Datu Unsay
440,Dauin
441,Dauis
442,City of Davao
443,Del Carmen
444,Delfin Albano
445,Del Gallego
446,Diadi
447,Diffun
448,City of Digos
449,Dilasag
450,Dimasalang
451,Dimataling
452,Dimiao
453,Dinagat
454,Dinalungan
455,Dinalupihan
456,Dinapigue
457,Dinas
458,Dingalan
459,Dingle
460,Dingras
461,Dipaculao
462,Diplahan
463,City of Dipolog
464,Ditsaan-Ramain
465,Divilacan
466,Dolores
467,Dolores
468,Dolores
469,Don Carlos
470,Don Marcelino
471,Donsol
472,Don Victoriano Chiongbian
473,Doña Remedios Trinidad
474,Duero
475,Dueñas
476,Dulag
477,City of Dumaguete
478,Dumalag
479,Dumalinao
480,Dumalneg
481,Dumangas
482,Dumanjug
483,Dumaran
484,Dumarao
485,Dumingag
486,Dupax del Norte
487,Dupax del Sur
488,Echague
489,El Nido
490,City of El Salvador
491,Enrile
492,Enrique B. Magalona
493,Enrique Villanueva
494,City of Escalante
495,Esperanza
496,Esperanza
497,Esperanza
498,Estancia
499,Famy
500,Ferrol
501,Flora
502,Floridablanca
503,Gabaldon
504,Gainza
505,Galimuyod
506,Gamay
507,Gamu
508,Ganassi
509,Gandara
510,City of Gapan
511,Garchitorena
512,Garcia Hernandez
513,Gasan
514,Gattaran
515,General Emilio Aguinaldo
516,General Luna
517,General Luna
518,General Macarthur
519,General Mamerto Natividad
520,General Nakar
521,City of General Santos
522,General Tinio
523,City of General Trias
524,Gen. Mariano Alvarez
525,Gen. S.K. Pendatun
526,Gerona
527,Getafe
528,Gigaquit
529,Gigmoto
530,Ginatilan
531,City of Gingoog
532,Giporlos
533,Gitagum
534,Glan
535,Gloria
536,Goa
537,Godod
538,Gonzaga
539,Governor Generoso
540,Gregorio del Pilar
541,Guagua
542,Gubat
543,Guiguinto
544,City of Guihulngan
545,Guimba
546,Guimbal
547,Guinayangan
548,Guindulman
549,Guindulungan
550,Guinobatan
551,Guinsiliban
552,Guipos
553,Guiuan
554,Gumaca
555,Gutalac
556,Hadji Mohammad Ajul
557,Hadji Muhtamad
558,Hadji Panglima Tahil
559,Hagonoy
560,Hagonoy
561,Hamtic
562,Hermosa
563,Hernani
564,Hilongos
565,City of Himamaylan
566,Hinabangan
567,Hinatuan
568,Hindang
569,Hingyon
570,Hinigaran
571,Hinoba-an
572,Hinunangan
573,Hinundayan
574,Hungduan
575,Iba
576,Ibaan
577,Ibajay
578,Igbaras
579,Iguig
580,City of Ilagan
581,City of Iligan
582,Ilog
583,City of Iloilo
584,Imelda
585,Impasug-ong
586,City of Imus
587,Inabanga
588,Indanan
589,Indang
590,Infanta
591,Infanta
592,Initao
593,Inopacan
594,Ipil
595,City of Iriga
596,Irosin
597,Isabel
598,City of Isabela
599,Isabela
600,Island Garden City of Samal
601,Isulan
602,Itbayat
603,Itogon
604,Ivana
605,Ivisan
606,Jabonga
607,Jaen
608,Jagna
609,Jala-Jala
610,Jamindan
611,Janiuay
612,Jaro
613,Jasaan
614,Javier
615,Jiabong
616,Jimalalud
617,Jimenez
618,Jipapad
619,Jolo
620,Jomalig
621,Jones
622,Jordan
623,Jose Abad Santos
624,Jose Dalman
625,Josefina
626,Jose Panganiban
627,Jovellar
628,Juban
629,Julita
630,Kabacan
631,City of Kabankalan
632,Kabasalan
633,Kabayan
634,Kabugao
635,Kabuntalan
636,Kadingilan
637,Kalamansig
638,Kalawit
639,Kalayaan
640,Kalayaan
641,Kalibo
642,Kalilangan
643,Kalingalan Caluang
644,Kananga
645,Kapai
646,Kapalong
647,Kapangan
648,Kapatagan
649,Kapatagan
650,Kasibu
651,Katipunan
652,Kauswagan
653,Kawayan
654,Kawit
655,Kayapa
656,Kiamba
657,Kiangan
658,Kibawe
659,Kiblawan
660,Kibungan
661,City of Kidapawan
662,Kinoguitan
663,Kitaotao
664,Kitcharao
665,Kolambugan
666,City of Koronadal
667,Kumalarang
668,Laak
669,Labangan
670,Labason
671,Labo
672,Labrador
673,City of La Carlota
674,La Castellana
675,Lacub
676,Lagangilang
677,Lagawe
678,Lagayan
679,Lagonglong
680,Lagonoy
681,Laguindingan
682,Lake Sebu
683,Lakewood
684,Lala
685,La Libertad
686,La Libertad
687,Lal-Lo
688,Lambayong
689,Lambunao
690,City of Lamitan
691,Lamut
692,Langiden
693,Languyan
694,Lantapan
695,Lantawan
696,Lanuza
697,Laoac
698,City of Laoag
699,Laoang
700,La Paz
701,La Paz
702,La Paz
703,La Paz
704,Lapinig
705,City of Lapu-Lapu
706,Lapuyan
707,Larena
708,Lasam
709,Las Navas
710,Las Nieves
711,City of Las Piñas
712,La Trinidad
713,Laua-An
714,Laur
715,Laurel
716,Lavezares
717,Lawaan
718,Lazi
719,Lebak
720,Leganes
721,City of Legazpi
722,Lemery
723,Lemery
724,Leon
725,Leyte
726,Lezo
727,Lian
728,Lianga
729,Libacao
730,Libagon
731,Libertad
732,Libertad
733,Libjo
734,Libmanan
735,Libon
736,Libona
737,Libungan
738,Licab
739,Licuan-Baay
740,Lidlidda
741,City of Ligao
742,Lila
743,Liliw
744,Liloan
745,Liloan
746,Liloy
747,Limasawa
748,Limay
749,Linamon
750,Linapacan
751,Lingayen
752,Lingig
753,City of Lipa
754,Llanera
755,Llorente
756,Loay
757,Lobo
758,Loboc
759,Looc
760,Looc
761,Loon
762,Lope De Vega
763,Lopez
764,Lopez Jaena
765,Loreto
766,Loreto
767,Los Baños
768,Luba
769,Lubang
770,Lubao
771,Lubuagan
772,Lucban
773,City of Lucena
774,Lugait
775,Lugus
776,Luisiana
