city_municipality,ecomomy,disaster,industry,healthcare,poverty,Cluster_Id
Aborlan,0.48776245645052846,0.866804536338103,0.6647156956358491,0.1301228857973116,0.8480328241014128,0.0
Abra De Ilog,0.2138419436745208,0.7889387954730387,0.7045034197219922,0.06914230292461526,0.7524235860479789,0.0
Abucay,0.6337802447249348,0.9660392564588416,0.7648063083399986,0.08744582614909877,0.9602387722478931,0.0
Abulug,0.5463371560507002,0.8397811738386647,0.8208128699440083,0.11016306106384038,0.8714883469455375,0.0
Abuyog,0.5500013998608382,0.6804523040593813,0.7248399090283204,0.1829311442921848,0.6854596850925676,0.0
Adams,0.49801701898271106,0.9588021166151057,0.8160698548661744,0.01335684068329794,0.94870502257364,0.0
Agdangan,0.5991860590618905,0.8585236008778807,0.5960150714177055,0.10082825708319906,0.8473189603626787,0.0
Aglipay,0.5307558071447962,0.8897574489644551,0.7546624284903165,0.20684439873689772,0.8757852096934937,0.0
Agno,0.6438353021494874,0.8922380816133324,0.713282870576681,0.06269335991008615,0.8758063519993446,0.0
Agoncillo,0.45995144444690467,0.852402039663716,0.5556588352503152,0.032874223824536336,0.865951550142672,0.0
Agoo,0.7893476774845645,0.9968012194921902,0.8000621789784855,0.1392207694414669,1.0,0.0
Aguilar,0.5066356396323275,0.8356801279272146,0.6368098740477725,0.12844303497776954,0.82190093406956,0.0
Aguinaldo,0.4296266680871427,0.7199659108354719,0.711293078292316,0.16507719881464758,0.7076354766001811,0.0
Agutaya,0.4495372778286179,0.8187393368393416,0.4533510254293014,0.049999567905832105,0.8345788555898677,0.0
Ajuy,0.5409970693364701,0.7512374155846477,0.6504379207953837,0.2199171205564351,0.7359711411007397,0.0
Akbar,0.28035029638811276,0.1139337041745776,0.25286117917689677,0.05499558982070631,0.12619843606135156,2.0
Al-Barka,0.04279291456280215,0.05479979941237256,0.0,0.012070191988466032,0.08289028802312498,2.0
Alabat,0.6053175160363864,0.819281828134945,0.7084667610884012,0.14675155351055244,0.8334856740108654,0.0
Alabel,0.6130583142124306,0.6880577731341884,0.8572788591554358,0.12601674237520244,0.6678593373041237,0.0
Alamada,0.4358778281262164,0.5065173562735215,0.7381999429376298,0.13755162285399503,0.46203277151925465,2.0
